web_enter_code,id.x,species,category,common_name,life_stage,n_s_both,zone,trophic_strategy,interaction_type,resourceName,source
yes,1300,Peramphithoe humeralis,gammarid,NA,juvenile,NA,all,parasite,parasitic_on,Alaria or Macrocystis,Light & Smith
yes,336,Acanthodoris lutea,nudibranch,orange peel,adult,Both,low tidepools,micropredator,preys_on,Alcyonidium sp.,"Morris, Abbott, & Haderlie; Light & Smith"
yes,337,Acanthodoris nanaimoensis,nudibranch,wine plume dorid,adult,N,low,micropredator,preys_on,Alcyonidium sp.,"Morris, Abbott, & Haderlie"
yes,341,Onchidoris muricata,nudibranch,white onchodoris,adult,N,low,micropredator,preys_on,Alcyonidium spp.,"Morris, Abbott, & Haderlie; Light & Smith"
yes,1893,Acanthodoris pilosa,nudibranch,NA,adult,N,all,micropredator,preys_on,Alcyonidium spp.,Light & Smith
,225,Haliotis rufescens,abalone,red abalone,adult,Both,low,grazer,preys_on,algae,"Morris, Abbott, & Haderlie; Light & Smith"
,300,Aplysia californica,sea hare,California brown sea hare,adult,Both,low,grazer,preys_on,algae,"Morris, Abbott, & Haderlie"
,557,Lophopanopeus leucomanus leucomanus,true crab,NA,adult,Both,low,omnivore,preys_on,algae,"Morris, Abbott, & Haderlie"
,761,Ligia pallasii,isopod,NA,adult,Both,high,detritivore,preys_on,algae,Walla Walla; Light & Smith
,1293,Ampithoe longimana,gammarid,NA,adult,NA,all,grazer,preys_on,algae,Light & Smith
,1490,Bledius fenyesi,insect,NA,adult,NA,all,grazer,preys_on,algae,Light & Smith
,1587,Typosyllis nipponica,polychaete,NA,adult,Both,all,grazer,preys_on,algae,Light & Smith
,1780,Lucapinella callomarginata,limpet,NA,adult,Both,low,micropredator,preys_on,algae,Light & Smith
,1798,Lacuna porrecta,snail,NA,adult,N,all,grazer,preys_on,algae,Light & Smith
,1799,Lacuna unifasciata,snail,NA,adult,Both,all,grazer,preys_on,algae,Light & Smith
yes,1401,Traskorchestia georgiana,gammarid,NA,adult,NA,high,detritivore,preys_on,algae wrack,Light & Smith
yes,1402,Traskorchestia traskiana,gammarid,NA,adult,NA,high,detritivore,preys_on,algae wrack,Light & Smith
,442,Bispira sp.,polychaete,plume worm,adult,Both,low,filter feeder,preys_on,algal spores. Protozoans,"Morris, Abbott, & Haderlie; Light & Smith"
no - resource,459,Armatobalanus nefrens,barnacle,NA,adult,Both,low,parasite,parasitic_on,Allopora californica,"Morris, Abbott, & Haderlie"
,2072,Paralabrax nebulifer,fish,barred sand bass,adult,Both,low,typical predator,preys_on,also on crustaceans,FishBase
,1717,Lineus sanguineus,nemertean,ribbon worm,adult,Both,high to middle,carnivore (scavenger + predator),preys_on,also on polychaetes,Light & Smith
,126,Amphiporus imparispinosus,nemertean,NA,adult,Both,high,NA,preys_on,amphipods,"Morris, Abbott, & Haderlie; Light & Smith"
,475,Cirolana harfordi,isopod,rock isopod,adult,Both,middle,carnivore (scavenger + predator),preys_on,amphipods,"Morris, Abbott, & Haderlie"
,1495,Cafius luteipennis,insect,NA,adult,NA,all,typical predator,preys_on,amphipods,Light & Smith
,1496,Cafius luteipennis,insect,NA,larvae,NA,all,typical predator,preys_on,amphipods,Light & Smith
,271,Cypraea spadicea,snail,chestnut cowrie,adult,NA,low,typical predator,preys_on,anemones,"Morris, Abbott, & Haderlie"
,1832,Epitonium indianorum,snail,NA,adult,N,low,micropredator,preys_on,anemones,Light & Smith
,567,Hemigrapsus nudus,true crab,purple shore crab,adult,N,middle to low,omnivore,preys_on,animal material,"Morris, Abbott, & Haderlie"
,761,Ligia pallasii,isopod,NA,adult,Both,high,detritivore,preys_on,animals,Walla Walla; Light & Smith
,357,Hermissenda opalescens,nudibranch,opalescent,adult,Both,low,omnivore,preys_on,annelids,"Morris, Abbott, & Haderlie; Lindsay, Valdez 2016"
no - resource,1908,Aldisa cooperi,nudibranch,NA,adult,N,all,micropredator,preys_on,Anthoarcuata graciae,Light & Smith
yes,253,Epitonium tinctum,snail,tinted wentletrap,adult,Both,high,micropredator,preys_on,Anthopleura xanthogrammica,"Morris, Abbott, & Haderlie; Light & Smith"
,554,Cancer productus,true crab,red crab,juvenile,Both,low,carnivore (scavenger + predator),preys_on,any animal matter,"Morris, Abbott, & Haderlie; Light & Smith"
,555,Cancer productus,true crab,red crab,adult,Both,low,carnivore (scavenger + predator),preys_on,any animal matter,"Morris, Abbott, & Haderlie; Light & Smith"
,356,Phidiana hiltoni,nudibranch,fighting phidiana,adult,Both,low,carnivore (scavenger + predator),preys_on,any animal tissue,"Morris, Abbott, & Haderlie; Light & Smith"
,231,Calliostoma canaliculatum,topsnail,channeled topsnail,adult,Both,very low,omnivore,preys_on,anything growing on Macrocystis,"Morris, Abbott, & Haderlie; Light & Smith"
,232,Calliostoma ligatum,topsnail,blue topsnail,adult,Both,low,omnivore,preys_on,anything growing on Macrocystis,"Morris, Abbott, & Haderlie; Light & Smith"
yes,593,Haplostoma minutum,copepod,NA,adult,Both,NA,parasite,parasitic_on,Aplidium arenatum,"Morris, Abbott, & Haderlie; Light & Smith"
yes,1120,Anthessius lighti,copepod,NA,adult,NA,all,parasite,parasitic_on,Aplysia californica.,Light & Smith
no - resource,1905,Chromodoris macfarlandi,nudibranch,NA,adult,Both,all,micropredator,preys_on,Aplysilla polyraphis,Light & Smith
,1528,Aegialites fuchsi,insect,NA,adult,NA,all,omnivore,preys_on,aquatic mites,Light & Smith
,1529,Aegialites subopacus,insect,NA,adult,NA,middle,omnivore,preys_on,aquatic mites,Light & Smith
,342,Triopha catalinae,nudibranch,sea clown,adult,Both,middle to low,micropredator,preys_on,arborescent bryozoans,"Morris, Abbott, & Haderlie; light & Smith"
no - resource,920,Cladonema myersi,plankton,NA,medusa,S,low,filter feeder,preys_on,Artemia nauplii,Light & Smith
no - resource,923,Dipurena bicircella,hydroid,NA,hydroid colony,N,low,filter feeder,preys_on,Artemia nauplii,Light & Smith
no - resource,1729,Tetrastemma candidum,nemertean,ribbon worm,adult,Both,all,typical predator,preys_on,artemia nauplii in laboratory,Light & Smith
,143,Dermasterias imbricata,asteroid,leather star,adult,Both,low,typical predator,preys_on,ascidians,"Morris, Abbott, & Haderlie; Light & Smith"
,267,Velutina sp.,snail,NA,adult,Both,low,micropredator,preys_on,ascidians,"Morris, Abbott, & Haderlie; light & Smith"
,268,Erato vitellina,snail,appleseed erato,adult,Both,low,micropredator,preys_on,ascidians,"Morris, Abbott, & Haderlie"
,271,Cypraea spadicea,snail,chestnut cowrie,adult,NA,low,typical predator,preys_on,ascidians,"Morris, Abbott, & Haderlie"
,1123,Ascidicola rosea,copepod,NA,adult,Both,all,parasite,parasitic_on,ascidians,Light & Smith
,1820,Erato columbella,snail,false cowry,adult,N,low,micropredator,preys_on,ascidians,Light & Smith
,1822,Marsenina rhombica,snail,NA,adult,N,all,micropredator,preys_on,ascidians,Light & Smith
,748,Leptochelia sp.,tanaid,NA,adult,NA,all,detritivore,preys_on,associated microorganisms,OIMB; Light & Smith
no - resource,1914,Thordisa rubescens,nudibranch,NA,adult,S,all,micropredator,preys_on,Axinella,Light & Smith
no - resource,310,Cadlina limbaughorum,nudibranch,Limbaugh's cadlina,adult,S,low,micropredator,preys_on,Axinella sp.,"Morris, Abbott, & Haderlie; Light & Smith"
,145,Henricia leviuscula,asteroid,blood star,adult,Both,low,filter feeder,preys_on,bacteria,"Morris, Abbott, & Haderlie; Light & Smith"
,776,Phoronopsis harmeri,phoronid,NA,adult,Both,all,filter feeder,preys_on,bacteria,Light & Smith
,1482,Cercyon fimbriatus,insect,NA,adult,NA,high,detritivore,preys_on,bacteria,Light & Smith
,1484,Cercyon luniger,insect,NA,adult,NA,all,detritivore,preys_on,bacteria,Light & Smith
,143,Dermasterias imbricata,asteroid,leather star,adult,Both,low,typical predator,preys_on,bacterial film,"Morris, Abbott, & Haderlie; Light & Smith"
,1471,Oedoparena glauca,insect,fly,larvae,NA,all,parasite,parasitic_on,Balanus,Light & Smith
yes,286,Lirabuccinum dirum,whelk,dire whelk,adult,Both,middle,typical predator,preys_on,Balanus cariosus,"Morris, Abbott, & Haderlie; Light & Smith"
yes,150,Pisaster ochraceus,asteroid,ochre star,adult,Both,"middle, low",typical predator,preys_on,balanus glandula,"Morris, Abbott, & Haderlie"
yes,1896,Onchidoris bilamellata,nudibranch,NA,adult,N,all,typical predator,preys_on,Balanus sp.,Light & Smith
,905,Chelyosoma productum,tunicate,"Flattop sea squirt, horseshoe ascidian",adult,Both,low,filter feeder,preys_on,barnacle,Light & Smith
,60,Orthasterias koehleri,asteroid,rainbow star,small,Both,very low,typical predator,preys_on,barnacles,Light & Smith; Ref # 232
,123,Emplectonema gracile,nemertean,ribbon worm,adult,Both,"high, middle",NA,preys_on,barnacles,"Morris, Abbott, & Haderlie"
,147,Astrometis sertulifera,asteroid,red/yellow star,adult,S,very low,typical predator,preys_on,barnacles,"Morris, Abbott, & Haderlie; Light & Smith"
,279,Roperia poulsoni,murex,Poulson's rock snail,adult,S,low tidepools,typical predator,preys_on,barnacles,"Morris, Abbott, & Haderlie"
,282,Acanthinucella spirata,snail,angular unicorn,adult,Both,high to middle,typical predator,preys_on,barnacles,"Morris, Abbott, & Haderlie; Light & Smith"
,411,Mopalia muscosa,chiton,mossy chiton,adult,Both,middle to low,omnivore,preys_on,barnacles,"Morris, Abbott, & Haderlie; Light & Smith"
,412,Mopalia ciliata,chiton,NA,adult,Both,middle to low,omnivore,preys_on,barnacles,"Morris, Abbott, & Haderlie; Light & Smith"
,413,Mopalia hindsii,chiton,NA,adult,Both,middle to low,omnivore,preys_on,barnacles,"Morris, Abbott, & Haderlie; Light & Smith"
,553,Cancer oregonensis,true crab,Oregon cancer crab,adult,Both,low,typical predator,preys_on,barnacles,"Morris, Abbott, & Haderlie; Light & Smith"
,554,Cancer productus,true crab,red crab,juvenile,Both,low,carnivore (scavenger + predator),preys_on,barnacles,"Morris, Abbott, & Haderlie; Light & Smith"
,555,Cancer productus,true crab,red crab,adult,Both,low,carnivore (scavenger + predator),preys_on,barnacles,"Morris, Abbott, & Haderlie; Light & Smith"
,625,Pteropurpura festiva,murex,festive murex,adult,S,NA,typical predator,preys_on,barnacles,Wikipedia
,672,Leptasterias aequalis,asteroid,6 arm star,adult,Both,middle,carnivore (scavenger + predator),preys_on,barnacles,Light & Smith; Walla Walla
yes,720,Evasterias troschelii,asteroid,NA,adult,N,all,typical predator,preys_on,barnacles (Balanus glandula),Light & Smith
,574,Garypus californicus,other arthropod,pseudoscorpion,adult,Both,high,typical predator,preys_on,beetle larvae,"Morris, Abbott, & Haderlie"
,228,Hydractinia milleri,hydroid,NA,adult,Both,low,carnivore (scavenger + predator),preys_on,benthic animals,"Morris, Abbott, & Haderlie"
,143,Dermasterias imbricata,asteroid,leather star,adult,Both,low,typical predator,preys_on,benthic diatoms,"Morris, Abbott, & Haderlie; Light & Smith"
,914,Proboscidactyla circumsabella,plankton,NA,medusa,N,low,filter feeder,preys_on,bivalve veligers,Light & Smith
,916,Proboscidactyla occidentalis,plankton,NA,medusa,S,low,filter feeder,preys_on,bivalve veligers,Light & Smith
,60,Orthasterias koehleri,asteroid,rainbow star,small,Both,very low,typical predator,preys_on,bivalves,Light & Smith; Ref # 232
,720,Evasterias troschelii,asteroid,NA,adult,N,all,typical predator,preys_on,bivalves,Light & Smith
,2059,Stylochus californicus,turbellarian,NA,adult,N,all,micropredator,preys_on,bivalves,Light & Smith
,2072,Paralabrax nebulifer,fish,barred sand bass,adult,Both,low,typical predator,preys_on,bivalves,FishBase
,2073,Paralabrax nebulifer,fish,barred sand bass,juvenile,Both,low,typical predator,preys_on,bivalves,FishBase
,1879,Littorina saxatilis,limpet,NA,adult,N,all,unknown,preys_on,blue-green algae,Light & Smith
no - already in web,460,Membranobalanus orcutti,barnacle,sponge barnacle,adult,S,very low,filter feeder,parasitic_on,Bocquetia rosea,"Morris, Abbott, & Haderlie"
,579,Dicranomyia (Idioglochina) marmorata,insect,crane fly,adult,N,high to middle,scavenger,preys_on,body fluids of dead animals,"Morris, Abbott, & Haderlie; Light & Smith"
no - resource (atlantic),1923,Dendronotus frondosus,nudibranch,NA,adult,Both,all,micropredator,preys_on,Botryllus schlosseri,Light & Smith
no - resource (bays),1923,Dendronotus frondosus,nudibranch,NA,adult,Both,all,micropredator,preys_on,Bougainvillia glorietta,Light & Smith
no - resource (bays),347,Doto amyra,nudibranch,hammerhead doto,adult,Both,low,micropredator,preys_on,Bougainvillia sp.,"Morris, Abbott, & Haderlie; Light & Smith"
,60,Orthasterias koehleri,asteroid,rainbow star,small,Both,very low,typical predator,preys_on,brachiopods (Terebratalia),Light & Smith; Ref # 232
,720,Evasterias troschelii,asteroid,NA,adult,N,all,typical predator,preys_on,brachiopods (Terebratalia),Light & Smith
,1879,Littorina saxatilis,limpet,NA,adult,N,all,unknown,preys_on,broad range of diatoms,Light & Smith
,168,Strongylocentrotus purpuratus,urchin,NA,adult,Both,low,grazer,preys_on,brown,"Morris, Abbott, & Haderlie"
,416,Katharina tunicata,chiton,NA,adult,N,middle to low,grazer,preys_on,brown,"Morris, Abbott, & Haderlie; Light & Smith"
,241,Tegula montereyi,topsnail,monterey turban snail,adult,N,low,grazer,preys_on,brown algae,"Morris, Abbott, & Haderlie; Light & Smith"
,412,Mopalia ciliata,chiton,NA,adult,Both,middle to low,omnivore,preys_on,brown algae bryozoans,"Morris, Abbott, & Haderlie; Light & Smith"
,208,Lottia pelta,true limpet,shield limpet,adult,Both,middle to low,grazer,preys_on,brown macroalgae,"Morris, Abbott, & Haderlie; Light & Smith"
yes,305,Placida dendritica,nudibranch,NA,adult,N,all,grazer,preys_on,Bryopsis corticulans NOT ENTERED NOT IN EP [or on Codium fragile],Light & Smith
yes,1884,Elysia hedgpethi,nudibranch,NA,adult,Both,all,grazer,preys_on,Bryopsis corticulans or on Codium fragile,Light & Smith
,145,Henricia leviuscula,asteroid,blood star,adult,Both,low,filter feeder,preys_on,bryozoa,"Morris, Abbott, & Haderlie; Light & Smith"
,143,Dermasterias imbricata,asteroid,leather star,adult,Both,low,typical predator,preys_on,bryozoans,"Morris, Abbott, & Haderlie; Light & Smith"
,195,Diodora aspera,limpet,rough keyhole limpet,adult,Both,low,omnivore,preys_on,bryozoans,"Morris, Abbott, & Haderlie; Light & Smith"
,336,Acanthodoris lutea,nudibranch,orange peel,adult,Both,low tidepools,micropredator,preys_on,bryozoans,"Morris, Abbott, & Haderlie; Light & Smith"
,357,Hermissenda opalescens,nudibranch,opalescent,adult,Both,low,omnivore,preys_on,bryozoans,"Morris, Abbott, & Haderlie; Lindsay, Valdez 2016"
,411,Mopalia muscosa,chiton,mossy chiton,adult,Both,middle to low,omnivore,preys_on,bryozoans,"Morris, Abbott, & Haderlie; Light & Smith"
,412,Mopalia ciliata,chiton,NA,adult,Both,middle to low,omnivore,preys_on,bryozoans,"Morris, Abbott, & Haderlie; Light & Smith"
,413,Mopalia hindsii,chiton,NA,adult,Both,middle to low,omnivore,preys_on,bryozoans,"Morris, Abbott, & Haderlie; Light & Smith"
,414,Mopalia lignosa,chiton,NA,adult,N,middle to low,omnivore,preys_on,bryozoans,"Morris, Abbott, & Haderlie; Light & Smith"
,429,Nereis grubei,polychaete,nereid,adult,Both,middle to low,omnivore,preys_on,bryozoans,"Morris, Abbott, & Haderlie"
,1353,Iphimedia rickettsi,gammarid,NA,adult,NA,all,micropredator,preys_on,bryozoans,Light & Smith
,1354,Cryptodius kelleri,gammarid,NA,adult,NA,all,micropredator,preys_on,bryozoans,Light & Smith
,1898,Triopha occidentalis,nudibranch,NA,adult,N,all,micropredator,preys_on,bryozoans,Light & Smith
,1979,Mediaster aequalis,asteroid,NA,adult,N,all,carnivore (scavenger + predator),preys_on,bryozoans,Light & Smith
yes,1892,Okenia plana,nudibranch,NA,adult,Both,all,micropredator,preys_on,Membranipora membranacea,Light & Smith
yes,1184,Lepeophtheirus bifidus,copepod,NA,adult,NA,all,parasite,parasitic_on,buffalo sculpin,Light & Smith
yes,1185,Lepeophtheirus hospitalis,copepod,NA,adult,NA,all,parasite,parasitic_on,buffalo sculpin,Light & Smith
yes,1928,Janolus barbarensis,nudibranch,NA,adult,Both,all,micropredator,preys_on,Bugula californica NOT ENTERED - BAY [Corymorpha palma],Light & Smith
expanded,348,Dirona albolineata,nudibranch,chalk lined dirona,adult,Both,low tidepools,micropredator,preys_on,Bugula sp.,"Morris, Abbott, & Haderlie; Light & Smith"
expanded,1901,Polycera atra,nudibranch,NA,adult,Both,all,micropredator,preys_on,Bugula sp.,Light & Smith
expanded,1902,Polycera hedgpethi,nudibranch,NA,adult,Both,all,micropredator,preys_on,Bugula sp.,Light & Smith
expanded,1903,Polycerella glandulosa,nudibranch,NA,adult,Both,all,micropredator,preys_on,Bugula sp.,Light & Smith
yes,298,Conus californicus,snail,California cone,adult,Both,low,typical predator,preys_on,Bulla gouldiana,"Morris, Abbott, & Haderlie; Light & Smith"
yes,299,Navanax inermis,nudibranch,Navanax,adult,Both,low,typical predator,preys_on,Bulla gouldiana,"Morris, Abbott, & Haderlie"
no,1780,Lucapinella callomarginata,limpet,NA,adult,Both,low,micropredator,preys_on,burrowing,Light & Smith
,339,Acanthodoris brunnea,nudibranch,NA,adult,Both,low,micropredator,preys_on,byrozoans,"Morris, Abbott, & Haderlie; Light & Smith"
yes,1183,Caligus hobsoni,copepod,NA,adult,NA,all,parasite,parasitic_on,cabezon,Light & Smith
yes,286,Lirabuccinum dirum,whelk,dire whelk,adult,Both,middle,typical predator,preys_on,Calliostoma ligatum,"Morris, Abbott, & Haderlie; Light & Smith"
,302,Stiliger fuscovittatus,nudibranch,streaked stilliger,adult,Both,low,grazer,preys_on,Callithamnion,"Morris, Abbott, & Haderlie; Light & Smith"
expanded,341,Onchidoris muricata,nudibranch,white onchodoris,adult,N,low,micropredator,preys_on,Callopora spp.,"Morris, Abbott, & Haderlie; Light & Smith"
yes,560,Hermissenda crassicornis,nudibranch,opalescent nudibranch,adult,N,low,typical predator,preys_on,Orthopyxis integra (Campanularia ritteri),Light & Smith
expanded,711,Carcinonemertes epialti,nemertean,NA,adult,Both,all,symbiotic egg predator,preys_on,Cancer spp. except C. magister,"Morris, Abbott, & Haderlie; Light & Smith"
,1476,Anisolabis maritima,insect,seaside earwig,adult,Both,high,typical predator,preys_on,cannibalism,Light & Smith
,286,Lirabuccinum dirum,whelk,dire whelk,adult,Both,middle,typical predator,preys_on,carrion,"Morris, Abbott, & Haderlie; Light & Smith"
,287,Kelletia kelletii,whelk,Kellet's whelk,adult,Both,low,scavenger,preys_on,carrion,"Morris, Abbott, & Haderlie; Light & Smith"
,288,Amphissa columbiana,snail,wrinkled dove snail,adult,Both,low,scavenger,preys_on,carrion,"Morris, Abbott, & Haderlie; Light & Smith"
,291,Nassarius mendicus,snail,lean nassa,adult,Both,low,scavenger,preys_on,carrion,"Morris, Abbott, & Haderlie; Light & Smith"
,294,Callianax baetica,snail,purple olive,adult,Both,low,scavenger,preys_on,carrion,"Morris, Abbott, & Haderlie"
,298,Conus californicus,snail,California cone,adult,Both,low,typical predator,preys_on,carrion,"Morris, Abbott, & Haderlie; Light & Smith"
,357,Hermissenda opalescens,nudibranch,opalescent,adult,Both,low,omnivore,preys_on,carrion,"Morris, Abbott, & Haderlie; Lindsay, Valdez 2016"
,432,Arabella iricolor,polychaete,NA,adult,Both,low,scavenger,preys_on,carrion,"Morris, Abbott, & Haderlie; Light & Smith"
,433,Arabella endonata,polychaete,NA,adult,Both,low,parasite,preys_on,carrion,"Morris, Abbott, & Haderlie"
,475,Cirolana harfordi,isopod,rock isopod,adult,Both,middle,carnivore (scavenger + predator),preys_on,carrion,"Morris, Abbott, & Haderlie"
,487,Ligia occidentalis,isopod,rock isopod,adult,Both,high,scavenger,preys_on,carrion,"Morris, Abbott, & Haderlie; Light & Smith"
,524,Pagurus samuelis,hermit crab,blue banded hermit crab,adult,Both,high to middle,scavenger,preys_on,carrion,"Morris, Abbott, & Haderlie"
,566,Pachygrapsus crassipes,true crab,striped shore crab,adult,Both,high to middle,omnivore,preys_on,carrion,"Morris, Abbott, & Haderlie; Light & Smith"
no - resource (sand),561,Pinnixa faba,true crab,large pea crab,juvenile,Both,low,NA,parasitic_on,Caudina arenata,"Morris, Abbott, & Haderlie"
no - resource (sand),561,Pinnixa faba,true crab,large pea crab,juvenile,Both,low,NA,parasitic_on,Caudina arenicola,"Morris, Abbott, & Haderlie"
,1889,Aplysiopsis enteromorphae,nudibranch,NA,adult,N,all,grazer,preys_on,Chaetomorpha spp.,Light & Smith
,1720,Amphiporus formidabilis,nemertean,ribbon worm,adult,N,all,carnivore (scavenger + predator),preys_on,chelipeds of Petrolisthes sp.,Light & Smith
,60,Orthasterias koehleri,asteroid,rainbow star,small,Both,very low,typical predator,preys_on,chitons,Light & Smith; Ref # 232
,107,Metridium senile,anemone,NA,adult,Both,low,filter feeder,preys_on,chitons,"Morris, Abbott, & Haderlie; Light & Smith"
,147,Astrometis sertulifera,asteroid,red/yellow star,adult,S,very low,typical predator,preys_on,chitons,"Morris, Abbott, & Haderlie; Light & Smith"
,150,Pisaster ochraceus,asteroid,ochre star,adult,Both,"middle, low",typical predator,preys_on,chitons,"Morris, Abbott, & Haderlie"
,672,Leptasterias aequalis,asteroid,6 arm star,adult,Both,middle,carnivore (scavenger + predator),preys_on,chitons,Light & Smith; Walla Walla
,1878,Littorina plena,limpet,NA,adult,Both,all,unknown,preys_on,Chow 1989,Light & Smith
yes,278,Paciocinebrina lurida,snail,lurid rock snail,adult,Both,low,typical predator,preys_on,Chryptochiton stelleri,"Morris, Abbott, & Haderlie"
yes,248,Littorina scutulata,littorine,checkered periwinkle,adult,Both,high to middle,grazer,preys_on,Cladophora sp.,"Morris, Abbott, & Haderlie; Light & Smith"
yes,405,Cyanoplax hartwegii,chiton,NA,adult,Both,"high tide pools, nocturnal",grazer,preys_on,Cladophora sp.,"Morris, Abbott, & Haderlie; Light & Smith"
,60,Orthasterias koehleri,asteroid,rainbow star,small,Both,very low,typical predator,preys_on,clams,Light & Smith; Ref # 232
,147,Astrometis sertulifera,asteroid,red/yellow star,adult,S,very low,typical predator,preys_on,clams,"Morris, Abbott, & Haderlie; Light & Smith"
,420,Enteroctopus dofleini,octopus,giant Pacific octopus,small,Both,low tidepools,typical predator,preys_on,clams,"Morris, Abbott, & Haderlie; Light & Smith"
,545,Loxorhynchus grandis,true crab,sheep crab,adult,Both,low,scavenger,preys_on,clams,"Morris, Abbott, & Haderlie"
,998,Carcinus maenas,true crab,European Green Crab,adult,N,low,carnivore (scavenger + predator),preys_on,clams,Light & Smith
,1745,Enteroctopus dofleini,octopus,giant Pacific octopus,adult,N,low tidepools,typical predator,preys_on,clams,Light & Smith
yes,346,Tritonia festiva,nudibranch,diamondback,adult,Both,low,micropredator,preys_on,Clavularia sp. (southern California only),"Morris, Abbott, & Haderlie; light & Smith"
,1353,Iphimedia rickettsi,gammarid,NA,adult,NA,all,micropredator,preys_on,coelenterates,Light & Smith
,1354,Cryptodius kelleri,gammarid,NA,adult,NA,all,micropredator,preys_on,coelenterates,Light & Smith
yes,566,Pachygrapsus crassipes,true crab,striped shore crab,adult,Both,high to middle,omnivore,preys_on,Lottia limatula (Collisella limatula),"Morris, Abbott, & Haderlie; Light & Smith"
,418,Octopus bimaculoides,octopus,two-spot octopus,adult,Both,middle to low,typical predator,preys_on,Collisella sp.,"Morris, Abbott, & Haderlie; Light & Smith"
,193,Megathura crenulata,limpet,giant keyhole limpet,adult,Both,low,omnivore,preys_on,colonial ascidians,"Morris, Abbott, & Haderlie"
,337,Acanthodoris nanaimoensis,nudibranch,wine plume dorid,adult,N,low,micropredator,preys_on,colonial ascidians,"Morris, Abbott, & Haderlie"
,357,Hermissenda opalescens,nudibranch,opalescent,adult,Both,low,omnivore,preys_on,colonial ascidians,"Morris, Abbott, & Haderlie; Lindsay, Valdez 2016"
,428,Oxydromus pugettensis,polychaete,NA,adult,Both,low,omnivore,preys_on,commensal: same diet as host,"Morris, Abbott, & Haderlie; Light & Smith"
,192,Fissurellidea bimaculata,limpet,two-spotted keyhole,adult,Both,low,omnivore,preys_on,compound ascidians,"Morris, Abbott, & Haderlie; Light & Smith"
,266,Lamellaria rhombica,snail,NA,adult,Both,low,micropredator,preys_on,compound tunicates,"Morris, Abbott, & Haderlie"
,593,Haplostoma minutum,copepod,NA,adult,Both,NA,parasite,preys_on,compound tunicates (see above),"Morris, Abbott, & Haderlie; Light & Smith"
,594,Haplosaccus elongatus,copepod,NA,adult,Both,NA,parasite,preys_on,compound tunicates (see above),"Morris, Abbott, & Haderlie; Light & Smith"
,595,Haplostomella dubia,copepod,NA,adult,Both,NA,parasite,preys_on,compound tunicates (see above),"Morris, Abbott, & Haderlie; Light & Smith"
,596,Haplostomella distincta,copepod,NA,adult,Both,NA,NA,preys_on,compound tunicates (see above),"Morris, Abbott, & Haderlie"
