resourceNum,resourceName,resourceCat,resourceStage,consumerNum,consumerName,consumerCat,consumerStage,interaction.type,confidence,justification,incl.code,ref_num,localities,zone,pools_exposed_interstitial,MorrisHaderlie,epibiota_consumed,notes,link.ID,parasitic
608,Phyllospadix scouleri,angiosperm,1,1411,Caprella laeviuscula,caprellid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,7936,n
608,Phyllospadix scouleri,angiosperm,1,1412,Caprella natalensis,caprellid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,7945,n
608,Phyllospadix scouleri,angiosperm,1,1413,Caprella penantis,caprellid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,7954,n
608,Phyllospadix scouleri,angiosperm,1,1414,Caprella pilipalma,caprellid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,7963,n
608,Phyllospadix scouleri,angiosperm,1,1415,Caprella verrucosa,caprellid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,7981,n
608,Phyllospadix scouleri,angiosperm,1,1419,Cercops compactus,caprellid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,7990,n
608,Phyllospadix scouleri,angiosperm,1,1417,Tritella laevis,caprellid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,7999,n
608,Phyllospadix scouleri,angiosperm,1,1418,Tritella pilimana,caprellid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,8008,n
608,Phyllospadix scouleri,angiosperm,1,491,Idotea montereyensis,isopod,1,3,NA,6,1,"Morris, Abbott, & Haderlie; Light & Smith",NA,middle to low,both,NA,no,NA,2897,n
608,Phyllospadix scouleri,angiosperm,1,491,Idotea montereyensis,isopod,1,3,4,4,1,"Morris, Abbott, & Haderlie; Light & Smith",NA,all,both,NA,yes,NA,4241,n
608,Phyllospadix scouleri,angiosperm,1,169,Strongylocentrotus franciscanus,urchin,1,1,4,4,1,NA,NA,very low,both,NA,yes,NA,8656,n
608,Phyllospadix scouleri,angiosperm,1,1001,Lophopanopeus bellus digensis,true crab,1,3,3,6,1,293,NA,low,both,NA,yes,NA,4044,n
608,Phyllospadix scouleri,angiosperm,1,429,Nereis grubei,polychaete,1,3,1,3,1,342,NA,all,both,no,yes,NA,10417,n
608,Phyllospadix scouleri,angiosperm,1,557,Lophopanopeus leucomanus leucomanus,true crab,1,3,3,6,1,293,NA,low,both,NA,yes,NA,4036,n
608,Phyllospadix scouleri,angiosperm,1,1252,Idotea ochotensis,isopod,1,3,4,4,1,Light & Smith,NA,all,both,NA,yes,NA,4249,n
608,Phyllospadix scouleri,angiosperm,1,1254,Idotea rufescens,isopod,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,8431,n
608,Phyllospadix scouleri,angiosperm,1,1295,Ampithoe ramondi,gammarid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,8287,n
608,Phyllospadix scouleri,angiosperm,1,1296,Ampithoe sectimanus,gammarid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,8296,n
608,Phyllospadix scouleri,angiosperm,1,1291,Ampithoe dalli,gammarid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,8251,n
608,Phyllospadix scouleri,angiosperm,1,1292,Ampithoe lacertosa,gammarid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,8260,n
608,Phyllospadix scouleri,angiosperm,1,537,Epialtoides hiltoni,true crab,1,1,4,4,1,NA,NA,low,both,NA,yes,NA,8620,n
608,Phyllospadix scouleri,angiosperm,1,556,Cycloxanthops novemdentatus,true crab,1,3,NA,6,1,"Morris, Abbott, & Haderlie",NA,low,both,NA,no,NA,2898,n
608,Phyllospadix scouleri,angiosperm,1,556,Cycloxanthops novemdentatus,true crab,1,3,3,6,1,293,NA,low,pools,NA,yes,NA,4020,n
608,Phyllospadix scouleri,angiosperm,1,1777,Mopalia kennerleyi,chiton,1,1,4,4,1,NA,NA,middle to low,both,NA,yes,NA,8080,n
608,Phyllospadix scouleri,angiosperm,1,1778,Mopalia lionota,chiton,1,1,4,4,1,NA,NA,low,both,NA,yes,NA,8089,n
608,Phyllospadix scouleri,angiosperm,1,1779,Mopalia plumosa,chiton,1,1,4,4,1,NA,NA,low,both,NA,yes,NA,8098,n
608,Phyllospadix scouleri,angiosperm,1,478,Exosphaeroma octoncum,isopod,1,1,4,4,1,NA,NA,low,both,NA,yes,NA,8494,n
608,Phyllospadix scouleri,angiosperm,1,479,Exosphaeroma rhomburum,isopod,1,1,4,4,1,NA,NA,low,both,NA,yes,NA,8503,n
608,Phyllospadix scouleri,angiosperm,1,482,Paracerceis gilliana,isopod,1,3,4,4,1,"Morris, Abbott, & Haderlie",NA,low,pools,NA,yes,NA,4192,n
608,Phyllospadix scouleri,angiosperm,1,1236,Dynamene benedicti,isopod,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,8440,n
608,Phyllospadix scouleri,angiosperm,1,1237,Dynamenella dilatata,isopod,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,8449,n
608,Phyllospadix scouleri,angiosperm,1,1238,Dynamenella glabra,isopod,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,8458,n
608,Phyllospadix scouleri,angiosperm,1,1241,Exosphaeroma inornata,isopod,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,8485,n
608,Phyllospadix scouleri,angiosperm,1,1242,Gnorimosphaeroma noblei,isopod,1,1,4,4,1,NA,NA,high,both,NA,yes,NA,8512,n
608,Phyllospadix scouleri,angiosperm,1,1243,Paradella dianae,isopod,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,8521,n
608,Phyllospadix scouleri,angiosperm,1,1244,Sphaeroma quoianum,isopod,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,8530,n
608,Phyllospadix scouleri,angiosperm,1,1245,Sphaeroma walkeri,isopod,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,8539,n
608,Phyllospadix scouleri,angiosperm,1,1876,Lottia digitalis situs,limpet,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,8566,n
608,Phyllospadix scouleri,angiosperm,1,1290,Ampithoe corallina,gammarid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,8242,n
608,Phyllospadix scouleri,angiosperm,1,1294,Ampithoe pollex,gammarid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,8278,n
608,Phyllospadix scouleri,angiosperm,1,1301,Peramphithoe lindbergi,gammarid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,8305,n
608,Phyllospadix scouleri,angiosperm,1,1303,Peramphithoe plea,gammarid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,8323,n
608,Phyllospadix scouleri,angiosperm,1,1305,Peramphithoe tea,gammarid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,8332,n
608,Phyllospadix scouleri,angiosperm,1,1325,Carinonajna carli,gammarid,1,28,1,3,1,LS,NA,low,pools,no,y,NA,20169,n
608,Phyllospadix scouleri,angiosperm,1,1328,Carinonajna longimana,gammarid,1,28,1,3,1,LS,NA,low,pools,no,y,NA,20174,n
608,Phyllospadix scouleri,angiosperm,1,1332,Apohyale anceps,gammarid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,8341,n
