resourceNum,resourceName,resourceCat,resourceStage,consumerNum,consumerName,consumerCat,consumerStage,interaction.type,ref_num,justification,confidence,incl.code
3,Hypsoblennius gilberti,fish,1,2104,Ceratomyxa gracilis,myxozoan,1,6,74,3,NA,1
3,Hypsoblennius gilberti,fish,1,2152,Ceratomyxa blennius,myxozoan,1,6,205,3,NA,1
3,Hypsoblennius gilberti,fish,1,3017,Larus argentatus,bird,1,1,414,"4, 5",4,1
3,Hypsoblennius gilberti,fish,1,3019,Larus glaucescens,bird,1,1,392,6,2,1
3,Hypsoblennius gilberti,fish,1,3043,Egretta thula,bird,1,1,"393, 393","6, 6",2,1
4,Amphistichus koelzi,fish,1,660,Larus occidentalis,bird,1,1,418,4,4,1
4,Amphistichus koelzi,fish,1,717,Ardea herodias,bird,1,1,379,6,3,2
4,Amphistichus koelzi,fish,1,1125,Bomolochus cuneatus,copepod,1,7,Light & Smith,6,NA,1
4,Amphistichus koelzi,fish,1,1127,Holobomolochus embiotocae,copepod,1,7,Light & Smith,6,NA,1
4,Amphistichus koelzi,fish,1,1171,Colobomatus embiotocae,copepod,1,7,205,3,NA,1
4,Amphistichus koelzi,fish,1,1183,Caligus hobsoni,copepod,1,7,Light & Smith,6,NA,1
4,Amphistichus koelzi,fish,1,1191,Clavella embiotocae,copepod,1,7,Light & Smith,6,NA,1
4,Amphistichus koelzi,fish,1,1192,Clavella parva,copepod,1,7,Light & Smith,6,NA,1
4,Amphistichus koelzi,fish,1,1195,Peniculus fissipes,copepod,1,7,Light & Smith,6,NA,1
4,Amphistichus koelzi,fish,1,1229,Nerocila acuminata,isopod,1,7,425,4,3,1
4,Amphistichus koelzi,fish,1,1264,Gnathia steveni,isopod,3,3,"427, 428",4,4,1
4,Amphistichus koelzi,fish,1,3017,Larus argentatus,bird,1,1,414,"4, 5",4,1
4,Amphistichus koelzi,fish,1,3019,Larus glaucescens,bird,1,1,392,6,2,1
4,Amphistichus koelzi,fish,1,3043,Egretta thula,bird,1,1,"393, 393","6, 6",2,1
5,Amphistichus argenteus,fish,1,660,Larus occidentalis,bird,1,1,418,4,4,1
5,Amphistichus argenteus,fish,1,717,Ardea herodias,bird,1,1,379,6,3,2
5,Amphistichus argenteus,fish,1,1125,Bomolochus cuneatus,copepod,1,7,Light & Smith,6,NA,1
5,Amphistichus argenteus,fish,1,1127,Holobomolochus embiotocae,copepod,1,7,Light & Smith,6,NA,1
5,Amphistichus argenteus,fish,1,1171,Colobomatus embiotocae,copepod,1,7,205,3,NA,1
5,Amphistichus argenteus,fish,1,1183,Caligus hobsoni,copepod,1,7,Light & Smith,6,NA,1
5,Amphistichus argenteus,fish,1,1191,Clavella embiotocae,copepod,1,7,Light & Smith,6,NA,1
5,Amphistichus argenteus,fish,1,1192,Clavella parva,copepod,1,7,Light & Smith,6,NA,1
5,Amphistichus argenteus,fish,1,1195,Peniculus fissipes,copepod,1,7,Light & Smith,6,NA,1
5,Amphistichus argenteus,fish,1,1229,Nerocila acuminata,isopod,1,7,425,3,3,1
5,Amphistichus argenteus,fish,1,1264,Gnathia steveni,isopod,3,3,"427, 428",4,4,1
5,Amphistichus argenteus,fish,1,2117,Helicometrina nimia,trematode,1,6,205,3,NA,1
5,Amphistichus argenteus,fish,1,2122,Helicometrina elongata,trematode,1,6,205,3,NA,1
5,Amphistichus argenteus,fish,1,2124,Genitocotyle acirrus,trematode,1,6,205,3,NA,1
5,Amphistichus argenteus,fish,1,2127,Nerocila californica,isopod,1,7,205,3,NA,1
5,Amphistichus argenteus,fish,1,2157,Telolecithus pugetensis,trematode,1,6,205,3,NA,1
5,Amphistichus argenteus,fish,1,2209,Diplangus triradiatus,trematode,1,6,205,3,NA,1
5,Amphistichus argenteus,fish,1,2212,Encotyllabe embiotocae,monogene,1,7,205,3,NA,1
5,Amphistichus argenteus,fish,1,2239,Lasiotocus sp.,trematode,1,6,205,3,NA,1
5,Amphistichus argenteus,fish,1,2250,Monorchis sp.,trematode,1,6,205,3,NA,1
5,Amphistichus argenteus,fish,1,2269,Pseudopecoelus umbrinae,trematode,1,6,205,3,NA,1
5,Amphistichus argenteus,fish,1,3017,Larus argentatus,bird,1,1,414,"4, 5",4,1
5,Amphistichus argenteus,fish,1,3019,Larus glaucescens,bird,1,1,392,6,2,1
5,Amphistichus argenteus,fish,1,3043,Egretta thula,bird,1,1,"393, 393","6, 6",2,1
6,Micrometrus minimus,fish,1,586,Postmonorchis donacis,trematode,1,6,"48/49, 48, 49, 205","3, 3, 3, 3",NA,1
6,Micrometrus minimus,fish,1,660,Larus occidentalis,bird,1,1,418,4,4,1
6,Micrometrus minimus,fish,1,717,Ardea herodias,bird,1,1,379,6,3,2
6,Micrometrus minimus,fish,1,1125,Bomolochus cuneatus,copepod,1,7,Light & Smith,6,NA,1
6,Micrometrus minimus,fish,1,1127,Holobomolochus embiotocae,copepod,1,7,Light & Smith,6,NA,1
6,Micrometrus minimus,fish,1,1171,Colobomatus embiotocae,copepod,1,7,205,3,NA,1
6,Micrometrus minimus,fish,1,1183,Caligus hobsoni,copepod,1,7,Light & Smith,6,NA,1
6,Micrometrus minimus,fish,1,1191,Clavella embiotocae,copepod,1,7,Light & Smith,6,NA,1
6,Micrometrus minimus,fish,1,1192,Clavella parva,copepod,1,7,Light & Smith,6,NA,1
6,Micrometrus minimus,fish,1,1195,Peniculus fissipes,copepod,1,7,Light & Smith,6,NA,1
6,Micrometrus minimus,fish,1,1227,Elthusa californica,isopod,1,6,Light & Smith,3,NA,1
6,Micrometrus minimus,fish,1,1227,Elthusa californica,isopod,1,7,205,3,NA,1
6,Micrometrus minimus,fish,1,1229,Nerocila acuminata,isopod,1,7,425,3,3,1
6,Micrometrus minimus,fish,1,1264,Gnathia steveni,isopod,3,3,"427, 428",4,4,1
6,Micrometrus minimus,fish,1,2124,Genitocotyle acirrus,trematode,1,6,205,3,1,1
6,Micrometrus minimus,fish,1,2127,Nerocila californica,isopod,1,7,205,3,NA,1
6,Micrometrus minimus,fish,1,2159,Schikhobalotrema girellae,trematode,1,6,205,3,NA,1
6,Micrometrus minimus,fish,1,2165,Neozoogonus californicus,trematode,1,6,205,3,NA,1
6,Micrometrus minimus,fish,1,3017,Larus argentatus,bird,1,1,414,"4, 5",4,1
6,Micrometrus minimus,fish,1,3019,Larus glaucescens,bird,1,1,392,6,2,1
6,Micrometrus minimus,fish,1,3043,Egretta thula,bird,1,1,"393, 393","6, 6",2,1
6,Micrometrus minimus,fish,1,3048,Nannopterum auritum,bird,1,1,415,6,1,1
8,Atherinops affinis,fish,1,9,Triakis semifasciata,shark,1,1,"101, 121","3, 3",NA,1
8,Atherinops affinis,fish,1,12,Girella nigricans,fish,4,22,139,3,NA,1
8,Atherinops affinis,fish,1,660,Larus occidentalis,bird,1,1,418,3,1,1
8,Atherinops affinis,fish,1,717,Ardea herodias,bird,1,1,378,3,2,2
8,Atherinops affinis,fish,1,1124,Bomolochus constrictus,copepod,1,6,Light & Smith,3,NA,1
8,Atherinops affinis,fish,1,1124,Bomolochus constrictus,copepod,1,7,205,3,NA,1
8,Atherinops affinis,fish,1,1195,Peniculus fissipes,copepod,1,7,"205, Light & Smith","3, 3",NA,1
8,Atherinops affinis,fish,1,1227,Elthusa californica,isopod,1,6,Light & Smith,3,NA,1
8,Atherinops affinis,fish,1,1229,Nerocila acuminata,isopod,1,7,425,3,3,1
8,Atherinops affinis,fish,1,1264,Gnathia steveni,isopod,3,3,"427, 428",4,4,1
8,Atherinops affinis,fish,1,2123,Contracaecum sp.,nematode,5,6,205,3,NA,1
8,Atherinops affinis,fish,1,2127,Nerocila californica,isopod,1,7,205,3,NA,1
8,Atherinops affinis,fish,1,2134,Sterna elegans,bird,1,1,400,3,1,1
8,Atherinops affinis,fish,1,2136,Procamallanus (Spirocamallanus) pereirai,nematode,1,6,205,3,NA,1
8,Atherinops affinis,fish,1,2155,Trichodina sp.,ciliate,1,7,205,3,NA,1
8,Atherinops affinis,fish,1,2173,Ergasilus sp.,copepod,1,7,205,3,NA,1
8,Atherinops affinis,fish,1,2189,Caligus serratus,copepod,1,7,205,3,NA,1
8,Atherinops affinis,fish,1,2199,Galactosomum humbargari,trematode,5,6,205,3,1,1
8,Atherinops affinis,fish,1,2219,Gyrodactylus sp.,monogene,1,7,205,3,NA,1
8,Atherinops affinis,fish,1,2363,Archigyrodactylus atherinops,monogene,1,7,205,3,1,1
8,Atherinops affinis,fish,1,2364,Ascotyle angrensis,trematode,5,6,205,3,1,1
8,Atherinops affinis,fish,1,3008,Canis latrans,terrestrial mammal,1,1,374,1,1,1
8,Atherinops affinis,fish,1,3017,Larus argentatus,bird,1,1,414,"4, 5",4,1
8,Atherinops affinis,fish,1,3019,Larus glaucescens,bird,1,1,392,6,2,1
8,Atherinops affinis,fish,1,3042,Ardea alba,bird,1,1,"378, 378","3, 3",1,1
8,Atherinops affinis,fish,1,3043,Egretta thula,bird,1,1,"378, 378, 393, 393","3, 3, 6, 6",2,1
8,Atherinops affinis,fish,1,3047,Urile penicillatus,bird,1,1,415,3,1,1
8,Atherinops affinis,fish,1,3048,Nannopterum auritum,bird,1,1,415,3,1,1
9,Triakis semifasciata,shark,1,1264,Gnathia steveni,isopod,3,3,"427, 428",4,4,1
10,Hypsoblennius jenkinsi,fish,1,660,Larus occidentalis,bird,1,1,418,4,4,1
10,Hypsoblennius jenkinsi,fish,1,1264,Gnathia steveni,isopod,3,3,"427, 428",4,4,1
10,Hypsoblennius jenkinsi,fish,1,3017,Larus argentatus,bird,1,1,414,"4, 5",4,1
10,Hypsoblennius jenkinsi,fish,1,3019,Larus glaucescens,bird,1,1,392,6,2,1
10,Hypsoblennius jenkinsi,fish,1,3043,Egretta thula,bird,1,1,"393, 393","6, 6",2,1
11,Artedius fenestralis,fish,1,420,Enteroctopus dofleini,octopus,4,1,"Morris, Abbott, & Haderlie",6,3,1
11,Artedius fenestralis,fish,1,660,Larus occidentalis,bird,1,1,418,4,4,1
11,Artedius fenestralis,fish,1,717,Ardea herodias,bird,1,1,379,6,3,2
11,Artedius fenestralis,fish,1,1129,Holobomolochus spinulus,copepod,1,7,Light & Smith,6,NA,1
11,Artedius fenestralis,fish,1,1192,Clavella parva,copepod,1,7,Light & Smith,6,NA,1
11,Artedius fenestralis,fish,1,1193,Naobranchia occidentalis,copepod,1,7,Light & Smith,6,NA,1
11,Artedius fenestralis,fish,1,1264,Gnathia steveni,isopod,3,3,"427, 428",4,4,1
11,Artedius fenestralis,fish,1,1745,Enteroctopus dofleini,octopus,1,1,"Morris, Abbott, & Haderlie",6,3,1
11,Artedius fenestralis,fish,1,2112,Genolinea laticauda,trematode,1,6,205,3,NA,1
11,Artedius fenestralis,fish,1,2156,Trichodina lairdi,ciliate,1,7,205,3,NA,1
11,Artedius fenestralis,fish,1,2221,Haemogregarina bigemina,protozoan,6,6,205,3,NA,1
11,Artedius fenestralis,fish,1,2283,Trichodina rectuncinata,ciliate,1,7,205,3,NA,1
11,Artedius fenestralis,fish,1,2284,Trichodina vancouverense,ciliate,1,7,205,3,NA,1
11,Artedius fenestralis,fish,1,3017,Larus argentatus,bird,1,1,414,"4, 5",4,1
11,Artedius fenestralis,fish,1,3019,Larus glaucescens,bird,1,1,392,6,2,1
11,Artedius fenestralis,fish,1,3031,Tringa melanoleuca,bird,1,1,409,5,3,2
11,Artedius fenestralis,fish,1,3043,Egretta thula,bird,1,1,"393, 393","6, 6",2,1
12,Girella nigricans,fish,4,660,Larus occidentalis,bird,1,1,418,4,4,1
12,Girella nigricans,fish,4,732,Kyphosus azureus,fish,4,1,139,3,NA,1
12,Girella nigricans,fish,4,1183,Caligus hobsoni,copepod,1,7,205,3,NA,1
12,Girella nigricans,fish,4,1195,Peniculus fissipes,copepod,1,7,205,3,NA,1
12,Girella nigricans,fish,4,1264,Gnathia steveni,isopod,3,3,"427, 428",4,4,1
12,Girella nigricans,fish,4,2136,Procamallanus (Spirocamallanus) pereirai,nematode,1,6,205,3,NA,1
12,Girella nigricans,fish,4,2146,Opecoelus adsphaericus,trematode,1,6,205,3,NA,1
12,Girella nigricans,fish,4,2159,Schikhobalotrema girellae,trematode,1,6,205,3,NA,1
12,Girella nigricans,fish,4,2164,Opecoelus cameroni,trematode,1,6,205,3,NA,1
12,Girella nigricans,fish,4,2166,Neobenedenia girellae,monogene,1,7,"205, 205","3, 3",NA,1
12,Girella nigricans,fish,4,2174,Cryptocaryon irritans,ciliate,1,6,205,3,NA,1
12,Girella nigricans,fish,4,2255,Prodistomum orientale,trematode,1,6,205,3,NA,1
12,Girella nigricans,fish,4,2259,Opisthadena cheni,trematode,1,6,205,3,NA,1
12,Girella nigricans,fish,4,2262,Parafilaroides decorus,nematode,5,6,205,3,NA,1
12,Girella nigricans,fish,4,2289,Vitellibaculum girellae,trematode,1,6,205,3,NA,1
12,Girella nigricans,fish,4,2290,Vitellibaculum girellicola,trematode,1,6,205,3,NA,1
12,Girella nigricans,fish,4,3017,Larus argentatus,bird,1,1,414,"4, 5",4,1
12,Girella nigricans,fish,4,3019,Larus glaucescens,bird,1,1,392,6,2,1
12,Girella nigricans,fish,4,3043,Egretta thula,bird,1,1,"393, 393","6, 6",2,1
12,Girella nigricans,fish,4,3047,Urile penicillatus,bird,1,1,415,3,1,1
14,Leptocottus armatus,fish,1,9,Triakis semifasciata,shark,1,1,"101, 122","3, 3",NA,1
14,Leptocottus armatus,fish,1,420,Enteroctopus dofleini,octopus,4,1,"Morris, Abbott, & Haderlie",6,3,1
14,Leptocottus armatus,fish,1,660,Larus occidentalis,bird,1,1,418,4,4,1
14,Leptocottus armatus,fish,1,717,Ardea herodias,bird,1,1,"378, 379","3, 3",2,2
14,Leptocottus armatus,fish,1,762,Podocotyle reflexa,trematode,1,6,"205, 205, 205","3, 3, 3",NA,1
14,Leptocottus armatus,fish,1,1128,Holobomolochus prolixus,copepod,1,6,Light & Smith,3,NA,1
14,Leptocottus armatus,fish,1,1128,Holobomolochus prolixus,copepod,1,7,205,3,NA,1
14,Leptocottus armatus,fish,1,1129,Holobomolochus spinulus,copepod,1,7,"205, Light & Smith","3, 6",NA,1
14,Leptocottus armatus,fish,1,1192,Clavella parva,copepod,1,7,Light & Smith,6,NA,1
14,Leptocottus armatus,fish,1,1193,Naobranchia occidentalis,copepod,1,7,Light & Smith,6,NA,1
14,Leptocottus armatus,fish,1,1228,Elthusa vulgaris,isopod,1,7,205,3,1,1
14,Leptocottus armatus,fish,1,1264,Gnathia steveni,isopod,3,3,"427, 428",4,4,1
14,Leptocottus armatus,fish,1,1745,Enteroctopus dofleini,octopus,1,1,"Morris, Abbott, & Haderlie",6,3,1
14,Leptocottus armatus,fish,1,2112,Genolinea laticauda,trematode,1,6,"205, 205, 205","3, 3, 3",NA,1
14,Leptocottus armatus,fish,1,2113,Podocotyle californica,trematode,1,6,205,3,NA,1
14,Leptocottus armatus,fish,1,2114,Tubulovesicula lindbergi,trematode,1,6,"205, 205, 205, 205, 205","3, 3, 3, 3, 3",NA,1
14,Leptocottus armatus,fish,1,2115,Lecithaster gibbosus,trematode,1,6,205,3,NA,1
14,Leptocottus armatus,fish,1,2117,Helicometrina nimia,trematode,1,6,205,3,NA,1
14,Leptocottus armatus,fish,1,2118,Bothriocephalus scorpii,cestode,1,6,205,3,NA,1
14,Leptocottus armatus,fish,1,2119,Anisakis sp.,nematode,5,6,205,3,NA,1
14,Leptocottus armatus,fish,1,2120,Podocotyle sp.,trematode,1,6,205,3,NA,1
14,Leptocottus armatus,fish,1,2121,Podocotyle enophrysi,trematode,1,6,205,3,NA,1
14,Leptocottus armatus,fish,1,2123,Contracaecum sp.,nematode,5,6,205,3,NA,1
14,Leptocottus armatus,fish,1,2125,Podocotyle sinusacca,trematode,1,6,"205, 205","3, 3",NA,1
14,Leptocottus armatus,fish,1,2126,Podocotyle atomon,trematode,1,6,205,3,NA,1
14,Leptocottus armatus,fish,1,2131,Derogenes varicus,trematode,1,6,205,3,NA,1
14,Leptocottus armatus,fish,1,2133,Hysterothylacium aduncum,nematode,1,6,205,3,NA,1
14,Leptocottus armatus,fish,1,2136,Procamallanus (Spirocamallanus) pereirai,nematode,1,6,205,3,NA,1
14,Leptocottus armatus,fish,1,2149,Echinorhynchus gadi,acanthocephalan,1,6,205,3,NA,1
14,Leptocottus armatus,fish,1,2150,Corynosoma sp.,acanthocephalan,4,6,205,3,NA,1
14,Leptocottus armatus,fish,1,2151,Corynosoma sp.,acanthocephalan,1,6,205,3,NA,1
14,Leptocottus armatus,fish,1,2155,Trichodina sp.,ciliate,1,7,205,3,NA,1
14,Leptocottus armatus,fish,1,2166,Neobenedenia girellae,monogene,1,7,205,3,NA,1
14,Leptocottus armatus,fish,1,2172,Genolinea anura,trematode,1,6,205,3,NA,1
14,Leptocottus armatus,fish,1,2173,Ergasilus sp.,copepod,1,7,205,3,NA,1
14,Leptocottus armatus,fish,1,2175,Corynosoma strumosum,acanthocephalan,1,6,205,3,NA,1
14,Leptocottus armatus,fish,1,2176,Corynosoma strumosum,acanthocephalan,3,6,205,3,NA,1
14,Leptocottus armatus,fish,1,2188,Bothriocephalus occidentalis,cestode,1,6,205,3,NA,1
14,Leptocottus armatus,fish,1,2193,Ceratomyxa crassa,myxozoan,1,6,205,3,NA,1
14,Leptocottus armatus,fish,1,2197,Ceratomyxa tenuis,myxozoan,1,6,205,3,NA,1
14,Leptocottus armatus,fish,1,2216,Gyrodactylus armatus,monogene,1,7,205,3,NA,1
14,Leptocottus armatus,fish,1,2218,Gyrodactylus sculpinus,monogene,1,7,205,3,NA,1
14,Leptocottus armatus,fish,1,2219,Gyrodactylus sp.,monogene,1,6,205,3,1,1
14,Leptocottus armatus,fish,1,2242,Lepeophtheirus cuneifer,copepod,1,7,205,3,NA,1
14,Leptocottus armatus,fish,1,2266,Prosorhynchoides ozakii,trematode,1,6,205,3,NA,1
14,Leptocottus armatus,fish,1,2272,Rhipidocotyle elongata,trematode,1,6,205,3,NA,1
14,Leptocottus armatus,fish,1,2275,Scyphidia sp.,ciliate,1,7,205,3,NA,1
14,Leptocottus armatus,fish,1,2280,Stephanostomum sp.,trematode,1,6,205,3,NA,1
14,Leptocottus armatus,fish,1,2286,Tubulovesicula sp.,trematode,1,7,147,3,NA,1
14,Leptocottus armatus,fish,1,2356,Acanthochondria rectangularis,copepod,1,7,205,3,1,1
14,Leptocottus armatus,fish,1,2357,Pterobdella abditovesiculata,leech,1,7,205,3,1,1
14,Leptocottus armatus,fish,1,2359,Ambiphrya sp.,ciliate,1,7,205,3,1,1
14,Leptocottus armatus,fish,1,2369,Genolinea manteri,trematode,1,6,205,3,1,1
14,Leptocottus armatus,fish,1,3017,Larus argentatus,bird,1,1,414,"4, 5",4,1
14,Leptocottus armatus,fish,1,3019,Larus glaucescens,bird,1,1,392,6,2,1
14,Leptocottus armatus,fish,1,3031,Tringa melanoleuca,bird,1,1,409,5,2,2
14,Leptocottus armatus,fish,1,3042,Ardea alba,bird,1,1,"378, 378","3, 3",1,1
14,Leptocottus armatus,fish,1,3043,Egretta thula,bird,1,1,"393, 393","6, 6",2,1
14,Leptocottus armatus,fish,1,3047,Urile penicillatus,bird,1,1,415,3,1,1
14,Leptocottus armatus,fish,1,3048,Nannopterum auritum,bird,1,1,"414, 415","3, 3",1,1
15,Clinocottus analis,fish,1,420,Enteroctopus dofleini,octopus,4,1,"Morris, Abbott, & Haderlie",6,3,1
15,Clinocottus analis,fish,1,660,Larus occidentalis,bird,1,1,418,4,4,1
15,Clinocottus analis,fish,1,717,Ardea herodias,bird,1,1,379,6,3,2
15,Clinocottus analis,fish,1,737,Ascarophis morronei,nematode,1,6,73,3,NA,1
15,Clinocottus analis,fish,1,1129,Holobomolochus spinulus,copepod,1,7,Light & Smith,6,NA,1
15,Clinocottus analis,fish,1,1192,Clavella parva,copepod,1,7,Light & Smith,6,NA,1
15,Clinocottus analis,fish,1,1193,Naobranchia occidentalis,copepod,1,7,Light & Smith,6,NA,1
15,Clinocottus analis,fish,1,1264,Gnathia steveni,isopod,3,3,"427, 428",4,4,1
15,Clinocottus analis,fish,1,1544,Heptacyclus buthi,leech,1,6,Light & Smith,3,NA,1
15,Clinocottus analis,fish,1,1745,Enteroctopus dofleini,octopus,1,1,"Morris, Abbott, & Haderlie",6,3,1
15,Clinocottus analis,fish,1,2104,Ceratomyxa gracilis,myxozoan,1,6,74,3,NA,1
15,Clinocottus analis,fish,1,2105,Trichodina jadranica,ciliate,1,6,76,3,NA,1
15,Clinocottus analis,fish,1,2112,Genolinea laticauda,trematode,1,6,205,3,NA,1
15,Clinocottus analis,fish,1,2113,Podocotyle californica,trematode,1,6,205,3,NA,1
15,Clinocottus analis,fish,1,2117,Helicometrina nimia,trematode,1,6,205,3,NA,1
15,Clinocottus analis,fish,1,2120,Podocotyle sp.,trematode,1,6,205,3,1,1
15,Clinocottus analis,fish,1,2122,Helicometrina elongata,trematode,1,6,205,3,NA,1
15,Clinocottus analis,fish,1,2146,Opecoelus adsphaericus,trematode,1,6,"205, 205","3, 3",NA,1
15,Clinocottus analis,fish,1,2164,Opecoelus cameroni,trematode,1,6,205,3,NA,1
15,Clinocottus analis,fish,1,2172,Genolinea anura,trematode,1,6,205,3,NA,1
15,Clinocottus analis,fish,1,2195,Ceratomyxa obesa,myxozoan,1,6,205,3,NA,1
15,Clinocottus analis,fish,1,3017,Larus argentatus,bird,1,1,414,"4, 5",4,1
15,Clinocottus analis,fish,1,3019,Larus glaucescens,bird,1,1,392,6,2,1
15,Clinocottus analis,fish,1,3031,Tringa melanoleuca,bird,1,1,409,5,2,2
15,Clinocottus analis,fish,1,3043,Egretta thula,bird,1,1,"393, 393","6, 6",2,1
16,Oligocottus maculosus,fish,1,420,Enteroctopus dofleini,octopus,4,1,"Morris, Abbott, & Haderlie",6,3,1
16,Oligocottus maculosus,fish,1,660,Larus occidentalis,bird,1,1,418,4,4,1
16,Oligocottus maculosus,fish,1,715,Gyrodactylus maculosi,monogene,1,7,"84, 84","3, 3",NA,1
16,Oligocottus maculosus,fish,1,717,Ardea herodias,bird,1,1,"87, 87, 379","3, 3, 6",NA,1
16,Oligocottus maculosus,fish,1,721,Haemobaphes intermedius,copepod,1,6,86,3,NA,1
16,Oligocottus maculosus,fish,1,721,Haemobaphes intermedius,copepod,1,7,"86, 205","3, 3",NA,1
16,Oligocottus maculosus,fish,1,1129,Holobomolochus spinulus,copepod,1,7,"205, Light & Smith","3, 6",NA,1
16,Oligocottus maculosus,fish,1,1192,Clavella parva,copepod,1,7,Light & Smith,6,NA,1
16,Oligocottus maculosus,fish,1,1193,Naobranchia occidentalis,copepod,1,7,Light & Smith,6,NA,1
16,Oligocottus maculosus,fish,1,1264,Gnathia steveni,isopod,3,3,"427, 428",4,4,1
16,Oligocottus maculosus,fish,1,1745,Enteroctopus dofleini,octopus,1,1,"Morris, Abbott, & Haderlie",6,3,1
16,Oligocottus maculosus,fish,1,2109,Pseudodelphis oligocotti,fish,1,6,"85, 85","3, 3",NA,1
16,Oligocottus maculosus,fish,1,2112,Genolinea laticauda,trematode,1,6,205,3,NA,1
16,Oligocottus maculosus,fish,1,2113,Podocotyle californica,trematode,1,6,"205, 205","3, 3",NA,1
16,Oligocottus maculosus,fish,1,2114,Tubulovesicula lindbergi,trematode,1,6,205,3,NA,1
16,Oligocottus maculosus,fish,1,2115,Lecithaster gibbosus,trematode,1,6,"205, 205","3, 3",NA,1
16,Oligocottus maculosus,fish,1,2119,Anisakis sp.,nematode,5,6,205,3,NA,1
16,Oligocottus maculosus,fish,1,2123,Contracaecum sp.,nematode,5,6,205,3,NA,1
16,Oligocottus maculosus,fish,1,2156,Trichodina lairdi,ciliate,1,7,205,3,NA,1
16,Oligocottus maculosus,fish,1,2170,Haemobaphes sp.,copepod,1,7,205,3,NA,1
