id.x,species,category,common_name,life_stage,n_s_both,zone,trophic_strategy,interaction_type,resourceName,source,resourceNum,resource_alt,r_zone,resourceCat,resourceStage,r_nsboth
203,Lottia limatula,true limpet,file limpet,adult,Both,middle to low,grazer,preys_on,Hildenbrandia sp.,"Morris, Abbott, & Haderlie; Light & Smith",653,NA,NA,algae,adult,NA
213,Discurria insessa,true limpet,seaweed limpet,adult,Both,low,grazer,parasitic_on,Egregia menziesii,"Morris, Abbott, & Haderlie; Light & Smith",617,NA,NA,algae,adult,NA
213,Discurria insessa,true limpet,seaweed limpet,adult,Both,low,grazer,preys_on,Egregia menziesii,"Morris, Abbott, & Haderlie; Light & Smith",617,NA,NA,algae,adult,NA
226,Haliotis fulgens,abalone,green abalone,adult,S,low,grazer,preys_on,Gelidium sp.,"Morris, Abbott, & Haderlie; Light & Smith",655,NA,NA,algae,adult,NA
226,Haliotis fulgens,abalone,green abalone,adult,S,low,grazer,preys_on,Macrocystis pyrifera,"Morris, Abbott, & Haderlie; Light & Smith",587,NA,low to very low,algae,adult,Both
230,Calliostoma annulatum,topsnail,purple ringed topsnail,adult,Both,low,omnivore,preys_on,Corynactis californica,"Morris, Abbott, & Haderlie; Light & Smith",109,NA,low,anemone,adult,Both
231,Calliostoma canaliculatum,topsnail,channeled topsnail,adult,Both,very low,omnivore,preys_on,Macrocystis pyrifera,"Morris, Abbott, & Haderlie; Light & Smith",587,NA,low to very low,algae,adult,Both
232,Calliostoma ligatum,topsnail,blue topsnail,adult,Both,low,omnivore,preys_on,Macrocystis pyrifera,"Morris, Abbott, & Haderlie; Light & Smith",587,NA,low to very low,algae,adult,Both
232,Calliostoma ligatum,topsnail,blue topsnail,adult,Both,low,omnivore,preys_on,Cystodytes lobatus,"Morris, Abbott, & Haderlie; Light & Smith",185,NA,very low,tunicate,adult,Both
235,Norrisia norrisii,topsnail,Norris topsnail,adult,S,low,grazer,preys_on,Macrocystis pyrifera,"Morris, Abbott, & Haderlie; Light & Smith",587,NA,low to very low,algae,adult,Both
235,Norrisia norrisii,topsnail,Norris topsnail,adult,S,low,grazer,preys_on,Egregia menziesii,"Morris, Abbott, & Haderlie; Light & Smith",617,NA,NA,algae,adult,NA
235,Norrisia norrisii,topsnail,Norris topsnail,adult,S,low,grazer,preys_on,Laminaria sp.,"Morris, Abbott, & Haderlie; Light & Smith",624,NA,NA,algae,adult,both
236,Tegula brunnea,topsnail,brown turban snail,adult,Both,low,grazer,preys_on,Macrocystis pyrifera,"Morris, Abbott, & Haderlie; light & Smith",587,NA,low to very low,algae,adult,Both
236,Tegula brunnea,topsnail,brown turban snail,adult,Both,low,grazer,preys_on,Laminaria sp.,"Morris, Abbott, & Haderlie; light & Smith",624,NA,NA,algae,adult,both
242,Promartynia pulligo,topsnail,dusky turban snail,adult,Both,low,grazer,preys_on,Pterygophora californica,"Morris, Abbott, & Haderlie; Light & Smith",648,NA,NA,algae,adult,NA
246,Lacuna marmorata,littorine,chink snail,adult,Both,low,grazer,preys_on,epiphytic diatoms,"Morris, Abbott, & Haderlie; Light & Smith",602,"""diatom scuz"" per Armand",NA,algae,NA,NA
248,Littorina scutulata,littorine,checkered periwinkle,adult,Both,high to middle,grazer,preys_on,Ulva sp.,"Morris, Abbott, & Haderlie; Light & Smith",601,Enteromorpha,all,algae,adult,Both
253,Epitonium tinctum,snail,tinted wentletrap,adult,Both,high,micropredator,preys_on,Anthopleura elegantissima,"Morris, Abbott, & Haderlie; Light & Smith",101,NA,NA,anemone,adult,Both
254,Opalia wroblewskyi,snail,Chace's wentletrap,adult,Both,high,micropredator,preys_on,Anthopleura elegantissima,"Morris, Abbott, & Haderlie; Light & Smith",101,NA,NA,anemone,adult,Both
255,Opalia funiculata,snail,NA,adult,Both,NA,micropredator,preys_on,Anthopleura elegantissima,iNaturalist: https://www.inaturalist.org/observations?user_id=cbates1,101,NA,NA,anemone,adult,Both
265,Marsenina stearnsii,snail,NA,adult,N,low,micropredator,preys_on,Trididemnum opacum,"Morris, Abbott, & Haderlie; Light & Smith",180,NA,low,tunicate,adult,Both
270,Trivia californiana,snail,California trivia,adult,NA,low,micropredator,preys_on,Membranipora membranacea,Light & Smith,820,NA,all,bryozoan,adult,Both
278,Paciocinebrina lurida,snail,lurid rock snail,adult,Both,low,typical predator,preys_on,Balanus glandula,"Morris, Abbott, & Haderlie",463,NA,high to middle,barnacle,adult,Both
278,Paciocinebrina lurida,snail,lurid rock snail,adult,Both,low,typical predator,preys_on,Balanus glandula,"Morris, Abbott, & Haderlie",464,NA,high to middle,barnacle,juvenile,Both
279,Roperia poulsoni,murex,Poulson's rock snail,adult,S,low tidepools,typical predator,preys_on,Mytilus californianus,"Morris, Abbott, & Haderlie",366,NA,high to middle,mussel,adult,Both
279,Roperia poulsoni,murex,Poulson's rock snail,adult,S,low tidepools,typical predator,preys_on,Mytilus edulis,"Morris, Abbott, & Haderlie",367,NA,low,mussel,adult,Both
279,Roperia poulsoni,murex,Poulson's rock snail,adult,S,low tidepools,typical predator,preys_on,Penitella penita,"Morris, Abbott, & Haderlie",390,NA,middle to low,boring clam,adult,Both
281,Acanthinucella punctulata,snail,spotted unicorn,adult,Both,high,typical predator,preys_on,Balanus glandula,"Morris, Abbott, & Haderlie; Light & Smith",463,NA,high to middle,barnacle,adult,Both
281,Acanthinucella punctulata,snail,spotted unicorn,adult,Both,high,typical predator,preys_on,Balanus glandula,"Morris, Abbott, & Haderlie; Light & Smith",464,NA,high to middle,barnacle,juvenile,Both
281,Acanthinucella punctulata,snail,spotted unicorn,adult,Both,high,typical predator,preys_on,Littorina scutulata,"Morris, Abbott, & Haderlie; Light & Smith",248,NA,high to middle,littorine,adult,Both
281,Acanthinucella punctulata,snail,spotted unicorn,adult,Both,high,typical predator,preys_on,Nucella emarginata,"Morris, Abbott, & Haderlie; Light & Smith",284,Thais emarginata,high to middle,snail,adult,Both
281,Acanthinucella punctulata,snail,spotted unicorn,adult,Both,high,typical predator,preys_on,Tegula funebralis,"Morris, Abbott, & Haderlie; Light & Smith",237,Cholorostoma,middle,topsnail,adult,Both
283,Nucella canaliculata,snail,channeled dogwinkle,adult,N,middle,typical predator,preys_on,Mytilus californianus,"Morris, Abbott, & Haderlie; Light & Smith",366,NA,high to middle,mussel,adult,Both
283,Nucella canaliculata,snail,channeled dogwinkle,adult,N,middle,typical predator,preys_on,Mytilus edulis,"Morris, Abbott, & Haderlie; Light & Smith",367,NA,low,mussel,adult,Both
283,Nucella canaliculata,snail,channeled dogwinkle,adult,N,middle,typical predator,preys_on,Semibalanus cariosus,"Morris, Abbott, & Haderlie; Light & Smith",462,NA,low,barnacle,adult,N
284,Nucella emarginata,snail,emarginate dogwinkle,adult,Both,high to middle,typical predator,preys_on,Mytilus californianus,"Morris, Abbott, & Haderlie; Light & Smith",366,NA,high to middle,mussel,adult,Both
284,Nucella emarginata,snail,emarginate dogwinkle,adult,Both,high to middle,typical predator,preys_on,Mytilus edulis,"Morris, Abbott, & Haderlie; Light & Smith",367,NA,low,mussel,adult,Both
284,Nucella emarginata,snail,emarginate dogwinkle,adult,Both,high to middle,typical predator,preys_on,Balanus glandula,"Morris, Abbott, & Haderlie; Light & Smith",463,NA,high to middle,barnacle,adult,Both
284,Nucella emarginata,snail,emarginate dogwinkle,adult,Both,high to middle,typical predator,preys_on,Balanus glandula,"Morris, Abbott, & Haderlie; Light & Smith",464,NA,high to middle,barnacle,juvenile,Both
284,Nucella emarginata,snail,emarginate dogwinkle,adult,Both,high to middle,typical predator,preys_on,Pollicipes polymerus,"Morris, Abbott, & Haderlie; Light & Smith",455,Mitella polymerus,middle,barnacle,adult,Both
284,Nucella emarginata,snail,emarginate dogwinkle,adult,Both,high to middle,typical predator,preys_on,Lottia scabra,"Morris, Abbott, & Haderlie; Light & Smith",210,Acmea scabra,high,true limpet,adult,Both
284,Nucella emarginata,snail,emarginate dogwinkle,adult,Both,high to middle,typical predator,preys_on,Lottia limatula,"Morris, Abbott, & Haderlie; Light & Smith",203,NA,middle to low,true limpet,adult,Both
284,Nucella emarginata,snail,emarginate dogwinkle,adult,Both,high to middle,typical predator,preys_on,Tegula funebralis,"Morris, Abbott, & Haderlie; Light & Smith",237,Cholorostoma,middle,topsnail,adult,Both
286,Lirabuccinum dirum,whelk,dire whelk,adult,Both,middle,typical predator,preys_on,Littorina scutulata,"Morris, Abbott, & Haderlie; Light & Smith",248,NA,high to middle,littorine,adult,Both
286,Lirabuccinum dirum,whelk,dire whelk,adult,Both,middle,typical predator,preys_on,Lottia pelta,"Morris, Abbott, & Haderlie; Light & Smith",208,NA,middle to low,true limpet,adult,Both
286,Lirabuccinum dirum,whelk,dire whelk,adult,Both,middle,typical predator,preys_on,Lottia digitalis,"Morris, Abbott, & Haderlie; Light & Smith",199,NA,high,true limpet,adult,Both
286,Lirabuccinum dirum,whelk,dire whelk,adult,Both,middle,typical predator,preys_on,Margarites pupillus,"Morris, Abbott, & Haderlie; Light & Smith",234,NA,low,topsnail,adult,Both
286,Lirabuccinum dirum,whelk,dire whelk,adult,Both,middle,typical predator,preys_on,Katharina tunicata,"Morris, Abbott, & Haderlie; Light & Smith",416,NA,middle to low,chiton,adult,N
286,Lirabuccinum dirum,whelk,dire whelk,adult,Both,middle,typical predator,preys_on,Balanus glandula,"Morris, Abbott, & Haderlie; Light & Smith",463,NA,high to middle,barnacle,adult,Both
286,Lirabuccinum dirum,whelk,dire whelk,adult,Both,middle,typical predator,preys_on,Balanus glandula,"Morris, Abbott, & Haderlie; Light & Smith",464,NA,high to middle,barnacle,juvenile,Both
294,Callianax baetica,snail,purple olive,adult,Both,low,scavenger,preys_on,Macrocystis pyrifera,"Morris, Abbott, & Haderlie",587,NA,low to very low,algae,adult,Both
294,Callianax baetica,snail,purple olive,adult,Both,low,scavenger,preys_on,Tegula funebralis,"Morris, Abbott, & Haderlie",237,Cholorostoma,middle,topsnail,adult,Both
294,Callianax baetica,snail,purple olive,adult,Both,low,scavenger,preys_on,Mytilus californianus,"Morris, Abbott, & Haderlie",366,NA,high to middle,mussel,adult,Both
295,Atrimitra idae,snail,Ida's miter,adult,Both,low,typical predator,preys_on,Phascolosoma agassizii,"Morris, Abbott, & Haderlie",448,NA,middle to low,sipunculid,adult,Both
299,Navanax inermis,nudibranch,Navanax,adult,Both,low,typical predator,preys_on,Navanax inermis,"Morris, Abbott, & Haderlie",299,NA,low,nudibranch,adult,Both
300,Aplysia californica,sea hare,California brown sea hare,adult,Both,low,grazer,preys_on,Zostera sp.,"Morris, Abbott, & Haderlie",2291,NA,low,angiosperm,adult,NA
301,Aplysia vaccaria,sea hare,California black sea hare,adult,Both,low,grazer,preys_on,Egregia menziesii,"Morris, Abbott, & Haderlie",617,NA,NA,algae,adult,NA
311,Cadlina flavomaculata,nudibranch,yellow spotted cadlina,adult,both,low tidepools,micropredator,preys_on,Aplysilla glacialis,"Morris, Abbott, & Haderlie; Light & Smith",63,NA,NA,sponge,adult,Both
312,Cadlina luteomarginata,nudibranch,yellow edged cadlina,adult,Both,low,micropredator,preys_on,Halichondria panicea,"Morris, Abbott, & Haderlie; Light & Smith",69,NA,NA,sponge,adult,Both
312,Cadlina luteomarginata,nudibranch,yellow edged cadlina,adult,Both,low,micropredator,preys_on,Myxilla incrustans,"Morris, Abbott, & Haderlie; Light & Smith",38,NA,low,sponge,adult,Central
312,Cadlina luteomarginata,nudibranch,yellow edged cadlina,adult,Both,low,micropredator,preys_on,Higginsia sp.,"Morris, Abbott, & Haderlie; Light & Smith",71,NA,NA,sponge,adult,N
312,Cadlina luteomarginata,nudibranch,yellow edged cadlina,adult,Both,low,micropredator,preys_on,Aplysilla glacialis,"Morris, Abbott, & Haderlie; Light & Smith",63,NA,NA,sponge,adult,Both
313,Cadlina modesta,nudibranch,modest cadlina,adult,Both,low,micropredator,preys_on,Aplysilla glacialis,"Morris, Abbott, & Haderlie; Light & Smith",63,NA,NA,sponge,adult,Both
313,Cadlina modesta,nudibranch,modest cadlina,adult,Both,low,micropredator,preys_on,Halisarca sp.,"Morris, Abbott, & Haderlie; Light & Smith",58,NA,middle to low,sponge,adult,Central
314,Cadlina sparsa,nudibranch,dark spotted cadlina,adult,Both,low,micropredator,preys_on,Aplysilla glacialis,"Morris, Abbott, & Haderlie; Light & Smith",63,NA,NA,sponge,adult,Both
317,Felimare californiensis,nudibranch,"blue, gold nudibranch",adult,Both,low,micropredator,preys_on,Haliclona sp.,"Morris, Abbott, & Haderlie",70,Prianos sp.,NA,sponge,adult,Both
318,Hallaxa chani,nudibranch,Chan's nudibranch,adult,N,low tidepools,micropredator,preys_on,Halisarca sp.,"Morris, Abbott, & Haderlie; Light & Smith",58,NA,middle to low,sponge,adult,Central
331,Ancula gibbosa,nudibranch,Pacific ancula,adult,Both,low tidepools,micropredator,preys_on,Barentsia ramosa,"Morris, Abbott, & Haderlie; Light & Smith",630,NA,very low,entoproct,adult,Both
341,Onchidoris muricata,nudibranch,white onchodoris,adult,N,low,micropredator,preys_on,Cryptosula pallasiana,"Morris, Abbott, & Haderlie; Light & Smith",847,NA,all,bryozoan,adult,Both
342,Triopha catalinae,nudibranch,sea clown,adult,Both,middle to low,micropredator,preys_on,Caulibugula ciliata,"Morris, Abbott, & Haderlie; light & Smith",806,NA,low,bryozoan,adult,Both
342,Triopha catalinae,nudibranch,sea clown,adult,Both,middle to low,micropredator,preys_on,Cellaria mandibulata,"Morris, Abbott, & Haderlie; light & Smith",810,NA,all,bryozoan,adult,Both
343,Triopha maculata,nudibranch,spotted triopha,adult,Both,low tidepools,micropredator,preys_on,Caulibugula ciliata,"Morris, Abbott, & Haderlie",806,NA,low,bryozoan,adult,Both
343,Triopha maculata,nudibranch,spotted triopha,adult,Both,low tidepools,micropredator,preys_on,Cauloramphus californiensis,"Morris, Abbott, & Haderlie",807,C. spiniferum,low,bryozoan,adult,S
345,Limacia cockerelli,nudibranch,Cockerell's nudibranch,adult,Both,low tidepools,micropredator,preys_on,Hincksina velata,"Morris, Abbott, & Haderlie; Light & Smith",632,NA,low,bryozoan,adult,Both
346,Tritonia festiva,nudibranch,diamondback,adult,Both,low,micropredator,preys_on,Cryptophyton goddardi,"Morris, Abbott, & Haderlie; light & Smith",979,Clavularia,low,octocoral,adult,N
346,Tritonia festiva,nudibranch,diamondback,adult,Both,low,micropredator,preys_on,Discophyton rudyi,"Morris, Abbott, & Haderlie; light & Smith",982,NA,low,octocoral,adult,N
347,Doto amyra,nudibranch,hammerhead doto,adult,Both,low,micropredator,preys_on,Abietinaria sp.,"Morris, Abbott, & Haderlie; Light & Smith",90,NA,low,hydroid,adult,Both
348,Dirona albolineata,nudibranch,chalk lined dirona,adult,Both,low tidepools,micropredator,preys_on,Margarites pupillus,"Morris, Abbott, & Haderlie; Light & Smith",234,NA,low,topsnail,adult,Both
348,Dirona albolineata,nudibranch,chalk lined dirona,adult,Both,low tidepools,micropredator,preys_on,Dendrobeania lichenoides,"Morris, Abbott, & Haderlie; Light & Smith",636,NA,low,bryozoan,adult,Both
349,Dirona picta,nudibranch,spotted dirona,adult,Both,low,micropredator,preys_on,Celleporella hyalina,"Morris, Abbott, & Haderlie; Light & Smith",635,NA,all,bryozoan,adult,Both
350,Antiopella barbarensis,nudibranch,cockscomb,adult,Both,low,micropredator,preys_on,Bugula californica,"Morris, Abbott, & Haderlie",129,NA,all,bryozoan,adult,both
357,Hermissenda opalescens,nudibranch,opalescent,adult,Both,low,omnivore,preys_on,Aplidium solidum,"Morris, Abbott, & Haderlie; Lindsay, Valdez 2016",171,NA,low,tunicate,adult,Both
358,Aeolidia loui,nudibranch,shag-rug,adult,Both,low,micropredator,preys_on,Metridium senile,"Kienberger et al, 2016; Morris, Abbott, & Haderlie",107,NA,low,anemone,adult,Both
358,Aeolidia loui,nudibranch,shag-rug,adult,Both,low,micropredator,preys_on,Anthopleura elegantissima,"Kienberger et al, 2016; Morris, Abbott, & Haderlie",101,NA,NA,anemone,adult,Both
358,Aeolidia loui,nudibranch,shag-rug,adult,Both,low,micropredator,preys_on,Epiactis prolifera,"Kienberger et al, 2016; Morris, Abbott, & Haderlie",102,NA,"middle, low",anemone,adult,Both
359,Anteaeolidiella oliviae,nudibranch,Olive's spurilla,adult,Both,low tidepools,micropredator,preys_on,Metridium senile,"Morris, Abbott, & Haderlie",107,NA,low,anemone,adult,Both
359,Anteaeolidiella oliviae,nudibranch,Olive's spurilla,adult,Both,low tidepools,micropredator,preys_on,Epiactis prolifera,"Morris, Abbott, & Haderlie",102,NA,"middle, low",anemone,adult,Both
405,Cyanoplax hartwegii,chiton,NA,adult,Both,"high tide pools, nocturnal",grazer,preys_on,Hildenbrandia sp.,"Morris, Abbott, & Haderlie; Light & Smith",653,NA,NA,algae,adult,NA
409,Nuttallina californica,chiton,Nuttall's chiton,adult,Both,middle,grazer,preys_on,Endocladia muricata,"Morris, Abbott, & Haderlie; Light & Smith",640,NA,high,algae,adult,Both
409,Nuttallina californica,chiton,Nuttall's chiton,adult,Both,middle,grazer,preys_on,Gelidium sp.,"Morris, Abbott, & Haderlie; Light & Smith",655,NA,NA,algae,adult,NA
409,Nuttallina californica,chiton,Nuttall's chiton,adult,Both,middle,grazer,preys_on,Cladophora columbiana,"Morris, Abbott, & Haderlie; Light & Smith",656,NA,NA,algae,adult,NA
411,Mopalia muscosa,chiton,mossy chiton,adult,Both,middle to low,omnivore,preys_on,Endocladia muricata,"Morris, Abbott, & Haderlie; Light & Smith",640,NA,high,algae,adult,Both
411,Mopalia muscosa,chiton,mossy chiton,adult,Both,middle to low,omnivore,preys_on,Cladophora columbiana,"Morris, Abbott, & Haderlie; Light & Smith",656,NA,NA,algae,adult,NA
414,Mopalia lignosa,chiton,NA,adult,N,middle to low,omnivore,preys_on,small crustaceans,"Morris, Abbott, & Haderlie; Light & Smith",758,NA,NA,zooplankton,NA,Both
415,Placiphorella velata,chiton,veiled chiton,adult,Both,very low,omnivore,preys_on,small crustaceans,"Morris, Abbott, & Haderlie; Light & Smith",758,NA,NA,zooplankton,NA,Both
417,Cryptochiton stelleri,chiton,gumboot chiton,adult,Both,low tidepools,grazer,preys_on,Ulva sp.,"Morris, Abbott, & Haderlie; Light & Smith",601,Enteromorpha,all,algae,adult,Both
417,Cryptochiton stelleri,chiton,gumboot chiton,adult,Both,low tidepools,grazer,preys_on,Laminaria sp.,"Morris, Abbott, & Haderlie; Light & Smith",624,NA,NA,algae,adult,both
418,Octopus bimaculoides,octopus,two-spot octopus,adult,Both,middle to low,typical predator,preys_on,Haliotis cracherodii,"Morris, Abbott, & Haderlie; Light & Smith",229,NA,all,abalone,adult,Both
418,Octopus bimaculoides,octopus,two-spot octopus,adult,Both,middle to low,typical predator,preys_on,Tegula funebralis,"Morris, Abbott, & Haderlie; Light & Smith",237,Cholorostoma,middle,topsnail,adult,Both
418,Octopus bimaculoides,octopus,two-spot octopus,adult,Both,middle to low,typical predator,preys_on,Tegula gallina,"Morris, Abbott, & Haderlie; Light & Smith",239,Cholorostoma,low,topsnail,adult,S
418,Octopus bimaculoides,octopus,two-spot octopus,adult,Both,middle to low,typical predator,preys_on,Mytilus edulis,"Morris, Abbott, & Haderlie; Light & Smith",367,NA,low,mussel,adult,Both
418,Octopus bimaculoides,octopus,two-spot octopus,adult,Both,middle to low,typical predator,preys_on,Hypsoblennius gilberti,"Morris, Abbott, & Haderlie; Light & Smith",3,NA,NA,fish,adult,S
418,Octopus bimaculoides,octopus,two-spot octopus,adult,Both,middle to low,typical predator,preys_on,Hypsoblennius gentilis,"Morris, Abbott, & Haderlie; Light & Smith",747,NA,NA,fish,adult,S
418,Octopus bimaculoides,octopus,two-spot octopus,adult,Both,middle to low,typical predator,preys_on,Kelletia kelletii,"Morris, Abbott, & Haderlie; Light & Smith",287,NA,low,whelk,adult,Both
418,Octopus bimaculoides,octopus,two-spot octopus,adult,Both,middle to low,typical predator,preys_on,Norrisia norrisii,"Morris, Abbott, & Haderlie; Light & Smith",235,NA,low,topsnail,adult,S
421,Octopus micropyrsus,octopus,NA,adult,S,low,typical predator,preys_on,small crustaceans,"Morris, Abbott, & Haderlie; Light & Smith",758,NA,NA,zooplankton,NA,Both
429,Nereis grubei,polychaete,nereid,adult,Both,middle to low,omnivore,preys_on,small crustaceans,"Morris, Abbott, & Haderlie",758,NA,NA,zooplankton,NA,Both
433,Arabella endonata,polychaete,NA,adult,Both,low,parasite,parasitic_on,Diopatra ornata,"Morris, Abbott, & Haderlie",676,NA,low,polychaete,adult,Both
483,Limnoria algarum,isopod,gribble,adult,Both,low,micropredator,preys_on,Egregia menziesii,"Morris, Abbott, & Haderlie; Light & Smith",617,NA,NA,algae,adult,NA
483,Limnoria algarum,isopod,gribble,adult,Both,low,micropredator,preys_on,Macrocystis pyrifera,"Morris, Abbott, & Haderlie; Light & Smith",587,NA,low to very low,algae,adult,Both
483,Limnoria algarum,isopod,gribble,adult,Both,low,micropredator,preys_on,Laminaria sp.,"Morris, Abbott, & Haderlie; Light & Smith",624,NA,NA,algae,adult,both
502,Cymadusa uncinata,gammarid,NA,adult,NA,very low,parasite,parasitic_on,Macrocystis pyrifera,"Morris, Abbott, & Haderlie; Light & Smith",587,NA,low to very low,algae,adult,Both
504,Oligochinus lighti,gammarid,NA,adult,Both,high to middle,grazer,preys_on,Endocladia muricata,"Morris, Abbott, & Haderlie",640,NA,high,algae,adult,Both
524,Pagurus samuelis,hermit crab,blue banded hermit crab,adult,Both,high to middle,scavenger,preys_on,Macrocystis pyrifera,"Morris, Abbott, & Haderlie",587,NA,low to very low,algae,adult,Both
538,Taliepus nuttallii,true crab,southern kelp crab,adult,S,low,grazer,preys_on,Macrocystis pyrifera,"Morris, Abbott, & Haderlie",587,NA,low to very low,algae,adult,Both
539,Pugettia producta,true crab,kelp crab,young,Both,low,omnivore,preys_on,Macrocystis pyrifera,"Morris, Abbott, & Haderlie",587,NA,low to very low,algae,adult,Both
546,Loxorhynchus crispatus,true crab,moss crab,adult,Both,low,typical predator,preys_on,Strongylocentrotus purpuratus,"Morris, Abbott, & Haderlie",168,NA,low,urchin,adult,Both
555,Cancer productus,true crab,red crab,adult,Both,low,carnivore (scavenger + predator),preys_on,Leukoma staminea,"Morris, Abbott, & Haderlie; Light & Smith",1972,Protothaca,all,clam,adult,Both
559,Fabia subquadrata,true crab,pea crab,adult,Both,low,filter feeder,parasitic_on,Mytilus edulis,"Morris, Abbott, & Haderlie; Light & Smith",367,NA,low,mussel,adult,Both
559,Fabia subquadrata,true crab,pea crab,adult,Both,low,filter feeder,parasitic_on,Mytilus californianus,"Morris, Abbott, & Haderlie; Light & Smith",366,NA,high to middle,mussel,adult,Both
559,Fabia subquadrata,true crab,pea crab,adult,Both,low,filter feeder,parasitic_on,Strongylocentrotus purpuratus,"Morris, Abbott, & Haderlie; Light & Smith",168,NA,low,urchin,adult,Both
559,Fabia subquadrata,true crab,pea crab,adult,Both,low,filter feeder,parasitic_on,Styela gibbsii,"Morris, Abbott, & Haderlie; Light & Smith",622,NA,very low,tunicate,adult,Both
560,Hermissenda crassicornis,nudibranch,opalescent nudibranch,adult,N,low,typical predator,preys_on,Aglaophenia struthionides,Light & Smith,91,NA,low,hydroid,hydroid,Both
560,Hermissenda crassicornis,nudibranch,opalescent nudibranch,adult,N,low,typical predator,preys_on,Anthopleura elegantissima,Light & Smith,101,NA,NA,anemone,adult,Both
560,Hermissenda crassicornis,nudibranch,opalescent nudibranch,adult,N,low,typical predator,preys_on,Epiactis prolifera,Light & Smith,102,NA,"middle, low",anemone,adult,Both
560,Hermissenda crassicornis,nudibranch,opalescent nudibranch,adult,N,low,typical predator,preys_on,Diadumene lineata,Light & Smith,108,Haliplanella luciae,middle,anemone,adult,Both
560,Hermissenda crassicornis,nudibranch,opalescent nudibranch,adult,N,low,typical predator,preys_on,Metridium senile,Light & Smith,107,NA,low,anemone,adult,Both
561,Pinnixa faba,true crab,large pea crab,juvenile,Both,low,NA,parasitic_on,Aplysia vaccaria,"Morris, Abbott, & Haderlie",301,NA,low,sea hare,adult,Both
561,Pinnixa faba,true crab,large pea crab,juvenile,Both,low,NA,parasitic_on,Styela gibbsii,"Morris, Abbott, & Haderlie",622,NA,very low,tunicate,adult,Both
566,Pachygrapsus crassipes,true crab,striped shore crab,adult,Both,high to middle,omnivore,preys_on,Ulva sp.,"Morris, Abbott, & Haderlie; Light & Smith",601,Enteromorpha,all,algae,adult,Both
568,Tigriopus californicus,copepod,tig,adult,Both,high,omnivore,preys_on,Tigriopus californicus,"Morris, Abbott, & Haderlie; Light & Smith",568,NA,high,copepod,adult,Both
569,Pycnogonum stearnsi,sea spider,NA,adult,Both,middle to low,micropredator,parasitic_on,Anthopleura xanthogrammica,"Morris, Abbott, & Haderlie; Light & Smith",99,NA,NA,anemone,adult,N
574,Garypus californicus,other arthropod,pseudoscorpion,adult,Both,high,typical predator,preys_on,small crustaceans,"Morris, Abbott, & Haderlie",758,NA,NA,zooplankton,NA,Both
581,Canaceoides nudatus,insect,beach fly,adult,Both,high to middle,grazer,preys_on,Ulva sp.,"Morris, Abbott, & Haderlie; Light & Smith",601,Enteromorpha,all,algae,adult,Both
594,Haplosaccus elongatus,copepod,NA,adult,Both,NA,parasite,parasitic_on,Aplidium arenatum,"Morris, Abbott, & Haderlie; Light & Smith",173,NA,low,tunicate,adult,Both
