,nodeTaxon,node,nodeID,nodeNum,synonymies,category,common_name,life_stage,life_stage_code,province,commonality,reference,zone,habitat_notes,grouping_habits,mobility,node_type,node_resolution,aphia,kingdom,phylum,class,order,family,genus,parasite,consumer_strategy,consumer_type,degree
20,Octopus bimaculoides,418_Octopus bimaculoides,418_Octopus bimaculoides,418,NA,octopus,two-spot octopus,adult,1,Both,present,436; 435,middle to low,"holes, crevices in pools; live on mudflats or in protected holes, crevices on rocky substrates",solitary,mobile,Taxonomic,Species,341952,Animalia,Mollusca,Cephalopoda,Octopoda,Octopodidae,Octopus,n,typical predator,predator,58
21,Octopus bimaculoides,1748_Octopus bimaculoides,1748_Octopus bimaculoides_eggs,1748,NA,octopus,two-spot octopus,eggs,2,Both,present,435,all,laid in festoons,aggregating,sessile,Life Stage,Species,341952,Animalia,Mollusca,Cephalopoda,Octopoda,Octopodidae,Octopus,n,non-feeding,non-feeding,1
22,Saccoglossus pusillus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,Notorynchus cepedianus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Pugettia producta,539_Pugettia producta,539_Pugettia producta_young,539,NA,true crab,kelp crab,young,4,Both,common,436,low,on rocks or among Egregia,solitary,mobile,Taxonomic,Species,240780,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Pugettia,n,omnivore,predator,49
25,Pugettia producta,992_Pugettia producta,992_Pugettia producta_eggs,992,NA,true crab,NA,eggs,2,Both,common,435,low,NA,solitary,sessile,Life Stage,Species,240780,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Pugettia,n,non-feeding,non-feeding,2
26,Saxidomus nuttalli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Blepharipoda occidentalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,Doryteuthis opalescens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Mytilus galloprovincialis,2353_Mytilus galloprovincialis,2353_Mytilus galloprovincialis,2353,NA,mussel,European mussel,adult,1,Both,present,435,all,"on wharf pilings, floats, docks, rocks; occasional on outer coast",solitary,sessile,Taxonomic,Species,140481,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,n,filter feeder,predator,52
30,Pseudobatos productus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,Oncorhynchus nerka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,Boccardiella ligerica,NA,NA,1626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,Ulva intestinalis,NA,NA,601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,Pterocladiella capillacea,765_Pterocladiella capillacea,765_Pterocladiella capillacea,765,Pterocladia capillacea,red algae,NA,adult,1,S,common,528; 476,all,exposed,aggregating,sessile,Taxonomic,Species,145599,Plantae,NA,Florideophyceae,Gelidiales,Pterocladiaceae,Pterocladiella,n,primary producer,autotroph,4
35,Leathesia difformis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,Styela clava,218_Styela clava,218_Styela clava,218,NA,tunicate,NA,adult,1,Both,common,436,low,introduced,solitary,sessile,Taxonomic,Species,103929,Animalia,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Styela,n,filter feeder,predator,15
37,Ascidia ceratodes,NA,NA,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,Littorina saxatilis,NA,NA,1879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,Cliona celata,66_Cliona celata,66_Cliona celata,66,NA,sponge,boring sponge,adult,1,Both,present,436; 536,NA,NA,NA,sessile,Taxonomic,Species,134121,Animalia,Porifera,Demospongiae,Clionaida,Clionaidae,Cliona,n,filter feeder,predator,6
40,Onuphis iridescens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,Leiosolenus plumula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,Aglaophenia pluma,NA,NA,"940, 92, 91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,Cryptosula pallasiana,847_Cryptosula pallasiana,847_Cryptosula pallasiana,847,NA,bryozoan,NA,adult,1,Both,present,435,all,NA,colonial,sessile,Taxonomic,Species,111343,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Cryptosulidae,Cryptosula,n,filter feeder,predator,6
44,Carcharodon carcharias,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,Ectopleura crocea,637_Ectopleura crocea,637_Ectopleura crocea,637,"Tubularia crocea, Pinauay crocea",hydroid,NA,hydroid colony,5,Both,present,435,low,mainly in estuaries but wide distribution,colonial,sessile,Taxonomic,Species,117981,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Tubulariidae,Ectopleura,n,filter feeder,predator,9
46,Watersipora subtorquata,NA,NA,848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,Haplogloia andersonii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,Rhodochorton purpureum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,Leptosynapta clarki,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,Mytilisepta bifurcata,368_Mytilisepta bifurcata,368_Mytilisepta bifurcata,368,Septifer bifurcatus,mussel,brancg ribbed mussel,adult,1,Both,common,436; 435,middle to low,"low intertidal in norcal, middle in so cal",aggregating,sessile,Taxonomic,Species,506155,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilisepta,n,filter feeder,predator,8
51,Tresus capax,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,Caprella californica,505_Caprella californica,505_Caprella californica,505,NA,amphipod,caprellid,adult,1,Both,common,436; 435,low,"Eelgrass, on outer coast on coralline algae;",aggregating,mobile,Taxonomic,Species,394864,Animalia,Arthropoda,Malacostraca,Amphipoda,Caprellidae,Caprella,n,omnivore,predator,15
53,Stephanocystis osmundacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,Macrocystis pyrifera,587_Macrocystis pyrifera,587_Macrocystis pyrifera,587,NA,brown algae,giant kelp,adult,1,Both,common,436; 435,low to very low,NA,solitary,sessile,Taxonomic,Species,232231,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,n,primary producer,autotroph,32
55,Corallina officinalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,Symphyocladiella gracilis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,Neogastroclonium subarticulatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,Strongylocentrotus purpuratus,168_Strongylocentrotus purpuratus,168_Strongylocentrotus purpuratus,168,NA,urchin,NA,adult,1,Both,common,436; 536,low,NA,solitary,mobile,Taxonomic,Species,240747,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,n,grazer,micropredator,23
59,Eudistoma psammion,183_Eudistoma psammion,183_Eudistoma psammion,183,Archidistoma psammion,tunicate,NA,adult,1,Both,present,436,low,in surfgrass beds,colonial,sessile,Taxonomic,Species,250242,Animalia,Chordata,Ascidiacea,Aplousobranchia,Polycitoridae,Eudistoma,n,filter feeder,predator,9
60,Stylatula elongata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,Scorpaenichthys marmoratus,2097_Scorpaenichthys marmoratus,2097_Scorpaenichthys marmoratus,2097,NA,fish,NA,adult,1,Both,present,529; 530; 485,NA,NA,solitary,mobile,Taxonomic,Species,282726,Animalia,Chordata,Teleostei,Perciformes,Jordaniidae,Scorpaenichthys,n,typical predator,predator,60
62,Thylacodes squamigerus,250_Thylacodes squamigerus,250_Thylacodes squamigerus,250,Serpulorbis squamigerus,vermetid,scaled worm snail,adult,1,Both,common,436; 504; 435,all,"upper surfaces of protected rocks; individuals north of Point Conception, aggregated South",aggregating,sessile,Taxonomic,Species,709499,Animalia,Mollusca,Gastropoda,Littorinimorpha,Vermetidae,Thylacodes,n,filter feeder,predator,9
63,Littorina plena,1878_Littorina plena,1878_Littorina plena,1878,NA,limpet,NA,adult,1,Both,present,435,all,"Common throughout intertidal, among algae, mussels,, barnacles, on moderately exposed, sheltered shores,",solitary,mobile,Taxonomic,Species,445659,Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littorina,n,grazer,micropredator,58
64,Atherinops affinis,8_Atherinops affinis,8_Atherinops affinis,8,NA,fish,topsmelt,adult,1,Both,common,exp. test. D. Canestro; 450; 485,middle to low,common in bays and kelp beds,solitary,mobile,Taxonomic,Species,279812,Animalia,Chordata,Teleostei,Atheriniformes,Atherinidae,Atherinops,n,omnivore,predator,82
65,Dasya binghamiae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,Plocamium pacificum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,Hemipodia simplex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,Diadumene leucolena,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,Dendraster excentricus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,Lottia gigantea,201_Lottia gigantea,201_Lottia gigantea,201,NA,limpet,owl limpet,adult,1,Both,common,436; 435,high to middle,discrete territory of 1000 sq cm,solitary,mobile,Taxonomic,Species,456593,Animalia,Mollusca,Gastropoda,NA,Lottiidae,Lottia,n,grazer,micropredator,17
71,Scomber japonicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,Dirona albolineata,348_Dirona albolineata,348_Dirona albolineata,348,NA,nudibranch,chalk lined dirona,adult,1,Both,uncommon,436; 435,low tidepools,sporadically common,solitary,mobile,Taxonomic,Species,581837,Animalia,Mollusca,Gastropoda,Nudibranchia,Dironidae,Dirona,n,micropredator,micropredator,14
73,Panulirus interruptus,735_Panulirus interruptus,735_Panulirus interruptus_juvenile,735,NA,lobster,california spiny lobster,juvenile,4,S,common,436; 435,very low,NA,solitary,mobile,Taxonomic,Species,382898,Animalia,Arthropoda,Malacostraca,Decapoda,Palinuridae,Panulirus,n,typical predator,predator,2
74,Porichthys notatus,2293_Porichthys notatus,2293_Porichthys notatus,2293,NA,fish,midshipman,adult,1,Both,present,PO,low,"in rock nests, males mostly",solitary,mobile,Taxonomic,Species,275658,Animalia,Chordata,Teleostei,Batrachoidiformes,Batrachoididae,Porichthys,n,typical predator,predator,17
75,Porichthys notatus,3004_Porichthys notatus,3004_Porichthys notatus_eggs,3004,NA,fish,NA,eggs,2,Both,present,363; 364,low,"attached to underside of rocks, nest guarded by males",aggregating,sessile,Taxonomic,Species,275658,Animalia,Chordata,Teleostei,Batrachoidiformes,Batrachoididae,Porichthys,n,non-feeding,non-feeding,7
76,Porichthys notatus,3006_Porichthys notatus,3006_Porichthys notatus_larva,3006,NA,fish,NA,larva,3,Both,present,364,low,"the wriggling larva breaks through the egg membrane but remains attached to the rock by the yolk sac, attached to the adhesive disk",aggregating,sessile,Taxonomic,Species,275658,Animalia,Chordata,Teleostei,Batrachoidiformes,Batrachoididae,Porichthys,n,omnivore,predator,11
77,Galeorhinus galeus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,Phoca vitulina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,Squatina californica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,Sicyonia penicillata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,Achelous xantusii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,Anoplogaster cornuta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,Ulva lactuca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,Eumida sanguinea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,Nephtys ferruginea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,Neorhodomela larix,2398_Neorhodomela larix,2398_Neorhodomela larix,2398,"Rhodomela larix, Fucus larix",red algae,black pine algae,adult,1,Both,abundant,528; 529; 530; 536,high to middle,"abundant species in wave restricted areas on rocks, primarily on sand-swept reefs",solitary,sessile,Taxonomic,Species,372616,Plantae,Rhodophyta,Florideophyceae,Ceramiales,NA,NA,n,primary producer,autotroph,1
87,Amathia verticillata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,Gracilaria pacifica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,Plumularia setacea,953_Plumularia setacea,953_Plumularia setacea,953,NA,hydroid,NA,hydroid colony,5,Both,abundant,435,all,substrate generalist,colonial,sessile,Taxonomic,Species,117824,Animalia,Cnidaria,Hydrozoa,Leptothecata,Plumulariidae,Plumularia,n,filter feeder,predator,6
90,Bugula neritina,130_Bugula neritina,130_Bugula neritina,130,NA,bryozoan,NA,adult,1,both,common,436,all,fouling,colonial,sessile,Taxonomic,Species,111158,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,Bugula,n,filter feeder,predator,10
91,Ostrea edulis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,Tresus nuttallii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,Chondracanthus harveyanus,NA,NA,"657, 742",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,Gelidium coulteri,NA,NA,655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,Hymeniacidon perlevis,NA,NA,"49, 50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,Gelidium robustum,NA,NA,655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,Chaetopterus dewysee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,Prionitis australis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,Symphyocladiella baileyi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,Sargassum muticum,2378_Sargassum muticum,2378_Sargassum muticum,2378,NA,brown algae,NA,adult,1,Both,common,528,low,forming dense stands in quiet water,aggregating,sessile,NA,NA,494791,NA,NA,NA,NA,NA,NA,n,primary producer,autotroph,1
101,Besa leptophylla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,Leuresthes tenuis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,Cucumaria piperata,NA,NA,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,Aglaophenia struthionides,91_Aglaophenia struthionides,91_Aglaophenia struthionides,91,NA,hydroid,ostrich plume hydroid,hydroid colony,5,Both,common,436; 435; 536,low,exposed rocky shores,colonial,sessile,Taxonomic,Species,284054,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Aglaophenia,n,filter feeder,predator,19
105,Diopatra ornata,676_Diopatra ornata,676_Diopatra ornata,676,NA,polychaete,parchment worm,adult,1,Both,common,435,low,"forming erect, parchmentlike tubes to which are attached pieces of shell, algae.",solitary,sessile,Taxonomic,Species,326964,Animalia,Annelida,Polychaeta,Eunicida,Onuphidae,Diopatra,n,grazer,micropredator,14
106,Alopias vulpinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,Mytilus trossulus,1961_Mytilus trossulus,1961_Mytilus trossulus,1961,NA,mussel,smooth mussel,adult,1,N,abundant,435; 536,all,"abundant on wharf pilings, floats, docks, rocks; occasional on outer coast",solitary,sessile,Taxonomic,Species,140482,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,n,filter feeder,predator,53
108,Chilara taylori,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,Umbrina roncador,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,Geukensia demissa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,Allorchestes angusta,NA,NA,1331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
