resourceNum,consumerNum,INITIALS,consumerName,consumerCat,consumerStage,resourceName,resourceCat,resourceStage,interaction.type,confidence,justification,incl.code,ref_num,localities,zone,pools_exposed_interstitial,MorrisHaderlie,epibiota_consumed,notes,link.ID,date_added
607,240,ZZ_coded,Tegula eiseni,snail,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,NA,both,NA,yes,NA,8603,22-Apr-24
607,214,ZZ,Notoacmea paleacea,limpet,1,Phyllospadix torreyi,sea grass,1,3,NA,3,NA,MAH,NA,low,pools,y,NA,NA,282,NA
607,214,ZZ,Tectura paleacea,true limpet,1,Phyllospadix torreyi,angiosperm,1,27,NA,6,NA,"Morris, Abbott, & Haderlie; Light & Smith",NA,low,both,NA,no,NA,2900,28-Mar-24
607,200,ZZ_coded,Lottia fenestrata,true limpet,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,middle to low,both,NA,yes,NA,8630,22-Apr-24
607,206,ZZ_coded,Lottia strigatella,true limpet,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,middle to low,both,NA,yes,NA,8648,22-Apr-24
607,209,ZZ_coded,Lottia persona,true limpet,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,high to middle,both,NA,yes,NA,8639,22-Apr-24
607,488,ZZ,Idotea stenops,isopod,1,Phyllospadix torreyi,angiosperm,1,3,3,6; 10,NA,"Morris, Abbott, & Haderlie; Light & Smith",NA,middle to low,pools,NA,yes,NA,4098,14-Apr-24
607,245,ZZ_coded,Homalopoma luridum,topsnail,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,middle to low,both,NA,yes,NA,8612,22-Apr-24
607,1239,ZZ_coded,Dynamenella sheareri,isopod,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,8468,22-Apr-24
607,477,ZZ_coded,Exosphaeroma amplicauda,isopod,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,8477,22-Apr-24
607,1758,ZZ_coded,Lepidozona radians,chiton,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,low,both,NA,yes,NA,8027,22-Apr-24
607,1878,ZZ_coded,Littorina plena,limpet,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,8558,22-Apr-24
607,88,ZZ,Sertularia furcata,hydroid,1,Phyllospadix torreyi,sea grass,1,2,NA,3,NA,MAH,NA,NA,pools,y,NA,NA,8,NA
607,1771,ZZ_coded,Tonicella lokii,chiton,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,middle to low,both,NA,yes,NA,8180,22-Apr-24
607,1458,ZZ_coded,Ameronothroiid mites,mite,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,high,both,NA,yes,NA,8594,22-Apr-24
607,506,ZZ_coded,Caprella sp.,caprellid,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,7973,22-Apr-24
607,1403,ZZ_coded,Caprella alaskana,caprellid,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,7883,22-Apr-24
607,1404,ZZ_coded,Caprella brevirostris,caprellid,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,7892,22-Apr-24
607,1407,ZZ_coded,Caprella ferrea,caprellid,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,7901,22-Apr-24
607,1408,ZZ_coded,Caprella greenleyi,caprellid,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,7910,22-Apr-24
607,1409,ZZ_coded,Caprella incisa,caprellid,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,7919,22-Apr-24
607,1410,ZZ_coded,Caprella kennerlyi,caprellid,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,7928,22-Apr-24
607,1411,ZZ_coded,Caprella laeviuscula,caprellid,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,7937,22-Apr-24
607,1412,ZZ_coded,Caprella natalensis,caprellid,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,7946,22-Apr-24
607,1413,ZZ_coded,Caprella penantis,caprellid,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,7955,22-Apr-24
607,1414,ZZ_coded,Caprella pilipalma,caprellid,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,7964,22-Apr-24
607,1415,ZZ_coded,Caprella verrucosa,caprellid,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,7982,22-Apr-24
607,1419,ZZ_coded,Cercops compactus,caprellid,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,7991,22-Apr-24
607,1417,ZZ_coded,Tritella laevis,caprellid,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,8000,22-Apr-24
607,1418,ZZ_coded,Tritella pilimana,caprellid,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,8009,22-Apr-24
607,491,ZZ,Idotea montereyensis,isopod,1,Phyllospadix torreyi,angiosperm,1,3,NA,6,NA,"Morris, Abbott, & Haderlie; Light & Smith",NA,middle to low,both,NA,no,NA,2901,28-Mar-24
607,491,ZZ,Idotea montereyensis,isopod,1,Phyllospadix torreyi,angiosperm,1,3,4,4,NA,"Morris, Abbott, & Haderlie; Light & Smith",NA,all,both,NA,yes,NA,4242,18-Apr-24
607,169,ZZ_coded,Strongylocentrotus franciscanus,urchin,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,very low,both,NA,yes,NA,8657,22-Apr-24
607,1756,ZZ,Stenoplax heathiana,chiton,1,Phyllospadix torreyi,angiosperm,1,3,1,3,NA,311,NA,middle to low,both,NA,yes,NA,4359,22-Apr-24
607,556,ZZ,Cycloxanthops novemdentatus,true crab,1,Phyllospadix torreyi,angiosperm,1,3,NA,6,NA,"Morris, Abbott, & Haderlie",NA,low,both,NA,no,NA,2902,28-Mar-24
607,482,ZZ,Paracerceis gilliana,isopod,1,Phyllospadix torreyi,angiosperm,1,3,4,4,NA,"Morris, Abbott, & Haderlie",NA,low,pools,NA,yes,NA,4193,17-Apr-24
607,252,ZZ,Bittium eschrichtii,snail,1,Phyllospadix torreyi,angiosperm,1,3,4,4,NA,"Morris, Abbott, & Haderlie",NA,low,both,NA,yes,NA,4226,18-Apr-24
607,1252,ZZ,Idotea ochotensis,isopod,1,Phyllospadix torreyi,angiosperm,1,3,4,4,NA,Light & Smith,NA,all,both,NA,yes,NA,4250,18-Apr-24
607,1777,ZZ_coded,Mopalia kennerleyi,chiton,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,middle to low,both,NA,yes,NA,8081,22-Apr-24
607,1778,ZZ_coded,Mopalia lionota,chiton,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,low,both,NA,yes,NA,8090,22-Apr-24
607,1779,ZZ_coded,Mopalia plumosa,chiton,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,low,both,NA,yes,NA,8099,22-Apr-24
607,1763,ZZ_coded,Cyanoplax berryana,chiton,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,middle to low,both,NA,yes,NA,8108,22-Apr-24
607,1764,ZZ_coded,Cyanoplax caverna,chiton,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,middle to low,both,NA,yes,NA,8117,22-Apr-24
607,1768,ZZ_coded,Cyanoplax cryptica,chiton,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,middle to low,both,NA,yes,NA,8126,22-Apr-24
607,1765,ZZ_coded,Cyanoplax dentiens,chiton,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,middle to low,both,NA,yes,NA,8135,22-Apr-24
607,1766,ZZ_coded,Cyanoplax keepiana,chiton,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,middle to low,both,NA,yes,NA,8144,22-Apr-24
607,1767,ZZ_coded,Cyanoplax lowei,chiton,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,middle to low,both,NA,yes,NA,8153,22-Apr-24
607,1769,ZZ_coded,Cyanoplax thomasi,chiton,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,middle,both,NA,yes,NA,8162,22-Apr-24
607,1770,ZZ_coded,Nuttallina fluxa,chiton,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,middle to low,both,NA,yes,NA,8171,22-Apr-24
607,1290,ZZ_coded,Ampithoe corallina,gammarid,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,8243,22-Apr-24
607,1291,ZZ_coded,Ampithoe dalli,gammarid,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,8252,22-Apr-24
607,1292,ZZ_coded,Ampithoe lacertosa,gammarid,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,8261,22-Apr-24
607,1294,ZZ_coded,Ampithoe pollex,gammarid,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,8279,22-Apr-24
607,1295,ZZ_coded,Ampithoe ramondi,gammarid,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,8288,22-Apr-24
607,1296,ZZ_coded,Ampithoe sectimanus,gammarid,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,8297,22-Apr-24
607,1301,ZZ_coded,Peramphithoe lindbergi,gammarid,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,8306,22-Apr-24
607,1303,ZZ_coded,Peramphithoe plea,gammarid,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,8324,22-Apr-24
607,1305,ZZ_coded,Peramphithoe tea,gammarid,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,8333,22-Apr-24
607,1332,ZZ_coded,Apohyale anceps,gammarid,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,8342,22-Apr-24
607,1333,ZZ_coded,Apohyale californica,gammarid,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,8351,22-Apr-24
607,1334,ZZ_coded,Apohyale pugettensis,gammarid,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,high,both,NA,yes,NA,8360,22-Apr-24
607,1335,ZZ_coded,Parallorchestes americana,gammarid,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,8369,22-Apr-24
607,1336,ZZ_coded,Parallorchestes cowani,gammarid,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,low,both,NA,yes,NA,8378,22-Apr-24
607,1337,ZZ_coded,Parallorchestes leblondi,gammarid,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,low,both,NA,yes,NA,8387,22-Apr-24
607,1338,ZZ_coded,Protohyale (Leptohyale) longipalpa,gammarid,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,8396,22-Apr-24
607,1339,ZZ_coded,Ptilohyale littoralis,gammarid,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,high,both,NA,yes,NA,8405,22-Apr-24
607,1235,ZZ_coded,Ancinus granulatus,isopod,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,8423,22-Apr-24
607,1254,ZZ_coded,Idotea rufescens,isopod,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,8432,22-Apr-24
607,1236,ZZ_coded,Dynamene benedicti,isopod,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,8441,22-Apr-24
607,1237,ZZ_coded,Dynamenella dilatata,isopod,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,8450,22-Apr-24
607,1238,ZZ_coded,Dynamenella glabra,isopod,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,8459,22-Apr-24
607,1241,ZZ_coded,Exosphaeroma inornata,isopod,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,8486,22-Apr-24
607,478,ZZ_coded,Exosphaeroma octoncum,isopod,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,low,both,NA,yes,NA,8495,22-Apr-24
607,479,ZZ_coded,Exosphaeroma rhomburum,isopod,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,low,both,NA,yes,NA,8504,22-Apr-24
607,1242,ZZ_coded,Gnorimosphaeroma noblei,isopod,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,high,both,NA,yes,NA,8513,22-Apr-24
607,1243,ZZ_coded,Paradella dianae,isopod,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,8522,22-Apr-24
607,1244,ZZ_coded,Sphaeroma quoianum,isopod,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,8531,22-Apr-24
607,1245,ZZ_coded,Sphaeroma walkeri,isopod,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,8540,22-Apr-24
607,1876,ZZ_coded,Lottia digitalis situs,limpet,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,8567,22-Apr-24
607,1881,ZZ_coded,Runcina macfarlandi,limpet,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,high,both,NA,yes,NA,8576,22-Apr-24
607,1875,ZZ_coded,Williamia peltoides,limpet,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,low,both,NA,yes,NA,8585,22-Apr-24
607,537,ZZ_coded,Epialtoides hiltoni,true crab,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,low,both,NA,yes,NA,8621,22-Apr-24
608,1253,ZZ,Idotea resecata,isopod,1,Phyllospadix scouleri,angiosperm,1,3,NA,6,NA,Light & Smith,NA,all,both,NA,no,eats seeds,2895,28-Mar-24
608,609,ZZ,Protohyale (Protohyale) frequens,gammarid,1,Phyllospadix scouleri,angiosperm,1,3,3,3,NA,304; Light & Smith,NA,all,pools,NA,yes,NA,4138,17-Apr-24
608,501,ZZ_coded,Ampithoe plumulosa,gammarid,1,Phyllospadix scouleri,angiosperm,1,1,4,4,NA,NA,NA,low,both,NA,yes,NA,8269,22-Apr-24
608,168,EMH,Strongylocentrotus purpuratus,urchin,1,Phyllospadix scouleri,sea grass,1,3,NA,6,NA,RIZ lit search: 66,NA,NA,NA,NA,NA,NA,473,NA
608,401,ZZ,Stenoplax heathiana,chiton,1,Phyllospadix scouleri,angiosperm,1,3,NA,3,NA,178,NA,middle,both,n,yes,NA,786,NA
608,558,ZZ,Paraxanthias taylori,true crab,1,Phyllospadix scouleri,angiosperm,1,3,3,6,NA,293,NA,middle to low,both,NA,yes,NA,4028,13-Apr-24
608,240,ZZ_coded,Tegula eiseni,snail,1,Phyllospadix scouleri,angiosperm,1,1,4,4,NA,NA,NA,NA,both,NA,yes,NA,8602,22-Apr-24
608,214,ZZ,Notoacmea paleacea,limpet,1,Phyllospadix scouleri,sea grass,1,3,NA,3,NA,MAH,NA,low,pools,y,NA,NA,283,NA
608,214,ZZ,Tectura paleacea,true limpet,1,Phyllospadix scouleri,angiosperm,1,27,NA,6,NA,"Morris, Abbott, & Haderlie; Light & Smith",NA,low,both,NA,no,NA,2896,28-Mar-24
608,200,ZZ_coded,Lottia fenestrata,true limpet,1,Phyllospadix scouleri,angiosperm,1,1,4,4,NA,NA,NA,middle to low,both,NA,yes,NA,8629,22-Apr-24
608,206,ZZ_coded,Lottia strigatella,true limpet,1,Phyllospadix scouleri,angiosperm,1,1,4,4,NA,NA,NA,middle to low,both,NA,yes,NA,8647,22-Apr-24
608,209,ZZ_coded,Lottia persona,true limpet,1,Phyllospadix scouleri,angiosperm,1,1,4,4,NA,NA,NA,high to middle,both,NA,yes,NA,8638,22-Apr-24
608,488,ZZ,Idotea stenops,isopod,1,Phyllospadix scouleri,angiosperm,1,3,3,6; 10,NA,"Morris, Abbott, & Haderlie; Light & Smith",NA,middle to low,pools,NA,yes,NA,4090,14-Apr-24
608,245,ZZ_coded,Homalopoma luridum,topsnail,1,Phyllospadix scouleri,angiosperm,1,1,4,4,NA,NA,NA,middle to low,both,NA,yes,NA,8611,22-Apr-24
608,1239,ZZ_coded,Dynamenella sheareri,isopod,1,Phyllospadix scouleri,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,8467,22-Apr-24
608,477,ZZ_coded,Exosphaeroma amplicauda,isopod,1,Phyllospadix scouleri,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,8476,22-Apr-24
608,1758,ZZ_coded,Lepidozona radians,chiton,1,Phyllospadix scouleri,angiosperm,1,1,4,4,NA,NA,NA,low,both,NA,yes,NA,8026,22-Apr-24
608,1878,ZZ_coded,Littorina plena,limpet,1,Phyllospadix scouleri,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,8557,22-Apr-24
608,88,ZZ,Sertularia furcata,hydroid,1,Phyllospadix scouleri,surfgrass,1,2,NA,3,NA,MAH,NA,NA,pools,y,NA,NA,9,NA
608,1771,ZZ_coded,Tonicella lokii,chiton,1,Phyllospadix scouleri,angiosperm,1,1,4,4,NA,NA,NA,middle to low,both,NA,yes,NA,8179,22-Apr-24
608,1458,ZZ_coded,Ameronothroiid mites,mite,1,Phyllospadix scouleri,angiosperm,1,1,4,4,NA,NA,NA,high,both,NA,yes,NA,8593,22-Apr-24
608,506,ZZ_coded,Caprella sp.,caprellid,1,Phyllospadix scouleri,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,7972,22-Apr-24
608,1403,ZZ_coded,Caprella alaskana,caprellid,1,Phyllospadix scouleri,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,7882,22-Apr-24
608,1404,ZZ_coded,Caprella brevirostris,caprellid,1,Phyllospadix scouleri,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,7891,22-Apr-24
608,1407,ZZ_coded,Caprella ferrea,caprellid,1,Phyllospadix scouleri,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,7900,22-Apr-24
608,1408,ZZ_coded,Caprella greenleyi,caprellid,1,Phyllospadix scouleri,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,7909,22-Apr-24
608,1409,ZZ_coded,Caprella incisa,caprellid,1,Phyllospadix scouleri,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,7918,22-Apr-24
608,1410,ZZ_coded,Caprella kennerlyi,caprellid,1,Phyllospadix scouleri,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,7927,22-Apr-24
608,1411,ZZ_coded,Caprella laeviuscula,caprellid,1,Phyllospadix scouleri,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,7936,22-Apr-24
608,1412,ZZ_coded,Caprella natalensis,caprellid,1,Phyllospadix scouleri,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,7945,22-Apr-24
608,1413,ZZ_coded,Caprella penantis,caprellid,1,Phyllospadix scouleri,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,7954,22-Apr-24
608,1414,ZZ_coded,Caprella pilipalma,caprellid,1,Phyllospadix scouleri,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,7963,22-Apr-24
608,1415,ZZ_coded,Caprella verrucosa,caprellid,1,Phyllospadix scouleri,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,7981,22-Apr-24
608,1419,ZZ_coded,Cercops compactus,caprellid,1,Phyllospadix scouleri,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,7990,22-Apr-24
608,1417,ZZ_coded,Tritella laevis,caprellid,1,Phyllospadix scouleri,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,7999,22-Apr-24
608,1418,ZZ_coded,Tritella pilimana,caprellid,1,Phyllospadix scouleri,angiosperm,1,1,4,4,NA,NA,NA,all,both,NA,yes,NA,8008,22-Apr-24
608,491,ZZ,Idotea montereyensis,isopod,1,Phyllospadix scouleri,angiosperm,1,3,NA,6,NA,"Morris, Abbott, & Haderlie; Light & Smith",NA,middle to low,both,NA,no,NA,2897,28-Mar-24
608,491,ZZ,Idotea montereyensis,isopod,1,Phyllospadix scouleri,angiosperm,1,3,4,4,NA,"Morris, Abbott, & Haderlie; Light & Smith",NA,all,both,NA,yes,NA,4241,18-Apr-24
608,169,ZZ_coded,Strongylocentrotus franciscanus,urchin,1,Phyllospadix scouleri,angiosperm,1,1,4,4,NA,NA,NA,very low,both,NA,yes,NA,8656,22-Apr-24
608,1001,ZZ,Lophopanopeus bellus digensis,true crab,1,Phyllospadix scouleri,angiosperm,1,3,3,6,NA,293,NA,low,both,NA,yes,NA,4044,13-Apr-24
608,557,ZZ,Lophopanopeus leucomanus leucomanus,true crab,1,Phyllospadix scouleri,angiosperm,1,3,3,6,NA,293,NA,low,both,NA,yes,NA,4036,13-Apr-24
608,1756,ZZ,Stenoplax heathiana,chiton,1,Phyllospadix scouleri,angiosperm,1,3,1,3,NA,311,NA,middle to low,both,NA,yes,NA,4358,22-Apr-24
608,556,ZZ,Cycloxanthops novemdentatus,true crab,1,Phyllospadix scouleri,angiosperm,1,3,NA,6,NA,"Morris, Abbott, & Haderlie",NA,low,both,NA,no,NA,2898,28-Mar-24
608,556,ZZ,Cycloxanthops novemdentatus,true crab,1,Phyllospadix scouleri,angiosperm,1,3,3,6,NA,293,NA,low,pools,NA,yes,NA,4020,13-Apr-24
608,482,ZZ,Paracerceis gilliana,isopod,1,Phyllospadix scouleri,angiosperm,1,3,4,4,NA,"Morris, Abbott, & Haderlie",NA,low,pools,NA,yes,NA,4192,17-Apr-24
608,252,ZZ,Bittium eschrichtii,snail,1,Phyllospadix scouleri,angiosperm,1,3,4,4,NA,"Morris, Abbott, & Haderlie",NA,low,both,NA,yes,NA,4225,18-Apr-24
608,1252,ZZ,Idotea ochotensis,isopod,1,Phyllospadix scouleri,angiosperm,1,3,4,4,NA,Light & Smith,NA,all,both,NA,yes,NA,4249,18-Apr-24
608,1777,ZZ_coded,Mopalia kennerleyi,chiton,1,Phyllospadix scouleri,angiosperm,1,1,4,4,NA,NA,NA,middle to low,both,NA,yes,NA,8080,22-Apr-24
608,1778,ZZ_coded,Mopalia lionota,chiton,1,Phyllospadix scouleri,angiosperm,1,1,4,4,NA,NA,NA,low,both,NA,yes,NA,8089,22-Apr-24
608,1779,ZZ_coded,Mopalia plumosa,chiton,1,Phyllospadix scouleri,angiosperm,1,1,4,4,NA,NA,NA,low,both,NA,yes,NA,8098,22-Apr-24
608,1763,ZZ_coded,Cyanoplax berryana,chiton,1,Phyllospadix scouleri,angiosperm,1,1,4,4,NA,NA,NA,middle to low,both,NA,yes,NA,8107,22-Apr-24
608,1764,ZZ_coded,Cyanoplax caverna,chiton,1,Phyllospadix scouleri,angiosperm,1,1,4,4,NA,NA,NA,middle to low,both,NA,yes,NA,8116,22-Apr-24
