resourceNum,resourceName,resourceCat,resourceStage,consumerNum,consumerName,consumerCat,consumerStage,interaction.type,confidence,justification,incl.code,ref_num,localities,zone,habitat,MorrisHaderlie,epibiota_consumed,notes,link.ID
101,Anthopleura elegantissima,anemone,1,101,Anthopleura elegantissima,anemone,1,1,3,6,2,"375, 376",Sanak Archipelago,all,pools,no,y,NA,14877
101,Anthopleura elegantissima,anemone,1,143,Dermasterias imbricata,sea star,1,1,2,3,2,6,"San Juan Island, WA;San Juan Island, WA;Shannon Point Beach, WA;University of Washington Friday Harbor Marine Laboratories, WA",all,pools,NA,NA,NA,44
101,Anthopleura elegantissima,anemone,1,143,Dermasterias imbricata,sea star,1,1,1,3,1,14,"Monterey Coast Guard Breakwater, CA;Stillwater Cove, Carmel Bay, CA",all,pools,no,NA,NA,1776
101,Anthopleura elegantissima,anemone,1,143,Dermasterias imbricata,sea star,1,1,2,3,1,436,,all,pools,y,NA,NA,135
101,Anthopleura elegantissima,anemone,1,143,Dermasterias imbricata,sea star,1,1,3,6,2,"375, 376",Sanak Archipelago,all,pools,no,y,NA,13251
101,Anthopleura elegantissima,anemone,1,15,Clinocottus analis,fish,1,1,3,6,2,"375, 376",Sanak Archipelago,all,pools,no,y,NA,13762
101,Anthopleura elegantissima,anemone,1,99,Anthopleura xanthogrammica,anemone,1,1,3,6,2,"375, 376",Sanak Archipelago,all,pools,no,y,NA,14869
101,Anthopleura elegantissima,anemone,1,2082,Clinocottus embryum,fish,1,1,3,6,2,"375, 376",Sanak Archipelago,all,pools,no,y,NA,13770
101,Anthopleura elegantissima,anemone,1,2083,Clinocottus globiceps,fish,1,1,3,6,2,"375, 376",Sanak Archipelago,all,pools,no,y,NA,13774
101,Anthopleura elegantissima,anemone,1,2081,Clinocottus acuticeps,fish,1,1,3,6,2,"375, 376",Sanak Archipelago,all,pools,no,y,NA,13766
101,Anthopleura elegantissima,anemone,1,2084,Clinocottus recalvus,fish,1,1,3,6,2,"375, 376",Sanak Archipelago,all,pools,no,y,NA,13778
101,Anthopleura elegantissima,anemone,1,2085,Clinocottus spp.,fish,1,1,3,6,2,"375, 376",Sanak Archipelago,all,pools,no,y,NA,13782
101,Anthopleura elegantissima,anemone,1,560,Hermissenda crassicornis,nudibranch,1,1,2,3,1,435,,low,pools,no,NA,NA,2486
101,Anthopleura elegantissima,anemone,1,560,Hermissenda crassicornis,nudibranch,1,1,3,6,2,"375, 376",Sanak Archipelago,all,pools,no,y,NA,17008
101,Anthopleura elegantissima,anemone,1,103,Anthopleura artemisia,anemone,1,1,3,6,2,"375, 376",Sanak Archipelago,all,pools,no,y,NA,14881
101,Anthopleura elegantissima,anemone,1,100,Anthopleura sola,anemone,1,1,3,6,2,"375, 376",Sanak Archipelago,all,pools,no,y,NA,14873
101,Anthopleura elegantissima,anemone,1,358,Aeolidia loui,nudibranch,1,3,1,3,1,4,"Hopkins Marine Laboratory, CA",all,pools,no,NA,NA,1771
101,Anthopleura elegantissima,anemone,1,358,Aeolidia loui,nudibranch,1,1,1,3,1,162,California,all,pools,NA,NA,NA,45
101,Anthopleura elegantissima,anemone,1,358,Aeolidia loui,nudibranch,1,3,1,3,1,175,"Naples Point, CA",all,pools,no,NA,NA,1845
101,Anthopleura elegantissima,anemone,1,358,Aeolidia loui,nudibranch,1,3,4,10,1,"436, 113",Santa Barbara,low,pools,y,NA,Aeolidia papillosa becomes Aeolidia loui S of Washington,366
101,Anthopleura elegantissima,anemone,1,358,Aeolidia loui,nudibranch,1,3,1,3,1,"436, 162",California,all,pools,NA,NA,NA,708
101,Anthopleura elegantissima,anemone,1,358,Aeolidia loui,nudibranch,1,3,2,3,1,465; 436,,low,pools,yes,NA,NA,2446
101,Anthopleura elegantissima,anemone,1,712,Homo sapiens,human,1,1,3,6,2,"375, 376",Sanak Archipelago,all,both,no,y,NA,14698
101,Anthopleura elegantissima,anemone,1,253,Epitonium tinctum,snail,1,3,2,3,1,"436, 113",Santa Barbara,low,pools,y,NA,NA,363
101,Anthopleura elegantissima,anemone,1,253,Epitonium tinctum,snail,1,3,2,3,1,436; 435,,high,both,yes,NA,NA,2380
101,Anthopleura elegantissima,anemone,1,569,Pycnogonum stearnsi,sea spider,1,3,2,3,1,"436, 113",Santa Barbara,low,pools,y,NA,NA,367
101,Anthopleura elegantissima,anemone,1,569,Pycnogonum stearnsi,sea spider,1,27,2,3,1,436; 435,,middle,pools,yes,no,NA,2561
101,Anthopleura elegantissima,anemone,1,254,Opalia wroblewskyi,snail,1,3,2,3,1,"436, 113",Santa Barbara,low,pools,y,NA,NA,364
101,Anthopleura elegantissima,anemone,1,254,Opalia wroblewskyi,snail,1,3,2,3,1,436; 435,,high,both,yes,NA,NA,2381
101,Anthopleura elegantissima,anemone,1,255,Opalia funiculata,snail,1,3,2,3,1,"436, 113",Santa Barbara,low,pools,y,NA,NA,365
101,Anthopleura elegantissima,anemone,1,255,Opalia funiculata,snail,1,3,2,5,2,527,"Cambria, CA",all,both,no,NA,"inat link confirms presence of predator, not interaction",2382
508,Betaeus harfordi,shrimp,1,15,Clinocottus analis,fish,1,1,1,3,1,7,"Los Angeles County, CA;Portugese Bend, CA",all,pools,NA,NA,NA,151
508,Betaeus harfordi,shrimp,1,3048,Nannopterum auritum,bird,1,1,2,6,1,414,"Mandarte Island, BC",low,pools,no,y,NA,20139
475,Cirolana harfordi,isopod,1,2,Gibbonsia elegans,fish,1,1,1,3,1,7,"Los Angeles;Portugese Bend, CA",all,pools,NA,NA,NA,17
475,Cirolana harfordi,isopod,1,2,Gibbonsia elegans,fish,1,1,1,3,1,436,California,all,pools,y,y,NA,20579
475,Cirolana harfordi,isopod,1,2,Gibbonsia elegans,fish,1,1,2,3,1,436,,middle,exposed,y,y,NA,927
475,Cirolana harfordi,isopod,1,6,Micrometrus minimus,fish,1,1,1,3,1,7,"Portugese Bend, CA",all,pools,NA,NA,NA,102
475,Cirolana harfordi,isopod,1,6,Micrometrus minimus,fish,1,1,1,3,1,436,California,all,pools,y,y,NA,20581
475,Cirolana harfordi,isopod,1,6,Micrometrus minimus,fish,1,1,2,3,1,436,,middle,exposed,y,y,NA,929
475,Cirolana harfordi,isopod,1,706,Apodichthys fucorum,fish,1,1,1,3,1,436,California,all,pools,y,y,NA,20580
475,Cirolana harfordi,isopod,1,706,Apodichthys fucorum,fish,1,1,2,3,1,436,,middle,exposed,y,y,NA,928
475,Cirolana harfordi,isopod,1,3018,Larus brachyrynchus,bird,1,1,2,6,1,407,"Active Pass, BC",middle,both,no,y,NA,19976
493,Idotea urotoma,isopod,1,540,Pugettia gracilis,true crab,1,1,3,6,2,"375, 376",Sanak Archipelago,middle,both,no,y,NA,17903
493,Idotea urotoma,isopod,1,2,Gibbonsia elegans,fish,1,1,1,3,1,7,"Los Angeles;Portugese Bend, CA",all,pools,NA,NA,reported as rectilinea,18
493,Idotea urotoma,isopod,1,1,Gibbonsia metzi,fish,1,1,1,3,1,7,"Los Angeles;Portugese Bend, CA",all,pools,NA,NA,reported as rectilinea,35
493,Idotea urotoma,isopod,1,6,Micrometrus minimus,fish,1,1,1,3,1,7,"Portugese Bend, CA",all,pools,NA,NA,reported as rectilinea,97
493,Idotea urotoma,isopod,1,15,Clinocottus analis,fish,1,1,3,6,2,"375, 376",Sanak Archipelago,middle,pools,no,y,NA,14203
493,Idotea urotoma,isopod,1,2086,Enophrys bison,fish,1,1,3,6,2,361,"mudflat in Northern California;Humboldt Bay, Humboldt County, Ca",low,pools,NA,yes,NA,11170
493,Idotea urotoma,isopod,1,2086,Enophrys bison,fish,1,1,3,6,2,361,"mudflat in Northern California;Dillon Beach, CA",low,pools,NA,yes,NA,11170
493,Idotea urotoma,isopod,1,19,Gobiesox maeandricus,fish,1,1,2,3,1,258,Straight of Juan de Fuca,middle,pools,no,NA,NA,2236
493,Idotea urotoma,isopod,1,19,Gobiesox maeandricus,fish,1,1,3,6,2,"375, 376",Sanak Archipelago,middle,pools,no,y,NA,13665
493,Idotea urotoma,isopod,1,2082,Clinocottus embryum,fish,1,1,3,6,2,"375, 376",Sanak Archipelago,middle,pools,no,y,NA,14245
493,Idotea urotoma,isopod,1,2083,Clinocottus globiceps,fish,1,1,3,6,2,"375, 376",Sanak Archipelago,middle,pools,no,y,NA,14266
493,Idotea urotoma,isopod,1,2081,Clinocottus acuticeps,fish,1,1,3,6,2,"375, 376",Sanak Archipelago,middle,pools,no,y,NA,14224
493,Idotea urotoma,isopod,1,984,Crangon handi,shrimp,1,1,3,6,2,"375, 376",Sanak Archipelago,middle,pools,no,y,NA,17675
493,Idotea urotoma,isopod,1,539,Pugettia producta,true crab,4,1,3,6,2,"375, 376",Sanak Archipelago,middle,both,no,y,NA,17882
493,Idotea urotoma,isopod,1,2084,Clinocottus recalvus,fish,1,1,3,6,2,"375, 376",Sanak Archipelago,middle,pools,no,y,NA,14287
493,Idotea urotoma,isopod,1,2085,Clinocottus spp.,fish,1,1,3,6,2,"375, 376",Sanak Archipelago,middle,pools,no,y,NA,14308
493,Idotea urotoma,isopod,1,3000,Cebidichthys violaceus,fish,4,1,2,6,1,359,"Central California;Diablo Canyon, CA",all,pools,NA,yes,NA,11087
493,Idotea urotoma,isopod,1,3002,Xiphister mucosus,fish,4,1,2,6,1,359,"Central California;Diablo Canyon, CA",all,pools,NA,yes,NA,11109
493,Idotea urotoma,isopod,1,3012,Haematopus bachmani,bird,1,1,3,6,2,"375, 376",Sanak Archipelago,middle,both,no,y,NA,18704
493,Idotea urotoma,isopod,1,992,Pugettia producta,true crab,2,1,3,6,2,"375, 376",Sanak Archipelago,middle,both,no,y,NA,17966
493,Idotea urotoma,isopod,1,2087,Gibbonsia montereyensis,fish,1,1,2,6,1,362,"Dillon Beach, CA;Bering Sea",low,pools,NA,yes,"termed a ""gammarid feeder""",11199
493,Idotea urotoma,isopod,1,541,Pugettia richii,true crab,1,1,3,6,2,"375, 376",Sanak Archipelago,middle,both,no,y,NA,17924
493,Idotea urotoma,isopod,1,542,Pugettia dalli,true crab,1,1,3,6,2,"375, 376",Sanak Archipelago,middle,both,no,y,NA,17945
493,Idotea urotoma,isopod,1,3049,Melanitta perspicillata,bird,1,1,3,6,2,"375, 376",Sanak Archipelago,middle,both,no,y,NA,18621
493,Idotea urotoma,isopod,1,1718,Amphiporus cruentatus,nemertean,1,1,3,6,2,"375, 376",Sanak Archipelago,middle,both,no,y,NA,16196
493,Idotea urotoma,isopod,1,1719,Amphiporus flavescens,nemertean,1,1,3,6,2,"375, 376",Sanak Archipelago,middle,both,no,y,NA,16217
493,Idotea urotoma,isopod,1,1720,Amphiporus formidabilis,nemertean,1,1,3,6,2,"375, 376",Sanak Archipelago,middle,both,no,y,NA,16238
493,Idotea urotoma,isopod,1,126,Amphiporus imparispinosus,nemertean,1,1,3,6,2,"375, 376",Sanak Archipelago,middle,both,no,y,NA,16175
493,Idotea urotoma,isopod,1,3018,Larus brachyrynchus,bird,1,1,2,6,1,407,"Active Pass, BC",middle,both,no,y,NA,19991
490,Pentidotea wosnesenskii,isopod,1,540,Pugettia gracilis,true crab,1,1,3,6,2,"375, 376",Sanak Archipelago,middle,both,no,y,NA,17900
490,Pentidotea wosnesenskii,isopod,1,2,Gibbonsia elegans,fish,1,1,1,3,1,7,"Los Angeles;Portugese Bend, CA",all,pools,NA,NA,NA,19
490,Pentidotea wosnesenskii,isopod,1,1,Gibbonsia metzi,fish,1,1,1,3,1,436,California,all,pools,y,y,NA,20587
490,Pentidotea wosnesenskii,isopod,1,6,Micrometrus minimus,fish,1,1,1,3,1,436,California,all,pools,y,y,NA,20588
490,Pentidotea wosnesenskii,isopod,1,6,Micrometrus minimus,fish,1,1,2,3,1,436,,low,pools,y,y,NA,934
490,Pentidotea wosnesenskii,isopod,1,15,Clinocottus analis,fish,1,1,3,6,2,"375, 376",Sanak Archipelago,middle,pools,no,y,NA,14200
490,Pentidotea wosnesenskii,isopod,1,3019,Larus glaucescens,bird,1,1,2,3,1,385,"Tatoosh Island, WA",middle,both,no,y,NA,19323
490,Pentidotea wosnesenskii,isopod,1,19,Gobiesox maeandricus,fish,1,1,3,6,2,"375, 376",Sanak Archipelago,middle,pools,no,y,NA,13662
490,Pentidotea wosnesenskii,isopod,1,2082,Clinocottus embryum,fish,1,1,3,6,2,"375, 376",Sanak Archipelago,middle,pools,no,y,NA,14242
490,Pentidotea wosnesenskii,isopod,1,2083,Clinocottus globiceps,fish,1,1,3,6,2,"375, 376",Sanak Archipelago,middle,pools,no,y,NA,14263
490,Pentidotea wosnesenskii,isopod,1,2081,Clinocottus acuticeps,fish,1,1,3,6,2,"375, 376",Sanak Archipelago,middle,pools,no,y,NA,14221
490,Pentidotea wosnesenskii,isopod,1,984,Crangon handi,shrimp,1,1,3,6,2,"375, 376",Sanak Archipelago,middle,pools,no,y,NA,17672
490,Pentidotea wosnesenskii,isopod,1,539,Pugettia producta,true crab,4,1,3,6,2,"375, 376",Sanak Archipelago,middle,both,no,y,NA,17879
490,Pentidotea wosnesenskii,isopod,1,2084,Clinocottus recalvus,fish,1,1,3,6,2,"375, 376",Sanak Archipelago,middle,pools,no,y,NA,14284
490,Pentidotea wosnesenskii,isopod,1,2085,Clinocottus spp.,fish,1,1,3,6,2,"375, 376",Sanak Archipelago,middle,pools,no,y,NA,14305
490,Pentidotea wosnesenskii,isopod,1,3012,Haematopus bachmani,bird,1,1,3,6,2,"375, 376",Sanak Archipelago,middle,both,no,y,NA,18701
490,Pentidotea wosnesenskii,isopod,1,992,Pugettia producta,true crab,2,1,3,6,2,"375, 376",Sanak Archipelago,middle,both,no,y,NA,17963
490,Pentidotea wosnesenskii,isopod,1,541,Pugettia richii,true crab,1,1,3,6,2,"375, 376",Sanak Archipelago,middle,both,no,y,NA,17921
490,Pentidotea wosnesenskii,isopod,1,542,Pugettia dalli,true crab,1,1,3,6,2,"375, 376",Sanak Archipelago,middle,both,no,y,NA,17942
490,Pentidotea wosnesenskii,isopod,1,3049,Melanitta perspicillata,bird,1,1,3,6,2,"375, 376",Sanak Archipelago,middle,both,no,y,NA,18618
490,Pentidotea wosnesenskii,isopod,1,1718,Amphiporus cruentatus,nemertean,1,1,3,6,2,"375, 376",Sanak Archipelago,middle,both,no,y,NA,16193
490,Pentidotea wosnesenskii,isopod,1,1719,Amphiporus flavescens,nemertean,1,1,3,6,2,"375, 376",Sanak Archipelago,middle,both,no,y,NA,16214
490,Pentidotea wosnesenskii,isopod,1,1720,Amphiporus formidabilis,nemertean,1,1,3,6,2,"375, 376",Sanak Archipelago,middle,both,no,y,NA,16235
490,Pentidotea wosnesenskii,isopod,1,126,Amphiporus imparispinosus,nemertean,1,1,3,6,2,"375, 376",Sanak Archipelago,middle,both,no,y,NA,16172
490,Pentidotea wosnesenskii,isopod,1,3018,Larus brachyrynchus,bird,1,1,2,6,1,407,"Active Pass, BC",middle,both,no,y,NA,19988
1253,Pentidotea resecata,isopod,1,540,Pugettia gracilis,true crab,1,1,3,6,2,"375, 376",Sanak Archipelago,all,both,no,y,NA,17911
1253,Pentidotea resecata,isopod,1,2,Gibbonsia elegans,fish,1,1,1,3,1,7,"Los Angeles;Portugese Bend, CA",all,pools,NA,NA,NA,20
1253,Pentidotea resecata,isopod,1,1,Gibbonsia metzi,fish,1,1,1,3,1,7,"Los Angeles;Portugese Bend, CA",all,pools,NA,NA,NA,33
1253,Pentidotea resecata,isopod,1,15,Clinocottus analis,fish,1,1,3,6,2,"375, 376",Sanak Archipelago,all,pools,no,y,NA,14211
1253,Pentidotea resecata,isopod,1,19,Gobiesox maeandricus,fish,1,1,3,6,2,"375, 376",Sanak Archipelago,all,pools,no,y,NA,13673
1253,Pentidotea resecata,isopod,1,2082,Clinocottus embryum,fish,1,1,3,6,2,"375, 376",Sanak Archipelago,all,pools,no,y,NA,14253
1253,Pentidotea resecata,isopod,1,2083,Clinocottus globiceps,fish,1,1,3,6,2,"375, 376",Sanak Archipelago,all,pools,no,y,NA,14274
1253,Pentidotea resecata,isopod,1,2081,Clinocottus acuticeps,fish,1,1,3,6,2,"375, 376",Sanak Archipelago,all,pools,no,y,NA,14232
1253,Pentidotea resecata,isopod,1,984,Crangon handi,shrimp,1,1,3,6,2,"375, 376",Sanak Archipelago,all,pools,no,y,NA,17683
1253,Pentidotea resecata,isopod,1,539,Pugettia producta,true crab,4,1,3,6,2,"375, 376",Sanak Archipelago,all,both,no,y,NA,17890
1253,Pentidotea resecata,isopod,1,2084,Clinocottus recalvus,fish,1,1,3,6,2,"375, 376",Sanak Archipelago,all,pools,no,y,NA,14295
1253,Pentidotea resecata,isopod,1,2085,Clinocottus spp.,fish,1,1,3,6,2,"375, 376",Sanak Archipelago,all,pools,no,y,NA,14316
1253,Pentidotea resecata,isopod,1,3012,Haematopus bachmani,bird,1,1,3,6,2,"375, 376",Sanak Archipelago,all,both,no,y,NA,18712
1253,Pentidotea resecata,isopod,1,992,Pugettia producta,true crab,2,1,3,6,2,"375, 376",Sanak Archipelago,all,both,no,y,NA,17974
1253,Pentidotea resecata,isopod,1,541,Pugettia richii,true crab,1,1,3,6,2,"375, 376",Sanak Archipelago,all,both,no,y,NA,17932
1253,Pentidotea resecata,isopod,1,542,Pugettia dalli,true crab,1,1,3,6,2,"375, 376",Sanak Archipelago,all,both,no,y,NA,17953
1253,Pentidotea resecata,isopod,1,3049,Melanitta perspicillata,bird,1,1,3,6,2,"375, 376",Sanak Archipelago,all,both,no,y,NA,18629
1253,Pentidotea resecata,isopod,1,1718,Amphiporus cruentatus,nemertean,1,1,3,6,2,"375, 376",Sanak Archipelago,all,both,no,y,NA,16204
1253,Pentidotea resecata,isopod,1,1719,Amphiporus flavescens,nemertean,1,1,3,6,2,"375, 376",Sanak Archipelago,all,both,no,y,NA,16225
1253,Pentidotea resecata,isopod,1,1720,Amphiporus formidabilis,nemertean,1,1,3,6,2,"375, 376",Sanak Archipelago,all,both,no,y,NA,16246
1253,Pentidotea resecata,isopod,1,126,Amphiporus imparispinosus,nemertean,1,1,3,6,2,"375, 376",Sanak Archipelago,all,both,no,y,NA,16183
1253,Pentidotea resecata,isopod,1,3018,Larus brachyrynchus,bird,1,1,2,6,1,407,"Active Pass, BC",all,both,no,y,NA,20053
430,Platynereis bicanaliculata,polychaete,1,430,Platynereis bicanaliculata,polychaete,1,1,3,6,2,"375, 376",Sanak Archipelago,low,both,no,y,NA,16525
430,Platynereis bicanaliculata,polychaete,1,2,Gibbonsia elegans,fish,1,1,1,3,1,7,"Los Angeles;Portugese Bend, CA",all,pools,NA,NA,NA,25
430,Platynereis bicanaliculata,polychaete,1,1,Gibbonsia metzi,fish,1,1,1,3,1,7,"Los Angeles;Portugese Bend, CA",all,pools,NA,NA,NA,40
430,Platynereis bicanaliculata,polychaete,1,6,Micrometrus minimus,fish,1,1,1,3,1,7,"Portugese Bend, CA",all,pools,NA,NA,NA,101
430,Platynereis bicanaliculata,polychaete,1,15,Clinocottus analis,fish,1,1,1,3,1,154,"Mexico;Granada cove, Ensanada, Baja California Mexico",all,pools,NA,NA,NA,509
430,Platynereis bicanaliculata,polychaete,1,15,Clinocottus analis,fish,1,1,3,6,2,"375, 376",Sanak Archipelago,low,pools,no,y,NA,13815
430,Platynereis bicanaliculata,polychaete,1,1596,Nereis eakini,polychaete,1,1,3,6,2,"375, 376",Sanak Archipelago,low,both,no,y,NA,16645
430,Platynereis bicanaliculata,polychaete,1,429,Nereis grubei,polychaete,1,1,3,6,2,"375, 376",Sanak Archipelago,low,both,no,y,NA,16510
430,Platynereis bicanaliculata,polychaete,1,1597,Nereis latescens,polychaete,1,1,3,6,2,"375, 376",Sanak Archipelago,low,both,no,y,NA,16660
430,Platynereis bicanaliculata,polychaete,1,1598,Nereis pelagica,polychaete,1,1,3,6,2,"375, 376",Sanak Archipelago,low,both,no,y,NA,16675
430,Platynereis bicanaliculata,polychaete,1,1599,Nereis procera,polychaete,1,1,3,6,2,"375, 376",Sanak Archipelago,low,both,no,y,NA,16690
430,Platynereis bicanaliculata,polychaete,1,1600,Nereis vexillosa,polychaete,1,1,3,6,2,"375, 376",Sanak Archipelago,low,both,no,y,NA,16705
430,Platynereis bicanaliculata,polychaete,1,3019,Larus glaucescens,bird,1,1,3,6,2,"375, 376",Sanak Archipelago,low,both,no,y,NA,18836
430,Platynereis bicanaliculata,polychaete,1,425,Halosydna brevisetosa,scale worm,1,10,2,3,1,436,,low,both,y,NA,NA,876
430,Platynereis bicanaliculata,polychaete,1,2082,Clinocottus embryum,fish,1,1,3,6,2,"375, 376",Sanak Archipelago,low,pools,no,y,NA,13845
430,Platynereis bicanaliculata,polychaete,1,2083,Clinocottus globiceps,fish,1,1,3,6,2,"375, 376",Sanak Archipelago,low,pools,no,y,NA,13860
430,Platynereis bicanaliculata,polychaete,1,2081,Clinocottus acuticeps,fish,1,1,3,6,2,"375, 376",Sanak Archipelago,low,pools,no,y,NA,13830
430,Platynereis bicanaliculata,polychaete,1,984,Crangon handi,shrimp,1,1,3,6,2,"375, 376",Sanak Archipelago,low,pools,no,y,NA,17633
430,Platynereis bicanaliculata,polychaete,1,1591,Eunereis longipes,polychaete,1,1,3,6,2,"375, 376",Sanak Archipelago,low,both,no,y,NA,16570
430,Platynereis bicanaliculata,polychaete,1,1594,Neanthes brandti,polychaete,1,1,3,6,2,"375, 376",Sanak Archipelago,low,both,no,y,NA,16615
430,Platynereis bicanaliculata,polychaete,1,1595,Neanthes virens,polychaete,1,1,3,6,2,"375, 376",Sanak Archipelago,low,both,no,y,NA,16630
430,Platynereis bicanaliculata,polychaete,1,2084,Clinocottus recalvus,fish,1,1,3,6,2,"375, 376",Sanak Archipelago,low,pools,no,y,NA,13875
430,Platynereis bicanaliculata,polychaete,1,2085,Clinocottus spp.,fish,1,1,3,6,2,"375, 376",Sanak Archipelago,low,pools,no,y,NA,13890
430,Platynereis bicanaliculata,polychaete,1,123,Emplectonema gracile,nemertean,1,1,3,6,2,"375, 376",Sanak Archipelago,low,both,no,y,NA,16060
430,Platynereis bicanaliculata,polychaete,1,3012,Haematopus bachmani,bird,1,1,3,6,2,"375, 376",Sanak Archipelago,low,both,no,y,NA,18655
430,Platynereis bicanaliculata,polychaete,1,124,Paranemertes peregrina,nemertean,1,1,1,3,1,436,,low,both,y,yes,NA,48
430,Platynereis bicanaliculata,polychaete,1,3013,Larus californicus,bird,1,1,2,6,1,410,"Alviso, CA;Aviso, CA",all,both,n,y,NA,11784
430,Platynereis bicanaliculata,polychaete,1,1589,Ceratonereis tunicatae,polychaete,1,1,3,6,2,"375, 376",Sanak Archipelago,low,both,no,y,NA,16540
430,Platynereis bicanaliculata,polychaete,1,1590,Cheilonereis cyclurus,polychaete,1,1,3,6,2,"375, 376",Sanak Archipelago,low,both,no,y,NA,16555
