resourceNum,resourceName,resourceCat,resourceStage,consumerNum,consumerName,consumerCat,consumerStage,interaction.type,ref_num,justification,localities,confidence,parasitic
2,Gibbonsia elegans,fish,1,2154,Trilospora californica,myxozoan,1,6,205,3,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island Mexico; Gulf of California; Southern California; New York Aquarium; Northern Californa; Northern California; Oregon, California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Washington, Oregon; Northeast Pacific",1,y
2,Gibbonsia elegans,fish,1,3017,Larus argentatus,bird,1,1,414,4,Mandarte Island; BC,4,n
2,Gibbonsia elegans,fish,1,3019,Larus glaucescens,bird,1,1,392,6,Kopachuck State Park; WA,2,n
2,Gibbonsia elegans,fish,1,3043,Egretta thula,bird,1,1,393,6,"Tampa Bay; FL; Florida; Tampa Bay, FL",2,n
2,Gibbonsia elegans,fish,1,3047,Urile penicillatus,bird,1,1,415,6,Northeast Pacific,1,n
3,Hypsoblennius gilberti,fish,1,10,Hypsoblennius jenkinsi,fish,1,20,12,3,Palos Verdes Peninsula; CA,1,n
3,Hypsoblennius gilberti,fish,1,418,Octopus bimaculoides,octopus,1,1,"436, 436; 435",3,NA,2,n
3,Hypsoblennius gilberti,fish,1,583,Amyloodinium ocellatum,dinoflagellate,1,7,11,3,Mississippi Sound,2,y
3,Hypsoblennius gilberti,fish,1,660,Larus occidentalis,bird,1,1,418,4,"California; Alcatraz Island; CA; California; East Anacapa Island, CA; Moss Landing, CA; Southeast Farallon Islands, CA; Santa Barbara Island, CA",4,n
3,Hypsoblennius gilberti,fish,1,747,Hypsoblennius gentilis,fish,1,20,12,3,Palos Verdes Peninsula; CA,1,n
3,Hypsoblennius gilberti,fish,1,1264,Gnathia steveni,isopod,3,3,"427, 428",4,NA,4,n
3,Hypsoblennius gilberti,fish,1,2104,Ceratomyxa gracilis,myxozoan,1,6,74,3,NA,2,y
3,Hypsoblennius gilberti,fish,1,2152,Ceratomyxa blennius,myxozoan,1,6,205,3,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island Mexico; Gulf of California; Southern California; New York Aquarium; Northern Californa; Northern California; Oregon, California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Washington, Oregon; Northeast Pacific",1,y
3,Hypsoblennius gilberti,fish,1,3017,Larus argentatus,bird,1,1,414,4,Mandarte Island; BC,4,n
3,Hypsoblennius gilberti,fish,1,3019,Larus glaucescens,bird,1,1,392,6,Kopachuck State Park; WA,2,n
3,Hypsoblennius gilberti,fish,1,3043,Egretta thula,bird,1,1,393,6,"Tampa Bay; FL; Florida; Tampa Bay, FL",2,n
4,Amphistichus koelzi,fish,1,660,Larus occidentalis,bird,1,1,418,4,"California; Alcatraz Island; CA; California; East Anacapa Island, CA; Moss Landing, CA; Southeast Farallon Islands, CA; Santa Barbara Island, CA",4,n
4,Amphistichus koelzi,fish,1,717,Ardea herodias,bird,1,1,379,6,British Columbia; Strait of Georgia; BC,3,n
4,Amphistichus koelzi,fish,1,1125,Bomolochus cuneatus,copepod,1,7,435,6,NA,3,y
4,Amphistichus koelzi,fish,1,1127,Holobomolochus embiotocae,copepod,1,7,435,6,NA,3,y
4,Amphistichus koelzi,fish,1,1171,Colobomatus embiotocae,copepod,1,7,205,3,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island Mexico; Gulf of California; Southern California; New York Aquarium; Northern Californa; Northern California; Oregon, California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Washington, Oregon; Northeast Pacific",1,y
4,Amphistichus koelzi,fish,1,1183,Caligus hobsoni,copepod,1,7,435,6,NA,3,y
4,Amphistichus koelzi,fish,1,1191,Clavella embiotocae,copepod,1,7,435,6,NA,3,y
4,Amphistichus koelzi,fish,1,1192,Clavella parva,copepod,1,7,435,6,NA,3,y
4,Amphistichus koelzi,fish,1,1195,Peniculus fissipes,copepod,1,7,435,6,NA,3,y
4,Amphistichus koelzi,fish,1,1229,Nerocila acuminata,isopod,1,7,425,4,Eastern Pacific; Eastern Pacific,3,y
4,Amphistichus koelzi,fish,1,1264,Gnathia steveni,isopod,3,3,"427, 428",4,NA,4,n
4,Amphistichus koelzi,fish,1,3017,Larus argentatus,bird,1,1,414,4,Mandarte Island; BC,4,n
4,Amphistichus koelzi,fish,1,3019,Larus glaucescens,bird,1,1,392,6,Kopachuck State Park; WA,2,n
4,Amphistichus koelzi,fish,1,3043,Egretta thula,bird,1,1,393,6,"Tampa Bay; FL; Florida; Tampa Bay, FL",2,n
5,Amphistichus argenteus,fish,1,660,Larus occidentalis,bird,1,1,418,4,"California; Alcatraz Island; CA; California; East Anacapa Island, CA; Moss Landing, CA; Southeast Farallon Islands, CA; Santa Barbara Island, CA",4,n
5,Amphistichus argenteus,fish,1,717,Ardea herodias,bird,1,1,379,6,British Columbia; Strait of Georgia; BC,3,n
5,Amphistichus argenteus,fish,1,1125,Bomolochus cuneatus,copepod,1,7,435,6,NA,3,y
5,Amphistichus argenteus,fish,1,1127,Holobomolochus embiotocae,copepod,1,7,435,6,NA,3,y
5,Amphistichus argenteus,fish,1,1171,Colobomatus embiotocae,copepod,1,7,205,3,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island Mexico; Gulf of California; Southern California; New York Aquarium; Northern Californa; Northern California; Oregon, California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Washington, Oregon; Northeast Pacific",1,y
5,Amphistichus argenteus,fish,1,1183,Caligus hobsoni,copepod,1,7,435,6,NA,3,y
5,Amphistichus argenteus,fish,1,1191,Clavella embiotocae,copepod,1,7,435,6,NA,3,y
5,Amphistichus argenteus,fish,1,1192,Clavella parva,copepod,1,7,435,6,NA,3,y
5,Amphistichus argenteus,fish,1,1195,Peniculus fissipes,copepod,1,7,435,6,NA,3,y
5,Amphistichus argenteus,fish,1,1229,Nerocila acuminata,isopod,1,7,425,3,Eastern Pacific; Eastern Pacific,3,y
5,Amphistichus argenteus,fish,1,1264,Gnathia steveni,isopod,3,3,"427, 428",4,NA,4,n
5,Amphistichus argenteus,fish,1,2117,Helicometrina nimia,trematode,1,6,205,3,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island Mexico; Gulf of California; Southern California; New York Aquarium; Northern Californa; Northern California; Oregon, California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Washington, Oregon; Northeast Pacific",1,y
5,Amphistichus argenteus,fish,1,2122,Helicometrina elongata,trematode,1,6,205,3,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island Mexico; Gulf of California; Southern California; New York Aquarium; Northern Californa; Northern California; Oregon, California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Washington, Oregon; Northeast Pacific",1,y
5,Amphistichus argenteus,fish,1,2124,Genitocotyle acirrus,trematode,1,6,205,3,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island Mexico; Gulf of California; Southern California; New York Aquarium; Northern Californa; Northern California; Oregon, California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Washington, Oregon; Northeast Pacific",1,y
5,Amphistichus argenteus,fish,1,2127,Nerocila californica,isopod,1,7,205,3,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island Mexico; Gulf of California; Southern California; New York Aquarium; Northern Californa; Northern California; Oregon, California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Washington, Oregon; Northeast Pacific",1,y
5,Amphistichus argenteus,fish,1,2157,Telolecithus pugetensis,trematode,1,6,205,3,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island Mexico; Gulf of California; Southern California; New York Aquarium; Northern Californa; Northern California; Oregon, California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Washington, Oregon; Northeast Pacific",1,y
5,Amphistichus argenteus,fish,1,2209,Diplangus triradiatus,trematode,1,6,205,3,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island Mexico; Gulf of California; Southern California; New York Aquarium; Northern Californa; Northern California; Oregon, California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Washington, Oregon; Northeast Pacific",1,y
5,Amphistichus argenteus,fish,1,2212,Encotyllabe embiotocae,monogene,1,7,205,3,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island Mexico; Gulf of California; Southern California; New York Aquarium; Northern Californa; Northern California; Oregon, California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Washington, Oregon; Northeast Pacific",1,y
5,Amphistichus argenteus,fish,1,2239,Lasiotocus sp.,trematode,1,6,205,3,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island Mexico; Gulf of California; Southern California; New York Aquarium; Northern Californa; Northern California; Oregon, California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Washington, Oregon; Northeast Pacific",1,y
5,Amphistichus argenteus,fish,1,2250,Monorchis sp.,trematode,1,6,205,3,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island Mexico; Gulf of California; Southern California; New York Aquarium; Northern Californa; Northern California; Oregon, California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Washington, Oregon; Northeast Pacific",1,y
5,Amphistichus argenteus,fish,1,2269,Pseudopecoelus umbrinae,trematode,1,6,205,3,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island Mexico; Gulf of California; Southern California; New York Aquarium; Northern Californa; Northern California; Oregon, California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Washington, Oregon; Northeast Pacific",1,y
5,Amphistichus argenteus,fish,1,3017,Larus argentatus,bird,1,1,414,4,Mandarte Island; BC,4,n
5,Amphistichus argenteus,fish,1,3019,Larus glaucescens,bird,1,1,392,6,Kopachuck State Park; WA,2,n
5,Amphistichus argenteus,fish,1,3043,Egretta thula,bird,1,1,393,6,"Tampa Bay; FL; Florida; Tampa Bay, FL",2,n
6,Micrometrus minimus,fish,1,586,Postmonorchis donacis,trematode,1,6,"205, 48, 48/49, 49",3,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island Mexico; Gulf of California; Southern California; New York Aquarium; Northern Californa; Northern California; Oregon, California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Washington, Oregon; Northeast Pacific;",1,y
6,Micrometrus minimus,fish,1,660,Larus occidentalis,bird,1,1,418,4,"California; Alcatraz Island; CA; California; East Anacapa Island, CA; Moss Landing, CA; Southeast Farallon Islands, CA; Santa Barbara Island, CA",4,n
6,Micrometrus minimus,fish,1,717,Ardea herodias,bird,1,1,379,6,British Columbia; Strait of Georgia; BC,3,n
6,Micrometrus minimus,fish,1,1125,Bomolochus cuneatus,copepod,1,7,435,6,NA,3,y
6,Micrometrus minimus,fish,1,1127,Holobomolochus embiotocae,copepod,1,7,435,6,NA,3,y
6,Micrometrus minimus,fish,1,1171,Colobomatus embiotocae,copepod,1,7,205,3,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island Mexico; Gulf of California; Southern California; New York Aquarium; Northern Californa; Northern California; Oregon, California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Washington, Oregon; Northeast Pacific",1,y
6,Micrometrus minimus,fish,1,1183,Caligus hobsoni,copepod,1,7,435,6,NA,3,y
6,Micrometrus minimus,fish,1,1191,Clavella embiotocae,copepod,1,7,435,6,NA,3,y
6,Micrometrus minimus,fish,1,1192,Clavella parva,copepod,1,7,435,6,NA,3,y
6,Micrometrus minimus,fish,1,1195,Peniculus fissipes,copepod,1,7,435,6,NA,3,y
6,Micrometrus minimus,fish,1,1227,Elthusa californica,isopod,1,6,435,3,NA,2,y
6,Micrometrus minimus,fish,1,1227,Elthusa californica,isopod,1,7,205,3,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island Mexico; Gulf of California; Southern California; New York Aquarium; Northern Californa; Northern California; Oregon, California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Washington, Oregon; Northeast Pacific",1,y
6,Micrometrus minimus,fish,1,1229,Nerocila acuminata,isopod,1,7,425,3,Eastern Pacific; Eastern Pacific,3,y
6,Micrometrus minimus,fish,1,1264,Gnathia steveni,isopod,3,3,"427, 428",4,NA,4,n
6,Micrometrus minimus,fish,1,2124,Genitocotyle acirrus,trematode,1,6,205,3,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island Mexico; Gulf of California; Southern California; New York Aquarium; Northern Californa; Northern California; Oregon, California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Washington, Oregon; Northeast Pacific",1,y
6,Micrometrus minimus,fish,1,2127,Nerocila californica,isopod,1,7,205,3,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island Mexico; Gulf of California; Southern California; New York Aquarium; Northern Californa; Northern California; Oregon, California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Washington, Oregon; Northeast Pacific",1,y
6,Micrometrus minimus,fish,1,2159,Schikhobalotrema girellae,trematode,1,6,205,3,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island Mexico; Gulf of California; Southern California; New York Aquarium; Northern Californa; Northern California; Oregon, California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Washington, Oregon; Northeast Pacific",1,y
6,Micrometrus minimus,fish,1,2165,Neozoogonus californicus,trematode,1,6,205,3,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island Mexico; Gulf of California; Southern California; New York Aquarium; Northern Californa; Northern California; Oregon, California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Washington, Oregon; Northeast Pacific",1,y
6,Micrometrus minimus,fish,1,3017,Larus argentatus,bird,1,1,414,4,Mandarte Island; BC,4,n
6,Micrometrus minimus,fish,1,3019,Larus glaucescens,bird,1,1,392,6,Kopachuck State Park; WA,2,n
6,Micrometrus minimus,fish,1,3043,Egretta thula,bird,1,1,393,6,"Tampa Bay; FL; Florida; Tampa Bay, FL",2,n
6,Micrometrus minimus,fish,1,3048,Nannopterum auritum,bird,1,1,415,6,Northeast Pacific,1,n
8,Atherinops affinis,fish,1,9,Triakis semifasciata,shark,1,1,"101, 121",3,"CA; USA; Elkhorn Slough, Monterey Bay, CA; CA, USA; California",1,n
8,Atherinops affinis,fish,1,660,Larus occidentalis,bird,1,1,418,3,"Alcatraz Island; CA; Alcatraz Island, CA; East Anacapa Island, CA; Moss Landing, CA; Southeast Farallon Islands, CA; Santa Barbara Island, CA",1,n
8,Atherinops affinis,fish,1,717,Ardea herodias,bird,1,1,378,3,San Francisco Bay; Charleston Slough,2,n
8,Atherinops affinis,fish,1,1124,Bomolochus constrictus,copepod,1,6,435,3,NA,2,y
8,Atherinops affinis,fish,1,1124,Bomolochus constrictus,copepod,1,7,205,3,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island Mexico; Gulf of California; Southern California; New York Aquarium; Northern Californa; Northern California; Oregon, California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Washington, Oregon; Northeast Pacific",1,y
8,Atherinops affinis,fish,1,1195,Peniculus fissipes,copepod,1,7,"205, 435",3,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island Mexico; Gulf of California; Southern California; New York Aquarium; Northern Californa; Northern California; Oregon, California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Washington, Oregon; Northeast Pacific;",1,y
8,Atherinops affinis,fish,1,1227,Elthusa californica,isopod,1,6,435,3,NA,2,y
8,Atherinops affinis,fish,1,1229,Nerocila acuminata,isopod,1,7,425,3,Eastern Pacific; Eastern Pacific,3,y
8,Atherinops affinis,fish,1,1264,Gnathia steveni,isopod,3,3,"427, 428",4,NA,4,n
8,Atherinops affinis,fish,1,2123,Contracaecum sp.,nematode,5,6,205,3,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island Mexico; Gulf of California; Southern California; New York Aquarium; Northern Californa; Northern California; Oregon, California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Washington, Oregon; Northeast Pacific",1,y
8,Atherinops affinis,fish,1,2127,Nerocila californica,isopod,1,7,205,3,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island Mexico; Gulf of California; Southern California; New York Aquarium; Northern Californa; Northern California; Oregon, California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Washington, Oregon; Northeast Pacific",1,y
8,Atherinops affinis,fish,1,2134,Sterna elegans,bird,1,1,400,3,"Southern California Bays; Bolsa Chica; CA; San Diego, CA",1,n
8,Atherinops affinis,fish,1,2136,Procamallanus (Spirocamallanus) pereirai,nematode,1,6,205,3,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island Mexico; Gulf of California; Southern California; New York Aquarium; Northern Californa; Northern California; Oregon, California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Washington, Oregon; Northeast Pacific",1,y
8,Atherinops affinis,fish,1,2155,Trichodina sp.,ciliate,1,7,205,3,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island Mexico; Gulf of California; Southern California; New York Aquarium; Northern Californa; Northern California; Oregon, California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Washington, Oregon; Northeast Pacific",1,y
8,Atherinops affinis,fish,1,2173,Ergasilus sp.,copepod,1,7,205,3,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island Mexico; Gulf of California; Southern California; New York Aquarium; Northern Californa; Northern California; Oregon, California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Washington, Oregon; Northeast Pacific",1,y
8,Atherinops affinis,fish,1,2189,Caligus serratus,copepod,1,7,205,3,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island Mexico; Gulf of California; Southern California; New York Aquarium; Northern Californa; Northern California; Oregon, California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Washington, Oregon; Northeast Pacific",1,y
8,Atherinops affinis,fish,1,2199,Galactosomum humbargari,trematode,5,6,205,3,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island Mexico; Gulf of California; Southern California; New York Aquarium; Northern Californa; Northern California; Oregon, California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Washington, Oregon; Northeast Pacific",1,y
8,Atherinops affinis,fish,1,2219,Gyrodactylus sp.,monogene,1,7,205,3,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island Mexico; Gulf of California; Southern California; New York Aquarium; Northern Californa; Northern California; Oregon, California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Washington, Oregon; Northeast Pacific",1,y
8,Atherinops affinis,fish,1,2363,Archigyrodactylus atherinops,monogene,1,7,205,3,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island Mexico; Gulf of California; Southern California; New York Aquarium; Northern Californa; Northern California; Oregon, California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Washington, Oregon; Northeast Pacific",1,y
