node,nodeID,nodeNum,nodeTaxon,synonymies,category,common_name,life_stage,life_stage_code,province,commonality,reference,zone,habitat_notes,grouping_habits,mobility,node_type,node_resolution,aphia,kingdom,phylum,class,order,family,genus,parasite,consumer_strategy,consumer_type
72_Acanthancora cyanocrypta,72_Acanthancora cyanocrypta,72,Acanthancora cyanocrypta,Hymenamphiastra cyanocrypta,sponge,NA,adult,1,Both,uncommon,436; 435,very low,NA,NA,sessile,Taxonomic,Species,169126,Animalia,Porifera,Demospongiae,Poecilosclerida,Hymedesmiidae,Acanthancora,n,filter feeder,predator
74_Leucilla nuttingi,74_Leucilla nuttingi,74,Leucilla nuttingi,NA,sponge,NA,adult,1,Both,present,436,low,NA,NA,sessile,Taxonomic,Species,164219,Animalia,Porifera,Calcarea,Leucosolenida,Amphoriscidae,Leucilla,n,filter feeder,predator
82_Ectopleura marina,82_Ectopleura marina,82,Ectopleura marina,"Tubularia, Pinauay",hydroid,NA,hydroid colony,5,Both,common,436; 435,NA,NA,colonial,sessile,Taxonomic,Species,285957,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Tubulariidae,Ectopleura,n,filter feeder,predator
83_Garveia annulata,83_Garveia annulata,83,Garveia annulata,NA,hydroid,NA,hydroid colony,5,Both,common,436; 435,NA,"Rocky intertidal zones of the open coast, especially in late winter, spring, frequent on sponges, coralline algae",colonial,sessile,Taxonomic,Species,284249,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Bougainvilliidae,Garveia,n,filter feeder,predator
85_Obelia dichotoma,85_Obelia dichotoma,85,Obelia dichotoma,NA,hydroid,NA,hydroid colony,5,Both,abundant,436; 435,low,occurring on many different substrates including swimming animals (ranging from sharks to copepods),colonial,sessile,Taxonomic,Species,117386,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Obelia,n,filter feeder,predator
86_Obelia bidentata,86_Obelia bidentata,86,Obelia bidentata,NA,hydroid,NA,hydroid colony,5,Both,abundant,436; 435,low,NA,colonial,sessile,Taxonomic,Species,117385,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Obelia,n,filter feeder,predator
87_Obelia geniculata,87_Obelia geniculata,87,Obelia geniculata,NA,hydroid,NA,hydroid colony,5,Both,abundant,436; 435,low,"On various substrates, especially algae",colonial,sessile,Taxonomic,Species,117388,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Obelia,n,filter feeder,predator
88_Amphisbetia furcata,88_Amphisbetia furcata,88,Amphisbetia furcata,Sertularia,hydroid,NA,hydroid colony,5,Both,common,436,low,grows on phyllospadix blades,colonial,sessile,Taxonomic,Species,585718,Animalia,Cnidaria,Hydrozoa,Leptothecata,Sertulariidae,Amphisbetia,n,filter feeder,predator
89_Xingyurella turgida,89_Xingyurella turgida,89,Xingyurella turgida,"Sertularia turgida, Sertularella turgida, Symplectoscyphus turgidus",hydroid,NA,hydroid colony,5,Both,common,436,low,NA,colonial,sessile,Taxonomic,Species,1301218,Animalia,Cnidaria,Hydrozoa,Leptothecata,Sertularellidae,Xingyurella,n,filter feeder,predator
91_Aglaophenia struthionides,91_Aglaophenia struthionides,91,Aglaophenia struthionides,NA,hydroid,ostrich plume hydroid,hydroid colony,5,Both,common,436; 435; 536,low,exposed rocky shores,colonial,sessile,Taxonomic,Species,284054,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Aglaophenia,n,filter feeder,predator
92_Aglaophenia latirostris,92_Aglaophenia latirostris,92,Aglaophenia latirostris,NA,hydroid,ostrich plume hydroid,hydroid colony,5,Both,abundant,436; 435; 536,low,"Common on rocks, large red, brown algae from the low intertidal",colonial,sessile,Taxonomic,Species,284035,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Aglaophenia,n,filter feeder,predator
93_Kirchenpaueria plumularioides,93_Kirchenpaueria plumularioides,93,Kirchenpaueria plumularioides,Plumularia sp.,hydroid,NA,hydroid colony,5,Both,common,436,low,NA,colonial,sessile,Taxonomic,Genus,284919,Animalia,Cnidaria,Hydrozoa,Leptothecata,Kirchenpaueriidae,Kirchenpaueria,n,filter feeder,predator
97_Halcampa decemtentaculata,97_Halcampa decemtentaculata,97,Halcampa decemtentaculata,NA,anemone,NA,adult,1,N,common,436; 435,low,"among Phyllospadix (surfgrass) holdfasts, holdfasts of laminarian kelp, or in gravelly tidepools.",NA,sessile,Taxonomic,Species,283565,Animalia,Cnidaria,Hexacorallia,Actiniaria,Halcampidae,Halcampa,n,filter feeder,predator
99_Anthopleura xanthogrammica,99_Anthopleura xanthogrammica,99,Anthopleura xanthogrammica,NA,anemone,NA,adult,1,N,common,436; 435; 536,NA,NA,solitary,sessile,Taxonomic,Species,283377,Animalia,Cnidaria,Hexacorallia,Actiniaria,Actiniidae,Anthopleura,n,filter feeder,predator
100_Anthopleura sola,100_Anthopleura sola,100,Anthopleura sola,NA,anemone,NA,adult,1,Both,abundant,436; 435,NA,NA,solitary,sessile,Taxonomic,Species,240753,Animalia,Cnidaria,Hexacorallia,Actiniaria,Actiniidae,Anthopleura,n,filter feeder,predator
101_Anthopleura elegantissima,101_Anthopleura elegantissima,101,Anthopleura elegantissima,NA,anemone,NA,adult,1,Both,abundant,436; 435; 536,NA,NA,colonial,sessile,Taxonomic,Species,283347,Animalia,Cnidaria,Hexacorallia,Actiniaria,Actiniidae,Anthopleura,n,filter feeder,predator
102_Epiactis prolifera,102_Epiactis prolifera,102,Epiactis prolifera,NA,anemone,NA,adult,1,Both,common,436; 435,"middle, low","on open coast on rocks, algae,, seagrass",solitary,sessile,Taxonomic,Species,283435,Animalia,Cnidaria,Hexacorallia,Actiniaria,Actiniidae,Epiactis,n,filter feeder,predator
103_Anthopleura artemisia,103_Anthopleura artemisia,103,Anthopleura artemisia,NA,anemone,NA,adult,1,Both,common,436; 435,low,pholad holes,solitary,sessile,Taxonomic,Species,283337,Animalia,Cnidaria,Hexacorallia,Actiniaria,Actiniidae,Anthopleura,n,filter feeder,predator
104_Urticina crassicornis,104_Urticina crassicornis,104,Urticina crassicornis,Tealia,anemone,NA,adult,1,N,present,436; 435,middle to low,"on undersides of large rocks, in protected pools.",solitary,sessile,Taxonomic,Species,100832,Animalia,Cnidaria,Hexacorallia,Actiniaria,Actiniidae,Urticina,n,filter feeder,predator
105_Urticina coriacea,105_Urticina coriacea,105,Urticina coriacea,Tealia,anemone,NA,adult,1,N,common,436; 435,middle to low,"buried in sand or gravel, which adheres to column",solitary,sessile,Taxonomic,Species,283441,Animalia,Cnidaria,Hexacorallia,Actiniaria,Actiniidae,Urticina,n,filter feeder,predator
106_Urticina lofotensis,106_Urticina lofotensis,106,Urticina lofotensis,Tealia lofotensis,anemone,NA,adult,1,Both,common,436; 435,low,"on outer coast; on rocks, in protected pools",solitary,sessile,Taxonomic,Species,240768,Animalia,Cnidaria,Hexacorallia,Actiniaria,Actiniidae,Urticina,n,filter feeder,predator
107_Metridium senile,107_Metridium senile,107,Metridium senile,NA,anemone,NA,adult,1,Both,abundant,436; 435,low,"Rocks, shells, floating docks, pilings; especially in bays. Occasionally found on the carapace, claws of kelp crabs",colonial,sessile,Taxonomic,Species,100982,Animalia,Cnidaria,Hexacorallia,Actiniaria,Metridiidae,Metridium,n,filter feeder,predator
109_Corynactis californica,109_Corynactis californica,109,Corynactis californica,NA,anemone,NA,adult,1,Both,present,436; 435,low,NA,colonial,sessile,Taxonomic,Species,283836,Animalia,Cnidaria,Hexacorallia,Corallimorpharia,Corallimorphidae,Corynactis,n,filter feeder,predator
110_Balanophyllia elegans,110_Balanophyllia elegans,110,Balanophyllia elegans,NA,anemone,orange cup coral,adult,1,Both,present,435,low,"on rocky open coasts, typically in surge channels, often under overhangs",colonial,sessile,Taxonomic,Species,1288908,Animalia,Cnidaria,Hexacorallia,Scleractinia,Dendrophylliidae,Balanophyllia,n,filter feeder,predator
123_Emplectonema viride,123_Emplectonema viride,123,Emplectonema viride,"Nemertopsis gracilis, Nemertea gracilis, Nemertes gracile, Emplectonema gracile",nemertean,ribbon worm,adult,1,Both,common,436; 536,"high, middle","among mussels, other surface cover on rocks, pilings, both exposed to surf, in muddy situations where barnacles occur, pathcy, several individuals often together in tangled masses",aggregating,mobile,Taxonomic,Species,122710,Animalia,Nemertea,Hoplonemertea,Monostilifera,Emplectonematidae,Emplectonema,n,typical predator,predator
124_Paranemertes peregrina,124_Paranemertes peregrina,124,Paranemertes peregrina,NA,nemertean,NA,adult,1,Both,common,436; 536,"middle, low",NA,solitary,mobile,Taxonomic,Species,162261,Animalia,Nemertea,Hoplonemertea,Monostilifera,Neesiidae,Paranemertes,n,typical predator,predator
126_Amphiporus imparispinosus,126_Amphiporus imparispinosus,126,Amphiporus imparispinosus,NA,nemertean,NA,adult,1,Both,common,436; 435,high,"under rocks, among algae/coralline algae on rocks, pilings, at exposed, quiet-water sites; patchy",solitary,mobile,Taxonomic,Species,156295,Animalia,Nemertea,Hoplonemertea,Monostilifera,Amphiporidae,Amphiporus,n,typical predator,predator
128_Tricellaria occidentalis,128_Tricellaria occidentalis,128,Tricellaria occidentalis,NA,bryozoan,NA,adult,1,both,common,436; 435,low,"common in fouling on boat hulls, other hard substrates, algae",colonial,sessile,Taxonomic,Species,395061,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Candidae,Tricellaria,n,filter feeder,predator
129_Bugula californica,129_Bugula californica,129,Bugula californica,NA,bryozoan,NA,adult,1,both,common,436,all,NA,colonial,sessile,Taxonomic,Species,396716,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,Bugula,n,filter feeder,predator
130_Bugula neritina,130_Bugula neritina,130,Bugula neritina,NA,bryozoan,NA,adult,1,both,common,436,all,fouling,colonial,sessile,Taxonomic,Species,111158,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,Bugula,n,filter feeder,predator
131_Dendrobeania laxa,131_Dendrobeania laxa,131,Dendrobeania laxa,NA,bryozoan,NA,adult,1,both,present,436,low,protected rocky coast,colonial,sessile,Taxonomic,Species,469233,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,Dendrobeania,n,filter feeder,predator
134_Integripelta bilabiata,134_Integripelta bilabiata,134,Integripelta bilabiata,Eurystomella bilibiata,bryozoan,NA,adult,1,N,common,436,low,encrusting on shells,colonial,sessile,Taxonomic,Species,466975,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Eurystomellidae,Integripelta,n,filter feeder,predator
135_Celleporina robertsoniae,135_Celleporina robertsoniae,135,Celleporina robertsoniae,"Cellepora costazi Robertson 1908, in part; Costazia robertsoniae of Osburn 1952, part; Celleporina ventricosa",bryozoan,NA,adult,1,Both,present,436; 435,low,"on erect stems of algae, hydroids, seagrasses, bryozoans, wood, shell; common on macrocystis",colonial,sessile,Taxonomic,Species,469568,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Celleporidae,Celleporina,n,filter feeder,predator
136_Celleporaria brunnea,136_Celleporaria brunnea,136,Celleporaria brunnea,NA,bryozoan,NA,adult,1,both,abundant,436; 435,low,"encrusting algae, stone, shell",colonial,sessile,Taxonomic,Species,394868,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Celleporidae,Celleporaria,n,filter feeder,predator
139_Flustrellidra corniculata,139_Flustrellidra corniculata,139,Flustrellidra corniculata,NA,bryozoan,NA,adult,1,N,present,436; 536,low,cold water,colonial,sessile,Taxonomic,Species,111620,Animalia,Bryozoa,Gymnolaemata,Ctenostomatida,Flustrellidridae,Flustrellidra,n,filter feeder,predator
140_Bowerbankia gracilis,140_Bowerbankia gracilis,140,Bowerbankia gracilis,NA,bryozoan,NA,adult,1,both,common,436,low,quiet waters (Puget Sound); rocks,colonial,sessile,Taxonomic,Species,111665,Animalia,Bryozoa,Gymnolaemata,Ctenostomatida,Vesiculariidae,Bowerbankia,n,filter feeder,predator
142_Linckia columbiae,142_Linckia columbiae,142,Linckia columbiae,NA,sea star,Pacific comet sea star,adult,1,S,present,436; 435,low,NA,solitary,sessile,Taxonomic,Species,378630,Animalia,Echinodermata,Asteroidea,Valvatida,Ophidiasteridae,Linckia,n,grazer,micropredator
143_Dermasterias imbricata,143_Dermasterias imbricata,143,Dermasterias imbricata,NA,sea star,leather star,adult,1,Both,uncommon,436; 435,low,NA,solitary,mobile,Taxonomic,Species,240771,Animalia,Echinodermata,Asteroidea,Valvatida,Asteropseidae,Dermasterias,n,typical predator,predator
144_Patiria miniata,144_Patiria miniata,144,Patiria miniata,NA,sea star,bat star,adult,1,Both,common,436; 435,low,"common N, uncommon S",solitary,mobile,Taxonomic,Species,382131,Animalia,Echinodermata,Asteroidea,Valvatida,Asterinidae,Patiria,n,carnivore (scavenger + predator),predator
145_Henricia leviuscula,145_Henricia leviuscula,145,Henricia leviuscula,NA,sea star,blood star,adult,1,Both,common,436; 435; 536,low,frequent on encrusted rocks,solitary,mobile,Taxonomic,Species,369117,Animalia,Echinodermata,Asteroidea,Spinulosida,Echinasteridae,Henricia,n,filter feeder,predator
146_Solaster dawsoni,146_Solaster dawsoni,146,Solaster dawsoni,NA,sea star,sun star,adult,1,N,uncommon,436; 435,low,NA,solitary,mobile,Taxonomic,Species,292720,Animalia,Echinodermata,Asteroidea,Valvatida,Solasteridae,Solaster,n,typical predator,predator
147_Astrometis sertulifera,147_Astrometis sertulifera,147,Astrometis sertulifera,NA,sea star,red/yellow star,adult,1,S,common,436; 435,very low,under rocks,solitary,mobile,Taxonomic,Species,255044,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Astrometis,n,typical predator,predator
148_Leptasterias pusilla,148_Leptasterias pusilla,148,Leptasterias pusilla,NA,sea star,NA,adult,1,N,common,436; 435,pools,range very small,solitary,mobile,Taxonomic,Species,379735,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Leptasterias,n,typical predator,predator
149_Leptasterias hexactis,149_Leptasterias hexactis,149,Leptasterias hexactis,NA,sea star,6 arm star,adult,1,N + Channel Islands,common,436; 536,middle,in small mytilus beds,solitary,mobile,Taxonomic,Species,369177,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Leptasterias,n,typical predator,predator
150_Pisaster ochraceus,150_Pisaster ochraceus,150,Pisaster ochraceus,NA,sea star,ochre star,adult,1,Both,common,436; 536,"middle, low",NA,solitary,mobile,Taxonomic,Species,240755,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,n,typical predator,predator
151_Pisaster giganteus,151_Pisaster giganteus,151,Pisaster giganteus,NA,sea star,blue knobby star,adult,1,Both,common,436,very low,NA,solitary,mobile,Taxonomic,Species,240758,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,n,typical predator,predator
153_Pisaster brevispinus,153_Pisaster brevispinus,153,Pisaster brevispinus,NA,sea star,pink star,adult,1,Both,occasional,436; 435,low,opportunistic scavenger,solitary,mobile,Taxonomic,Species,240757,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,n,typical predator,predator
154_Cucumaria pseudocurata,154_Cucumaria pseudocurata,154,Cucumaria pseudocurata,NA,cucumber,NA,adult,1,N,common,436; 435; 536,middle,upper mussel beds to zero tide (limited by Pycnopodia); in large aggregations on intertidal rocks,aggregating,mobile,Taxonomic,Species,528844,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Cucumaria,n,grazer,micropredator
155_Cucumaria miniata,155_Cucumaria miniata,155,Cucumaria miniata,NA,cucumber,NA,adult,1,N,common,436; 435; 536,low,"in crevices, under rocks",solitary,mobile,Taxonomic,Species,225807,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Cucumaria,n,deposit feeder,detritivore
156_Eupentacta quinquesemita,156_Eupentacta quinquesemita,156,Eupentacta quinquesemita,NA,cucumber,NA,adult,1,N,common,436; 435; 536,low,"in crevices, under rocks",solitary,mobile,Taxonomic,Species,529305,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Sclerodactylidae,Eupentacta,n,scavenger,scavenger
157_Pachythyone rubra,157_Pachythyone rubra,157,Pachythyone rubra,NA,cucumber,NA,adult,1,Both,common,436; 435,low,"holdfasts, seagrass beds",solitary,mobile,Taxonomic,Species,529582,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Sclerodactylidae,Pachythyone,n,deposit feeder,detritivore
159_Apostichopus californicus,159_Apostichopus californicus,159,Apostichopus californicus,Parastichopus californicus,cucumber,NA,adult,1,Both,common,436; 435,low,"common N, subtidal S",solitary,mobile,Taxonomic,Species,529363,Animalia,Echinodermata,Holothuroidea,Synallactida,Stichopodidae,Apostichopus,n,deposit feeder,detritivore
160_Ophiopholis aculeata,160_Ophiopholis aculeata,160,Ophiopholis aculeata,NA,brittle star,Daisy brittle star,adult,1,Both,common,436; 536,low,NA,solitary,mobile,Taxonomic,Species,125125,Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Ophiopholidae,Ophiopholis,n,deposit feeder,detritivore
161_Amphipholis squamata,161_Amphipholis squamata,161,Amphipholis squamata,NA,brittle star,NA,adult,1,Both,common,436; 435,low,NA,solitary,mobile,Taxonomic,Species,125064,Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphipholis,n,deposit feeder,detritivore
162_Amphipholis pugetana,162_Amphipholis pugetana,162,Amphipholis pugetana,NA,brittle star,NA,adult,1,Both,common,436; 435,low,NA,solitary,mobile,Taxonomic,Species,242878,Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphipholis,n,scavenger,scavenger
163_Ophiothrix spiculata,163_Ophiothrix spiculata,163,Ophiothrix spiculata,NA,brittle star,NA,adult,1,Both,common,436; 435,low,wide range of substrates,solitary,mobile,Taxonomic,Species,245237,Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Ophiotrichidae,Ophiothrix,n,deposit feeder,detritivore
164_Ophiothrix rudis,164_Ophiothrix rudis,164,Ophiothrix rudis,NA,brittle star,NA,adult,1,Both,present,436; 435,low,"Lives under rocks, in coarse sand,, associated with seagrass rhizomes.",solitary,mobile,Taxonomic,Species,245664,Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Ophiotrichidae,Ophiothrix,n,deposit feeder,detritivore
