id.x,species.x,alternate_nomenclature,category,common_name,functional_role,range,life_stage,body_size_mm,n_s_both,commonality,source,zone,habitat_notes,solitary_aggregating_colonial,mobile_or_sessile,preys_on,trophic_strategy,how_picky,eaten_by,non_trophic_epicommensal_w,mutualist_w,parasitized_by,unknown_symbiosis,parasitic_on,how_picky_symbiotically,notes,node_type,node_resolution,web_enter_code,enter_code_2,googled,justification,confidence,date_added,species2,id.y,kingdom,subkingdom,infrakingdom,phylum,class,subclass,order,family,genus,species.y,subphylum,infraphylum,parvphylum,gigaclass,superclass,subfamily,phylum_division,subphylum_subdivision,suborder,infraclass,subterclass,superfamily,tribe,superorder,infraorder,section,subsection,subgenus,parvorder
2309,Gigartina sp.,NA,red algae,NA,NA,varies,adult,NA,Both,present,Marine Algae of California,all,varies,solitary,sessile,NA,primary producer,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Genus,NA,add,NA,NA,NA,4/1/24,Gigartina,144155,Plantae,Biliphyta,NA,NA,Florideophyceae,Rhodymeniophycidae,Gigartinales,Gigartinaceae,Gigartina,NA,NA,NA,NA,NA,NA,NA,Rhodophyta,Eurhodophytina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2319,Rhizoclonium riparium,NA,green algae,NA,NA,Alaska to Chile,adult,NA,Both,common,Marine Algae of California,high to middle,tangled in masses on various substrata,aggregating,sessile,NA,primary producer,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,add,NA,NA,NA,4/1/24,Rhizoclonium riparium,145075,Plantae,Viridiplantae,NA,NA,Ulvophyceae,NA,Cladophorales,Cladophoraceae,Rhizoclonium,Rhizoclonium riparium,NA,NA,NA,NA,NA,NA,Chlorophyta,Chlorophytina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2314,Plocamium cartilagineum,NA,red algae,NA,NA,British Columbia to Mexico,adult,4000 - 25000,Both,common,Marine Algae of California,all,on rocks buried in sand,solitary,sessile,NA,primary producer,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,add,NA,NA,NA,4/1/24,Plocamium cartilagineum,145782,Plantae,Biliphyta,NA,NA,Florideophyceae,Rhodymeniophycidae,Plocamiales,Plocamiaceae,Plocamium,Plocamium cartilagineum,NA,NA,NA,NA,NA,NA,Rhodophyta,Eurhodophytina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2328,Canace sp.,NA,insect,shore fly,free living invertebrate eggs,NA,eggs,NA,Both,present,Light & Smith,all,tide-covered rocks that are clothed with Ulva,solitary,sessile,NA,non-feeding life stage,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Life Stage,NA,add,NA,NA,NA,4/5/24,Canace,150991,Animalia,NA,NA,Arthropoda,Hexapoda,Insecta,Diptera,Canacidae,Canace,NA,Crustacea,NA,NA,NA,Allotriocarida,NA,NA,NA,Brachycera,Pterygota,NA,Carnoidea,NA,NA,Muscomorpha,Schizophora,Acalyptrata,NA,NA
2326,Fucellia sp.,NA,insect,kelp fly,NA,NA,adult,NA,Both,common,Light & Smith,high to middle,"kelp wrack, typically on beaches",solitary,mobile,other kelp fly larvae,carnivore (scavenger + predator),NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Genus,NA,add,NA,NA,NA,4/5/24,Fucellia,151008,Animalia,NA,NA,Arthropoda,Hexapoda,Insecta,Diptera,Anthomyiidae,Fucellia,NA,Crustacea,NA,NA,NA,Allotriocarida,Anthomyiinae,NA,NA,Brachycera,Pterygota,NA,Muscoidea,NA,NA,Muscomorpha,Schizophora,Calyptrata,NA,NA
2327,Fucellia sp.,NA,insect,kelp fly,NA,NA,larva,NA,Both,common,Light & Smith,high to middle,"kelp wrack, typically on beaches",solitary,mobile,other kelp fly larvae,carnivore (scavenger + predator),NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Life Stage,NA,add,NA,NA,NA,4/5/24,Fucellia,151008,Animalia,NA,NA,Arthropoda,Hexapoda,Insecta,Diptera,Anthomyiidae,Fucellia,NA,Crustacea,NA,NA,NA,Allotriocarida,Anthomyiinae,NA,NA,Brachycera,Pterygota,NA,Muscoidea,NA,NA,Muscomorpha,Schizophora,Calyptrata,NA,NA
2337,Fucellia sp.,NA,insect,kelp fly,free living invertebrate eggs,NA,eggs,NA,Both,common,Light & Smith,high to middle,"kelp wrack, typically on beaches",solitary,sessile,other kelp fly larvae,non-feeding life stage,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Life Stage,NA,add,NA,NA,NA,4/5/24,Fucellia,151008,Animalia,NA,NA,Arthropoda,Hexapoda,Insecta,Diptera,Anthomyiidae,Fucellia,NA,Crustacea,NA,NA,NA,Allotriocarida,Anthomyiinae,NA,NA,Brachycera,Pterygota,NA,Muscoidea,NA,NA,Muscomorpha,Schizophora,Calyptrata,NA,NA
2332,Coelopa (Fucomyia) frigida,NA,insect,kelp fly,free living invertebrate eggs,NA,eggs,NA,NA,fairly common,Light & Smith; PO,all,sometimes common on drying seaweed,solitary,sessile,NA,non-feeding life stage,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Life Stage,NA,add,NA,NA,NA,4/5/24,Coelopa (Fucomyia) frigida,151065,Animalia,NA,NA,Arthropoda,Hexapoda,Insecta,Diptera,Coelopidae,Coelopa,Coelopa (Fucomyia) frigida,Crustacea,NA,NA,NA,Allotriocarida,NA,NA,NA,Brachycera,Pterygota,NA,Sciomyzoidea,NA,NA,Muscomorpha,Schizophora,Acalyptrata,Coelopa (Fucomyia),NA
2351,Aplysilla polyraphis,Aplysilla polyraphus,sponge,purple slippery sponge,NA,Washington to Baja California,adult,NA,Both,rare,Light & Smith,low,intertidal,colonial,sessile,NA,filter feeder,generalist,Chromodoris macfarlandi,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,add,NA,NA,NA,4/5/24,Aplysilla polyraphis,164864,Animalia,NA,NA,Porifera,Demospongiae,Keratosa,Dendroceratida,Darwinellidae,Aplysilla,Aplysilla polyraphis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2354,Oscarella carmela,NA,sponge,slime sponge,NA,North to Central California,adult,NA,N,uncommon,Muricy & Pearse 2004,high,as thin sheets on the sides of granite outcrops and on the edges and undersurface of boulders in high-zone tide pools,colonial,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,add,NA,NA,NA,4/5/24,Oscarella carmela,169715,Animalia,NA,NA,Porifera,Homoscleromorpha,NA,Homosclerophorida,Oscarellidae,Oscarella,Oscarella carmela,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2304,Stelletta estrella,NA,sponge,NA,NA,NA,adult,NA,S,unclear,Laubenfels 1932,low,"""Laguna Beach, intertidal.""",colonial,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,add,NA,NA,NA,4/1/24,Stelletta estrella,169931,Animalia,NA,NA,Porifera,Demospongiae,Heteroscleromorpha,Tetractinellida,Ancorinidae,Stelletta,Stelletta estrella,NA,NA,NA,NA,NA,NA,NA,NA,Astrophorina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2343,Holmesimysis costata,NA,mysid,mysid,NA,North to Central California,adult,NA,N,common,Light & Smith,low,Littoral species common under Macrocystis fronds and other kelp species forming canopies on or near water surface; Benthic on sand bottoms but can also be found in kelp.,aggregating,mobile,NA,omnivore,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,add,NA,NA,NA,4/5/24,Holmesimysis costata,226389,Animalia,NA,NA,Arthropoda,Malacostraca,Eumalacostraca,Mysida,Mysidae,Holmesimysis,Holmesimysis costata,Crustacea,NA,NA,NA,Multicrustacea,Mysinae,NA,NA,NA,NA,NA,NA,Neomysini,Peracarida,NA,NA,NA,NA,NA
2342,Columbiaemysis ignota,NA,mysid,mysid,NA,"British Columbia and Albion Cove, Mendocino, CA",adult,NA,N,rare,Light & Smith,low,brown macroalgae Laminaria and Nereocystis,aggregating,mobile,NA,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,add,NA,NA,NA,4/5/24,Columbiaemysis ignota,226521,Animalia,NA,NA,Arthropoda,Malacostraca,Eumalacostraca,Mysida,Mysidae,Columbiaemysis,Columbiaemysis ignota,Crustacea,NA,NA,NA,Multicrustacea,Mysinae,NA,NA,NA,NA,NA,NA,Neomysini,Peracarida,NA,NA,NA,NA,NA
2341,Alienacanthomysis macropsis,NA,mysid,mysid,NA,Alaska to San Francisco,adult,NA,N,uncommon,Light & Smith,all,NA,aggregating,mobile,NA,omnivore,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,add,NA,NA,NA,4/5/24,Alienacanthomysis macropsis,226662,Animalia,NA,NA,Arthropoda,Malacostraca,Eumalacostraca,Mysida,Mysidae,Alienacanthomysis,Alienacanthomysis macropsis,Crustacea,NA,NA,NA,Multicrustacea,Mysinae,NA,NA,NA,NA,NA,NA,Neomysini,Peracarida,NA,NA,NA,NA,NA
2344,Holmesimysis sculpta,NA,mysid,mysid,NA,NA,adult,NA,Both,present,Kathman et al 2002; Scripps Institute of Oceanography Zooplankton Guide,low,"Kelp canopies, surf zone",aggregating,mobile,NA,omnivore,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,add,NA,NA,NA,4/5/24,Holmesimysis sculpta,226918,Animalia,NA,NA,Arthropoda,Malacostraca,Eumalacostraca,Mysida,Mysidae,Holmesimysis,Holmesimysis sculpta,Crustacea,NA,NA,NA,Multicrustacea,Mysinae,NA,NA,NA,NA,NA,NA,Neomysini,Peracarida,NA,NA,NA,NA,NA
2305,Nereocystis luetkeana,NA,brown algae,bull kelp,NA,"Alaska to San Luis Obispo, CA",adult,2m,N,present,Marine Algae of California,low,isolated plants in low intertidal,solitary,sessile,NA,primary producer,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,add,NA,NA,NA,4/1/24,Nereocystis luetkeana,240752,Chromista,Harosa,Heterokonta,Ochrophyta,Phaeophyceae,Fucophycidae,Laminariales,Laminariaceae,Nereocystis,Nereocystis luetkeana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2293,Porichthys notatus,NA,fish,NA,NA,NA,adult,NA,Both,present,NA,low,NA,solitary,mobile,NA,typical predator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,add,NA,NA,NA,3/25/24,Porichthys notatus,275658,Animalia,NA,NA,Chordata,Teleostei,NA,Batrachoidiformes,Batrachoididae,Porichthys,Porichthys notatus,Vertebrata,Gnathostomata,Osteichthyes,Actinopterygii,Actinopteri,Porichthyinae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2356,Acanthochondria rectangularis,NA,copepod,NA,NA,NA,adult,NA,N,present,205,all,on Leptocottus armatus,solitary,sessile,NA,parasite,obligate specialist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,add,NA,NA,NA,4/5/24,Acanthochondria rectangularis,348372,Animalia,NA,NA,Arthropoda,Copepoda,NA,Cyclopoida,Chondracanthidae,Acanthochondria,Acanthochondria rectangularis,Crustacea,NA,NA,NA,Multicrustacea,NA,NA,NA,Ergasilida,Neocopepoda,NA,NA,NA,Podoplea,NA,NA,NA,NA,NA
2320,Rhodoglossum sp.,NA,red algae,NA,NA,Alaska to Baja California,adult,NA,Both,present,Marine Algae of California,middle to low,varies,solitary,sessile,NA,primary producer,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Genus,NA,add,NA,NA,NA,4/1/24,Rhodoglossum,370165,Plantae,Biliphyta,NA,NA,Florideophyceae,Rhodymeniophycidae,Gigartinales,Gigartinaceae,Rhodoglossum,NA,NA,NA,NA,NA,NA,NA,Rhodophyta,Eurhodophytina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2357,Pterobdella abditovesiculata,Aetabdella abditovesiculata,leech,NA,NA,NA,adult,NA,N,present,205,all,on Leptocottus armatus,NA,NA,NA,parasite,obligate specialist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,add,NA,NA,NA,4/5/24,Pterobdella abditovesiculata,370675,Animalia,NA,NA,Annelida,Clitellata,Hirudinea,Rhynchobdellida,Piscicolidae,Pterobdella,Pterobdella abditovesiculata,NA,NA,NA,NA,NA,Platybdellinae,NA,NA,NA,Euhirudinea,NA,NA,NA,NA,NA,NA,NA,NA,NA
2294,Bryopsis corticulans,NA,algae,NA,NA,NA,adult,NA,Both,present,UC Berkeley Herbarium - California Seaweeds eFlora,low,NA,solitary,sessile,NA,primary producer,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,add,NA,NA,NA,3/26/24,Bryopsis corticulans,371783,Plantae,Viridiplantae,NA,NA,Ulvophyceae,NA,Bryopsidales,Bryopsidaceae,Bryopsis,Bryopsis corticulans,NA,NA,NA,NA,NA,NA,Chlorophyta,Chlorophytina,Bryopsidineae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2303,Lessoniopsis littoralis,NA,brown algae,flat pompom kelp,NA,"Kodiak Island, AK, to Monterey, CA",adult,NA,N,present,Abbott & Hollenberg; UC Berkeley Herbarium - California Seaweeds eFlora,very low,in a narrow zone between Saccharina sessilis and Laminaria setchelli,solitary,sessile,NA,primary producer,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,add,NA,NA,NA,4/1/24,Lessoniopsis littoralis,372508,Chromista,Harosa,Heterokonta,Ochrophyta,Phaeophyceae,Fucophycidae,Laminariales,Alariaceae,Lessoniopsis,Lessoniopsis littoralis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2292,Pleurophycus gardneri,NA,algae,NA,NA,NA,adult,NA,N,present,NA,low,NA,solitary,sessile,NA,primary producer,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,add,NA,NA,NA,3/25/24,Pleurophycus gardneri,372517,Chromista,Harosa,Heterokonta,Ochrophyta,Phaeophyceae,Fucophycidae,Laminariales,Alariaceae,Pleurophycus,Pleurophycus gardneri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2350,Calliarthron tuberculosum,NA,coralline algae,NA,NA,Alaska to Baja California,adult,NA,Both,abundant,Marine Algae of California,low,low tidepools,aggregating,sessile,NA,primary producer,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,add,NA,NA,NA,4/5/24,Calliarthron tuberculosum,372537,Plantae,Biliphyta,NA,NA,Florideophyceae,Corallinophycidae,Corallinales,Corallinaceae,Calliarthron,Calliarthron tuberculosum,NA,NA,NA,NA,NA,Corallinoideae,Rhodophyta,Eurhodophytina,Corallinineae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2296,Farlowia mollis,NA,algae,Farlow's seaweed,NA,central Alaska to Baja California,adult,2000,Both,present,Biodiversity of the Central Coast,middle to low,"grows on rock, often partially buried in sand, in low intertidal and in pools in mid intertidal, outer coastlines",solitary,sessile,NA,primary producer,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,add,NA,NA,NA,4/1/24,Farlowia mollis,372571,Plantae,Biliphyta,NA,NA,Florideophyceae,Rhodymeniophycidae,Gigartinales,Dumontiaceae,Farlowia,Farlowia mollis,NA,NA,NA,NA,NA,NA,Rhodophyta,Eurhodophytina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2297,Griffithsia pacifica,NA,algae,NA,NA,Southern British Columbia to Baja California,adult,NA,Both,present,"AlgaeBase, Marine Algae of California",NA,"the occasional sponge, attatched to holdfasts of large kelp, epiphytic on other red algae and in isolated tufts on rocky substrate ",solitary,sessile,NA,primary producer,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,add,NA,NA,NA,4/1/24,Griffithsia pacifica,372577,Plantae,Biliphyta,NA,NA,Florideophyceae,Rhodymeniophycidae,Ceramiales,Wrangeliaceae,Griffithsia,Griffithsia pacifica,NA,NA,NA,NA,NA,NA,Rhodophyta,Eurhodophytina,NA,NA,NA,NA,Griffithsieae,NA,NA,NA,NA,NA,NA
2298,Halosaccion glandiforme,NA,algae,dead man's fingers,NA,"Aleutian Islands to Point Conception, CA",adult,NA,N,present,Biodiversity of the Central Coast,middle to low,"usually grows on rock, showing a very marked preference for the rough, exposed points of rock rather than the cracks and valleys",solitary,sessile,NA,primary producer,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,add,NA,NA,NA,4/1/24,Halosaccion glandiforme,372579,Plantae,Biliphyta,NA,NA,Florideophyceae,Nemaliophycidae,Palmariales,Palmariaceae,Halosaccion,Halosaccion glandiforme,NA,NA,NA,NA,NA,NA,Rhodophyta,Eurhodophytina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2321,Odonthalia floccosa,NA,red algae,sea brush,NA,"South British Columbia to Point Conception, CA",adult,40000,N,locally abundant,Marine Algae of California,all,restricted to intertidal rocks subjected to strong surf,solitary,sessile,NA,primary producer,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,add,NA,NA,NA,4/1/24,Odonthalia floccosa,372621,Plantae,Biliphyta,NA,NA,Florideophyceae,Rhodymeniophycidae,Ceramiales,Rhodomelaceae,Odonthalia,Odonthalia floccosa,NA,NA,NA,NA,NA,NA,Rhodophyta,Eurhodophytina,NA,NA,NA,NA,Rhodomeleae,NA,NA,NA,NA,NA,NA
2315,Plocamium oregonum,NA,red algae,NA,NA,"South British Columbia to Sonoma, CA",adult,13000,N,uncommon,Marine Algae of California,low,NA,solitary,sessile,NA,primary producer,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,add,NA,NA,NA,4/1/24,Plocamium oregonum,372632,Plantae,Biliphyta,NA,NA,Florideophyceae,Rhodymeniophycidae,Plocamiales,Plocamiaceae,Plocamium,Plocamium oregonum,NA,NA,NA,NA,NA,NA,Rhodophyta,Eurhodophytina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2316,Polysiphonia hendryi,NA,red algae,NA,NA,Alaska to Baja California,adult,1500,Both,common,Marine Algae of California,all,"varies, can be epiphtic",solitary,sessile,NA,primary producer,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species Complex,NA,add,NA,NA,NA,4/1/24,Polysiphonia hendryi,372637,Plantae,Biliphyta,NA,NA,Florideophyceae,Rhodymeniophycidae,Ceramiales,Rhodomelaceae,Polysiphonia,Polysiphonia hendryi,NA,NA,NA,NA,NA,NA,Rhodophyta,Eurhodophytina,NA,NA,NA,NA,Polysiphonieae,NA,NA,NA,NA,NA,NA
2318,Pterocladiella caloglossoides,Pterocladia caloglossoides,red algae,NA,NA,Central California to Baja California,adult,2000,S,rare,Marine Algae of California,all,intertidal,solitary,sessile,NA,primary producer,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,add,NA,NA,NA,4/1/24,Pterocladiella caloglossoides,374578,Plantae,Biliphyta,NA,NA,Florideophyceae,Rhodymeniophycidae,Gelidiales,Pterocladiaceae,Pterocladiella,Pterocladiella caloglossoides,NA,NA,NA,NA,NA,NA,Rhodophyta,Eurhodophytina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2300,Callopora minuscula,Hincksina minuscula,bryozoan,NA,NA,unknown,adult,NA,N,unclear,Goddard 1984,unknown,unknown,colonial,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,"can't find a source for this species (either genus) in any credible species lists except WORMS, which doesn't have a reference for the species. Only exists in diet reports by Jeff Goddard.",Taxonomic,Species,NA,add,NA,NA,NA,4/1/24,Callopora minuscula,469295,Animalia,NA,NA,Bryozoa,Gymnolaemata,NA,Cheilostomatida,Calloporidae,Callopora,Callopora minuscula,NA,NA,NA,NA,NA,NA,NA,NA,Flustrina,NA,NA,Calloporoidea,NA,NA,NA,NA,NA,NA,NA
2329,Canaceoides nudatus,NA,insect,beach fly,free living invertebrate eggs,NA,eggs,NA,Both,present,"Morris, Abbott, & Haderlie; Light & Smith",high to middle,on algae,solitary,sessile,"Enteromorpha sp., ""green algae"", Ulva sp.",non-feeding life stage,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Life Stage,NA,add,NA,NA,NA,4/5/24,Canaceoides nudatus,494288,Animalia,NA,NA,Arthropoda,Hexapoda,Insecta,Diptera,Canacidae,Canaceoides,Canaceoides nudatus,Crustacea,NA,NA,NA,Allotriocarida,NA,NA,NA,Brachycera,Pterygota,NA,Carnoidea,NA,NA,Muscomorpha,Schizophora,Acalyptrata,NA,NA
