reference_number,focal_consumer_taxon,focal_consumer_life_stage,resource_genus,resource_category,resource_phylum,resource_class,resource_order,resource_family,resource_taxonomic_resolution,general_location_of_study,id.x,resource_species,range,life_stage,body_size_mm,n_s_both,commonality,source,zone,habitat_notes,solitary_aggregating_colonial,mobile_or_sessile,eaten_by,parasitized_by,node_type,node_resolution,kingdom,subclass,infraclass,subterclass,superorder,superfamily,subphylum,subfamily,superclass,suborder,infraorder,parvorder,subkingdom,infrakingdom,tribe,subgenus,infraphylum,parvphylum,gigaclass,megaclass,phylum_division,subphylum_subdivision,subtribe,section,subsection,subspecies,epifamily
61,Amphipholis squamata,brooded embryos,Vibrio,NA,NA,NA,NA,NA,genus,"Specimens collected from Odiome Point and Appledore Island, USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,Amphipholis squamata,brooded embryos,Vibrio,NA,NA,NA,NA,NA,genus,*This paper just says that freshly collected specimens were held in lab....? I can't seem to figure out the exact location.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,Ancula pacifica,adult,Barentsia,entoproct,Entoprocta,NA,NA,Barentsiidae,phylum,"Naples Point, CA",780,Barentsia conferta,NA,adult,0.2 - 2,N,present,Light & Smith; Wasson 1997,low tidepools,"typically on red algae, especially erect coralline algae, but also on hydroids and bare rock; low intertidal pools",colonial,sessile,NA,NA,Taxonomic,Species,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,Ancula pacifica,adult,Barentsia,entoproct,Entoprocta,NA,NA,Barentsiidae,phylum,"Naples Point, CA",781,Barentsia discreta,NA,adult,0.2 - 2,S,common,Light & Smith; Wasson 1997,low,common on serpulid tubes; also on various other substrates,colonial,sessile,NA,NA,Taxonomic,Species,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,Ancula pacifica,adult,Barentsia,entoproct,Entoprocta,NA,NA,Barentsiidae,phylum,"Naples Point, CA",782,Barentsia parva,NA,adult,0.2 - 2,Both,present,Light & Smith; Wasson 1997,low,"ypically on other, larger colonial kamptozoans; also on thecate hydroids, bryozoans, and chaetopterid polychaete tubes",colonial,sessile,NA,NA,Taxonomic,Species,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,Ancula pacifica,adult,Barentsia,entoproct,Entoprocta,NA,NA,Barentsiidae,phylum,"Naples Point, CA",630,Barentsia ramosa,NA,adult,200 mm,Both,present,Wasson 1997,very low,"deep pools and overhangs; bare rock, hut it also grows on bryozoans,hydroids, and other organisms.",colonial,sessile,"Ancula pacifica, Cuthona sp.",NA,Taxonomic,Species,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,Ancula pacifica,adult,NA,entoproct,Entoprocta,NA,NA,Loxosomatidae,phylum,"Naples Point, CA",777,Loxosomella sp.,NA,adult,NA,Both,present,Light & Smith,all,on surface of filter feeding organisms,solitary,sessile,NA,NA,Taxonomic,Genus,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,Ancula pacifica,adult,Myosoma,entoproct,Entoprocta,NA,NA,Pedicellinidae,phylum,"Naples Point, CA",779,Myosoma spinosa,NA,adult,0.2 - 2,Both,present,"Light & Smith; Robertson 1900, Proc. Calif. Acad. Sci. 2: 323-348; Wasson 1997",low,"usually on living substrates (especially red algae, thecate hydroids, chaetopterid polychaete tubes, barentsiid kamptozoans)",colonial,sessile,NA,NA,Taxonomic,Species,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,Ancula pacifica,adult,Pedicellina,entoproct,Entoprocta,NA,NA,Pedicellinidae,phylum,"Naples Point, CA",778,Pedicellina newberryi,NA,adult,NA,Both,present,Light & Smith; Wasson 1997,low,"usually on thecate hydroids, bryozoans, barentsiid kamptozoans, or worm tubes",colonial,sessile,NA,NA,Taxonomic,Species,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,Anisodoris nobilis,adult,Prianos,NA,NA,NA,NA,NA,genus,"Meta-analysis, or literature summary, no exact location specified for each individual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
163,Anisodoris nobilis,adult,Prianos,NA,NA,NA,NA,NA,genus,San Diego (did not include any specific locations),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Anoplarchus purpurescens,adult,Alpheus,shrimp,Arthropoda,Malacostraca,Decapoda,Alpheidae,category,rocky headlands Straight of Juan de Fuca,986,Alpheus bellimanus,Eastern Pacific to Columbia,adult,NA,Both,present,Light & Smith,very low,"under rocks, and in holdfasts",solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Eumalacostraca,NA,NA,Eucarida,Alpheoidea,Crustacea,NA,Multicrustacea,Pleocyemata,Caridea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Anoplarchus purpurescens,adult,Alpheus,shrimp,Arthropoda,Malacostraca,Decapoda,Alpheidae,category,rocky headlands Straight of Juan de Fuca,507,Alpheus clamator,NA,adult,NA,Both,common,"Morris, Abbott, & Haderlie",low tidepools,in pools and crevices,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Eumalacostraca,NA,NA,Eucarida,Alpheoidea,Crustacea,NA,Multicrustacea,Pleocyemata,Caridea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Anoplarchus purpurescens,adult,Alpheus,shrimp,Arthropoda,Malacostraca,Decapoda,Alpheidae,category,rocky headlands Straight of Juan de Fuca,985,Alpheus sp.,Eastern Pacific,adult,NA,Both,present,Light & Smith,very low,"in sponges, kelp holdfasts, old pholad bore holes.",solitary,mobile,NA,NA,Taxonomic,Genus,Animalia,Eumalacostraca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Anoplarchus purpurescens,adult,Betaeus,shrimp,Arthropoda,Malacostraca,Decapoda,Alpheidae,category,rocky headlands Straight of Juan de Fuca,508,Betaeus harfordi,NA,adult,NA,Both,present,"Morris, Abbott, & Haderlie; Hart 1964; Light & Smith",low,commensal with abalone,paired,mobile,NA,NA,Taxonomic,Species,Animalia,Eumalacostraca,NA,NA,Eucarida,Alpheoidea,Crustacea,NA,Multicrustacea,Pleocyemata,Caridea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Anoplarchus purpurescens,adult,Betaeus,shrimp,Arthropoda,Malacostraca,Decapoda,Alpheidae,category,rocky headlands Straight of Juan de Fuca,510,Betaeus longidactylus,NA,adult,NA,Both,present,"Morris, Abbott, & Haderlie; Hart 1964; Light & Smith",tidepools,among rocks and algae in pools,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Eumalacostraca,NA,NA,Eucarida,Alpheoidea,Crustacea,NA,Multicrustacea,Pleocyemata,Caridea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Anoplarchus purpurescens,adult,Betaeus,shrimp,Arthropoda,Malacostraca,Decapoda,Alpheidae,category,rocky headlands Straight of Juan de Fuca,509,Betaeus macginitieae,NA,adult,NA,Both,present,"Morris, Abbott, & Haderlie; Light & Smith",low,commensal with urchins,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Eumalacostraca,NA,NA,Eucarida,Alpheoidea,Crustacea,NA,Multicrustacea,Pleocyemata,Caridea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Anoplarchus purpurescens,adult,Betaeus,shrimp,Arthropoda,Malacostraca,Decapoda,Alpheidae,category,rocky headlands Straight of Juan de Fuca,987,Betaeus setosus,Eastern Pacific,adult,NA,Both,present,Light & Smith,all,"Under rocks and in algae on semiprotected rocky coasts; in kelp holdfasts (especially Laminaria) and surfgrass (Phyllospadix) roots; on pilings. Small, symbiotic with pairs of Pachycheles rudis, underneath crabs, translucent, easily missed.",solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Eumalacostraca,NA,NA,Eucarida,Alpheoidea,Crustacea,NA,Multicrustacea,Pleocyemata,Caridea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Anoplarchus purpurescens,adult,Crangon,shrimp,Arthropoda,Malacostraca,Decapoda,Crangonidae,category,rocky headlands Straight of Juan de Fuca,702,Crangon alaskensis,NA,adult,NA,Both,common,PO; Light & Smith,NA,in shallow water of bays and soft bottoms,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Eumalacostraca,NA,NA,Eucarida,Crangonoidea,Crustacea,NA,Multicrustacea,Pleocyemata,Caridea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Anoplarchus purpurescens,adult,Crangon,shrimp,Arthropoda,Malacostraca,Decapoda,Crangonidae,category,rocky headlands Straight of Juan de Fuca,984,Crangon handi,"Shell Beach, Sonoma County, to Bahia Colnett, northern Baja California.",adult,51,N,present,Light & Smith; Kuris and Carlton 1977,NA,"Coarse sand of coves and surge channels, sometimes among surfgrass along rocky outer coast, matching substrate in color",solitary,mobile,Platyrhinoides triseriata,NA,Taxonomic,Species,Animalia,Eumalacostraca,NA,NA,Eucarida,Crangonoidea,Crustacea,NA,Multicrustacea,Pleocyemata,Caridea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Anoplarchus purpurescens,adult,Heptacarpus,shrimp,Arthropoda,Malacostraca,Decapoda,Thoridae,category,rocky headlands Straight of Juan de Fuca,511,Heptacarpus brevirostris,NA,adult,NA,N,present,"Morris, Abbott, & Haderlie; Light & Smith",low tidepools,among rocks and algae in pools,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Eumalacostraca,NA,NA,Eucarida,Alpheoidea,Crustacea,NA,Multicrustacea,Pleocyemata,Caridea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Anoplarchus purpurescens,adult,Heptacarpus,shrimp,Arthropoda,Malacostraca,Decapoda,Thoridae,category,rocky headlands Straight of Juan de Fuca,513,Heptacarpus carinatus,NA,adult,NA,Both,common,Light & Smith,tidepools,among rocks and algae in pools,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Eumalacostraca,NA,NA,Eucarida,Alpheoidea,Crustacea,NA,Multicrustacea,Pleocyemata,Caridea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Anoplarchus purpurescens,adult,Heptacarpus,shrimp,Arthropoda,Malacostraca,Decapoda,Thoridae,category,rocky headlands Straight of Juan de Fuca,988,Heptacarpus palpator,NA,adult,NA,N,present,Light & Smith,low,in tidepools and under rocks,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Eumalacostraca,NA,NA,Eucarida,Alpheoidea,Crustacea,NA,Multicrustacea,Pleocyemata,Caridea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Anoplarchus purpurescens,adult,Heptacarpus,shrimp,Arthropoda,Malacostraca,Decapoda,Thoridae,category,rocky headlands Straight of Juan de Fuca,515,Heptacarpus paludicola,NA,adult,NA,NA,common,Light & Smith,middle,"In Zostera beds and on algae, such as Ulva, in shallow pools on mudflats; on wharf pilings, floats; also in mid-intertidal pools of rocky coast;",solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Eumalacostraca,NA,NA,Eucarida,Alpheoidea,Crustacea,NA,Multicrustacea,Pleocyemata,Caridea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Anoplarchus purpurescens,adult,Heptacarpus,shrimp,Arthropoda,Malacostraca,Decapoda,Thoridae,category,rocky headlands Straight of Juan de Fuca,512,Heptacarpus pictus,NA,adult,NA,Both,abundant,"Morris, Abbott, & Haderlie",tidepools,among rocks and algae in pools,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Eumalacostraca,NA,NA,Eucarida,Alpheoidea,Crustacea,NA,Multicrustacea,Pleocyemata,Caridea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Anoplarchus purpurescens,adult,Heptacarpus,shrimp,Arthropoda,Malacostraca,Decapoda,Thoridae,category,rocky headlands Straight of Juan de Fuca,989,Heptacarpus pugettensis,NA,adult,NA,N,present,Light & Smith,very low,aggregate under boulders,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Eumalacostraca,NA,NA,Eucarida,Alpheoidea,Crustacea,NA,Multicrustacea,Pleocyemata,Caridea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Anoplarchus purpurescens,adult,Heptacarpus,shrimp,Arthropoda,Malacostraca,Decapoda,Thoridae,category,rocky headlands Straight of Juan de Fuca,514,Heptacarpus sitchensis,NA,adult,NA,NA,common,Light & Smith,middle,"tidepools, Zostera beds, on floats",solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Eumalacostraca,NA,NA,Eucarida,Alpheoidea,Crustacea,NA,Multicrustacea,Pleocyemata,Caridea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Anoplarchus purpurescens,adult,Heptacarpus,shrimp,Arthropoda,Malacostraca,Decapoda,Thoridae,category,rocky headlands Straight of Juan de Fuca,990,Heptacarpus taylori,NA,adult,NA,N,present,Light & Smith,middle,"under rocks and clumps of bryozoans, sponges; in algae",solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Eumalacostraca,NA,NA,Eucarida,Alpheoidea,Crustacea,NA,Multicrustacea,Pleocyemata,Caridea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Anoplarchus purpurescens,adult,Hippolyte,shrimp,Arthropoda,Malacostraca,Decapoda,Hippolytidae,category,rocky headlands Straight of Juan de Fuca,517,Hippolyte californiensis,NA,adult,NA,Both,common,"Morris, Abbott, & Haderlie; Light & Smith",low,"on eelgrass, nocturnal",solitary,mobile,Podiceps nigricollis,Bopyrina striata,Taxonomic,Species,Animalia,Eumalacostraca,NA,NA,Eucarida,Alpheoidea,Crustacea,NA,Multicrustacea,Pleocyemata,Caridea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Anoplarchus purpurescens,adult,Hippolyte,shrimp,Arthropoda,Malacostraca,Decapoda,Hippolytidae,category,rocky headlands Straight of Juan de Fuca,518,Hippolyte clarki,NA,adult,NA,S,common,"Morris, Abbott, & Haderlie",low,"on eelgrass, nocturnal",solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Eumalacostraca,NA,NA,Eucarida,Alpheoidea,Crustacea,NA,Multicrustacea,Pleocyemata,Caridea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Anoplarchus purpurescens,adult,Lysmata,shrimp,Arthropoda,Malacostraca,Decapoda,Lysmatidae,category,rocky headlands Straight of Juan de Fuca,516,Lysmata californica,NA,adult,NA,S - Both? possible range expansion,common,"Morris, Abbott, & Haderlie",low tidepools,among rocks and algae in pools,solitary,mobile,"Gymnothorax mordax, Hypsypops rubicunda, Cheilotrema saturnum",NA,Taxonomic,Species,Animalia,Eumalacostraca,NA,NA,Eucarida,Alpheoidea,Crustacea,NA,Multicrustacea,Pleocyemata,Caridea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Anoplarchus purpurescens,adult,Spirontocaris,shrimp,Arthropoda,Malacostraca,Decapoda,Thoridae,category,rocky headlands Straight of Juan de Fuca,519,Spirontocaris prionota,NA,adult,NA,N,uncommon,"Morris, Abbott, & Haderlie",low tidepools,under stones,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Eumalacostraca,NA,NA,Eucarida,Alpheoidea,Crustacea,NA,Multicrustacea,Pleocyemata,Caridea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Anoplarchus purpurescens,adult,Armatobalanus,barnacle,Arthropoda,Thecostraca,Balanomorpha,Balanidae,category,rocky headlands Straight of Juan de Fuca,459,Armatobalanus nefrens,Monterey Bay to South,adult,NA,Both,present,"Morris, Abbott, & Haderlie",low,on and in hydrocorals,solitary,sessile,NA,NA,Taxonomic,Species,Animalia,Cirripedia,Thoracica,NA,Thoracicalcarea,Balanoidea,Crustacea,Archaeobalaninae,Multicrustacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Anoplarchus purpurescens,adult,Balanus,barnacle,Arthropoda,Thecostraca,Balanomorpha,Balanidae,category,rocky headlands Straight of Juan de Fuca,469,Balanus aquila,NA,adult,NA,Both,uncommon,"Morris, Abbott, & Haderlie",low,rocks,aggregating,sessile,NA,NA,Taxonomic,Species,Animalia,Cirripedia,Thoracica,NA,Thoracicalcarea,Balanoidea,Crustacea,Balaninae,Multicrustacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Anoplarchus purpurescens,adult,Balanus,barnacle,Arthropoda,Thecostraca,Balanomorpha,Balanidae,category,rocky headlands Straight of Juan de Fuca,465,Balanus crenatus,NA,adult,NA,Both,uncommon,"Morris, Abbott, & Haderlie; Light & Smith",low,on rocks,aggregating,sessile,NA,NA,Taxonomic,Species,Animalia,Cirripedia,Thoracica,NA,Thoracicalcarea,Balanoidea,Crustacea,Balaninae,Multicrustacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Anoplarchus purpurescens,adult,Balanus,barnacle,Arthropoda,Thecostraca,Balanomorpha,Balanidae,category,rocky headlands Straight of Juan de Fuca,463,Balanus glandula,NA,adult,NA,Both,abundant,"Morris, Abbott, & Haderlie; Light & Smith",high to middle,"on rocks and other organisms, with Endocladia muricata",aggregating,sessile,"Nucella emarginata, Pisaster ochraceus, Leptasterias hexactis",NA,Taxonomic,Species,Animalia,Cirripedia,Thoracica,NA,Thoracicalcarea,Balanoidea,Crustacea,Balaninae,Multicrustacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Anoplarchus purpurescens,adult,Balanus,barnacle,Arthropoda,Thecostraca,Balanomorpha,Balanidae,category,rocky headlands Straight of Juan de Fuca,464,Balanus glandula,NA,juvenile,NA,Both,abundant,"Morris, Abbott, & Haderlie",high to middle,"on rocks and other organisms, with Endocladia muricata",aggregating,sessile,limpets,NA,Taxonomic,Species,Animalia,Cirripedia,Thoracica,NA,Thoracicalcarea,Balanoidea,Crustacea,Balaninae,Multicrustacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Anoplarchus purpurescens,adult,Balanus,barnacle,Arthropoda,Thecostraca,Balanomorpha,Balanidae,category,rocky headlands Straight of Juan de Fuca,470,Balanus nubilus,NA,adult,NA,Both,common,"Morris, Abbott, & Haderlie; Light & Smith",low,rocks,aggregating,sessile,humans,NA,Taxonomic,Species,Animalia,Cirripedia,Thoracica,NA,Thoracicalcarea,Balanoidea,Crustacea,Balaninae,Multicrustacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Anoplarchus purpurescens,adult,Balanus,barnacle,Arthropoda,Thecostraca,Balanomorpha,Balanidae,category,rocky headlands Straight of Juan de Fuca,468,Balanus regalis,NA,adult,NA,S,present,"Morris, Abbott, & Haderlie",low,surf washed rocks,aggregating,sessile,NA,NA,Taxonomic,Species,Animalia,Cirripedia,Thoracica,NA,Thoracicalcarea,Balanoidea,Crustacea,Balaninae,Multicrustacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Anoplarchus purpurescens,adult,Balanus,barnacle,Arthropoda,Thecostraca,Balanomorpha,Balanidae,category,rocky headlands Straight of Juan de Fuca,466,Balanus trigonus,Monterey Bay to South,adult,NA,Both,present,"Morris, Abbott, & Haderlie; Light & Smith",low,"hard shelled inverts, embedded in sponges or coral, other hard substrate",aggregating,sessile,NA,NA,Taxonomic,Species,Animalia,Cirripedia,Thoracica,NA,Thoracicalcarea,Balanoidea,Crustacea,Balaninae,Multicrustacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Anoplarchus purpurescens,adult,Chthamalus,barnacle,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,category,rocky headlands Straight of Juan de Fuca,456,Chthamalus dalli,Alaska to San Diego,adult,NA,Both,common,"Morris, Abbott, & Haderlie",high to middle,"on rocks, dessication tolerant",aggregating,sessile,"Nucella emarginata, Pisaster ochraceus",Hemioniscus balani,Taxonomic,Species,Animalia,Cirripedia,Thoracica,NA,Thoracicalcarea,Chthamaloidea,Crustacea,NA,Multicrustacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
