fixed_y_n,id,species,alternate_nomenclature,category,common_name,functional_role,range,life_stage,body_size_mm,n_s_both,commonality,source,zone,habitat_notes,solitary_aggregating_colonial,mobile_or_sessile,preys_on,trophic_strategy,how_picky,eaten_by,non_trophic_epicommensal_w,mutualist_w,parasitized_by,unknown_symbiosis,parasitic_on,how_picky_symbiotically,notes,node_type,node_resolution,web_enter_code,enter_code_2,googled,justification,confidence,x41,clean_zone,kingdom,phylum,class,subclass,order,family,genus
Aegialites fuchsi�,1528,Aegialites fuchsii,NA,insect,NA,NA,NA,adult,NA,NA,present,Light & Smith,all,Found in rock crevices,solitary,mobile,organic matter and aquatic mites,omnivore,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Aglaophenia struthionides,91,Aglaophenia struthioides,NA,hydroid,ostrich plume hydroid,650,Alaska to Southern California,hydroid,NA,Both,common,"Morris, Abbott, & Haderlie; Light & Smith",low,exposed rocky shores,colonial,sessile,NA,filter feeder,generalist,"Dendronotus subramosus, Doto sp.",NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,3,fix,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Alcyonidium parasiticum,631,Alcyonidium cf. parasiticum,NA,bryozoan,NA,NA,NA,adult,NA,N,present,Light & Smith,low,"thickly encrusts erect hydroids, bryozoans; shallow water to 10 m",colonial,sessile,NA,filter feeder,generalist,NA,"erect hydroids, bryozoans",NA,NA,NA,NA,NA,NA,Taxonomic,Genus,3,fix,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
as is,981,Alcyonium sp.,"Gersemia rubiformis""",octocoral,sea strawberry,NA,"Alaska to Sonoma County, CA",adult,NA,N,present,Light & Smith,low,NA,colonial,sessile,NA,filter feeder,generalist,Tritonia festiva,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,12:44.9,low,NA,NA,NA,NA,NA,NA,NA
Aldisa sanguinea,320,Aldisia sanguinea,NA,nudibranch,blood spot,NA,Oregon to Mexico,adult,NA,Both,rare,"Morris, Abbott, & Haderlie; Light & Smith",low,common at Pt. Pinos,solitary,mobile,"Ophlitaspongia pennata, Clathria brepha",micropredator,NA,NA,NA,NA,NA,NA,NA,NA,not all prey are intertidal,Taxonomic,Species,5,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Aleochara (Coprochara) sulcicollis,1487,Aleochara sulcicollis,NA,insect,NA,NA,NA,adult,NA,NA,unclear,Light & Smith,all,in decaying vegetation,solitary,mobile,eggs and larvae of flies that are laid in decaying algae and other vegetation,typical predator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Allorchestes angustus,1331,Allorchestes angusta,A. malleola,gammarid,NA,NA,NA,adult,10,NA,present,Light & Smith,all,NA,solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
as is,985,Alpheus sp.,NA,shrimp,snapping shrimp,NA,Eastern Pacific,adult,NA,Both,present,Light & Smith,very low,"in sponges, kelp holdfasts, old pholad bore holes.",solitary,mobile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Genus,NA,NA,NA,NA,NA,12:44.9,very low,NA,NA,NA,NA,NA,NA,NA
as is,1099,Alteuthella sp.,NA,copepod,NA,zooplankton,"Piedras Blancas, CA",adult,NA,N,present,Light & Smith,all,on macroalgae and eelgrass blades,aggregating,mobile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Genus,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
no idea what's wrong with this one,1804,Alvania almo,NA,microsnail,NA,NA,Columbia River to Point Conception,adult,NA,N,present,Light & Smith,all,can be collected by screening algae and eelgrass and by taking sand and gravel,solitary,mobile,diatoms and microalgal films.,grazer,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
as is,1458,Ameronothroiid mites,NA,mite,NA,NA,NA,adult,0.18-2,NA,present,Light & Smith,all,"aquatic or semiaquatic; on the seashore, they are mostly herbivorous and may be found in large numbers, generally restricted to the upper intertidal.",solitary,mobile,NA,grazer,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Family,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
no idea what's wrong with this one,911,Amphinema turrida,NA,plankton,NA,NA,Monterey Bay to Mexico,medusa,NA,Both,rare,Light & Smith,low,NA,solitary,mobile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,12:44.9,low,NA,NA,NA,NA,NA,NA,NA
Amphipholis pugetana,162,Amphipholus pugetana,NA,brittle star,NA,NA,NA,adult,32,Both,common,"Morris, Abbott, & Haderlie; Light & Smith",low,NA,solitary,mobile,NA,scavenger,generalist,NA,parasitized by Rhopalura ophiocomae,NA,NA,NA,NA,NA,NA,Taxonomic,Species,3,fix,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Amphipholis squamata,161,Amphipholus squamata,NA,brittle star,NA,NA,NA,adult,21,Both,common,"Morris, Abbott, & Haderlie; Light & Smith",low,NA,solitary,mobile,"unicellular algae, protozoa, small animals, detritus",deposit feeder,generalist,NA,NA,NA,internal copepod parasites that may castrate the host,"an orthonectid, a turbellarian, a polychaete, external copepods",NA,NA,NA,Taxonomic,Species,2,fix,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Nipponnemertes bimaculata,125,Amphiporus bimaculatus,NA,nemertean,ribbon worm,NA,Alaska to Mexico,adult,NA,Both,common,"Morris, Abbott, & Haderlie; Light & Smith",low,"on and in rock crevices and pilings, among algae and other surface cover, also under rocks",solitary,mobile,NA,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
no idea what's wrong with this one,1297,Ampithoe simulans,NA,gammarid,NA,NA,NA,adult,30,NA,present,Light & Smith,all,"Among algae and Phyllospadix of open and semiprotected coasts,",solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Anisolabis maritima,1476,Anisolabis marítima,NA,insect,seaside earwig,NA,British Columbia to California,adult,NA,Both,present,Light & Smith,high,"During the day, the earwigs hide in crevices, waiting until night to feed on other insects.",solitary,mobile,"other insects, cannibalism",typical predator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,high,NA,NA,NA,NA,NA,NA,NA
Anoplodactylus californicus,1438,Anoplodactylus califomicus,NA,sea spider,NA,NA,pantemperate/pantropical.,adult,NA,Both,unclear,Light & Smith,all,NA,solitary,mobile,NA,typical predator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Anteaeolidiella oliviae,359,Anteaeolidiella olivae,"Spurilla olivae, Aeolidella olivae",nudibranch,Olive's spurilla,NA,NA,adult,20-35mm,Both,uncommon,"Morris, Abbott, & Haderlie",low tidepools,shaded pools,solitary,mobile,"Metridium senile, Epiactis prolifera, Coryanactis californica",micropredator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Antho (Plocamia) lambei,22,Antho lambei,NA,sponge,NA,NA,NA,adult,NA,Central,rare,Light & Smith,middle to low,caves with standing water,NA,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,confirm whether to include,Taxonomic,Species,NA,NA,NA,NA,NA,NA,middle,NA,NA,NA,NA,NA,NA,NA
Anthopleura artemisia,103,Anthopleura artemesia,NA,anemone,NA,NA,NA,adult,NA,Both,common,"Morris, Abbott, & Haderlie; Light & Smith",low,pholad holes,solitary,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Aoroides intermedius,1276,Aoroides intermedia,NA,gammarid,NA,NA,NA,adult,6,NA,present,Light & Smith,all,NA,solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
as is,1646,Aphelochaeta spp.,NA,polychaete,NA,NA,NA,adult,NA,Both,unclear,Light & Smith,all,NA,solitary,mobile,NA,deposit feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Apolochus litoralis,1341,Apolochus littoralis,NA,gammarid,NA,NA,NA,adult,2.3,NA,rare,Light & Smith,low,rocks and shell and among coralline algae,solitary,mobile,NA,grazer,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Hesperaptyxis luteopictus,292,Aptyxis luteopictus,Fusinus luteopictus,snail,painted spindle,NA,NA,adult,NA,Both,NA,"Morris, Abbott, & Haderlie",low,NA,solitary,mobile,NA,typical predator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Hamatoscalpellum californicum,454,Arcoscalpellum californicum,NA,barnacle,bowed lancet barnacle,NA,Monterey Bay to South,adult,NA,S,present,"Morris, Abbott, & Haderlie",very low,on rocks and other organisms,solitary,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,very low,NA,NA,NA,NA,NA,NA,NA
Ascidicola rosea,1123,Ascidocola rosea,NA,copepod,NA,invertebrate endoparasite,cosmopolitan,adult,NA,Both,present,Light & Smith,all,in ascidians,solitary,sessile,NA,parasite,generalist,NA,NA,NA,NA,NA,ascidians,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Turbonilla laminata,1868,Bartschella laminata,NA,snail,NA,NA,"Monterey, CA to South",adult,NA,Both,unclear,Light & Smith,all,"ectoparasitic on invertebrate hosts, in general",solitary,mobile,NA,parasite,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Dendrochiton flectens,406,Basiliochiton heathii,NA,chiton,NA,NA,NA,adult,NA,N,rare,"Morris, Abbott, & Haderlie",very low,NA,solitary,mobile,microalgal film,grazer,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,2,fix,NA,NA,NA,NA,very low,NA,NA,NA,NA,NA,NA,NA
Betaeus macginitieae,509,Betaeus macginiteae,NA,shrimp,NA,NA,NA,adult,NA,Both,present,"Morris, Abbott, & Haderlie; Light & Smith",low,commensal with urchins,solitary,mobile,NA,NA,obligate specialist,NA,"Strongylocentrotus purpuratus, Mesocentrotus franciscanus",NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
as is,442,Bispira sp.,Sabella crassicornis,polychaete,plume worm,NA,NA,adult,NA,Both,present,"Morris, Abbott, & Haderlie; Light & Smith",low,"membranous, sand encrusted tube extending from crevices; Rocky and mixed bottoms; tube membranous covered with muddy sand and debris",solitary,sessile,"""diatoms, algal spores. Protozoans, fine detritus""",filter feeder,generalist,"""fishes""",NA,NA,NA,NA,NA,NA,fish are maybe micropredators on worms because they can regenerate somewhat,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Chrysallida lucca,1861,Boonea lucca,NA,snail,NA,NA,Columbia River to Point Conception,adult,NA,N,unclear,Light & Smith,all,"ectoparasitic on invertebrate hosts, in general",solitary,mobile,NA,parasite,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Bopyrella calmani�,1220,Bopyriscus caimani,NA,isopod,NA,NA,Central California to Southern California,adult,NA,Both,double check,Light & Smith,all,on branchial chamber of the snapping shrimp,solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,Alpheus sp.,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Bossiella orbigniana,615,Bossiella orbigniana ,Amphiroa orbigniana,corraline algae,NA,NA,NA,adult,<100,S,uncommon,http://biology.fullerton.edu/biol317/Murray/Fall97/coralline_algae.html,low to very low,rocks,aggregating,sessile,NA,primary producer,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Odostomia angularis,1864,Brachystomia angularis,NA,snail,NA,NA,Columbia River to Point Conception,adult,NA,N,unclear,Light & Smith,all,"In roots of surfgrass Phyllospadix; ectoparasitic on invertebrate hosts, in general",solitary,mobile,NA,parasite,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Caberea ellisii�,803,Caberia ellisii,NA,bryozoan,NA,NA,"arctic Atlantic to English Channel and Cape Cod; reported from Alaska, British Columbia, Puget Sound, Channel Islands, and Baja California",adult,2 - 200,Both,present,Light & Smith,low,NA,colonial,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Cadlina limbaughorum,310,Cadlina limbaughourum,Cadlina limbaughi,nudibranch,Limbaugh's cadlina,NA,Southern California to Mexico,adult,NA,S,uncommon,"Morris, Abbott, & Haderlie; Light & Smith",low,under stones,solitary,mobile,"Axinella sp., Dysidea amblia, and Leiosella idia.",micropredator,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Neotrypaea biffari�,520,Callianassa affinis,NA,ghost shrimp,beach ghost shrimp,NA,NA,adult,NA,S,unclear,"Morris, Abbott, & Haderlie",middle,sandy gravel between and beneath boulders,solitary,mobile,NA,scavenger,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,2,fix,NA,NA,NA,NA,middle,NA,NA,NA,NA,NA,NA,NA
Calliostoma canaliculatum�,231,Calliostoma caniculatum,NA,topsnail,channeled topsnail,NA,NA,adult,NA,Both,uncommon,"Morris, Abbott, & Haderlie; Light & Smith",very low,occur on Macrocystis,solitary,mobile,"Macrocystis pyrifera, anything growing on Macrocystis",omnivore,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,very low,NA,NA,NA,NA,NA,NA,NA
Callistochiton crassicostatus,407,Callistochiton crassiocostatus,NA,chiton,NA,NA,NA,adult,NA,Both,present,"Morris, Abbott, & Haderlie; Light & Smith",middle to low,under rocks,solitary,mobile,microalgal film,grazer,generalist,NA,NA,NA,NA,NA,NA,NA,assuming all chiton eat microalgal film unless otherwise noted,Taxonomic,Species,2,fix,NA,NA,NA,NA,middle,NA,NA,NA,NA,NA,NA,NA
Callopora corniculifera�,804,Callopora comiculifera,NA,bryozoan,NA,NA,British Columbia to Santa Catalina Island,adult,2 - 200,Both,present,Light & Smith,all,"encrusting rock, shell",colonial,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Canace sp.,1469,Canace aldrichi,NA,insect,shore fly,NA,NA,adult,NA,Both,present,Light & Smith,all,tide-covered rocks that are clothed with Ulva,solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Canaceoides nudatus,581,Canacenoides nudatus,NA,insect,beach fly,NA,NA,adult,NA,Both,present,"Morris, Abbott, & Haderlie; Light & Smith",high to middle,on algae,solitary,mobile,"Enteromorpha sp., ""green algae"", Ulva sp.",grazer,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,2,NA,NA,NA,NA,NA,high,NA,NA,NA,NA,NA,NA,NA
Cancer antennaria,549,Cancer antennarius,NA,true crab,rock crab,NA,NA,adult,NA,Both,fairly common,"Morris, Abbott, & Haderlie; light & Smith",low,NA,solitary,mobile,"Pagurus sp., ""wide variety of other animals""",carnivore (scavenger + predator),generalist,humans,"Iphitime holobranchiata (Iphitimid polychaetes recorded from branchial cavity in southern California (Pilger 1972, Bull. So. Calif. Acad. Sci 70: 84–87))",NA,Carcinonemertes epialti,NA,NA,NA,NA,Taxonomic,Species,2,fix,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Cancerilla neozelanica,1189,Cancerilla neozelandica,NA,copepod,NA,invertebrate ectoparasite,NA,adult,NA,NA,present,Light & Smith,all,external parasites of the brittle star Amphipholis squamata,solitary,sessile,NA,parasite,specialist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Cancerilla tubulata,1190,"Cancerilla neozelandica Stephensen, 1933. Cancerilla tubulata,",NA,copepod,NA,invertebrate ectoparasite,NA,adult,NA,NA,present,Light & Smith,all,external parasites of the brittle star Amphipholis squamata,solitary,sessile,NA,parasite,specialist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
no idea what's wrong with this one,1413,Caprella penantis,NA,caprellid,NA,NA,Monterey Bay to South and Atlantic,adult,NA,Both,present,Light & Smith,all,NA,solitary,mobile,NA,grazer,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Carinonajna barnardi,1322,Carinonajna bamardi,NA,gammarid,NA,NA,NA,adult,9.5,NA,present,Light & Smith,all,"burrow into and form galls in the stipes and holdfasts of intertidal and shallow subtidal macrophytes including Alaria, Egregia, Macrocystis, and Lessoniopsis (from family description)",solitary,mobile,macroalgae,parasite,generalist,NA,NA,NA,NA,NA,"Alaria, Egregia, Macrocystis, and Lessoniopsis (from family dsecritions)",NA,gall-forming,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
as is,1306,Cerapus spp.,NA,gammarid,NA,NA,Eastern Pacific,adult,3.2,NA,present,Light & Smith,all,"build thick, pliable, striped, cylindrical tubes open at both ends on hard surfaces",solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,tube building,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Ceratostoma nuttalli�,273,Ceratostoma nuttali,NA,murex,Nuttall's hornmouth,NA,NA,adult,NA,S,present,"Morris, Abbott, & Haderlie",middle to low,rubble,solitary,mobile,"Mytilus californianus, Mytilus edulis",typical predator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,1,NA,NA,NA,NA,NA,middle,NA,NA,NA,NA,NA,NA,NA
Ceratostoma nuttalli�,1836,Ceratostoma nuttali,NA,snail,NA,NA,Columbia River to Point Conception,eggs,NA,S,present,Light & Smith,middle to low,egg capsules on rocks,aggregating,sessile,NA,non-feeding life stage,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Life Stage,NA,NA,NA,NA,NA,NA,middle,NA,NA,NA,NA,NA,NA,NA
Cercyon fimbriatus,1482,Cercyon fimbriatum,NA,insect,NA,NA,NA,adult,NA,NA,present,Light & Smith,high,"High-intertidal zones, on rocky shores",solitary,mobile,saprophytic fungi and bacteria,detritivore,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,high,NA,NA,NA,NA,NA,NA,NA
Cercyon fimbriatus,1483,Cercyon fimbriatum,NA,insect,NA,NA,NA,larvae,NA,NA,present,Light & Smith,high,"High-intertidal zones, on rocky shores",solitary,mobile,"soft-skinned, slow-moving animals, such as annelids",typical predator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Life Stage,NA,NA,NA,NA,NA,NA,high,NA,NA,NA,NA,NA,NA,NA
Cercyon luniger,1484,Cercyon lunigerum,NA,insect,NA,NA,NA,adult,NA,NA,present,Light & Smith,all,"High-intertidal zones, on rocky shoresl with other beetles swarming as part of the decaying kelp community",aggregating,mobile,saprophytic fungi and bacteria,detritivore,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Cercyon luniger,1485,Cercyon lunigerum,NA,insect,NA,NA,NA,larvae,NA,NA,present,Light & Smith,all,"High-intertidal zones, on rocky shoresl with other beetles swarming as part of the decaying kelp community",aggregating,mobile,"soft-skinned, slow-moving animals, such as annelids",typical predator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Life Stage,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
as is,1467,Chironomids,NA,insect,midge,NA,NA,adult,NA,Both,present,Light & Smith,all,NA,solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Family,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
as is,1468,Chironomids,NA,insect,midge,NA,NA,larvae,NA,Both,abundant,Light & Smith,all,feeding in algal mats of species of Ulva,solitary,mobile,Ulva sp.,grazer,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Life Stage,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Clathria (Clathria) asodes,24,Clathria asodes,NA,sponge,NA,NA,NA,adult,NA,Central,rare,Light & Smith,all,NA,NA,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,confirm whether to include,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Clathria (Wilsonella) pseudonapya,31,Clathria pseudonapya,NA,sponge,NA,NA,NA,adult,NA,Central,rare,Light & Smith,all,NA,NA,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,confirm whether to include,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
as is,59,Clathrina sp.,NA,sponge,NA,NA,NA,adult,NA,Central,fairly common,Light & Smith,very low,NA,NA,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Unidentified Species,NA,NA,NA,NA,NA,NA,very low,NA,NA,NA,NA,NA,NA,NA
