INITIALS,consumerNum,consumerName,consumerCat,consumerStage,resourceNum,resourceName,resourceCat,resourceStage,interaction.type,confidence,justification,incl.code,ref_num,localities,zone,pools_exposed_interstitial,MorrisHaderlie,epibiota_consumed,notes,link.ID,date_added
EMH,1,Gibbonsia metzi ,fish,1,609,Hyale frequens,amphipod,1,1,,3,,7,Los Angeles,,pools,,,,31,
EMH,1,Gibbonsia metzi ,fish,1,501,Ampithoe plumulosa,amphipod,1,1,,6,,7,Los Angeles,,pools,,,,32,
EMH,1,Gibbonsia metzi ,fish,1,1253,Idotea resecata,isopod,1,1,,3,,7,Los Angeles,,pools,,,,33,
EMH,1,Gibbonsia metzi ,fish,1,489,Idotea aculeata,isopod,1,1,,3,,7,Los Angeles,,pools,,,,34,
EMH,1,Gibbonsia metzi ,fish,1,493,Idotea urotoma,isopod,1,1,,3,,7,Los Angeles,,pools,,,reported as rectilinea,35,
EMH,1,Gibbonsia metzi ,fish,1,515,Heptacarpus paludicola,shrimp,1,1,,3,,7,Los Angeles,,pools,,,,36,
EMH,1,Gibbonsia metzi ,fish,1,524,Pagurus samuelis,hermit crab,1,1,,3,,7,Los Angeles,,pools,,,,37,
EMH,1,Gibbonsia metzi ,fish,1,543,Mimulus foliatus,crab,1,1,,3,,7,Los Angeles,,pools,,,,38,
EMH,1,Gibbonsia metzi ,fish,1,540,Pugettia gracilis,crab,1,1,,3,,7,Los Angeles,,pools,,,,39,
EMH,1,Gibbonsia metzi ,fish,1,430,Platynereis bicanaliculata,polychaete,1,1,,3,,7,Los Angeles,,pools,,,,40,
EMH,2106,Sphaeromyxa gibbonsia,myxozoan,1,2,Gibbonsia elegans,fish,1,6,,3,,8,,,,,,,41,25-Apr-24
EMH,763,Podocotyle gibbonsia,trematode,1,2,Gibbonsia elegans,fish,1,6,,3,,9,,,,,,,42,25-Apr-24
EMH,760,Sphaerospora sphaerula,myxozoan,1,1,Gibbonsia metzi ,fish,1,6,,3,,8,,,,,,reported as Leptotheca,43,25-Apr-24
EMH,143,Dermasterias imbricata,sea star,1,101,Anthopleura elegantissima,anemone,1,1,2,3,2,6,"San Juan Island, WA",,,,,,44,
EMH,358,Aeolidia loui ,nudibranch,1,101,Anthopleura elegantissima,anemone,1,1,,3,,162,,,,,,,45,
EMH,56,Anthopleura sola,anemone,1,300,Aplysia californica,sea hare,1,1,,3,,1,,,,,,"aplysia had wrong # (40), fixed",46,24-Apr-24
EMH,99,Anthopleura xanthogrammica,anemone,1,300,Aplysia californica,sea hare,1,1,,3,,2,,,,,,"aplysia had wrong # (40), fixed",47,24-Apr-24
ZZ,124,Paranemertes peregrina,nemertean,1,430,Platynereis bicanaliculata,polychaete,1,1,1,3,1,436,,low,both,y,yes,,48,
EMH,4,Hypsoblennius gilberti,fish,1,495,Colidotea rostrata,isopod,1,1,,3,,10,,,,,,,49,
EMH,15,Clinocottus analis ,fish,1,495,Colidotea rostrata,isopod,1,1,,3,,10,,,,,,,50,
EMH,583,Amyloodinium ocellatum,,1,3,Hypsoblennius gilberti ,fish,1,7,,3,,11,,,,,,,51,
EMH,4,Hypsoblennius gilberti,fish,1,3,Gibbonsia elegans,fish,1,9,,3,0,,,,,,,can't find any support for this - remove,52,
EMH,143,Dermasterias imbricata,sea star,1,109,Corynactis californica,anemone,1,1,,3,,14,,,,,,,53,
EMH,143,Dermasterias imbricata,sea star,1,101,Anthopleura elegantissima,anemone,1,1,,3,,14,,,,,,,54,
EMH,143,Dermasterias imbricata,sea star,1,0,Urticina piscivora,anemone ,1,1,,3,,15,,,,,,,55,
EMH,143,Dermasterias imbricata,sea star,1,0,Psolus chitonoides,sea cucumber,1,1,,3,5,16,,,,,,,56,
EMH,143,Dermasterias imbricata,sea star,1,146,Solaster dawsonii,sea star,1,9,,3,,17,,,,,,,57,
EMH,143,Dermasterias imbricata,sea star,1,157,Eupentacta quinquesemita,sea cucumber,1,1,,3,,18,,,,,,,58,
EMH,145,Patiria miniata,sea star,1,795,Tubulipora aliciae,bryozoan,1,3,2,6,,20,,low,pools,,y,,59,
EMH,145,Patiria miniata,sea star,1,0,Lytechinus anamesus,sea urchin,1,1,,3,,21,,,,,,,60,
EMH,145,Patiria miniata,sea star,1,645,Alaria marginata,brown algae,1,3,2,6,,23,,low,pools,,y,"expanded from ""phaeophyta""",61,
EMH,145,Patiria miniata,sea star,1,2294,Bryopsis corticulans,green algae,1,3,2,3,,23,,low,pools,,y,,62,
EMH,582,Orchitophrya stellarum,ciliate,1,144,Patiria miniata,sea star,1,4,,3,,24,,,,,,,63,
EMH,582,Orchitophrya stellarum,ciliate,1,150,Pisaster ochraceus,sea star,1,4,,3,, 24/25/26/29/37,,,,,,,64,
EMH,150,Pisaster ochraceus,sea star,1,367,Mytilus californianus,bivalve,1,1,,3,,28,,,,,,,65,
EMH,582,Orchitophrya stellarum,ciliate,1,149,Leptasterias pusilla,sea star,1,1,,3,,29,,,,,,,66,
EMH,150,Pisaster ochraceus,sea star,1,149,Leptasterias hexactis,sea star,1,1,,3,0,,,,,,,can't find any support for this - remove,67,
EMH,150,Pisaster ochraceus,sea star,3,0,Chaetoceros calcitrans,phytoplankton,1,1,,3,,30,,,,,,,68,
EMH,150,Pisaster ochraceus,sea star,3,739,Dunaliella tertiolecta,phtyoplankton,1,1,,3,,30,,,,,,,69,
EMH,150,Pisaster ochraceus,sea star,3,0,Isochrysis galbana,phtyoplankton,1,1,,3,,30,,,,,,,70,
EMH,150,Pisaster ochraceus,sea star,1,464,Balanus glandula,barnacle,1,1,,3,,27,,,,,,,71,
EMH,150,Pisaster ochraceus,sea star,1,458,Tetraclita rubescens,barnacle,1,1,,3,,27,,,,,,,72,
EMH,150,Pisaster ochraceus,sea star,1,237,Tegula funebralis,snail,1,1,,3,,27,,,,,,,73,
EMH,150,Pisaster ochraceus,sea star,1,210,Lottia scabra,limpet,1,1,,3,,27,,,,,,,74,
EMH,150,Pisaster ochraceus,sea star,1,455,Pollicipes polymerus,barnacle,1,1,,3,,27,,,,,,,75,
EMH,150,Pisaster ochraceus,sea star,1,411,Mopalia muscosa,chiton,1,1,,3,,27,,,,,,,76,
EMH,150,Pisaster ochraceus,sea star,1,229,Haliotis cracherodi,snail,1,1,,3,,27,,,,,,,77,
EMH,150,Pisaster ochraceus,sea star,1,284,Nucella emarginata,snail,1,1,,3,,27,,,,,,,78,
EMH,150,Pisaster ochraceus,sea star,1,471,Balanus nubilis,barnacle,1,1,,3,,27,,,,,,,79,
EMH,150,Pisaster ochraceus,sea star,1,1694,Spirorbis bifurcatus,polychaete,1,1,2,6,0,missing ,,middle,pools,,y,,80,
EMH,154,Pisaster brevispinus,sea star,1,0,Tresus nuttallii,clam,1,1,,3,5,33,,,,,,,81,
EMH,2370,Stellarchytrium dubum,ciliate,1,150,Pisaster ochraceus,sea star,1,5,,3,,34,,,both,no,no,,82,
EMH,2371,Aplanochytrium blankum,ciliate,1,150,Pisaster ochraceus,sea star,1,5,,3,,34,,,both,no,no,,83,
EMH,2372,Oblongichytrium porteri,ciliate,1,150,Pisaster ochraceus,sea star,1,5,,3,,34,,,both,no,no,,84,
EMH,147,Solaster dawsonii,sea star,1,150,Pisaster ochraceus,sea star,1,1,,3,,17,,,,,,,85,
EMH,147,Solaster dawsonii,sea star,1,153,Pisaster brevispinus,sea star,1,1,,3,,17,,,,,,,86,
EMH,147,Solaster dawsonii,sea star,1,1979,Mediaster aequalis,sea star,1,1,,3,,38,,,,,,,87,
EMH,147,Solaster dawsonii,sea star,1,0,Crossaster papposus,sea star,1,1,,3,,38,,,,,,,88,
EMH,147,Solaster dawsonii,sea star,1,0,Ptilosarcus gurneyi,sea pen,1,1,,3,5,38,,,,,,,89,
EMH,143,Dermasterias imbricata,sea star,1,0,Ptilosarcus gurneyi,sea pen,1,1,,3,5,38,,,,,,,90,
EMH,147,Solaster dawsonii,sea star,1,160,Parastichopus californicus,sea cucumber,juvenile,1,,3,,39,,,,,,,91,
EMH,424,Arctonoe vittata,polychaete,1,146,Solaster dawsonii,sea star,1,9,,3,,41,,,,,,,92,
EMH,424,Arctonoe vittata,polychaete,1,143,Dermasterias imbricata,sea star,1,9,,3,,41,,,,,,,93,
EMH,105,Tealia crassicornis,anemone,1,0,Neptunea pribiloffensis,snail,2,10,5,3,2,42,,,,,,,94,
EMH,584,Foettingeria actiniarum,ciliate,1,104,Urticina crassicornis,anemone,1,10,,3,,45,,,,,,,95,
EMH,6,Micrometrus minimus,fish,1,489,Pentidotea aculeata,isopod,1,1,,3,,7,,,,,,,96,
EMH,6,Micrometrus minimus,fish,1,493,Idotea urotoma,isopod,1,1,,3,,7,,,,,,reported as rectilinea,97,
EMH,6,Micrometrus minimus,fish,1,1329,Allorchestes rickeri,amphipod,1,1,2,6,,7,,all,pools,,y,,98,
EMH,6,Micrometrus minimus,fish,1,210,Lottia scabra,,1,1,,3,,7,,,,,,,99,
EMH,6,Micrometrus minimus,fish,1,0,Barlecia bentleyi,,1,1,,3,,7,,,,,,,100,
EMH,6,Micrometrus minimus,fish,1,430,Platynereis bicanaliculata,polychaete,1,1,,3,,7,,,,,,,101,
EMH,6,Micrometrus minimus,fish,1,475,Cirolana harfordi,isopod,1,1,,3,,7,,,,,,,102,
EMH,6,Micrometrus minimus,fish,1,609,Hyale frequens,amphipod,1,1,,3,,7,,,,,,,103,
EMH,6,Micrometrus minimus,fish,1,1606,Marphysa sanguinea,polycheate,1,1,,3,,7,,,,,,,104,
EMH,586,Postmonorchis donacis,trematode,1,6,Micrometrus minimus,fish,1,6,,3,, 48/49,,,,,,,105,
EMH,NA,Asterias vulgaris,sea star,1,160,Ophiopolus aculeata,brittle star,1,1,,3,,50,,,,,,,106,
EMH,NA,Strongylocentrotus droebachiensis,urchin,1,160,Ophiopolus aculeata,brittle star,1,1,,3,,50,,,,,,,107,
EMH,NA,Leptasterias polaris,sea star,1,160,Ophiopolus aculeata,brittle star,1,1,,3,,52,,,,,,,108,
EMH,NA,Eulima bilineata,snail,1,160,Ophiopolus aculeata,brittle star,1,6,,3,3, 53/54,,,both,no,no,only in atlantic,109,
EMH,NA,Homarus americanus,decapod,4,160,Ophiopolus aculeata,brittle star,1,1,,3,,55,,,,,,,110,
ZZ,585,Haplosporidium malacobdellae,sporozoan,1,127,Malacobdella grossa,nemertean,1,4,,3,7,"436, 57",,,,,,,111,
EMH,NA,Gadus morhua,fish,1,160,Ophiopolus aculeata,brittle star,1,1,,3,5,56,,,,,,,112,
ZZ,127,Malacobdella grossa,nemertean,1,0,Macoma seta,,,1,,,7,none,,,,,,,113,
ZZ,127,Malacobdella grossa,nemertean,1,0,Macoma nasuta,,,1,,,7,none,,,,,,,114,
ZZ,127,Malacobdella grossa,nemertean,1,0,Siliqua patula,,,1,,,7,none,,,,,,,115,
ZZ,127,Malacobdella grossa,nemertean,1,0,Tresus nuttallii,,,1,,,7,none,,,,,,,116,
EMH,NA,Philichthys amphiurae,,1,161,Amphipholis squamata,brittle star,2,4,5,3,,61,,,,,,,117,
EMH,998,Carcinus maenas,decapod,1,161,Amphipholis squamata,brittle star,1,1,,3,5,63,,,,,,,118,
EMH,NA,Ophiactis savignyi,brittle star,4,161,Amphipholis squamata,brittle star,1,10,,3,,64,,,,,,,119,
EMH,NA,Ophiothrix angulata,brittle star,4,161,Amphipholis squamata,brittle star,1,10,,3,,64,,,,,,,120,
EMH,168,Strongylocentrotus purpuratus,urchin,1,NA,Iridophycus flaccidum,algae,1,3,,3,,66,,,,,,,121,
EMH,168,Strongylocentrotus purpuratus,urchin,1,607,Phyllospadix torreyi,sea grass,1,3,,6,,66,,,,,,,122,
EMH,168,Strongylocentrotus purpuratus,urchin,1,0,Caltiarthron tuberculosurn,coralline algae,1,3,,3,,67,,,,,,,123,
EMH,168,Strongylocentrotus purpuratus,urchin,1,0,Caltiarthron cheilosporioides,coralline algae,1,3,,3,,67,,,,,,,124,
EMH,168,Strongylocentrotus purpuratus,urchin,1,0,Bossietla californica ssp. schmittii,coralline algae,1,3,,3,,67,,,,,,,125,
EMH,152,Pycnopodia helianthoides,sea star,1,168,Strongylocentrotus purpuratus,urchin,1,1,,3,5,67,,,,,,,126,
EMH,719,Enhydra lutris,marine mammal,1,168,Strongylocentrotus purpuratus,urchin,1,1,,3,,67,,,,,,,127,
EMH,143,Dermasterias imbricata,sea star,1,168,Strongylocentrotus purpuratus,urchin,1,1,,3,,68,,,,,,,128,
EMH,735,Panulirus interruptus,lobster,4,168,Strongylocentrotus purpuratus,urchin,1,1,,3,,65,,,,,,,129,
ZZ,335,Okenia rosaceae,nudibranch,1,134,Integripelta bilabiata,bryozoan,1,3,,3,,436,,,,,,,130,
ZZ,2048,Hoploplana californica,flatworm,1,136,Celleporariae brunnea,bryozoan,1,1,,3,,436,,,both,,,,131,
ZZ,137,Crisulipora occidentalis,bryozoan,1,366,Mytilus californianus,bivalve,1,2,,3,,436,,,exposed,y,,,132,
ZZ,137,Crisulipora occidentalis,bryozoan,1,367,Mytilus edulis,bivalve,1,2,,3,,436,,,exposed,y,,,133,
ZZ,135,Costazia robertsoniae,bryozoan,1,587,Macrocystis pyrifera,algae,1,2,,3,,436,,,pools,y,,,134,
ZZ,143,Dermasterias imbricata,sea star,1,101,Anthopleura elegantissima,anemone,1,1,,3,,436,,,pools,y,,,135,
ZZ,143,Dermasterias imbricata,sea star,1,99,Anthopleura xanthogrammica,anemone,1,1,,3,,436,,,pools,y,,,136,
ZZ,147,Astrometis sertulifera,sea star,1,163,Ophiothrix spiculata,brittle star,1,1,,3,,436,,,pools,y,,,137,
ZZ,148,Leptasterias pusilla,sea star,1,764,Pseudodiala acuta,snail,1,1,,3,4,436,,,pools,y,,,138,
ZZ,151,Pisaster giganteus,sea star,1,367,Mytilus edulis,bivalve,1,1,,3,,436,,,pools,y,,,139,
ZZ,151,Pisaster giganteus,sea star,1,366,Mytilus californianus,bivalve,1,1,,3,,436,,,pools,y,,,140,
ZZ,151,Pisaster giganteus,sea star,1,287,Kelletia kelletii,snail,1,1,,3,,436,,,pools,y,,,141,
ZZ,151,Pisaster giganteus,sea star,1,368,Mytilisepta bifurcata,bivalve,1,1,,3,,436,,,pools,y,,,142,
ZZ,151,Pisaster giganteus,sea star,1,284,Nucella emarginata,snail,1,1,,3,,436,,,pools,y,,,143,
ZZ,151,Pisaster giganteus,sea star,1,282,Acanthina spirata,snail,1,1,,3,,436,,,pools,y,,,144,
ZZ,151,Pisaster giganteus,sea star,1,237,Tegula funebralis,snail,1,1,,3,,436,,,pools,y,,,145,
ZZ,151,Pisaster giganteus,sea star,1,409,Nuttallina californica,chiton,1,1,,3,,436,,,pools,y,,,146,
ZZ,151,Pisaster giganteus,sea star,1,436,Phragmatopoma californica,polychaete,1,1,,3,,436,,,pools,y,,,147,
ZZ,149,Leptasterias hexactis,sea star,1,156,Eupentacta quinquesemita,sea cucumber,1,1,,3,,436,,,pools,y,,,148,
ZZ,588,Rhopalura ophiocomae,orthonectid,1,162,Amphipholus pugetana,brittle star,1,4,,3,,436,,low,pools,y,,,149,
ZZ,168,Strongylocentrotus purpuratus,sea urchin,1,587,Macrocystis pyrifera,algae,1,1,,3,,436,,low,pools,y,,,150,
EMH,15,Clinocottus analis ,fish,1,508,Betaeus harfordi,crab,1,1,,3,,7,"Los Angeles County, CA",,,,,,151,
EMH,15,Clinocottus analis ,fish,1,540,Pugettia gracilis,crab,1,1,,3,,8,"Los Angeles County, CA",,,,,,152,
EMH,15,Clinocottus analis ,fish,1,0,Spirontocaris picta,crab,1,1,,3,,9,"Los Angeles County, CA",,,,,,153,
EMH,15,Clinocottus analis ,fish,1,0,Pelotonia spp. ,algae,1,3,,3,,72,"San Mateo, CA.",,,,,,154,
EMH,15,Clinocottus analis ,fish,1,737,Ascarophis morronei,nematode,1,6,,3,,73,"Baja CA, Mexico",,,,,,155,
SML,1416,Deutella californica,caprellid,1,85,Obelia dichotoma,jelly,1,3,2,3,2,70,PNW,low,pools,n,yes,,156,
EMH,15,Clinocottus analis ,fish,1,312,Cadlina luteomarginata,nudibranch,1,1,,3,,75,"Southern California, ( La Jolla/San Diego/Point Loma)",,,,,,157,
EMH,15,Clinocottus analis ,fish,1,2105,Trichodina jadranica,ciliate,1,7,,3,,76,"Baja CA, Mexico ",,,,,,158,23-Apr-24
EMH,16,Oligocottus maculosus,fish,1,0,Artemia salina,shrimp,1,1,,3,5,80,British Columbia,,,,,,159,
EMH,16,Oligocottus maculosus,fish,1,367,Mytilus edulis,bivalve,1,1,,3,,81,British Columbia,,,,,,160,
ZZ,589,Syndesmis sp.,flatworm,1,168,Strongylocentrotus purpuratus,urchin,1,6,,3,,436; 303,California,low,pools,y,,ingesting host intestinal epithelium - not commensal,161,
ZZ,590,Syndisyrinx franciscanus,flatworm,1,168,Strongylocentrotus purpuratus,urchin,1,6,,3,,436; 303,California,low,pools,y,,ingesting host intestinal epithelium - not commensal,162,
ZZ,591,Flabesymbios commensalis,polychaete,1,168,Strongylocentrotus purpuratus,urchin,1,10,,3,,436,California,low,pools,y,,,163,
ZZ,495,Colidotea rostrata,isopod,1,168,Strongylocentrotus purpuratus,urchin,1,10,,3,,436,California,low,pools,y,,,164,
ZZ,145,Patiria miniata,sea star,1,170,Aplidium californicum,tunicate,1,1,,3,,436,,middle,pools,y,,,165,
ZZ,143,Dermasterias imbricata,sea star,1,170,Aplidium californicum,tunicate,1,1,,3,,436,,middle,pools,y,,,166,
ZZ,592,Pholeterides furtiva,copepod,1,170,Aplidium californicum,tunicate,1,6,,3,,436,"Puget Sound, WA",middle,pools,y,,,167,
ZZ,503,Polycheria osborni,amphipod,1,170,Aplidium californicum,tunicate,1,9,,3,,436,,middle,pools,y,,,168,
ZZ,130,Bugula neritina,bryozoan,1,170,Aplidium californicum,tunicate,1,9,,3,4,81,Baja California,middle,pools,,,,169,
ZZ,357,Hermissenda crassicornis,nudibranch,1,171,Aplidium solidum,tunicate,1,1,,3,,436,,middle,pools,y,,,170,
ZZ,145,Patiria miniata,sea star,1,178,Euherdmania claviformis,tunicate,1,1,,3,,436,,low,pools,y,,,171,
ZZ,143,Dermasterias imbricata,sea star,1,179,Didemnum carnulentum,tunicate,1,1,,3,,436,,middle,pools,y,,,172,
ZZ,265,Marsenina stearnsii,snail,1,180,Trididemnum opacum,tunicate,1,27,,3,,436,,low,pools,y,,,173,
ZZ,143,Dermasterias imbricata,sea star,1,183,Archidistoma psammion,tunicate,1,1,,3,,436,,low,pools,y,,,174,
ZZ,145,Patiria miniata,sea star,1,183,Archidistoma psammion,tunicate,1,1,,3,,436,,low,pools,y,,,175,
ZZ,393,Mytilimeria nuttalli,bivalve,1,183,Archidistoma psammion,tunicate,1,2,,3,,436,,low,pools,y,,,176,
ZZ,503,Polycheria osborni,amphipod,1,183,Archidistoma psammion,tunicate,1,2,,3,,436,,,,,,,177,
ZZ,593,Haplostoma minutum,copepod,1,173,Aplidium arenatum,tunicate,1,2,,3,,"82, 436",,,,y,,,178,
ZZ,594,Haplosaccus elongatus,copepod,1,173,Aplidium arenatum,tunicate,1,2,,3,,"82, 436",,,,y,,,179,
ZZ,595,Haplostomella dubia,copepod,1,173,Aplidium arenatum,tunicate,1,2,,3,,"82, 436",,,,y,,,180,
ZZ,596,Haplostomella distincta,copepod,1,173,Aplidium arenatum,tunicate,1,2,,3,,"82, 436",,,,y,,,181,
ZZ,597,Haplostomella oceanica,copepod,1,173,Aplidium arenatum,tunicate,1,2,,3,,"82, 436",,,,y,,,182,
ZZ,503,Polycheria osborni,amphipod,1,174,Polyclinum planum,tunicate,1,2,,3,,436,,very low,pools,y,,,183,
ZZ,503,Polycheria osborni,amphipod,1,176,Ritterella pulchra,tunicate,1,2,,3,,436,,middle,,y,,,184,
ZZ,393,Mytilimeria nuttalli,bivalve,1,185,Cystodytes lobatus,tunicate,1,2,,3,,436; 435,,very low,,y,,,185,
ZZ,503,Polycheria osborni,amphipod,1,185,Cystodytes lobatus,tunicate,1,2,,3,,436,,very low,,y,,,186,
ZZ,503,Polycheria osborni,amphipod,1,186,Clavelina huntsmani,tunicate,1,2,,3,,436,,low,,,,,187,
ZZ,503,Polycheria osborni,amphipod,1,187,Distaplia occidentalis,tunicate,1,2,,3,,436,,low,,,,,188,
ZZ,81,Bythotiara huntsmani,hydroid,5,189,Ascidia ceratodes,tunicate,1,9,,3,4,"436, 83",British Columbia,middle,pools,y,,,189,
ZZ,150,Pisaster ochraceus,sea star,1,190,Fissurella volcano,limpet,1,1,,3,,436,,low,pools,y,,,190,
ZZ,150,Pisaster ochraceus,sea star,1,191,Fissurella volcano crucifera,limpet,1,1,,3,,436,,low,pools,y,,,191,
ZZ,150,Pisaster ochraceus,sea star,1,195,Diodora aspera,limpet,1,1,,3,,436,,low,both,y,,,192,
ZZ,151,Pisaster giganteus,sea star,1,195,Diodora aspera,limpet,1,1,,3,,436,,low,both,y,,,193,
ZZ,148,Leptasterias pusilla,sea star,1,195,Diodora aspera,limpet,1,1,,3,,436,,all,pools,y,,,194,
ZZ,149,Leptasterias hexactis,sea star,1,195,Diodora aspera,limpet,1,1,,3,,436,,middle,both,y,,,195,
ZZ,60,Orthasterias koehleri,sea star,1,195,Diodora aspera,limpet,1,1,,3,,436,,very low,both,y,,,196,
ZZ,424,Arctonoe vittata,polychaete,1,195,Diodora aspera,limpet,1,9,,3,,436,,low,both,y,,,197,
ZZ,197,Lottia asmi,snail,1,237,Tegula funebralis,snail,1,2,,3,,436,,middle,both,y,,,198,
ZZ,598,Pharcidia balani,fungus,1,199,Lottia digitalis,limpet,1,5,,3,,436,,high,exposed,y,,,199,
ZZ,599,Apohyale grandicornis,amphipod,2,199,Lottia digitalis,limpet,1,9,,3,0,"100, 436",,high,exposed,y,,REMOVE - THESE ARE EGGS,200,
ZZ,566,Pachygrapsus crassipes,crab,1,199,Lottia digitalis,limpet,1,1,,3,,436,,high,exposed,y,,,201,
ZZ,599,Apohyale grandicornis,amphipod,2,203,Lottia limatula,limpet,1,9,,3,0,"100, 436",Central California,middle,exposed,y,,REMOVE - THESE ARE EGGS,202,
ZZ,599,Apohyale grandicornis,amphipod,2,208,Lottia pelta,limpet,1,9,,3,0,"100, 436",Central California,middle,exposed,y,,REMOVE - THESE ARE EGGS,203,
ZZ,150,Pisaster ochraceus,sea star,1,208,Lottia pelta,limpet,1,1,,3,,436,,middle,exposed,y,,,204,
ZZ,151,Pisaster giganteus,sea star,1,208,Lottia pelta,limpet,1,1,,3,,436,,middle,exposed,y,,,205,
ZZ,720,Evasterias troschelli,sea star,1,208,Lottia pelta,limpet,1,1,,3,3,436,,middle,exposed,y,,,206,
ZZ,149,Leptasterias hexactis,sea star,1,208,Lottia pelta,limpet,1,1,,3,,436,,middle,exposed,y,,,207,
ZZ,148,Leptasterias pusilla,sea star,1,208,Lottia pelta,limpet,1,1,,3,,436,,middle,exposed,y,,,208,
ZZ,599,Apohyale grandicornis,amphipod,2,210,Lottia scabra,limpet,1,9,,3,0,"100, 436",Central California,middle,exposed,y,,REMOVE - THESE ARE EGGS,209,
ZZ,599,Apohyale grandicornis,amphipod,2,215,Lottia scutum,limpet,1,9,,3,0,"100, 436",Central California,middle,exposed,y,,REMOVE - THESE ARE EGGS,210,
ZZ,599,Apohyale grandicornis,amphipod,2,201,Lottia gigantea,limpet,1,9,,3,0,"100, 436",Central California,middle,exposed,y,,REMOVE - THESE ARE EGGS,211,
