man_edits,id.x,species,alternate_nomenclature,category,common_name,functional_role,range,life_stage,body_size_mm,n_s_both,commonality,source,zone,habitat_notes,solitary_aggregating_colonial,mobile_or_sessile,preys_on,trophic_strategy,how_picky,eaten_by,non_trophic_epicommensal_w,mutualist_w,parasitized_by,unknown_symbiosis,parasitic_on,how_picky_symbiotically,notes,node_type,node_resolution,web_enter_code,enter_code_2,googled,justification,confidence,x41,clean_zone,aphia,kingdom,phylum,class,order,family,genus,subclass,infraclass,subterclass,superorder,superfamily,subphylum,subfamily,superclass,suborder,infraorder,parvorder,subkingdom,infrakingdom,tribe,subgenus,infraphylum,parvphylum,gigaclass,megaclass,phylum_division,subphylum_subdivision,subtribe,section,subsection,subspecies,epifamily,date_added,species.x,species2,species.y
NA,759,macroalgae,NA,algae,NA,NA,NA,adult,NA,Both,NA,NA,NA,NA,NA,sessile,not reported,primary producer,NA,NA,NA,NA,NA,NA,NA,NA,NA,Common Name,Assemblage,NA,NA,NA,NA,NA,NA,NA,NA,Chromista,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,505,Caprella californica,NA,amphipod,caprellid,NA,NA,adult,NA,Both,common,"Morris, Abbott, & Haderlie; Light & Smith",low,"Eelgrass, on outer coast on coralline algae;",aggregating,mobile,"detritus, microalgal film, ""small dead crustaceans,, small swimming amphipods""",omnivore,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,394864,Animalia,Arthropoda,Malacostraca,Amphipoda,Caprellidae,Caprella,Eumalacostraca,NA,NA,Peracarida,Caprelloidea,Crustacea,Caprellinae,Multicrustacea,Senticaudata,Corophiida,Caprellidira,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,503,Polycheria osborni,NA,amphipod,NA,NA,NA,adult,NA,Both,present,"Morris, Abbott, & Haderlie",low,burrows into tests of tunicates (Aplidium californicum),solitary,mobile,"diatoms, detritus",grazer,obligate specialist,NA,Aplidium californicum,NA,NA,NA,NA,NA,"""abundant to scarce"" // commensal specialist but trophic generalist",Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,489489,Animalia,Arthropoda,Malacostraca,Amphipoda,Dexaminidae,Polycheria,Eumalacostraca,NA,NA,Peracarida,Dexaminoidea,Crustacea,Polycheriinae,Multicrustacea,Amphilochidea,Lysianassida,Synopiidira,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,599,Apohyale grandicornis,Hyale grandicornis,amphipod,NA,NA,NA,juvenile,0.5-6,N,present,"Morris, Abbott, & Haderlie; Johnson 1968",all,commensal in limpet shells,solitary,mobile,"They do not leave the limpets at any time of day or tide, and probably feed on algae growing on the surface of the limpet shells.",grazer,generalist,NA,Lottia sp.,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,237121,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyalidae,Apohyale,Eumalacostraca,NA,NA,Peracarida,Hyaloidea,Crustacea,Hyalinae,Multicrustacea,Senticaudata,Talitrida,Talitridira,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,600,Apohyale grandicornis,Hyale grandicornis,amphipod,NA,NA,NA,adult,NA,N,present,Barnard 1969,middle to low,patches of Ulva,solitary,mobile,"Ulva sp., other green algae",grazer,NA,NA,Lottia sp.,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,middle,237121,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyalidae,Apohyale,Eumalacostraca,NA,NA,Peracarida,Hyaloidea,Crustacea,Hyalinae,Multicrustacea,Senticaudata,Talitrida,Talitridira,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2116,Hyperia medusarum,NA,amphipod,NA,NA,NA,adult,NA,NA,present,248,all,NA,solitary,sessile,not reported,parasite,obligate generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,103253,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Hyperia,Eumalacostraca,NA,NA,Peracarida,Phronimoidea,Crustacea,NA,Multicrustacea,Hyperiidea,Physocephalata,Physocephalatidira,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/18/24,NA,NA,NA
11-Apr-24,500,Pleustes platypa,NA,amphipod,NA,NA,NA,adult,NA,S,present,"Morris, Abbott, & Haderlie",low,on Macrosystis pyrifera in close association with Mitrella carinata (mimic),solitary,mobile,not reported,unknown,NA,NA,,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,1382536,Animalia,Arthropoda,Malacostraca,Amphipoda,Pleustidae,Pleustes,Eumalacostraca,NA,NA,Peracarida,Amphilochoidea,Crustacea,Pleustinae,Multicrustacea,Amphilochidea,Amphilochida,Amphilochidira,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,103,Anthopleura artemisia,NA,anemone,NA,NA,NA,adult,NA,Both,common,"Morris, Abbott, & Haderlie; Light & Smith",low,pholad holes,solitary,sessile,not reported,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,283337,Animalia,Cnidaria,Hexacorallia,Actiniaria,Actiniidae,Anthopleura,NA,NA,NA,NA,Actinioidea,Anthozoa,NA,NA,Enthemonae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,101,Anthopleura elegantissima,NA,anemone,NA,NA,NA,adult,NA,Both,abundant,"Morris, Abbott, & Haderlie; Light & Smith",NA,NA,colonial,sessile,not reported,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,left out until 11/25/2020 - unsure why?,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,283347,Animalia,Cnidaria,Hexacorallia,Actiniaria,Actiniidae,Anthopleura,NA,NA,NA,NA,Actinioidea,Anthozoa,NA,NA,Enthemonae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,100,Anthopleura sola,NA,anemone,NA,NA,San Francisco to Mexico,adult,NA,Both,abundant,"Morris, Abbott, & Haderlie; Light & Smith",NA,NA,solitary,sessile,not reported,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,left out until 11/25/2020 - unsure why?,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,240753,Animalia,Cnidaria,Hexacorallia,Actiniaria,Actiniidae,Anthopleura,NA,NA,NA,NA,Actinioidea,Anthozoa,NA,NA,Enthemonae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,99,Anthopleura xanthogrammica,NA,anemone,NA,NA,NA,adult,NA,N,common,"Morris, Abbott, & Haderlie; Light & Smith",NA,NA,solitary,sessile,not reported,filter feeder,generalist,"sculpin Clinocottus, the nudibranch Aeolidia",NA,NA,NA,NA,NA,NA,left out until 11/25/2020 - unsure why?,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,283377,Animalia,Cnidaria,Hexacorallia,Actiniaria,Actiniidae,Anthopleura,NA,NA,NA,NA,Actinioidea,Anthozoa,NA,NA,Enthemonae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,970,Aulactinia incubans,NA,anemone,NA,NA,"San Juan Island, WA to Santa Cruz, CA",adult,NA,N,rare,Light & Smith,low,protected low-intertidal areas such as under overhangs,solitary,sessile,not reported,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,broods its young internally,Taxonomic,Species,NA,NA,NA,NA,NA,50:26:00,NA,410901,Animalia,Cnidaria,Hexacorallia,Actiniaria,Actiniidae,Aulactinia,NA,NA,NA,NA,Actinioidea,Anthozoa,NA,NA,Enthemonae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,971,Epiactis lisbethae,NA,anemone,NA,NA,"San Juan Island, WA to Santa Cruz, CA",adult,NA,N,rare,Light & Smith,low,NA,solitary,sessile,not reported,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,broods its young externally,Taxonomic,Species,NA,NA,NA,NA,NA,50:26:00,NA,283432,Animalia,Cnidaria,Hexacorallia,Actiniaria,Actiniidae,Epiactis,NA,NA,NA,NA,Actinioidea,Anthozoa,NA,NA,Enthemonae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,102,Epiactis prolifera,NA,anemone,NA,NA,NA,adult,NA,Both,common,"Morris, Abbott, & Haderlie; Light & Smith","middle, low","on open coast on rocks, algae,, seagrass",solitary,sessile,"feed on small crustaceans, dietary studies lacking",filter feeder,NA,"aeolidia papillosa, Dermasterias imbricata eat",NA,NA,NA,NA,NA,NA,externally broods young of various sizes simultaneously,Taxonomic,Species,3,fix,NA,NA,NA,NA,middle,283435,Animalia,Cnidaria,Hexacorallia,Actiniaria,Actiniidae,Epiactis,NA,NA,NA,NA,Actinioidea,Anthozoa,NA,NA,Enthemonae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,972,Epiactis ritteri,NA,anemone,NA,NA,Alaska to Central California,adult,NA,N,present,Light & Smith,low,"Under, on rocks in protected places of outer coast",solitary,sessile,not reported,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,broods its young internally,Taxonomic,Species,NA,NA,NA,NA,NA,50:26:00,NA,283436,Animalia,Cnidaria,Hexacorallia,Actiniaria,Actiniidae,Epiactis,NA,NA,NA,NA,Actinioidea,Anthozoa,NA,NA,Enthemonae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,105,Urticina coriacea,Tealia,anemone,NA,NA,NA,adult,NA,N,common,"Morris, Abbott, & Haderlie; Light & Smith",middle to low,"buried in sand or gravel, which adheres to column",solitary,sessile,not reported,filter feeder,NA,Aeolidia loui,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,3,fix,NA,NA,NA,NA,middle,283441,Animalia,Cnidaria,Hexacorallia,Actiniaria,Actiniidae,Urticina,NA,NA,NA,NA,Actinioidea,Anthozoa,NA,NA,Enthemonae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,104,Urticina crassicornis,Tealia,anemone,NA,NA,NA,adult,NA,N,present,"Morris, Abbott, & Haderlie; LIght & Smith",middle to low,"on undersides of large rocks, in protected pools.",solitary,sessile,not reported,filter feeder,NA,Aeolidia loui,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,3,fix,NA,NA,NA,NA,middle,100832,Animalia,Cnidaria,Hexacorallia,Actiniaria,Actiniidae,Urticina,NA,NA,NA,NA,Actinioidea,Anthozoa,NA,NA,Enthemonae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,106,Urticina lofotensis,Tealia lofotensis,anemone,NA,NA,NA,adult,NA,Both,common,"Morris, Abbott, & Haderlie; Light & Smith",low,"on outer coast; on rocks, in protected pools",solitary,sessile,not reported,filter feeder,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,240768,Animalia,Cnidaria,Hexacorallia,Actiniaria,Actiniidae,Urticina,NA,NA,NA,NA,Actinioidea,Anthozoa,NA,NA,Enthemonae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,109,Corynactis californica,NA,anemone,NA,NA,NA,adult,NA,Both,present,"Morris, Abbott, & Haderlie; light & Smith",low,NA,colonial,sessile,not reported,filter feeder,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,3,fix,NA,NA,NA,NA,NA,283836,Animalia,Cnidaria,Hexacorallia,Corallimorpharia,Corallimorphidae,Corynactis,NA,NA,NA,NA,NA,Anthozoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,110,Balanophyllia elegans,NA,anemone,orange cup coral,NA,British Columbia to Baja California,adult,NA,Both,present,Light & Smith,low,"on rocky open coasts, typically in surge channels, often under overhangs",colonial,sessile,zooplankton,filter feeder,generalist,Dermasterias imbricata,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,50:26:00,NA,1288908,Animalia,Cnidaria,Hexacorallia,Scleractinia,Dendrophylliidae,Balanophyllia,NA,NA,NA,NA,NA,Anthozoa,NA,NA,Refertina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,973,Diadumene lighti,NA,anemone,NA,NA,Alaska to Central America,adult,38,Both,present,Light & Smith,all,In sand among algal holdfasts along edges of rocky shore tide channels,solitary,sessile,not reported,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,50:26:00,NA,283514,Animalia,Cnidaria,Hexacorallia,Actiniaria,Diadumenidae,Diadumene,NA,NA,NA,NA,Metridioidea,Anthozoa,NA,NA,Enthemonae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,108,Diadumene lineata,"Haliplanella luciae, Sagartia luciae",anemone,NA,NA,invasive; ,adult,NA,Both,rare,"Morris, Abbott, & Haderlie",middle,under rocks in pools,solitary,sessile,not reported,carnivore (scavenger + predator),NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,1,NA,NA,NA,NA,NA,NA,395099,Animalia,Cnidaria,Hexacorallia,Actiniaria,Diadumenidae,Diadumene,NA,NA,NA,NA,Metridioidea,Anthozoa,NA,NA,Enthemonae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,974,Cactosoma arenarium,Cactosoma arenaria,anemone,NA,NA,Alaska to Central America,adult,NA,Both,present,Light & Smith,all,On open coasts; frequents kelp holdfasts,solitary,sessile,not reported,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,50:26:00,NA,592961,Animalia,Cnidaria,Hexacorallia,Actiniaria,Halcampidae,Cactosoma,NA,NA,NA,NA,Metridioidea,Anthozoa,NA,NA,Enthemonae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/22/24 17:57,97,Halcampa decemtentaculata,NA,anemone,NA,NA,"Southern British Columbia, Canada to central California",adult,NA,N,common,"Morris, Abbott, & Haderlie; Light & Smith",low,"among Phyllospadix (surfgrass) holdfasts, holdfasts of laminarian kelp, or in gravelly tidepools.",NA,sessile,not reported,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,283565,Animalia,Cnidaria,Hexacorallia,Actiniaria,Halcampidae,Halcampa,NA,NA,NA,NA,Metridioidea,Anthozoa,NA,NA,Enthemonae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/22/24 17:57,98,Cactosoma arenarium,Cactosoma arenaria,anemone,NA,NA,NA,NA,NA,Both,uncommon,"Morris, Abbott, & Haderlie",low,not much known,NA,sessile,not reported,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,283559,Animalia,Cnidaria,Hexacorallia,Actiniaria,Halcampidae,Cactosoma,NA,NA,NA,NA,Metridioidea,Anthozoa,NA,NA,Enthemonae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,976,Metridium exilis,NA,anemone,NA,NA,Alaska to Santa Catalina,adult,180,Both,present,Light & Smith,all,under rocks or ledges on the open coast in California,solitary,sessile,not reported,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,50:26:00,NA,283703,Animalia,Cnidaria,Hexacorallia,Actiniaria,Metridiidae,Metridium,NA,NA,NA,NA,Metridioidea,Anthozoa,NA,NA,Enthemonae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,107,Metridium senile,NA,anemone,NA,NA,Alaska to Santa Catalina,adult,NA,Both,abundant,"Morris, Abbott, & Haderlie; Light & Smith",low,"Rocks, shells, floating docks, pilings; especially in bays. Occasionally found on the carapace, claws of kelp crabs",colonial,sessile,"Diet is mostly small zooplankton, though they may also eat small benthic polychaetes, fish,, squid. kelp, chitons",filter feeder,generalist,"Aeolidia papillosa. Hippasteria spinosa, Dermasterias imbricata,",Pugettia productus,NA,NA,NA,NA,NA,NA,Taxonomic,Species,2,fix,NA,NA,NA,50:26:00,NA,100982,Animalia,Cnidaria,Hexacorallia,Actiniaria,Metridiidae,Metridium,NA,NA,NA,NA,Metridioidea,Anthozoa,NA,NA,Enthemonae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2145,Peachia quinquecapitata,NA,anemone,twelve tentacled parasitic anemone,NA,NA,adult,NA,NA,present,246,all,NA,solitary,sessile,not reported,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,283586,Animalia,Cnidaria,Hexacorallia,Actiniaria,Peachiidae,Peachia,NA,NA,NA,NA,Actinioidea,Anthozoa,NA,NA,Enthemonae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/18/24,NA,NA,NA
NA,2143,Peachia quinquecapitata,NA,anemone,twelve tentacled parasitic anemone,NA,NA,larva,NA,NA,present,246,all,NA,solitary,sessile,not reported,parasite,obligate generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,283586,Animalia,Cnidaria,Hexacorallia,Actiniaria,Peachiidae,Peachia,NA,NA,NA,NA,Actinioidea,Anthozoa,NA,NA,Enthemonae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/18/24,NA,NA,NA
NA,2144,Peachia quinquecapitata,NA,anemone,twelve tentacled parasitic anemone,NA,NA,juvenile,NA,NA,present,246,all,NA,solitary,sessile,not reported,parasitic castrator,obligate generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,283586,Animalia,Cnidaria,Hexacorallia,Actiniaria,Peachiidae,Peachia,NA,NA,NA,NA,Actinioidea,Anthozoa,NA,NA,Enthemonae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/18/24,NA,NA,NA
NA,608,Phyllospadix scouleri,NA,angiosperm,surfgrass,NA,NA,adult,NA,Both,common,NA,NA,NA,aggregating,sessile,not reported,primary producer,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,1,NA,NA,NA,NA,NA,NA,374707,Plantae,NA,Magnoliopsida,Alismatales,Zosteraceae,Phyllospadix,NA,NA,NA,Lilianae,NA,NA,NA,NA,NA,NA,NA,Viridiplantae,Streptophyta,NA,NA,NA,NA,NA,NA,Tracheophyta,Spermatophytina,NA,NA,NA,NA,NA,NA,NA,NA,NA
