reference_number,nsboth,ca,ep_riz,general_location_of_study
72,n,y,y,"San Mateo Coast State Beaches, California"
72,n,y,y,"San Mateo Coast State Beaches, California"
72,n,y,y,"San Mateo Coast State Beaches, California"
72,n,y,y,"San Mateo Coast State Beaches, California"
72,n,y,y,"San Mateo Coast State Beaches, California"
72,n,y,y,"San Mateo Coast State Beaches, California"
72,n,y,y,"San Mateo Coast State Beaches, California"
72,n,y,y,"San Mateo Coast State Beaches, California"
72,n,y,y,"San Mateo Coast State Beaches, California"
72,n,y,y,"San Mateo Coast State Beaches, California"
72,n,y,y,"San Mateo Coast State Beaches, California"
72,n,y,y,"San Mateo Coast State Beaches, California"
72,n,y,y,"San Mateo Coast State Beaches, California"
72,n,y,y,"San Mateo Coast State Beaches, California"
72,n,y,y,"San Mateo Coast State Beaches, California"
72,n,y,y,"San Mateo Coast State Beaches, California"
72,n,y,y,"San Mateo Coast State Beaches, California"
72,n,y,y,"San Mateo Coast State Beaches, California"
81,s,n,y,"Bahia Kino, Sonora, Mexico"
82,n,n,y,"San Juan Archipelago, WA; Whiffin Spit, Sooke, British Columbia"
82,n,n,y,"San Juan Archipelago, WA; Whiffin Spit, Sooke, British Columbia"
82,n,n,y,"San Juan Archipelago, WA; Whiffin Spit, Sooke, British Columbia"
82,n,n,y,"San Juan Archipelago, WA; Whiffin Spit, Sooke, British Columbia"
82,n,n,y,"Cape Flattery, WA; Whiffin Spit, Sooke, British Columbia"
82,n,n,y,"Cape Flattery, WA; Whiffin Spit, Sooke, British Columbia"
82,n,n,y,"Cape Flattery, WA; Whiffin Spit, Sooke, British Columbia"
82,n,n,y,"San Juan Archipelago, WA"
82,n,n,y,"San Juan Archipelago, WA"
82,n,n,y,"San Juan Archipelago, WA"
82,n,n,y,"San Juan Archipelago, WA"
82,n,n,y,"San Juan Archipelago, WA"
82,n,n,y,"San Juan Archipelago, WA"
82,n,n,y,"San Juan Archipelago, WA"
82,n,n,y,"San Juan Archipelago, WA"
82,n,n,y,"San Juan Archipelago, WA"
82,n,n,y,"San Juan Archipelago, WA"
82,n,n,y,"San Juan Archipelago, WA"
82,n,n,y,"San Juan Archipelago, WA"
82,n,n,y,"San Juan Archipelago, WA"
82,n,n,y,"San Juan Archipelago, WA"
82,n,n,y,"San Juan Archipelago, WA"
82,n,n,y,"San Juan Archipelago, WA"
82,n,n,y,"San Juan Archipelago, WA"
82,n,n,y,"Whiffin Spit, Sooke, British Columbia"
82,n,n,y,"Whiffin Spit, Sooke, British Columbia"
83,n,n,y,British Columbia
84,n,n,y,British Columbia
85,n,n,y,British Columbia
86,n,n,y,"Kodiak Island, AK"
87,n,n,y,"Puget Sound, WA"
87,n,n,y,"Puget Sound, WA"
89,s,y,y,"Santa Barbara, CA"
89,s,y,y,"Santa Barbara, CA"
90,s,y,y,"Santa Catalina Island, CA"
90,s,y,y,"Santa Catalina Island, CA"
90,s,y,y,"Santa Catalina Island, CA"
90,s,y,y,"Santa Catalina Island, CA"
91,NA,NA,NA,Lab
92,s,y,y,Southern California
93,s,y,y,"San Diego Bay, CA"
94,s,n,y,"Montemar, Chile"
95,s,y,y,"Santa Catalina Island, CA"
95,s,y,y,"Santa Catalina Island, CA"
95,s,y,y,"Santa Catalina Island, CA"
95,s,y,y,"Santa Catalina Island, CA"
95,s,y,y,"Santa Catalina Island, CA"
95,s,y,y,"Santa Catalina Island, CA"
95,s,y,y,"Santa Catalina Island, CA"
95,s,y,y,"Santa Catalina Island, CA"
95,s,y,y,"Santa Catalina Island, CA"
95,s,y,y,"Santa Catalina Island, CA"
95,s,y,y,"Santa Catalina Island, CA"
96,s,y,y,"San Diego Bay, CA"
97,s,y,y,"Santa Catalina Island, CA"
97,s,y,y,"Inner Cabrillo Beach, CA"
98,s,y,y,"Inner Cabrillo Beach, CA"
99,s,y,y,"Newport Bay, CA"
100,s,y,y,"Pescadero Point, CA"
100,s,y,y,"Pescadero Point, CA"
100,s,y,y,"Pescadero Point, CA"
100,s,y,y,"Pescadero Point, CA"
100,s,y,y,"Pescadero Point, CA"
100,s,y,y,"Pescadero Point, CA"
100,s,y,y,"Pescadero Point, CA"
101,n,y,y,"Elkhorn Slough, Monterey Bay, CA"
101,n,y,y,"Elkhorn Slough, Monterey Bay, CA"
101,n,y,y,"Elkhorn Slough, Monterey Bay, CA"
101,n,y,y,"Elkhorn Slough, Monterey Bay, CA"
101,n,y,y,"Elkhorn Slough, Monterey Bay, CA"
101,n,y,y,"Elkhorn Slough, Monterey Bay, CA"
101,n,y,y,"Elkhorn Slough, Monterey Bay, CA"
101,n,y,y,"Elkhorn Slough, Monterey Bay, CA"
101,n,y,y,"Elkhorn Slough, Monterey Bay, CA"
101,n,y,y,"Elkhorn Slough, Monterey Bay, CA"
101,n,y,y,"Elkhorn Slough, Monterey Bay, CA"
101,n,y,y,"Elkhorn Slough, Monterey Bay, CA"
101,n,y,y,"Elkhorn Slough, Monterey Bay, CA"
101,n,y,y,"Elkhorn Slough, Monterey Bay, CA"
102,n,n,y,"San Juan Archipelago, WA"
102,n,n,y,"San Juan Archipelago, WA"
102,n,n,y,"San Juan Archipelago, WA"
102,n,n,y,"San Juan Archipelago, WA"
102,n,n,y,"San Juan Archipelago, WA"
102,n,n,y,"San Juan Archipelago, WA"
102,n,n,y,"San Juan Archipelago, WA"
102,n,n,y,"San Juan Archipelago, WA"
102,n,n,y,"San Juan Archipelago, WA"
102,n,n,y,"Yaquina Head and Boiler Bay, OR"
102,n,n,y,"Yaquina Head and Boiler Bay, OR"
102,n,n,y,"Yaquina Head and Boiler Bay, OR"
103,NA,NA,NA,NA
104,NA,NA,NA,NA
105,n,n,y,"Alseya River, OR"
105,n,n,y,"Brown's Island, Friday Harbor, WA"
105,n,n,y,"Canoe Island, Shaw Island, WA"
105,s,y,y,"Coronal del Mar, CA"
105,n,n,y,"Departure Bay, BC"
105,n,n,y,"Friday Harbor, WA"
105,n,n,y,"Indian Cove, Shaw Island, WA"
105,n,n,y,"Indian Cove, Shaw Island, WA"
105,n,n,y,"Johns Island, WA"
105,n,n,y,"Lopez Pass, WA"
105,n,n,y,"Lopez Pass, WA"
105,n,n,y,"Lopez Pass, WA"
105,n,n,y,"San Juan Island, WA"
105,n,n,y,"Mitchell Bay, WA"
105,n,n,y,"Obstruction Pass, Orcas Island, WA"
105,s,y,y,"Santa Cruz Island, CA"
105,n,n,y,"Unalaska Island, AK"
105,n,n,y,"Upright Channel, WA"
105,n,n,y,"Upright Channel, WA"
105,n,n,y,"Upright Channel, WA"
105,n,n,y,"Upright Channel, WA"
105,n,n,y,"Upright Head, Lopez Island, WA"
105,n,n,y,"Upright Head, Lopez Island, WA"
105,n,n,y,"Upright Head, Lopez Island, WA"
105,n,n,y,"Upright Head, Lopez Island, WA"
106,n,n,y,"San Juan Archipelago, WA; Puget Sound WA"
107,s,y,y,"Catalina Island, CA"
107,s,y,y,"La Jolla, CA"
107,s,y,y,"Laguna Beach, CA"
107,s,y,y,"Laguna Beach, CA"
107,s,y,y,
107,s,y,y,
107,s,y,y,
107,s,y,y,
107,s,y,y,"Rocky Point, San Pedro, CA"
108,n,n,y,"Brown Island, Friday Harbor, WA"
108,n,n,y,"Brown Island, Friday Harbor, WA"
108,n,n,y,"Brown Island, Friday Harbor, WA"
108,n,n,y,"Brown Island, Friday Harbor, WA"
108,n,n,y,"Brown Island, Friday Harbor, WA"
108,n,n,y,"Brown Island, Friday Harbor, WA"
108,n,n,y,"Brown Island, Friday Harbor, WA"
109,n,n,y,"San Juan Island, WA; Vancouver B.C."
109,NA,NA,NA,"San Juan Island, WA; Vancouver B.C."
109,n,n,y,"San Juan Island, WA; Vancouver B.C."
109,n,n,y,"San Juan Island, WA; Vancouver B.C."
109,n,n,y,"San Juan Island, WA; Vancouver B.C."
109,n,n,y,"San Juan Island, WA; Vancouver B.C."
109,n,n,y,"San Juan Island, WA; Vancouver B.C."
109,n,n,y,"San Juan Island, WA; Vancouver B.C."
109,n,n,y,"San Juan Island, WA; Vancouver B.C."
109,n,n,y,"San Juan Island, WA; Vancouver B.C."
109,n,n,y,"San Juan Island, WA; Vancouver B.C."
109,n,n,y,"San Juan Island, WA; Vancouver B.C."
110,s,y,y,"Malibu, CA"
110,NA,NA,NA,
110,NA,NA,NA,
110,NA,NA,NA,
110,NA,NA,NA,
110,NA,NA,NA,
110,NA,NA,NA,
110,s,y,y,"Mussel Point, Pacific Grove, CA"
110,NA,NA,NA,N/S
111,n,y,y,"Elkhorn Slough, Monterey Bay, CA"
112,n,y,y,"Tomales Bay, CA"
113,NA,NA,NA,
113,NA,NA,NA,
113,NA,NA,NA,
113,NA,NA,NA,
113,NA,NA,NA,
113,NA,NA,NA,
114,both,y,y,California
115,n,y,y,"Elkhorn Slough, CA"
115,n,y,y,"Elkhorn Slough, CA"
116,na,n,n,"Mote Marine Laboratory, Sarasota, FL"
116,na,n,n,"Mote Marine Laboratory, Sarasota, FL"
116,na,n,n,"Mote Marine Laboratory, Sarasota, FL"
117,n,y,y,"San Franscisco Bay, CA"
118,n,y,y,"San Franscisco Bay, CA"
118,n,y,y,"San Franscisco Bay, CA"
118,n,y,y,"San Franscisco Bay, CA"
118,n,y,y,"San Franscisco Bay, CA"
118,n,y,y,"San Franscisco Bay, CA"
119,s,y,y,"Santa Monica, CA"
120,s,y,y,"Santa Catalina Island, CA"
121,both,y,y,California
121,both,y,y,California
121,both,y,y,California
121,both,y,y,California
121,both,y,y,California
121,both,y,y,California
121,both,y,y,California
122,n,y,y,"Humboldt Bay, CA"
122,n,y,y,"Humboldt Bay, CA"
122,n,y,y,"Humboldt Bay, CA"
122,n,y,y,"Humboldt Bay, CA"
122,n,y,y,"Humboldt Bay, CA"
122,n,y,y,"Humboldt Bay, CA"
122,n,y,y,"Humboldt Bay, CA"
122,n,y,y,"Humboldt Bay, CA"
122,n,y,y,"Humboldt Bay, CA"
122,n,y,y,"Humboldt Bay, CA"
122,n,y,y,"Humboldt Bay, CA"
122,n,y,y,"Humboldt Bay, CA"
122,n,y,y,"Humboldt Bay, CA"
122,n,y,y,"Humboldt Bay, CA"
122,n,y,y,"Humboldt Bay, CA"
122,n,y,y,"Humboldt Bay, CA"
122,n,y,y,"Humboldt Bay, CA"
123,na,n,n,"Mote Marine Laboratory, Sarasota, FL"
124,s,y,y,"Long Beach Aquarium of the Pacific, CA"
125,n,y,y,Northeast Pacific Ocean
126,na,n,n,"Zoological Garden in Basel, Switzerland"
127,n,n,y,"Boiler Bay, OR"
127,n,n,y,"Boiler Bay, OR"
127,n,n,y,"Boiler Bay, OR"
127,n,n,y,"Boiler Bay, OR"
128,s,y,y,"Point Cabrillo, Pacific Grove, CA"
129,s,n,y,"Sea of Cortez, Mexico"
130,na,n,n,Perlas Isands
131,NA,NA,NA,
132,s,y,y,"Casa Cove, La Jolla, CA"
133,s,y,y,"Corona del Mar State Beach, CA"
134,s,y,y,"Anaheim Slough, CA"
134,n,y,y,"Bodega Bay, cA"
134,s,y,y,"Carpinteria, CA"
134,n,n,y,"Culver's Point, San Juan, WA"
134,s,y,y,"Laguna Beach, cA"
134,n,n,y,"Reed Rock, San Juan Channel, WA"
134,n,n,y,"Salmon Beach, Tacoma Narrows, WA"
135,n,n,y,Oregon
136,n,y,y,"Duxbury Reef,CA"
136,n,y,y,"Duxbury Reef,CA"
137,s,y,y,"Channel Islands, CA; Southern California; Northern Baja California"
137,s,y,y,"Channel Islands, CA; Southern California; Northern Baja California"
138,NA,y,y,"Naples Reef, Santa Barbara, CA"
139,s,y,y,"Santa Catalina Island, CA; San Diego, CA"
139,s,y,y,"Santa Catalina Island, CA; San Diego, CA"
140,s,y,y,"La Jolla, CA"
140,s,y,y,"La Jolla, CA"
140,s,y,y,"La Jolla, CA"
141,s,y,y,"Santa Barbara, CA"
142,s,y,y,"Santa Catalina Island, CA"
142,s,y,y,"Santa Catalina Island, CA"
143,n,n,y,"Vancouver Island, British Columbia"
144,n,y,y,"San Francisco Estuary, CA"
144,n,y,y,"San Francisco Estuary, CA"
144,n,y,y,"San Francisco Estuary, CA"
144,n,y,y,"San Francisco Estuary, CA"
144,n,y,y,"San Francisco Estuary, CA"
144,n,y,y,"San Francisco Estuary, CA"
144,n,y,y,"San Francisco Estuary, CA"
144,n,y,y,"San Francisco Estuary, CA"
145,s,n,y,Tijuana River National Estuarine Research Reserve
146,s,y,y,"Mugu Lagoon, CA"
146,s,y,y,"Mugu Lagoon, CA"
147,n,n,y,"Oregon Institute of Marine Biology at Charleston, OR"
147,n,n,y,"Oregon Institute of Marine Biology at Charleston, OR"
147,n,n,y,"Oregon Institute of Marine Biology at Charleston, OR"
147,n,n,y,"Oregon Institute of Marine Biology at Charleston, OR"
148,n,n,y,"Coos Bay, OR"
149,NA,NA,NA,
149,NA,NA,NA,
149,NA,NA,NA,
150,s,y,y,"Santa Catalina Island, CA"
151,s,y,y,"Bolsa Chica Ecological Reserve, CA"
152,s,y,y,"Los Angeles Harbor, CA"
153,NA,y,y,"Corona del Mar State Beach, CA; Hearst Memorial State Beach, CA"
153,NA,y,y,"Corona del Mar State Beach, CA; Hearst Memorial State Beach, CA"
153,s,y,y,"Corona del Mar State Beach, CA; Hearst Memorial State Beach, CA"
154,s,n,y,"Granada cove, Ensanada, Baja California Mexico"
154,s,n,y,"Granada cove, Ensanada, Baja California Mexico"
154,s,n,y,"Granada cove, Ensanada, Baja California Mexico"
154,s,n,y,"Granada cove, Ensanada, Baja California Mexico"
154,s,n,y,"Granada cove, Ensanada, Baja California Mexico"
154,s,n,y,"Granada cove, Ensanada, Baja California Mexico"
154,s,n,y,"Granada cove, Ensanada, Baja California Mexico"
154,s,n,y,"Granada cove, Ensanada, Baja California Mexico"
154,s,n,y,"Granada cove, Ensanada, Baja California Mexico"
154,s,n,y,"Granada cove, Ensanada, Baja California Mexico"
154,s,n,y,"Granada cove, Ensanada, Baja California Mexico"
154,s,n,y,"Granada cove, Ensanada, Baja California Mexico"
154,s,n,y,"Granada cove, Ensanada, Baja California Mexico"
154,s,n,y,"Granada cove, Ensanada, Baja California Mexico"
154,s,n,y,"Granada cove, Ensanada, Baja California Mexico"
154,s,n,y,"Granada cove, Ensanada, Baja California Mexico"
154,s,n,y,"Granada cove, Ensanada, Baja California Mexico"
154,s,n,y,"Granada cove, Ensanada, Baja California Mexico"
155,n,y,y,"Trinidad, CA; Westport, CA"
155,n,y,y,"Trinidad, CA; Westport, CA"
155,n,y,y,"Trinidad, CA; Westport, CA"
155,n,y,y,"Trinidad, CA; Westport, CA"
155,n,y,y,"Trinidad, CA; Westport, CA"
155,n,y,y,"Trinidad, CA; Westport, CA"
155,n,y,y,"Trinidad, CA; Westport, CA"
156,s,n,y,"Fish Culture and Biotechnology Unit of the Marine Science School, University of Baja California"
156,s,n,y,"Fish Culture and Biotechnology Unit of the Marine Science School, University of Baja California"
157,s,y,y,"Santa Catalina Island, CA"
157,s,y,y,"Santa Catalina Island, CA"
157,s,y,y,"Santa Catalina Island, CA"
157,s,y,y,"Santa Catalina Island, CA"
157,s,y,y,"Santa Catalina Island, CA"
157,s,y,y,"Santa Catalina Island, CA"
157,s,y,y,"Santa Catalina Island, CA"
157,s,y,y,"Santa Catalina Island, CA"
157,s,y,y,"Santa Catalina Island, CA"
157,s,y,y,"Santa Catalina Island, CA"
157,s,y,y,"Santa Catalina Island, CA"
157,s,y,y,"Santa Catalina Island, CA"
157,s,y,y,"Santa Catalina Island, CA"
157,s,y,y,"Santa Catalina Island, CA"
157,s,y,y,"Santa Catalina Island, CA"
157,s,y,y,"Santa Catalina Island, CA"
157,s,y,y,"Santa Catalina Island, CA"
157,s,y,y,"Santa Catalina Island, CA"
157,s,y,y,"Santa Catalina Island, CA"
157,s,y,y,"Santa Catalina Island, CA"
157,s,y,y,"Santa Catalina Island, CA"
159,s,y,y,"Santa Catalina Island, CA"
159,s,y,y,"Santa Catalina Island, CA"
160,s,y,y,"Bird Rock, La Jolla, CA"
160,s,y,y,"Bird Rock, La Jolla, CA"
160,s,y,y,"Bird Rock, La Jolla, CA"
160,s,y,y,"Bird Rock, La Jolla, CA"
161,s,y,y,"Bird Rock, La Jolla, CA"
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
162,both,y,y,
163,n,y,y,"Morro Bay, CA"
163,s,y,y,"San Diego, CA"
163,s,y,y,"San Diego, CA"
163,s,y,y,"San Diego, CA"
163,s,y,y,"San Diego, CA"
163,s,y,y,"San Diego, CA"
163,s,y,y,"San Diego, CA"
163,s,y,y,"San Diego, CA"
163,s,y,y,"San Diego, CA"
163,s,y,y,"San Diego, CA"
164,s,n,y,"Bahia de Los Angeles, BC, Mexico"
164,s,n,y,"Bahia de Los Angeles, BC, Mexico"
164,s,n,y,"Bahia de Los Angeles, BC, Mexico"
164,s,n,y,"Bahia de Los Angeles, BC, Mexico"
164,s,n,y,"Bahia de Los Angeles, BC, Mexico"
164,s,n,y,"Bahia de Los Angeles, BC, Mexico"
165,n,n,y,"North Cove, Cape Arago, OR"
165,s,y,y,"Santa Catalina Island, CA"
166,s,y,y,"Santa Catalina Island, CA"
166,s,y,y,"Santa Catalina Island, CA"
166,s,y,y,"Santa Catalina Island, CA"
166,s,y,y,"Santa Catalina Island, CA"
169,s,n,y,"Bahia de Los Angeles, BC, Mexico"
170,s,n,y,Mexican Pacific Ocean
171,both,y,y,
172,s,y,y,"San Diego, CA"
172,s,y,y,"San Diego, CA"
173,s,y,y,"Santa Catalina Island, CA"
174,both,y,y,Central California
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
175,s,y,y,"Naples Point, CA"
176,s,y,y,"Anaheim Slough, CA"
176,n,y,y,"Elkhorn Slough, CA"
176,n,y,y,"Elkhorn Slough, CA"
176,s,y,y,"La Jolla, CA"
176,s,y,y,"Laguna Beach, CA"
