reference_number,reference
21,"Schroeter, Stephen C.; Dixon, John; Kastendiek, Jon. 1983. Effects of the starfish patiria miniata on the distribution of the sea urchin lytechinus anamesus in a southern californian kelp forest. Oecologia. 56. 2. 141-147. 10.1007/BF00379683"
22,"Anderson, John Maxwell. 1959. Studies on the cardiac stomach of a starfish, patiria miniata (brandt). The Biological Bulletin. 117. 2. 185-201. 10.2307/1538899"
23,"Miles, A. Keith. 1986. Turf assemblage of a macrocystis kelp forest: experiments on competition and herbivory. Oregon State University"
24,"Sunday, J.; Raeburn, L.; Hart, M. W.. 2008. Emerging infectious disease in sea stars: castrating ciliate parasites in patiria miniata. Diseases of Aquatic Organisms. 81. 2. 173-6. 10.3354/dao01949"
25,B. J. Leighton; J. D. G. Boom; C. Bouland; E. B. Hartwick; M. J. Smith. 1991. Castration and mortality in pisaster ochraceus parasitized by orchitophrya stellarum (ciliophora). Diseases of Aquatic Organisms. 10. 71-73
26,"Bates, Amanda E.; Stickle, William B.; Harley, Christopher D. G.. 2010. Impact of temperature on an emerging parasitic association between a sperm-feeding scuticociliate and northeast pacific sea stars. Journal of Experimental Marine Biology and Ecology. 384. 2-Jan. 44-50. 10.1016/j.jembe.2009.12.001"
27,"Feder, Howard. 1959. The food of the starfish, pisaster ochraceus, along the california coast. Ecology. 40. 721-724. 10.2307/1929828"
28,"Feder, Howard M.. 1970. Growth and predation by the ochre sea star, pisaster ochraceus (brandt), in monterey bay, california. Ophelia. 8. 1. 161-185. 10.1080/00785326.1970.10429557"
29,"Zilz, Zoë. 2018. Wasted and castrated: two diseases affecting the ochre star, pisaster ochraceus, in north america. WWU Graduate School Collection. https://doi.org/10.25710/15e0-cg55"
30,"Vickery, Ms; McClintock, Jb. 2000. Effects of food concentration and availability on the incidence of cloning in planktotrophic larvae of the sea star pisaster ochraceus. The Biological Bulletin. 199. 3. 298-304. 10.2307/1543186"
31,"McAlary, Florence A.. 1993. Population structure and reproduction of the fissiparous seastar, linckia columbiae gray, on santa catalina island, california. Third California Islands Symposium. 233-248"
32,"Kochzius, M.; Seidel, C.; Hauschild, J.; Kirchhoff, S.; Mester, P.; Meyer-Wachsmuth, I.; Nuryanto, A.; Timm, J.. 2009. Genetic population structures of the blue starfish linckia laevigata and its gastropod ectoparasite thyca crystallina. Marine Ecology Progress Series. 396. 211-219. 10.3354/meps08281"
33,"Van Veldhuizen, H. D.; Phillips, D. W.. 1978. Prey capture by pisaster brevispinus (asteroidea: echinodermata) on soft substrate. Marine Biology. 48. 1. 89-97. 10.1007/BF00390534"
34,"FioRito, R.; Leander, C.; Leander, B.. 2016. Characterization of three novel species of labyrinthulomycota isolated from ochre sea stars (pisaster ochraceus). Marine Biology. 163. 8. ARTN 170 10.1007/s00227-016-2944-5"
35,"Kay, Sharon W. C.; Gehman, Alyssa-Lois M.; Harley, Christopher D. G.. 2019. Reciprocal abundance shifts of the intertidal sea stars, evasterias troschelii and pisaster ochraceus, following sea star wasting disease. Proceedings of the Royal Society B: Biological Sciences. 286. 1901. 20182766. 10.1098/rspb.2018.2766"
37,"Stickle, W. B.; Kozloff, E. N.. 2008. Association and distribution of the ciliate orchitophrya stellarum with asteriid sea stars on the west coast of north america. Diseases of Aquatic Organisms. 80. 1. 37-43. 10.3354/dao01917"
38,"Birkeland, C. (1974). Interactions between a Sea Pen and Seven of Its Predators. Ecological Monographs, 44(2), 211–232. https://doi.org/10.2307/1942312"
39,"Cameron, J. L., & Fankboner, P. V. (1989). Reproductive biology of the commercial sea cucumber Parastichopus californicus (Stimpson) (Echinodermata:Holothuroidea). II. Observations on the ecology of development, recruitment, and the juvenile life stage. Journal of Experimental Marine Biology and Ecology, 127(1), 43–67. https://doi.org/10.1016/0022-0981(89)90208-6"
40,"Nance, James. 1976. Defense mechanism and feeding behavior of pteraster tesselatus ives (echinodermata, asteroidea). Theses and Dissertations"
41,"Britayev, T. A. (1991). Life Cycle of the Symbiotic Scaleworm Arctonoe vittata (Polychaeta: Polynoidae). https://doi.org/10.1163/9789004629745_030"
42,"Shimek, R. (1981). Shimek, R. L. 1981. Neptunea pribiloffensis (Dall, 1919) and Tealia crassicornis (Müller, 1776), On a snail’s use of babysitters. The Veliger, 24, 62–66."
43,"Morgan, W. De. 1924. Foettingeria actiniarum (parasitic in anemones). Journal of Cell Science. s2-68. 270. 343-360. 10.1242/jcs.s2-68.270.343"
44,"Chia, Fu-Shiang; Spaulding, James G.. 1972. Development and juvenile growth of the sea anemone, tealia crassicornis. The Biological Bulletin. 142. 2. 206-218. 10.2307/1540225"
45,"Solé-Cava, A. M.; Thorpe, J. P.; Kaye, J. G.. 1985. Reproductive isolation with little genetic divergence between urticina (=tealia) felina and u. eques (anthozoa: actiniaria). Marine Biology. 85. 3. 279-284. 10.1007/BF00393248"
46,"Walton, C. L. (1908). Actiniae collected by the s.s. “Huxley” in the North Sea during the summer of 1907. Journal of the Marine Biological Association of the United Kingdom, 8(2), 215–226. https://doi.org/10.1017/S0025315400072532"
48,"Arai, H. P. (1954). Helminth Parasites of Embiotocid Fishes. I. A New Genus of the Trematode Family Zoogonidae. The Journal of Parasitology, 40(3), 356–359. https://doi.org/10.2307/3273751"
49,"Young, R. T.. 1953. Postmonorchis donacis, a new species of monorchid trematode from the pacific coast, and its life history. Journal of the Washington Academy of Sciences. 43. 3. 88-93"
50,"Drolet, David; Himmelman, John H.; Rochette, Rémy. 2004. Use of refuges by the ophiuroid ophiopholis aculeata: contrasting effects of substratum complexity on predation risk from two predators. Marine Ecology Progress Series. 284. 173-183. 10.3354/meps284173"
51,"Roushdy, H. M.; Hansen, Vagn Kr. 1960. Ophiuroids feeding on phytoplankton. Nature. 188. 4749. 517-518. 10.1038/188517b0"
52,"Gaymer, C. F., Himmelman, J. H., & Johnson, L. E. (2001). Distribution and feeding ecology of the seastars Leptasterias polaris and Asterias vulgaris in the northern Gulf of St Lawrence, Canada. Journal of the Marine Biological Association of the United Kingdom, 81(5), 827–843. https://doi.org/10.1017/S0025315401004660"
53,"Nekhaev, Ivan O.. 2011. Two species of parasitic molluscs new for russian seas. Ruthenica, Russian Malacological Journal. 21. 1"
54,"Warén, A. (1983). An Anatomical Description of Eulima bilineata Alder with Remarks on and a Revision of Pyramidelloides Nevill (Mollusca, Prosobranchia, Eulimidae). Zoologica Scripta, 12(4), 273–294. https://doi.org/10.1111/j.1463-6409.1983.tb00511.x"
55,"Carter, J. A.; Steele, D. H.. 1982. Stomach contents of immature lobsters (homarus americanus) from placentia bay, newfoundland. Canadian Journal of Zoology. 60. 3. 337-347. 10.1139/z82-045"
56,"Witman, Jon D.; Sebens, Kenneth P.. 1992. Regional variation in fish predation intensity: a historical perspective in the gulf of maine. Oecologia. 90. 3. 305-315. 10.1007/BF00317686"
57,"Jennings, J. B., & Gibson, R. (1968). The structure and life history of Haplosporidium malacobdellae sp. Nov., a new sporozoan from the entocommensal rhynchocoelan Malacobdella grossa (0. F. MULLER)1). Archiv Für Protistenkunde, 111, 31–37."
58,"Gaymer, Carlos F; Himmelman, John H; Johnson, Ladd E. 2001. Use of prey resources by the seastars leptasterias polaris and asterias vulgaris: a comparison between field observations and laboratory experiments. Journal of Experimental Marine Biology and Ecology. 262. 1. 13-30. 10.1016/S0022-0981(01)00264-7"
59,"Johnsen, Sönke; Kier, William M.. 1998. Damage due to solar ultraviolet radiation in the brittlestar ophioderma brevispinum (echinodermata: ophiuroidea). Journal of the Marine Biological Association of the United Kingdom. 78. 2. 681-684. 10.1017/S0025315400041758"
60,"Drolet, David; Himmelman, John H.; Rochette, Rémy. 2004. Effect of light and substratum complexity on microhabitat selection and activity of the ophiuroid ophiopholis aculeata. Journal of Experimental Marine Biology and Ecology. 313. 1. 139-154. 10.1016/j.jembe.2004.08.004"
61,"Walker, C. W.; Lesser, M. P.. 1989. Nutrition and development of brooded embryos in the brittlestar amphipholis squamata: do endosymbiotic bacteria play a role?. Marine Biology. 103. 4. 519-530. 10.1007/BF00399584"
62,"Lesser, Michael P.; Blakemore, Richard P.. 1990. Description of a novel symbiotic bacterium from the brittle star, amphipholis squamata. Applied and Environmental Microbiology. 56. 8. 2436-2440. 10.1128/aem.56.8.2436-2440.1990"
63,"Deheyn, D.; Mallefet, J.; Jangoux, M.. 2000. Expression of bioluminescence in amphipholis squamata (ophiuroidea: echinodermata) in presence of various organisms: a laboratory study. Journal of the Marine Biological Association of the United Kingdom. 80. 1. 179-180. 10.1017/S0025315499001733"
64,"Majer, Alessandra Pereira; Trigo, José Roberto; Duarte, Luiz Francisco Lembo. 2009. Evidence of an alarm signal in ophiuroidea (echinodermata). Marine Biodiversity Records. 2. e102. 10.1017/S1755267209001067"
65,"Tegner, M. J.; Levin, L. A.. 1983. Spiny lobsters and sea urchins: analysis of a predator-prey interaction. Journal of Experimental Marine Biology and Ecology. 73. 2. 125-150. 10.1016/0022-0981(83)90079-5"
66,"Lasker, Reuben; Giese, Arthur C.. 1954. Nutrition of the sea urchin, strongylocentrotus purpuratus. The Biological Bulletin. 106. 3. 328-340. 10.2307/1538767"
67,"Kenner, M. C.. 1992. Population dynamics of the sea urchin strongylocentrotus purpuratus in a central california kelp forest: recruitment, mortality, growth, and diet. Marine Biology. 112. 1. 107-118. 10.1007/BF00349734"
68,"Rosenthal, Richard J; Chess, James R.. 1972. A predator-prey relationship between the leather star, dermasterias imbricata and the purple urchin strongylocentrotus purpuratus"
70,"Caine, E. A.. 1980. Ecology of two littoral species of caprellid amphipods (crustacea) from washington, usa. Marine Biology. 56. 4. 327-335. 10.1007/BF00386871"
72,"Yoshiyama, Ronald M.. 1980. Food habits of three species of rocky intertidal sculpins (cottidae) in central california. Copeia. 1980. 3. 515-525. 10.2307/1444529"
81,"Pettit, George R.; Leet, John E.; Herald, Cherry L.; Kamano, Yoshiaki; Doubek, Dennis L.. 1986. Antineoplastic agents, 116. An evaluation of the marine ascidian aplidium californicum. Journal of Natural Products. 49. 2. 231-235. 10.1021/np50044a006"
82,"Ooishi, Shigeko; Illg, Paul L.. 1977. Haplostominae (copepoda, cyclopoida) associated with compound ascidians from the san juan archipelago and vicinity. Special publications from the Seto Marine Biological Laboratory. 5. 1-154. 10.5134/176460"
83,"Brinckmann-Voss, Anita. 1979. The life-cycle of bythotiara huntsmani (fraser 1911) (calycopsidae, hydrozoa, cnidaria). Canadian Journal of Zoology. 57. 6. 1226-1231. 10.1139/z79-157"
84,"Cone, D K; Roth, M. 2011. Prevalence and intensity of gyrodactylus maculosi sp. n. (Monogenea) parasitizing gills of sculpin (oligocottus maculosus) in coastal british columbia, canada"
85,"Adamson, M. L.; Roth, Myron. 1990. Prevalence and intensity of pseudodelphis oligocotti n. gen., n. sp. (Dracunculoidea; guyanemidae) in the tidepool sculpin, oligocottus maculosus (scorpaeniformes; cottidae). The Journal of Parasitology. 76. 4. 509-514. 10.2307/3282830"
86,"Khan, R. A.; Ryan, K.; Lawson, J. W.; Munehara, H.. 1997. Influence of haemobaphes cyclopterina and h . intermedius (copepoda) on arctic cod ( boreogadus saida ) and tidepool sculpins ( oligocottus maculosus ), respectively. Canadian Journal of Zoology. 75. 8. 1280-1284. 10.1139/z97-151"
87,"Pierce, Bryan E.; Pierson, Keith B.. 1990. Growth and reproduction of the tidepool sculpin oligocottus maculosus. Japanese Journal of Ichthyology. 36. 4. 410-418. 10.11369/jji1950.36.410"
89,"Koenigs, Craig; Miller, Robert J.; Page, Henry M.. 2015. Top predators rely on carbon derived from giant kelp macrocystis pyrifera. Marine Ecology Progress Series. 537. 8-Jan. 10.3354/meps11467"
90,"Stepien, Carol A.. 1986. Life history and larval development of the giant kelpfish, heterostichus rostratus girard, 1854"
91,"Stepien, Carol A.. 1986. Regulation of color morphic patterns in the giant kelpfish, heterostichus rostratus girard: genetic versus environmental factors. Journal of Experimental Marine Biology and Ecology. 100. 1. 181-208. 10.1016/0022-0981(86)90162-0"
92,"Lannin, Rachel; Hovel, Kevin. 2011. Variable prey density modifies the effects of seagrass habitat structure on predator‚àíprey interactions. Marine Ecology Progress Series. 442. 59-70. 10.3354/meps09393"
93,"Moore, Eliza C.; Hovel, Kevin A.. 2010. Relative influence of habitat complexity and proximity to patch edges on seagrass epifaunal communities. Oikos. 119. 8. 1299-1311. 10.1111/j.1600-0706.2009.17909.x"
94,"Stepien, Carol A.. 1990. Population structure, diets and biogeographic relationships of a rocky intertidal fish assemblage in central chile: high levels of herbivory in a temperate system. Bulletin of Marine Science. 47. 3. 598-612"
95,"Coyer, James A.. 1982. Observations on the reproductive behavior of the giant kelpfish, heterostichus rostratus (pisces: clinidae). Copeia. 1982. 2. 344-350. 10.2307/1444613"
96,"Hovel, Kevin A.; Warneke, Alexandria M.; Virtue-Hilborn, Stacey P.; Sanchez, Alterra E.. 2016. Mesopredator foraging success in eelgrass (zostera marina l.): relative effects of epiphytes, shoot density, and prey abundance. Journal of Experimental Marine Biology and Ecology. 474. 142-147. 10.1016/j.jembe.2015.10.014"
97,"Passarelli, Julianne Kalman; Tang, Danny. 2017. A new species of lepeophtheirus (copepoda; caligidae) parasitic on three kelpfish species (clinidae) from the southern california coast. Bulletin of the Southern California Academy of Sciences. 116. 1. 16-Jan. 10.3160/soca-116-01-1-16.1"
97,"Hofmeister, Jennifer K. K.. 2018. Variation in octopus bimaculatus verrill, 1883 diet as revealed through 13c and 15n stable isotope analysis: potential indirect effects of marine protected areas. American Malacological Bulletin. 36. 1. 96-108. 10.4003/006.036.0103"
98,"Burreson, Eugene M.; Passarelli, Julianne Kalman; Kim, Bernard. 2012. A new species of marine leech (hirudinida: piscicolidae) from giant kelpfish, heterostichus rostratus girard, in southern california. Journal of Parasitology. 98. 4. 788-790. 10.1645/GE-3036.1"
99,"Wilson, Charles Branch. 1935. Parasitic copepods from the pacific coast. The American Midland Naturalist. 16. 5. 776-797. 10.2307/2420107"
100,"Johnson, Samuel E.. 1968. Occurrence and behaviour of hyale grandicornis, a gammarid amphipod commensal in the genus acmaea. Veliger. 11. 56-60"
101,"Kao, John S.. 2000. Diet, daily ration and gastric evacuation of the leopard shark (triakis semifasciata). California State University, Hayward"
102,"Burreson, Eugene M.. 1973. Symbiotic ciliates from solitary ascidians in the pacific northwest, with a description of parahypocoma rhamphisokarya n. sp.. Transactions of the American Microscopical Society. 92. 3. 517-522. 10.2307/3225258"
103,"Bingham, B.L.; Walters, L.J.. 1989. Solitary ascidians as predators of invertebrate larvae: evidence from gut analyses and plankton samples. Journal of Experimental Marine Biology and Ecology. 131. 2. 147-159. 10.1016/0022-0981(89)90004-X"
104,"Barnes, H.. 1959. Stomach contents and microfeeding of some common cirripedes. Canadian Journal of Zoology. 37. 3. 231-236. 10.1139/z59-027"
105,"Illg, Paul L.. 1958. North american copepods of the family notodelphyidae. Proceedings of the United States National Museum. 108. 3390. 463-649. 10.5479/si.00963801.108-3390.463"
106,"Dudley, Patricia L.. 1968. A light and electron microscopic study of tissue interactions between a parasitic copepod, scolecodes huntsmani (henderson), and its host ascidian, styela gibbsii (stimpson). Journal of Morphology. 124. 3. 263-281. 10.1002/jmor.1051240302"
107,"Hart, Josephine F. L.. 1964. Shrimps of the genus betaeus on the pacific coast of north america with descriptions of three new species.. Proceedings of the United States National Museum. 38"
108,"Robilliard, Gordon A. 1971. Predation by the nudibranch dirona albolineata on three species of prosobranchs'. Pacific Science. 25. 429-435"
109,"Ching, Hilda Lei. 1962. Six larval trematodes from the snail, littorina scutulata gould of san juan island, u.s.a.., and vancouver, b.c.. Canadian Journal of Zoology. 40. 4. 675-676. 10.1139/z62-062"
110,"Hadfield, M. G. (1967). Reproductive biology of the California vermetid gastropods Serpulorbis squamigerus (Carpenter, 1857) and Petaloconchus montereyensis Dall, 1919. Stanford University."
111,"Lg, Talent. 1976. Food habits of the leopard shark, triakis semifasciata, in elkhorn slough, monterey bay, california. Calif. Fish Game. 62. 286-298"
112,"Ackerman, Joshua T.; Kondratieff, Matthew C.; Matern, Scott A.; Cech, Joseph J.. 2000. Tidal influence on spatial dynamics of leopard sharks, triakis semifasciata, in tomales bay, california. Environmental Biology of Fishes. 58. 1. 33-43. 10.1023/A:1007657019696"
113,"Santhanam, Ramasamy. 2020. Biology and ecology of the venomous marine anthozoans (class anthozoa). Biology and Ecology of Venomous Marine Cnidarians. Springer. 169-285"
114,"Cailliet, G. M.. 1992. Demography of the central california population of the leopard shark (triakis semifasciata). Marine and Freshwater Research. 43. 1. 183-193. 10.1071/mf9920183"
115,"Barry, James P.; Yoklavich, Mary M.; Cailliet, Gregor M.; Ambrose, David A.; Antrim, Brooke S.. 1996. Trophic ecology of the dominant fishes in elkhorn slough, california, 1974‚Äì1980. Estuaries. 19. 1. 115-138. 10.2307/1352657"
116,"Lowry, Dayv; Motta, Philip J.; Hueter, Robert E.. 2007. The ontogeny of feeding behavior and cranial morphology in the leopard shark triakis semifasciata (girard 1854): a longitudinal perspective. Journal of Experimental Marine Biology and Ecology. 341. 2. 153-167. 10.1016/j.jembe.2006.07.018"
117,"Retallack, Hanna; Okihiro, Mark S.; Britton, Elliot; Sommeran, Sean Van; DeRisi, Joseph L.. 2019. Metagenomic next-generation sequencing reveals miamiensis avidus (ciliophora: scuticociliatida) in the 2017 epizootic of leopard sharks (triakis semifasciata) in san francisco bay, california, usa. Journal of Wildlife Diseases. 55. 2. 375-386. 10.7589/2018-04-097"
118,"Russo, Ron. 2013. Observations on the ectoparasites of elasmobranchs in san francisco bay, california. California Fish and Game. 99. 233-236"
119,"Ferry-Graham, Lara A.. 1998. Effects of prey size and mobility on prey-capture kinematics in leopard sharks triakis semifasciata. Journal of Experimental Biology. 201. 16. 2433-2444. 10.1242/jeb.201.16.2433"
120,"Hight, Barbara V.; Lowe, Christopher G.. 2007. Elevated body temperatures of adult female leopard sharks, triakis semifasciata, while aggregating in shallow nearshore embayments: evidence for behavioral thermoregulation?. Journal of Experimental Marine Biology and Ecology. 352. 1. 114-128. 10.1016/j.jembe.2007.07.021"
121,"Leet, William S.. 2001. California's living marine resources: a status report. University Of California, Division of Agriculture and Natural Resources; Califorinia Sea Grant"
122,"Ebert, David A.; Ebert, Thomas B.. 2005. Reproduction, diet and habitat use of leopard sharks, triakis semifasciata (girard), in humboldt bay, california, usa. Marine and Freshwater Research. 56. 8. 1089-1098. 10.1071/MF05069"
123,"Lowry, Dayv; Motta, Philip J. 2007. Relative importance of growth and behaviour to elasmobranch suction-feeding performance over early ontogeny. Journal of The Royal Society Interface. 5. 23. 641-652. 10.1098/rsif.2007.1189"
124,"Papastamatiou, Yannis P.; Lowe, Christopher G.. 2005. Variations in gastric acid secretion during periods of fasting between two species of shark. Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology. 141. 2. 210-214. 10.1016/j.cbpb.2005.05.041"
125,"Bizzarro, J. J., Carlisle, A. B., Smith, W. D., & Cortés, E. (2017). Diet Composition and Trophic Ecology of Northeast Pacific Ocean Sharks. In S. E. Larson & D. Lowry (Eds.), Advances in Marine Biology (Vol. 77, pp. 111–148). Academic Press. https://doi.org/10.1016/bs.amb.2017.06.001"
126,"Polkinghorne, A.; Schmidt-Posthaus, H.; Meijer, A.; Lehner, A.; Vaughan, L.. 2010. Novel chlamydiales associated with epitheliocystis in a leopard shark triakis semifasciata. Diseases of Aquatic Organisms. 91. 1. 75-81. 10.3354/dao02255"
127,"Kent, Bretton. 1981. Feeding and food preferences of the muricid gastropod ceratostoma foliatum. Nautilus. 95. 38-42"
128,"Fukuyama, A.; Nybakken, J.. 1983. Specialized feeding in mitrid gastropods - evidence from a temperate species - mitra idae melville. The Veliger. 26. 96-100"
129,"Verdín C.J., Padilla. 2010. A qualitative assessment of sponge-feeding organisms from the mexican pacific coast. The Open Marine Biology Journal. 4. 1. 39-46. 10.2174/1874450801004010039"
130,"Collin, Rachel. 2007. Development of tylodina fungina gabb, 1865 (gastropoda: notaspidea) from the pacific coast of panama. 50. 1"
131,"Faulkner, D., & Ghiselin, M. (1983). Chemical defense and evolutionary ecology of dorid nudibranchs and some other opisthobranch gastropods. Marine Ecology Progress Series, 13, 295–301. https://doi.org/10.3354/meps013295"
132,"Thompson, J E. 1985. Exudation of biologically-active metabolites in the sponge aplysina fistularis. Chemical Evidence"
133,"Beondé, Anthon Craig. 1968. Aplysia vaccaria, a new host for the pinnotherid crab opisthopus transversus. The Veliger. 10. 375-378"
134,"Illg, Paul L.. 1960. Marine copepods of the genus anthessius from the northeastern pacific ocean. Pacific Science. 14. 36"
135,"Goddard, Jeffrey. 2007. Berthella (opisthobranchia : pleurobranchidae) from the northeast pacific ocean prey on plakinid sponges (homoscleromorpha : plakinidae). Veliger -Berkeley-. 49. 97-100"
136,"Goddard, Jeffrey H. R.; Gosliner, Terrence M.; Pearse, John S.. 2011. Impacts associated with the recent range shift of the aeolid nudibranch phidiana hiltoni (mollusca, opisthobranchia) in california. Marine Biology. 158. 5. 1095-1109. 10.1007/s00227-011-1633-7"
137,"Behrens, Michael D.; Lafferty, Kevin D.. 2012. Geographic variation in the diet of opaleye (girella nigricans) with respect to temperature and habitat. PLOS ONE. 7. 9. e45901. 10.1371/journal.pone.0045901"
138,"Ebeling, Alfred W; Bray, Richard N. 1976. Day versus night activity of reef fishes in a kelp forest off santa barbara, california. FISHERY BULLETIN. 74"
139,"DeMartini, E. E.; Coyer, James A.. 1981. Cleaning and scale-eating in juveniles of the kyphosid fishes, hermosilla azurea and girella nigricans. Copeia. 1981. 4. 785-789. 10.2307/1444178"
140,"Barry, James P.; Ehret, Michael J.. 1993. Diet, food preference, and algal availability for fishes and crabs on intertidal reef communities in southern california. Environmental Biology of Fishes. 37. 1. 75-95. 10.1007/BF00000715"
141,"Behrens, Michael D; Lafferty, Kevin D. 2007. Temperature and diet effects on omnivorous fish performance: implications for the latitudinal diversity gradient in herbivorous fishes. Canadian Journal of Fisheries and Aquatic Sciences. 64. 6. 867-873. 10.1139/f07-063"
142,"Wells, Raymond A.. 1980. Activity pattern as a mechanism of predator avoidance in two species of acmaeid limpet. Journal of Experimental Marine Biology and Ecology. 48. 2. 151-168. 10.1016/0022-0981(80)90014-3"
143,"Mace, Pamela M.. 1983. Predator-prey functional responses and predation by staghorn sculpins (leptocottus armatus) on chum salmon fry (oncorhynchus keta). University of British Columbia"
144,"Visintainer, Ta; Bollens, Sm; Simenstad, C. 2006. Community composition and diet of fishes as a function of tidal channel geomorphology. Marine Ecology Progress Series. 321. 227-243. 10.3354/meps321227"
145,"West, Janelle M.; Williams, Gregory D.; Madon, Sharook P.; Zedler, Joy B.. 2003. Integrating spatial and temporal variability into the analysis of fish food web linkages in tijuana estuary. Environmental Biology of Fishes. 67. 3. 297-309. 10.1023/A:1025843300415"
146,"Peterson, Charles H.; Quammen, Millicent L.. 1982. Siphon nipping: its importance to small fishes and its impact on growth of the bivalve protothaca staminea (conrad). Journal of Experimental Marine Biology and Ecology. 63. 3. 249-268. 10.1016/0022-0981(82)90182-4"
147,"Dunlap, Delpha Deane. 1951. A survey of the helminth parasites of leptocottus armatus armatus girard. Oregon State University"
148,"Posey, Martin H.. 1986. Predation on a burrowing shrimp: distribution and community consequences. Journal of Experimental Marine Biology and Ecology. 103. 1. 143-161. 10.1016/0022-0981(86)90138-3"
149,"Kleiber, D.; Blight, L. K.; Caldwell, I. R.; Vincent, A. C. J.. 2011. The importance of seahorses and pipefishes in the diet of marine animals. Reviews in Fish Biology and Fisheries. 21. 2. 205-223. 10.1007/s11160-010-9167-5"
150,"Tricas, Timothy C. 1979. Relationships of the blue shark, prionace glauca, and its prey species near santa catalina island, california. Fishery Bulletin. 77. 1. 175-182"
151,"Horn, M. H.; Whitcombe, C. D.. 2015. A shallow-diving seabird predator as an indicator of prey availability in southern california waters: a longitudinal study. Journal of Marine Systems. 146. 89-98. 10.1016/j.jmarsys.2014.08.012"
