STATUS,INITIALS,resourceFam,consumerFam,consumerNum,consumerName,consumerCat,consumerStage,resourceNum,resourceName,resourceCat,resourceStage,interaction.type,confidence,justification,incl.code,ref_num,localities,zone,pools_exposed,MorrisHaderlie,epibiota_consumed,notes,link.ID,date_added
436,ZZ,Polynoidae,Emplectonematidae,123,Emplectonema gracile,nemertean,1,1548,Lepidonotus squamatus,polychaete,1,1,3,6,2,436; 375,Sanak Archipelago,all,NA,no,y,,15872,8-Oct-24
436,ZZ,Ulvaceae,Nereididae,430,Platynereis bicanaliculata,polychaete,1,601,Ulva sp.,green algae,1,3,3,6,2,436; 375,Sanak Archipelago,all,NA,no,y,,16196,8-Oct-24
602,ZZ,Polynoidae,Lineidae,1707,Lineus ruber,nemertean,1,1546,Harmothoe hirsuta,polychaete,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,15543,8-Oct-24
602,ZZ,Polynoidae,Lineidae,1707,Lineus ruber,nemertean,1,1547,Lepidasthenia longicirrata,polychaete,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,15544,8-Oct-24
602,ZZ,Polynoidae,Lineidae,1707,Lineus ruber,nemertean,1,1548,Lepidonotus squamatus,polychaete,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,15545,8-Oct-24
602,ZZ,Nereididae,Lineidae,1707,Lineus ruber,nemertean,1,1591,Eunereis longipes,polychaete,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,15744,8-Oct-24
602,ZZ,Nereididae,Lineidae,1707,Lineus ruber,nemertean,1,1595,Neanthes virens,polychaete,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,15748,8-Oct-24
602,ZZ,Nereididae,Lineidae,1707,Lineus ruber,nemertean,1,1597,Nereis latescens,polychaete,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,15749,8-Oct-24
602,ZZ,Nereididae,Lineidae,1707,Lineus ruber,nemertean,1,1596,Nereis eakini,polychaete,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,15750,8-Oct-24
602,ZZ,Nereididae,Lineidae,1707,Lineus ruber,nemertean,1,1598,Nereis pelagica,polychaete,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,15751,8-Oct-24
602,ZZ,Nereididae,Lineidae,1707,Lineus ruber,nemertean,1,1599,Nereis procera,polychaete,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,15752,8-Oct-24
602,ZZ,Nereididae,Lineidae,1707,Lineus ruber,nemertean,1,1600,Nereis vexillosa,polychaete,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,15753,8-Oct-24
602,ZZ,Nereididae,Lineidae,1707,Lineus ruber,nemertean,1,429,Nereis grubei,polychaete,1,1,3,6,2,602; 375,Sanak Archipelago,middle to low,NA,no,y,,15754,8-Oct-24
602,ZZ,Nereididae,Lineidae,1707,Lineus ruber,nemertean,1,1601,Perinereis monterea,polychaete,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,15755,8-Oct-24
602,ZZ,Nereididae,Lineidae,1707,Lineus ruber,nemertean,1,430,Platynereis bicanaliculata,polychaete,1,1,3,6,2,602; 375,Sanak Archipelago,low,NA,no,y,,15756,8-Oct-24
602,ZZ,Polynoidae,Lineidae,1710,Lineus rubescens,nemertean,1,1546,Harmothoe hirsuta,polychaete,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,15527,8-Oct-24
602,ZZ,Polynoidae,Lineidae,1710,Lineus rubescens,nemertean,1,1547,Lepidasthenia longicirrata,polychaete,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,15528,8-Oct-24
602,ZZ,Polynoidae,Lineidae,1710,Lineus rubescens,nemertean,1,1548,Lepidonotus squamatus,polychaete,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,15529,8-Oct-24
602,ZZ,Nereididae,Lineidae,1710,Lineus rubescens,nemertean,1,1591,Eunereis longipes,polychaete,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,15714,8-Oct-24
602,ZZ,Nereididae,Lineidae,1710,Lineus rubescens,nemertean,1,1595,Neanthes virens,polychaete,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,15718,8-Oct-24
602,ZZ,Nereididae,Lineidae,1710,Lineus rubescens,nemertean,1,1597,Nereis latescens,polychaete,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,15719,8-Oct-24
602,ZZ,Nereididae,Lineidae,1710,Lineus rubescens,nemertean,1,1596,Nereis eakini,polychaete,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,15720,8-Oct-24
602,ZZ,Nereididae,Lineidae,1710,Lineus rubescens,nemertean,1,1598,Nereis pelagica,polychaete,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,15721,8-Oct-24
602,ZZ,Nereididae,Lineidae,1710,Lineus rubescens,nemertean,1,1599,Nereis procera,polychaete,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,15722,8-Oct-24
602,ZZ,Nereididae,Lineidae,1710,Lineus rubescens,nemertean,1,1600,Nereis vexillosa,polychaete,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,15723,8-Oct-24
602,ZZ,Nereididae,Lineidae,1710,Lineus rubescens,nemertean,1,429,Nereis grubei,polychaete,1,1,3,6,2,602; 375,Sanak Archipelago,middle to low,NA,no,y,,15724,8-Oct-24
602,ZZ,Nereididae,Lineidae,1710,Lineus rubescens,nemertean,1,1601,Perinereis monterea,polychaete,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,15725,8-Oct-24
602,ZZ,Nereididae,Lineidae,1710,Lineus rubescens,nemertean,1,430,Platynereis bicanaliculata,polychaete,1,1,3,6,2,602; 375,Sanak Archipelago,low,NA,no,y,,15726,8-Oct-24
602,ZZ,Idoteidae,Amphiporidae,1718,Amphiporus cruentatus,nemertean,1,1249,Colidotea findleyi,isopod,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,15979,8-Oct-24
602,ZZ,Idoteidae,Amphiporidae,1718,Amphiporus cruentatus,nemertean,1,495,Colidotea rostrata,isopod,1,1,3,6,2,602; 375,Sanak Archipelago,low,NA,no,y,,15980,8-Oct-24
602,ZZ,Idoteidae,Amphiporidae,1718,Amphiporus cruentatus,nemertean,1,1250,Erichsonella crenulata,isopod,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,15981,8-Oct-24
602,ZZ,Idoteidae,Amphiporidae,1718,Amphiporus cruentatus,nemertean,1,1251,Erichsonella pseudoculata,isopod,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,15982,8-Oct-24
602,ZZ,Idoteidae,Amphiporidae,1718,Amphiporus cruentatus,nemertean,1,1252,Idotea ochotensis,isopod,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,15983,8-Oct-24
602,ZZ,Idoteidae,Amphiporidae,1718,Amphiporus cruentatus,nemertean,1,1254,Idotea rufescens,isopod,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,15984,8-Oct-24
602,ZZ,Idoteidae,Amphiporidae,1718,Amphiporus cruentatus,nemertean,1,1253,Pentidotea resecata,isopod,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,15985,8-Oct-24
602,ZZ,Idoteidae,Amphiporidae,1718,Amphiporus cruentatus,nemertean,1,490,Pentidotea wosnesenskii,isopod,1,1,3,6,2,602; 375,Sanak Archipelago,middle to low,NA,no,y,,15986,8-Oct-24
602,ZZ,Idoteidae,Amphiporidae,1718,Amphiporus cruentatus,nemertean,1,491,Idotea montereyensis,isopod,1,1,3,6,2,602; 375,Sanak Archipelago,middle to low,NA,no,y,,15987,8-Oct-24
602,ZZ,Idoteidae,Amphiporidae,1718,Amphiporus cruentatus,nemertean,1,493,Idotea urotoma,isopod,1,1,3,6,2,602; 375,Sanak Archipelago,middle to low,NA,no,y,,15988,8-Oct-24
602,ZZ,Idoteidae,Amphiporidae,1718,Amphiporus cruentatus,nemertean,1,489,Pentidotea aculeata,isopod,1,1,3,6,2,602; 375,Sanak Archipelago,low,NA,no,y,,15989,8-Oct-24
602,ZZ,Idoteidae,Amphiporidae,1718,Amphiporus cruentatus,nemertean,1,488,Idotea stenops,isopod,1,1,3,6,2,602; 375,Sanak Archipelago,middle to low,NA,no,y,,15990,8-Oct-24
602,ZZ,Idoteidae,Amphiporidae,1718,Amphiporus cruentatus,nemertean,1,494,Idotea fewkesi,isopod,1,1,3,6,2,602; 375,Sanak Archipelago,very low,NA,no,y,,15991,8-Oct-24
602,ZZ,Idoteidae,Amphiporidae,1718,Amphiporus cruentatus,nemertean,1,1255,Pentidotea schmitti,isopod,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,15992,8-Oct-24
602,ZZ,Idoteidae,Amphiporidae,1718,Amphiporus cruentatus,nemertean,1,492,Pentidotea kirchanskii,isopod,1,1,3,6,2,602; 375,Sanak Archipelago,low,NA,no,y,,15993,8-Oct-24
602,ZZ,Idoteidae,Amphiporidae,1718,Amphiporus cruentatus,nemertean,1,1256,Synidotea berolzheimeri,isopod,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,15994,8-Oct-24
602,ZZ,Idoteidae,Amphiporidae,1718,Amphiporus cruentatus,nemertean,1,1257,Synidotea consolidata,isopod,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,15995,8-Oct-24
602,ZZ,Idoteidae,Amphiporidae,1718,Amphiporus cruentatus,nemertean,1,1258,Synidotea harfordi,isopod,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,15996,8-Oct-24
602,ZZ,Idoteidae,Amphiporidae,1718,Amphiporus cruentatus,nemertean,1,1259,Synidotea pettiboneae,isopod,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,15997,8-Oct-24
602,ZZ,Idoteidae,Amphiporidae,1718,Amphiporus cruentatus,nemertean,1,1260,Synidotea ritteri,isopod,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,15998,8-Oct-24
602,ZZ,Idoteidae,Amphiporidae,1718,Amphiporus cruentatus,nemertean,1,496,Synidotea bicuspida,isopod,1,1,3,6,2,602; 375,Sanak Archipelago,low,NA,no,y,,15999,8-Oct-24
602,ZZ,Caprellidae,Amphiporidae,1718,Amphiporus cruentatus,nemertean,1,505,Caprella californica,amphipod,1,1,3,6,2,602; 375,Sanak Archipelago,low,NA,no,y,,16061,8-Oct-24
602,ZZ,Caprellidae,Amphiporidae,1718,Amphiporus cruentatus,nemertean,1,506,Caprella sp.,caprellid,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,16062,8-Oct-24
602,ZZ,Caprellidae,Amphiporidae,1718,Amphiporus cruentatus,nemertean,1,1410,Caprella kennerlyi,caprellid,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,16063,8-Oct-24
602,ZZ,Caprellidae,Amphiporidae,1718,Amphiporus cruentatus,nemertean,1,1406,Caprella equilibra,caprellid,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,16064,8-Oct-24
602,ZZ,Caprellidae,Amphiporidae,1718,Amphiporus cruentatus,nemertean,1,1403,Caprella alaskana,caprellid,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,16065,8-Oct-24
602,ZZ,Caprellidae,Amphiporidae,1718,Amphiporus cruentatus,nemertean,1,1404,Caprella brevirostris,caprellid,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,16066,8-Oct-24
602,ZZ,Caprellidae,Amphiporidae,1718,Amphiporus cruentatus,nemertean,1,1407,Caprella ferrea,caprellid,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,16067,8-Oct-24
602,ZZ,Caprellidae,Amphiporidae,1718,Amphiporus cruentatus,nemertean,1,1408,Caprella greenleyi,caprellid,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,16068,8-Oct-24
602,ZZ,Caprellidae,Amphiporidae,1718,Amphiporus cruentatus,nemertean,1,1409,Caprella incisa,caprellid,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,16069,8-Oct-24
602,ZZ,Caprellidae,Amphiporidae,1718,Amphiporus cruentatus,nemertean,1,1411,Caprella laeviuscula,caprellid,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,16070,8-Oct-24
602,ZZ,Caprellidae,Amphiporidae,1718,Amphiporus cruentatus,nemertean,1,1412,Caprella natalensis,caprellid,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,16071,8-Oct-24
602,ZZ,Caprellidae,Amphiporidae,1718,Amphiporus cruentatus,nemertean,1,1413,Caprella penantis,caprellid,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,16072,8-Oct-24
602,ZZ,Caprellidae,Amphiporidae,1718,Amphiporus cruentatus,nemertean,1,1414,Caprella pilipalma,caprellid,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,16073,8-Oct-24
602,ZZ,Caprellidae,Amphiporidae,1718,Amphiporus cruentatus,nemertean,1,1415,Caprella verrucosa,caprellid,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,16074,8-Oct-24
602,ZZ,Caprellidae,Amphiporidae,1718,Amphiporus cruentatus,nemertean,1,1419,Cercops compactus,caprellid,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,16075,8-Oct-24
602,ZZ,Caprellidae,Amphiporidae,1718,Amphiporus cruentatus,nemertean,1,1416,Deutella californica,caprellid,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,16076,8-Oct-24
602,ZZ,Caprellidae,Amphiporidae,1718,Amphiporus cruentatus,nemertean,1,1420,Perotripus brevis,caprellid,1,1,3,6,2,602; 375,Sanak Archipelago,very low,NA,no,y,,16077,8-Oct-24
602,ZZ,Caprellidae,Amphiporidae,1718,Amphiporus cruentatus,nemertean,1,1417,Tritella laevis,caprellid,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,16078,8-Oct-24
602,ZZ,Caprellidae,Amphiporidae,1718,Amphiporus cruentatus,nemertean,1,1418,Tritella pilimana,caprellid,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,16079,8-Oct-24
602,ZZ,Idoteidae,Amphiporidae,1719,Amphiporus flavescens,nemertean,1,1249,Colidotea findleyi,isopod,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,16000,8-Oct-24
602,ZZ,Idoteidae,Amphiporidae,1719,Amphiporus flavescens,nemertean,1,495,Colidotea rostrata,isopod,1,1,3,6,2,602; 375,Sanak Archipelago,low,NA,no,y,,16001,8-Oct-24
602,ZZ,Idoteidae,Amphiporidae,1719,Amphiporus flavescens,nemertean,1,1250,Erichsonella crenulata,isopod,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,16002,8-Oct-24
602,ZZ,Idoteidae,Amphiporidae,1719,Amphiporus flavescens,nemertean,1,1251,Erichsonella pseudoculata,isopod,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,16003,8-Oct-24
602,ZZ,Idoteidae,Amphiporidae,1719,Amphiporus flavescens,nemertean,1,1252,Idotea ochotensis,isopod,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,16004,8-Oct-24
602,ZZ,Idoteidae,Amphiporidae,1719,Amphiporus flavescens,nemertean,1,1254,Idotea rufescens,isopod,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,16005,8-Oct-24
602,ZZ,Idoteidae,Amphiporidae,1719,Amphiporus flavescens,nemertean,1,1253,Pentidotea resecata,isopod,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,16006,8-Oct-24
602,ZZ,Idoteidae,Amphiporidae,1719,Amphiporus flavescens,nemertean,1,490,Pentidotea wosnesenskii,isopod,1,1,3,6,2,602; 375,Sanak Archipelago,middle to low,NA,no,y,,16007,8-Oct-24
602,ZZ,Idoteidae,Amphiporidae,1719,Amphiporus flavescens,nemertean,1,491,Idotea montereyensis,isopod,1,1,3,6,2,602; 375,Sanak Archipelago,middle to low,NA,no,y,,16008,8-Oct-24
602,ZZ,Idoteidae,Amphiporidae,1719,Amphiporus flavescens,nemertean,1,493,Idotea urotoma,isopod,1,1,3,6,2,602; 375,Sanak Archipelago,middle to low,NA,no,y,,16009,8-Oct-24
602,ZZ,Idoteidae,Amphiporidae,1719,Amphiporus flavescens,nemertean,1,489,Pentidotea aculeata,isopod,1,1,3,6,2,602; 375,Sanak Archipelago,low,NA,no,y,,16010,8-Oct-24
602,ZZ,Idoteidae,Amphiporidae,1719,Amphiporus flavescens,nemertean,1,488,Idotea stenops,isopod,1,1,3,6,2,602; 375,Sanak Archipelago,middle to low,NA,no,y,,16011,8-Oct-24
602,ZZ,Idoteidae,Amphiporidae,1719,Amphiporus flavescens,nemertean,1,494,Idotea fewkesi,isopod,1,1,3,6,2,602; 375,Sanak Archipelago,very low,NA,no,y,,16012,8-Oct-24
602,ZZ,Idoteidae,Amphiporidae,1719,Amphiporus flavescens,nemertean,1,1255,Pentidotea schmitti,isopod,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,16013,8-Oct-24
602,ZZ,Idoteidae,Amphiporidae,1719,Amphiporus flavescens,nemertean,1,492,Pentidotea kirchanskii,isopod,1,1,3,6,2,602; 375,Sanak Archipelago,low,NA,no,y,,16014,8-Oct-24
602,ZZ,Idoteidae,Amphiporidae,1719,Amphiporus flavescens,nemertean,1,1256,Synidotea berolzheimeri,isopod,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,16015,8-Oct-24
602,ZZ,Idoteidae,Amphiporidae,1719,Amphiporus flavescens,nemertean,1,1257,Synidotea consolidata,isopod,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,16016,8-Oct-24
602,ZZ,Idoteidae,Amphiporidae,1719,Amphiporus flavescens,nemertean,1,1258,Synidotea harfordi,isopod,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,16017,8-Oct-24
602,ZZ,Idoteidae,Amphiporidae,1719,Amphiporus flavescens,nemertean,1,1259,Synidotea pettiboneae,isopod,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,16018,8-Oct-24
602,ZZ,Idoteidae,Amphiporidae,1719,Amphiporus flavescens,nemertean,1,1260,Synidotea ritteri,isopod,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,16019,8-Oct-24
602,ZZ,Idoteidae,Amphiporidae,1719,Amphiporus flavescens,nemertean,1,496,Synidotea bicuspida,isopod,1,1,3,6,2,602; 375,Sanak Archipelago,low,NA,no,y,,16020,8-Oct-24
602,ZZ,Caprellidae,Amphiporidae,1719,Amphiporus flavescens,nemertean,1,505,Caprella californica,amphipod,1,1,3,6,2,602; 375,Sanak Archipelago,low,NA,no,y,,16080,8-Oct-24
602,ZZ,Caprellidae,Amphiporidae,1719,Amphiporus flavescens,nemertean,1,506,Caprella sp.,caprellid,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,16081,8-Oct-24
602,ZZ,Caprellidae,Amphiporidae,1719,Amphiporus flavescens,nemertean,1,1410,Caprella kennerlyi,caprellid,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,16082,8-Oct-24
602,ZZ,Caprellidae,Amphiporidae,1719,Amphiporus flavescens,nemertean,1,1406,Caprella equilibra,caprellid,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,16083,8-Oct-24
602,ZZ,Caprellidae,Amphiporidae,1719,Amphiporus flavescens,nemertean,1,1403,Caprella alaskana,caprellid,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,16084,8-Oct-24
602,ZZ,Caprellidae,Amphiporidae,1719,Amphiporus flavescens,nemertean,1,1404,Caprella brevirostris,caprellid,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,16085,8-Oct-24
602,ZZ,Caprellidae,Amphiporidae,1719,Amphiporus flavescens,nemertean,1,1407,Caprella ferrea,caprellid,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,16086,8-Oct-24
602,ZZ,Caprellidae,Amphiporidae,1719,Amphiporus flavescens,nemertean,1,1408,Caprella greenleyi,caprellid,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,16087,8-Oct-24
602,ZZ,Caprellidae,Amphiporidae,1719,Amphiporus flavescens,nemertean,1,1409,Caprella incisa,caprellid,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,16088,8-Oct-24
602,ZZ,Caprellidae,Amphiporidae,1719,Amphiporus flavescens,nemertean,1,1411,Caprella laeviuscula,caprellid,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,16089,8-Oct-24
602,ZZ,Caprellidae,Amphiporidae,1719,Amphiporus flavescens,nemertean,1,1412,Caprella natalensis,caprellid,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,16090,8-Oct-24
602,ZZ,Caprellidae,Amphiporidae,1719,Amphiporus flavescens,nemertean,1,1413,Caprella penantis,caprellid,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,16091,8-Oct-24
602,ZZ,Caprellidae,Amphiporidae,1719,Amphiporus flavescens,nemertean,1,1414,Caprella pilipalma,caprellid,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,16092,8-Oct-24
602,ZZ,Caprellidae,Amphiporidae,1719,Amphiporus flavescens,nemertean,1,1415,Caprella verrucosa,caprellid,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,16093,8-Oct-24
602,ZZ,Caprellidae,Amphiporidae,1719,Amphiporus flavescens,nemertean,1,1419,Cercops compactus,caprellid,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,16094,8-Oct-24
602,ZZ,Caprellidae,Amphiporidae,1719,Amphiporus flavescens,nemertean,1,1416,Deutella californica,caprellid,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,16095,8-Oct-24
602,ZZ,Caprellidae,Amphiporidae,1719,Amphiporus flavescens,nemertean,1,1420,Perotripus brevis,caprellid,1,1,3,6,2,602; 375,Sanak Archipelago,very low,NA,no,y,,16096,8-Oct-24
602,ZZ,Caprellidae,Amphiporidae,1719,Amphiporus flavescens,nemertean,1,1417,Tritella laevis,caprellid,1,1,3,6,2,602; 375,Sanak Archipelago,all,NA,no,y,,16097,8-Oct-24
