date_changed,Reference #,Use,Paper Title,Author,Year,Focal consumer taxon,Focal consumer life stage,Focal consumer type,Consumption type,Resource taxon,resource taxonomic resolution,Resource description,nsboth,CA,EP_RIZ,General location of study,Coordinates of study site,notes,added to edge list,initials,,secondary_citation,link or doi,,,
03/18/2024 03:53PM,7,interaction report,An Analysis of Stomach Contents of California Tide Pool Fishes,Donald F. Mitchell,1953,Micrometrus minimus,adult,predator,predation,"Isopods: Pentidotea aculeata, Idothea rectilinea, Cirolana harfordi--> AMPHIPODS= Allorchests sp., Hyale frequens, --> GASTROPODA= ACMEA SCABRA, BARLECIA BENTLEYI--> POLYCHEATS= Platynereis agassizi, Marphysa sanguinea",NA,"ISOPODS= Pentidotea aculeata, Idothea rectilinea, Cirolana harfordi--> AMPHIPODS= Allorchests sp., Hyale frequens, --> GASTROPODA= ACMEA SCABRA, BARLECIA BENTLEYI--> POLYCHEATS= Platynereis agassizi, Marphysa sanguinea",s,y,,"Collections made at ""Portugese bend"", a well known shoreline in Los Angeles county. ",,03/20/2024 01:06PM,done,03/20/2024 01:04PM,,,,,,
03/18/2024 04:04PM,8,interaction report,Myxosporidia from Tide Pool Fishes of California,Elmer R. Noble,1939,Sphaeromyxa gibbonsia,adult,parasite,endoparasitism,Gibbonsia elegans,species,Gibbonsia elegans,s,y,,Data collected from organisms found in Santa Barbara tide pools,,03/20/2024 01:06PM,done,03/20/2024 01:04PM,,,,,,
03/18/2024 04:11PM,8,interaction report,Myxosporidia from Tide Pool Fishes of California,Elmer R. Noble,1939,Sphaerospora sphaerula,adult,parasite,endoparasitism,Gibbonsia metzi,species,Gibbonsia Metzi,s,y,,Data collected from organisms found in Santa Barbara tide pools,,03/20/2024 01:06PM,enter,03/20/2024 01:04PM,,,,,,
03/18/2024 04:11PM,9,interaction report,"A New Species of Trematode, Podocotyle gibbonsia, from Tide Pool Fishes of Monterey Bay, California",William F. Johnson,1949,Podocotyle gibbonsia,adult,predator,predation,Gibbonsia metzi,species,Podocotyle gibbonsia,n,y,,I couldnt find the location of where they found the trematode but I'll look into it and see if I can find anything else on it.,,03/20/2024 01:06PM,enter,03/20/2024 01:04PM,,,,,,
03/18/2024 04:11PM,10,interaction report,The role of sea urchins in mediating fish predation on a commensal isopod (Crustacea: Isopoda),Timothy D.Stebbinsab,1988,Clinocottus analis ,adult,predator,predation,Colidotea rostrata,species,Colidotea rostrata,s,y,y,"a rocky intertidal area at the southwestern end of Lunada Bay, Pales Verdes, southern California ",33”40’N: 118”3O’W),03/20/2024 02:00PM,enter,03/20/2024 01:04PM,,,,,,
03/21/2024 12:02PM,10,interaction report,The role of sea urchins in mediating fish predation on a commensal isopod (Crustacea: Isopoda),Timothy D.Stebbinsab,1988,Hypsoblennius gilberti,adult,predator,predation,Colidotea rostrata,species,Colidotea rostrata,s,y,y,"a rocky intertidal area at the southwestern end of Lunada Bay, Pales Verdes, southern California ",33”40’N: 118”3O’W),03/20/2024 02:00PM,,03/20/2024 01:04PM,,,,,,
03/01/2024 03:31PM,11,interaction report,Studies on Amyloodinium ocellatum (Dinoflflagellata) in Mississippi Sound: Natural and Experimental Hosts,Adrian R. Lawler,1980,Amyloodinium ocellatum,adult,parasite,parasitism,Hypsoblennius gilberti,species,Hypsoblennius gilberti,na,n,n,"ollected mainly in Mississippi Sound, from Biloxi Bay to Horn Island",,"*This parasite may be a new kind of parasite infecting Hypsoblennius gilberti, ( and dozens of other fishes). For Hypsoblennius gilberti specifically, this parasite made the fish ""Gasping; spasmodic beat of opercules, with mouth almost never fully closed; constant swimming of some specimens; trying to jump out of tank."" This parasite was found in nature on hypsoblennius gilberti, which out of the 100 different species of fish used in the experiment only happened to 16 of them .",,03/20/2024 01:04PM,,,,,,
03/01/2024 03:32PM,12,interaction report,"THE COMPARATIVE ECOLOGY OF THREE SYMPATRIC SPECIES OF CALIFORNIA BLENNIES OF THE GENUS HYPSOBLENNIUS
GILL (TELEOSTOMI, BLENNIIDAE)","JOHN S. STEPHENS, JR., ROBERT K. JOHNSON,2 GERALD S. KEY,3 AND JOHN E. MCCOSKER2",1970,Hypsoblennius jenkinsi,adult,commensal,spatially associated,Hypsoblennius gilberti,species,Hypsoblennius gilberti,s,y,y,"a lot of different sites were used, but a common one where they collected fish for lab experiments was: Marineland of the Pacific (Palos Verdes Penin- sulca, California",,03/20/2024 02:00PM,,03/20/2024 01:04PM,,,,,,
03/18/2024 09:08AM,12,interaction report,"THE COMPARATIVE ECOLOGY OF THREE SYMPATRIC SPECIES OF CALIFORNIA BLENNIES OF THE GENUS HYPSOBLENNIUS
GILL (TELEOSTOMI, BLENNIIDAE)","JOHN S. STEPHENS, JR., ROBERT K. JOHNSON,2 GERALD S. KEY,3 AND JOHN E. MCCOSKER2",1970,Hypsoblennius gentilis,adult,commensal,spatially associated,Hypsoblennius gilberti,species,Hypsoblennius gilberti,s,y,y,"a lot of different sites were used, but a common one where they collected fish for lab experiments was: Marineland of the Pacific (Palos Verdes Penin- sulca, California",,03/20/2024 02:00PM,,03/20/2024 01:04PM,,,,,,
03/04/2024 01:44PM,13,interaction report,Spatial and seasonal patterns of habitat partitioning in a guild of southern California tidepool fishes,Jana L. D. Davis,2000,Clinocottus analis ,adult,commensal,spatially associated,"Hypsoblennius gilberti, Gibbonsia elegans",NA,"Hypsoblennius gilberti, Gibbonsia elegans",s,y,,"Fish were studied in 105perma- nent tidepools at 2 sites along the coast of San Diego. 1. The False Point (FP)study area, located south of Bird Rock in La Jolla, California, con- sists of 55 tidepools on and around 2 conglomerate sandstone outcrop. 2.  The study area south of the Ocean Beach Pier (OB)consists of 50 tidepools in a relatively flat shale and sandstone region measuring 200 m2",,03/20/2024 01:05PM,,03/20/2024 01:04PM,,,,,,
03/01/2024 03:33PM,14,interaction report,Foraging behavior and prey selection of the leather seastar Dermasterias imbricata,Cynthia Annett and Raymond Pierotti,1984,Dermasterias imbricata,adult,predator,predation,Anthopleura elegantissima,species,"Corynactis californica, Anthopleura elegantissima",n,y,y,Site 1: Monterey Coast Guard Breakwater; Site 2: Stillwater Cove in Carmel Bay,"Site 1: (121^o53'N, 36^o36'W) ; Site 2: (12l^o57'N, 36^o34'W)",03/20/2024 02:02PM,,03/20/2024 01:04PM,,,,,,
03/01/2024 03:33PM,14,interaction report,Foraging behavior and prey selection of the leather seastar Dermasterias imbricata,Cynthia Annett and Raymond Pierotti,1984,Dermasterias imbricata,adult,predator,predation,Corynactis californica,species,"Corynactis californica, Anthopleura elegantissima",n,y,y,Site 1: Monterey Coast Guard Breakwater; Site 2: Stillwater Cove in Carmel Bay,"Site 1: (121^o53'N, 36^o36'W) ; Site 2: (12l^o57'N, 36^o34'W)",03/20/2024 02:02PM,,03/20/2024 01:05PM,,,,,,
03/01/2024 03:31PM,15,interaction report,Feeding and predator-avoidance by the rose anemone Urticina piscivora,R. Houtman · L. R. Paul · R. V. Ungemach · R. C. Ydenberg,1996,Dermasterias imbricata,adult,predator,predation,Urticina piscivora,species,Urticina piscivora,n,n,y,Collected from various sites in the Deer Group Islands in Barkley Sound. ,,03/20/2024 02:12PM,,EMH,,,,,,
03/01/2024 03:33PM,16,interaction report,DEFENSE ADAPTATIONS OF THE DENDROCHIROTE HOLOTHURIAN PSOLUS CHITONOIDES Clark,"
BRIAN L. BINGHAM and LEE F. BRAITHWAITE",1986,Dermasterias imbricata,adult,predator,predation,Psolus chitonoides,species,Psolus chitonoides,n,n,y,"Friday Harbor, Washington, including Bell Island, Point George, Turn Island, One Mile Reef, Brown Island, and Cantilever Pier.",,03/20/2024 02:11PM,,EMH,,,,,,
03/18/2024 09:09AM,17,interaction report,"Behavioral Responses of Seven Species of Asteroids to the Ateroid PRedator, Solaster dawsoni",H.D. Van Veldhuizen and V.J. Oakes ,1981,Solaster dawsoni,adult,predator,predation,Pisaster brevispinus,species,"Pisaster brevispinus, Pisaster Ochraceus",n,y,,Collected right outside of the Bodega Marine Lab,"38.3182° N, 123.0723° W",03/20/2024 01:05PM,,EMH,,,,,,
03/01/2024 03:34PM,17,interaction report,"Behavioral Responses of Seven Species of Asteroids to the Ateroid PRedator, Solaster dawsoni",H.D. Van Veldhuizen and V.J. Oakes ,1981,Solaster dawsoni,adult,predator,predation,Pisaster Ochraceus,species,"Pisaster brevispinus, Pisaster Ochraceus",n,y,,Collected right outside of the Bodega Marine Lab,"38.3182° N, 123.0723° W",03/20/2024 01:05PM,,EMH,,,,,,
03/01/2024 03:34PM,17,interaction report,"Behavioral Responses of Seven Species of Asteroids to the Ateroid PRedator, Solaster dawsoni",H.D. Van Veldhuizen and V.J. Oakes ,1981,Dermasterias imbricata,adult,commensal,spatially associated,Solaster dawsoni,species,Solaster dawsoni,n,y,,Collected right outside of the Bodega Marine Lab,"38.3182° N, 123.0723° W",03/20/2024 01:05PM,,EMH,,,,,,
03/01/2024 03:34PM,18,interaction report,Evisceration behaviour and the seasonal incidence of evisceration in the holothurian Eupentacta quinquesemita (Selenka),Maria Byrne,1985,Dermasterias imbricata,adult,predator,predation,Eupentacta quinquesemita,species,Eupentacta quinquesemita,n,n,y,"Site 1: Ten Mile Point; Site 2: Royal Victoria Yacht Club (both sites were near Victoria, B.C. Canada)","Site 1: 48.4560° N, 123.2773° W
Site 2: 38.1431° S, 144.3655° E",03/20/2024 01:07PM,,EMH,,,,,,
03/04/2024 01:44PM,19,interaction report,SEA STAR DISEASE AND POPULATION DECLINES AT THE CHANNEL ISLANDS,"Ginny L. Eckert1, John M. Engle2, David J. Kushner",2000,Dermasterias imbricata,adult,commensal,spatially associated,"Asterina miniata, Pisaster giganteus, Astropecten armatus,  Pisaster ochraceus, Pisaster brevispinus,  Pycnopodia helianthoides, Orthasterias koehleri, Mediaster aequalis,  Henricia leviuscula",NA,"Asterina miniata, Pisaster giganteus, Astropecten armatus,  Pisaster ochraceus, Pisaster brevispinus,  Pycnopodia helianthoides, Orthasterias koehleri, Mediaster aequalis,  Henricia leviuscula",s,y,y,"Channel Islands: ""16 sites representing the north and south sides of Santa Barbara, Anacapa, Santa Cruz, Santa Rosa, and San Miguel islands.""",,03/20/2024 01:07PM,,EMH,,,,,,
03/01/2024 03:34PM,20,interaction report,Predation by Patiria miniata (Asteroidea) on Bryozoans: Prey Diversity May Depend on the Mechanism of Successi,R.W. Day and R.W. Osman,1981,Patiria miniata,adult,predator,predation,Tubulipora,genus,Tubulipora spp. ,s,y,y,"Site 1: Naples Reef in Santa Barbara, Site 2: Santa Cruz Island, Site 3: Habitat reef off of Santa Catalina Island, Site 4/5: right off the shore of Santa Barbara, across from Santa Catalina, in the San Mateo and San Onofre kelp forests. ",,03/20/2024 01:07PM,,EMH,,,,,,
03/01/2024 03:34PM,21,interaction report,Effects of the starfish Patiria miniata on the distribution of the sea urchin Lytechinus anamesus in a southern Californian kelp forest,"Stephen C. Schroeter, John Dixon & Jon Kastendiek ",1983,Patiria miniata,adult,predator,predation,Lytechinus anamesus,species,Lytechinus anamesus,s,y,y,"San Onofre Kelp bed, 10 km southeast of San Clemente, CA",,03/20/2024 01:07PM,,EMH,,,,,,
03/04/2024 01:44PM,22,interaction report,"STUDIES ON THE CARDIAC STOMACH OF A STARFISH, PATIRIA MINIATA (BRANDT)'","
JOHN MAXWELL ANDERSON",1959,Patiria miniata,adult,predator,predation,"animal, plants, sessile gastropods, diatoms, kelp, seaweed, cracked snails, mussel flesh, etc. ( see notes ) ",NA,"animal, plants, sessile gastropods, diatoms, kelp, seaweed, cracked snails, mussel flesh, etc. ( see notes ) ",s,y,y,"""collected in tide pools near Pacific Grove, California,""",,03/20/2024 01:07PM,,EMH,,,,,,
03/01/2024 03:46PM,23,interaction report,Turf assemblage of a Macrocystis kelp forest : experiments on competition and herbivory ,"Miles, A. Keith",1987,Patiria miniata,adult,grazer,herbivory,green algae,category,Phaeophyta algae and Chlorophyta algae ,s,y,y,San Nicolas Island,33°14′23″N 119°27′29″W,03/20/2024 01:07PM,,EMH,,,,,,
03/01/2024 03:38PM,23,interaction report,Turf assemblage of a Macrocystis kelp forest : experiments on competition and herbivory ,"Miles, A. Keith",1987,Patiria miniata,adult,grazer,herbivory,Phaeophyceae,class,Phaeophyta algae and Chlorophyta algae ,s,y,y,San Nicolas Island,33°14′23″N 119°27′29″W,03/20/2024 01:07PM,,EMH,,,,,,
03/01/2024 03:46PM,24,interaction report,Emerging infectious disease in sea stars: castrating ciliate parasites in Patiria miniata,"J. Sunday*, L. Raeburn, M. W. Hart",2008,Orchitophrya stellarum,adult,parasite,endoparasitism,Patiria miniata,species,"Patiria miniata, Pisaster Ochraceus",n,n,y,"Dixon Island and Grappler Inlet near the Bamfield Marine Sciences Centre, Van- couver Island, British Columbia, Canada","48° 50’ N, 125° 8’ W",03/20/2024 01:08PM,,EMH,,,,,,
03/04/2024 01:31PM,24,interaction report,Emerging infectious disease in sea stars: castrating ciliate parasites in Patiria miniata,"J. Sunday*, L. Raeburn, M. W. Hart",2008,Orchitophrya stellarum,adult,parasite,endoparasitism,Pisaster ochraceus,species,"Patiria miniata, Pisaster Ochraceus",n,n,y,"Dixon Island and Grappler Inlet near the Bamfield Marine Sciences Centre, Van- couver Island, British Columbia, Canada","48° 50’ N, 125° 8’ W",03/20/2024 01:08PM,,EMH,,,,,,
03/04/2024 01:31PM,25,interaction report,Castration and mortality in Pisaster ochraceus parasitized by Orchitophrya stellarum (Ciliophora).,"Leighton, B. J. ;  Boom, J. D. G. ;  Bouland, C. ;  Hartwick, E. B. ;  Smith, M. J.",1991,Orchitophrya stellarum,adult,parasite,parasitism,Pisaster ochraceus,species,Pisaster Ochraceus,n,n,y,"2 sites on the southern coast of British Columbia, Canada",,03/20/2024 01:08PM,,EMH,,,,,,
03/01/2024 03:46PM,26,interaction report,Impact of temperature on an emerging parasitic association between a sperm-feeding scuticociliate and Northeast Pacific sea stars,Amanda E.BatesabWilliam B.SticklecChristopher D.G.Harleyb,2010,Orchitophrya stellarum,adult,parasite,parasitism,Pisaster ochraceus,species,Pisaster Ochraceus,n,n,y,"Bamfield Marine Sciences Centre (Barkley Sound, British Columbia, Canada","48°50′17″N, 125°08′26″W",03/20/2024 01:08PM,,EMH,,,,,,
03/01/2024 03:47PM,27,interaction report,The Food of the Starfish Pisaster Ochraceus along the California Coast,Howard M. Feder,1959,Pisaster Ochraceus,adult,predator,predation,"a wide variety of mussels, barnacles, gastropods, polychaetes, tunicates, limpets, crabs, etc. ( see edge list for the details on this)",na,"a wide variety of mussels, barnacles, gastropods, polychaetes, tunicates, limpets, crabs, etc. ( see edge list for the details on this)",both,y,y,California Coast,,03/20/2024 01:08PM,"***There is a long list of like 30 organisms here that I'm putting on the edge list that explain exactly what species Pisaster eats carnivory wise... I will only include the ones that were most commonly seen as some of them only have 1 field occurence, which may not be a a real prey and could be accidental... ",EMH,,,,,,
03/01/2024 03:47PM,28,interaction report,"Growth and predation by the ochre sea star, Pisaster ochraceus (Brandt), in Monterey Bay, California",Howard M. Feder,2012,Pisaster Ochraceus,adult,predator,predation,Mytilus calijornias,species,Mytilus calijornias,n,y,y,"three rocky intertidal areas at Mussel Point on the southern shore of Monterey Bay, California","360 37'N.,1210 54'W.",03/20/2024 01:08PM,,EMH,,,,,,
03/18/2024 09:10AM,29,interaction report,"Wasted and Castrated: Two Diseases Affecting the Ochre Star, Pisaster ochraceus, in North America",Zoe Zilz-- haha it's your thesis paper from WWU! ,2018,Orchitophrya stellarum,adult,parasite,parasitism,Leptasterias,genus,"Pisaster Ochraceus,  Leptasterias spp.",n,y,y,I think collections were made thorughout North America? Zoe will know,,03/20/2024 01:09PM,,EMH,,,,,,
03/04/2024 01:31PM,29,interaction report,"Wasted and Castrated: Two Diseases Affecting the Ochre Star, Pisaster ochraceus, in North America",Zoe Zilz-- haha it's your thesis paper from WWU! ,2018,Orchitophrya stellarum,adult,parasite,parasitism,Pisaster ochraceus,species,"Pisaster Ochraceus,  Leptasterias spp.",n,y,y,I think collections were made thorughout North America? Zoe will know,,03/20/2024 01:09PM,,EMH,,,,,,
03/01/2024 03:48PM,30,interaction report,Effects of Food Concentration and Availability on the Incidence of Cloning in Planktotrophic Larvae of the Sea Star Pisaster ochraceus,"
MINAKO S. VICKERY* AND JAMES B. MCCLINTOCK",2000,Pisaster Ochraceus,larva,predator,predation,Chaetocerous calcitrans,species,"Chaetocerous calcitrans, Dunaliella tertiolecta, Isochrysis galbana",n,n,y,"Collected from: ""...rocky substrates along the shore of East Sound, Orcas Island...""","near: 48.6331° N, 122.9290° W",03/20/2024 01:09PM,,EMH,,,,,,
03/01/2024 03:48PM,30,interaction report,Effects of Food Concentration and Availability on the Incidence of Cloning in Planktotrophic Larvae of the Sea Star Pisaster ochraceus,"
MINAKO S. VICKERY* AND JAMES B. MCCLINTOCK",2000,Pisaster Ochraceus,larva,predator,predation,Dunaliella tertiolecta,species,"Chaetocerous calcitrans, Dunaliella tertiolecta, Isochrysis galbana",n,n,y,"Collected from: ""...rocky substrates along the shore of East Sound, Orcas Island...""","near: 48.6331° N, 122.9290° W",03/20/2024 01:09PM,,EMH,,,,,,
03/01/2024 03:48PM,30,interaction report,Effects of Food Concentration and Availability on the Incidence of Cloning in Planktotrophic Larvae of the Sea Star Pisaster ochraceus,"
MINAKO S. VICKERY* AND JAMES B. MCCLINTOCK",2000,Pisaster Ochraceus,larva,predator,predation,Isochrysis galbana,species,"Chaetocerous calcitrans, Dunaliella tertiolecta, Isochrysis galbana",n,n,y,"Collected from: ""...rocky substrates along the shore of East Sound, Orcas Island...""","near: 48.6331° N, 122.9290° W",03/20/2024 01:09PM,,EMH,,,,,,
03/01/2024 03:50PM,31,interaction report,"Population Structure and Reproduction of the Fissiparous Seastar, Linckia columbiae Gray, on Santa Catalina Island, California",Florence A. McAlary,1993,Linckia columbiae,adult,predator,herbivory,Corallinales,order,Coralline algae/encrusted coral cobble,s,y,y,"""Pumpernickel Cove and its adjoining coastal reef are is located in the Catalina Marine Science Center Marine Life Refuge on the northwest shore near the west end of Santa Catalina Island, California.""--> data and samples collected from here",,03/20/2024 01:09PM,,EMH ,,,,,,
03/19/2024 04:43PM,32,interaction report,Genetic population structures of the blue starfish Linckia laevigata and its gastropod ectoparasite Thyca crystallina,"M. Kochzius1,*,**, C. Seidel1, 2, J. Hauschild1, 3, S. Kirchhoff1, P. Mester1, I. Meyer-Wachsmuth1, A. Nuryanto1, 4, J. Timm1",2009,Thyca crystallina,adult,parasite,parasitism,Linckia laevigata,genus,Linckia laevigata,na,n,n,"""sample sites across the Indo-Malay Archipelago..."" Figure 1 in the paper shows every site where samples were collected from across 3 years, ( there are many). ",,03/20/2024 01:09PM,"NO, species not in EP",EMH,,,,,,
03/21/2024 11:56AM,33,interaction report,Prey capture by Pisaster brevispinus (Asteroidea: Echinodermata) on soft substrate,"Van Veldhuizen, H.D., Phillips, D.W.",1978,Pisaster brevispinus,adult ,predator,predation,Tresus nuttallii,species,Tresus nuttallii,n,y,y,Southwest corner of Bodega Harbor,"38''18'N, 123''3'W",03/20/2024 01:09PM,,EMH,,,,,,
03/04/2024 01:31PM,34,interaction report,Characterization of three novel species of Labyrinthulomycota isolated from ochre sea stars (Pisaster ochraceus),"Rebecca FioRito, Celeste Leander, Brian Leander ",2016,"Stellarchytrium dubum, Aplanochytrium blankum, Oblongichytrium porteri",adult,parasite,parasitism,Pisaster ochraceus,species,Pisaster Ochraceus,n,n,y,"Bamfield Marine Research Station (Vancouver Island, British Columbia, and  Reed Point Marina (Port Moody, British Columbia","48°83.6′N, 125°13.6′W,  49°29.1′N, 122°88.3′W","*Stellarchytrium dubum, Aplanochytrium blankum, Oblongichytrium porteri are three new species of parasite that have been previously recorded on different asteroids, including Pisaster Ochraceus. They are from the Labyrinthulomycota group of parasites. It's a fungus-marine protist type of an organism that is mainly a decomposer, but has been found as a parasite on a variety of marine fauna. They may be linked or correlate to sea star wasting syndromne in Pisaster Ochraceus. ",,EMH,,,,,,
03/01/2024 03:50PM,35,interaction report,"Reciprocal abundance shifts of the intertidal sea stars, Evasterias troscheliiand Pisaster ochraceus, following sea star wasting disease","Sharon W. C. Kay , Alyssa-Lois M. Gehman  and Christopher D. G. Harley",2019,Pisaster Ochraceus,adult,parasite,parasitism,NA (see notes ),na,NA (see notes ),n,n,y,"...the intertidal zone before and during the wasting outbreak using a decade-long dataset collected from 2008 to 2017 in Burrard Inlet, British Columbia...",,03/20/2024 01:09PM,,EMH,,,,,,
