Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Title,Publisher,Place,
1983,"Ambrose, Richard F.",Midden formation by octopuses: The role of biotic and abiotic factors,Marine Behaviour and Physiology,,0091-181X,10.1080/10236248309378613,https://doi.org/10.1080/10236248309378613,"Many octopus species consume their prey in a shelter, where discarded prey items accumulate to form a midden. The shelters of Octopus bimaculatus rarely have middens. Some discarded prey items are present at 20% of the shelters of O. bimaculatus, but these do not accumulate to form middens. A field experiment using artificial middens demonstrated that currents and/or surge moved some bivalve shells, and hermit crabs rapidly removed snail shells from the middens. Snails are very important in the diet of O. bimaculatus but not most other octopus species; middens do not form around O. bimaculatus shelters because hermit crabs remove the discarded snail shells.",11/1/83,137–144,,2,10,,,Midden formation by octopuses,,,,,,"Ambrose, R. F. (1983). Midden formation by octopuses: The role of biotic and abiotic factors. Marine Behaviour and Physiology, 10(2), 137–144. https://doi.org/10.1080/10236248309378613"
1984,"Ambrose, Richard F.","Food preferences, prey availability, and the diet of <i>Octopus bimaculatus</i> Verrill",Journal of Experimental Marine Biology and Ecology,,0022-0981,10.1016/0022-0981(84)90049-2,https://www.sciencedirect.com/science/article/pii/0022098184900492,"Octopus bimaculatus Verrill consumes > 55 prey species from three phyla. The prey included crustaceans, snails, sedentary grazers such as chitons and limpets, and bivalves. In laboratory experiments crabs were the most preferred and snails were the least preferred prey group. The general preference hierarchy of O. bimaculatus was crabs > bivalves = sedentary grazers > snails. The diet of O. bimaculatus in the field is influenced by both food preferences and prey availability. Highly preferred prey (crabs, bivalves, sedentary grazers) were rare in the field; the most abundant species available, the snail Tegula eiseni Jordan, was the least preferred. None of these species were common in octopus diets. In contrast, the high frequency of another snail, Tegula aureotincta Forbes, in the diet stems from a relatively high preference ranking plus relatively high abundance.",5/21/84,29-44,,1,77,,Journal of Experimental Marine Biology and Ecology,,,,,,,"Ambrose, R. F. (1984). Food preferences, prey availability, and the diet of Octopus bimaculatus Verrill. Journal of Experimental Marine Biology and Ecology, 77(1), 29–44. https://doi.org/10.1016/0022-0981(84)90049-2"
1959,"Anderson, John Maxwell","STUDIES ON THE CARDIAC STOMACH OF A STARFISH, <i>PATIRIA MINIATA</i> (BRANDT)",The Biological Bulletin,,"0006-3185, 1939-8697",10.2307/1538899,https://www.journals.uchicago.edu/doi/10.2307/1538899,,1959-10,185-201,,2,117,,The Biological Bulletin,,,,,,,"Anderson, J. M. (1959). STUDIES ON THE CARDIAC STOMACH OF A STARFISH, PATIRIA MINIATA (BRANDT). The Biological Bulletin, 117(2), 185–201. https://doi.org/10.2307/1538899"
1999,"Anderson, Roland C.","Determination of the diet of <i>Octopus rubescens</i> Berry, 1953 (Cephalopoda: Octpododae), through examination of its beer bottle dens in Puget Sound.",Malacologia,,,,https://oceanrep.geomar.de/id/eprint/53134/1/3756.pdf,,1999,455-460,,2,41,,,,,,,,,"Anderson, R. C. (1999). Determination of the diet of Octopus rubescens Berry, 1953 (Cephalopoda: Octpododae), through examination of its beer bottle dens in Puget Sound. Malacologia, 41(2), 455–460."
1984,"Annett, Cynthia; Pierotti, Raymond",Foraging behavior and prey selection of the leather seastar <i>Dermasterias imbricata</i>,Marine Ecology-progress Series - MAR ECOL-PROGR SER,,,10.3354/meps014197,,"Stomach contents of 243 Dermasterias imbricata (Gmbe) from 2 field sites in Monterey Bay, central California (USA), revealed a diet consisting primarily of the corallimorphian anemone Corynactis califomica. A survey of potential prey species demonstrated that C. californica were found in 85 % of 52 randomly placed '/am2 quadrats and 96 % of 45 % m2 quadrats placed around D. irnbn'cata within our study area. All other species of anemones were either rare or absent from the study area, with the exception of a few large individuals. When presented with a choice between C. californica and Anthopleura elegantissima or A. xanthogrammica in the laboratory, D. imbricata consistently ate the Anthopleura spp. and avoided C. californica. In single prey presentations, A. elegantiss~ma, A. xanthogrammica, and Metndium senile were all taken and consumed readily within the first day. In contrast, D. irnbricata presented with C. californica initially avoided this species, and 40 % of the D, imbricata did not feed within 3 d. This difference in selectivity appeared to be related to the anti-predator defenses of the varlous anemones. These results suggest that ecologists should be careful in employing terms such as 'specialist' or 'preferred prey item' without conducting controlled experiments on prey selection and examining behavioral interactions between predator and prey.",1/1/84,197-206,,,14,,Marine Ecology-progress Series - MAR ECOL-PROGR SER,,,,,,,"Annett, C., & Pierotti, R. (1984). Foraging behavior and prey selection of the leather seastar Dermasterias imbricata. Marine Ecology-Progress Series - MAR ECOL-PROGR SER, 14, 197–206. https://doi.org/10.3354/meps014197"
2019,"Appy, Ralph G.; Goffredi, Shana K.; Pernet, Bruno; Latino, Carin",Experimental Elucidation of the Life Cycle of <i>Rhinebothrium urobatidium </i>(Cestoda: Rhinebothriidea) from the Round Stingray (<i>Urobatis halleri</i>: Myliobatiformes) to First and Second Intermediate Hosts,"Bulletin, Southern California Academy of Sciences",,0038-3872,10.3160/0038-3872-118.3.139,https://bioone.org/journals/bulletin-southern-california-academy-of-sciences/volume-118/issue-3/0038-3872-118.3.139/Experimental-Elucidation-of-the-Life-Cycle-of-Rhinebothrium-urobatidium-Cestoda/10.3160/0038-3872-118.3.139.full,"The life cycle of the cestode Rhinebothrium urobatidium, whose ﬁnal host is the round stingray, Urobatis halleri, includes a copepod as the ﬁrst intermediate host and small benthic ﬁshes as second intermediate hosts. Hexacanth embryos within nonoperculate, untanned eggs collected from round stingray developed in the tidepool copepod Tigriopus californicus into caudate procercoids with an apical organ/sucker and cercomer, and rarely, bothridia. The procercoids, which developed in the body cavity within a membrane, adhered to the copepod intestine, were infective to arrow gobies, Clevelandia ios, within 15 d of exposure at 21°C. When infected copepods were fed to arrow gobies, procercoids developed into nonlacunate plerocercoids each bearing individually retractable bothridia and an apical sucker. Within 10 d of exposure to the second intermediate host, the larvae had migrated up the bile/cystic duct into the gall bladder, where they developed bothridia similar to those of adult worms. Between 30 to 51 d post-infection in the goby, plerocercoids approached the size of larvae found in natural infections, and the scolex became morphologically similar to that of adult worms from round stingrays. Only presumptive ﬁliform microtriches (ﬁlitriches) were present on procercoids while both ﬁlitrichs and spiniform microtriches (spinitrichs) were present on plerocercoids. Identiﬁcation of plerocercoids from experimental infections as those of R. urobatidium was conﬁrmed through morphology of the scolex and using cytochrome c oxidase I sequences. The experimental transmission of R. urobatidium to ﬁrst and second intermediate hosts provides improved understanding of the transmission and ontogeny of shark tapeworms. The biological characteristics of U. halleri, with its diverse parasite fauna, provide signiﬁcant opportunities to examine the biology of an array of elasmobranch tapeworm taxa.",12/20/19,139,,3,118,,"Bulletin, Southern California Academy of Sciences",Experimental Elucidation of the Life Cycle of Rhinebothrium urobatidium (Cestoda,,,,,,"Appy, R. G., Goffredi, S. K., Pernet, B., & Latino, C. (2019). Experimental Elucidation of the Life Cycle of Rhinebothrium urobatidium (Cestoda: Rhinebothriidea) from the Round Stingray (Urobatis halleri: Myliobatiformes) to First and Second Intermediate Hosts. Bulletin, Southern California Academy of Sciences, 118(3), 139. https://doi.org/10.3160/0038-3872-118.3.139"
1954,"Arai, Hisao P.",Helminth Parasites of Embiotocid Fishes. I. A New Genus of the Trematode Family Zoogonidae,The Journal of Parasitology,,0022-3395,10.2307/3273751,https://www.jstor.org/stable/3273751,,1954,356-359,,3,40,,,,,,,,,"Arai, H. P. (1954). Helminth Parasites of Embiotocid Fishes. I. A New Genus of the Trematode Family Zoogonidae. The Journal of Parasitology, 40(3), 356–359. https://doi.org/10.2307/3273751"
1972,"Arenas, José N.",<i>Phoronis ovalis</i> Wright in Chile,Studies on Neotropical Fauna,,0375-2410,10.1080/01650527209360437,http://www.tandfonline.com/doi/abs/10.1080/01650527209360437,,1972-02,113-115,,1,7,,Studies on Neotropical Fauna,,,,,,,"Arenas, J. N. (1972). Phoronis ovalis Wright in Chile. Studies on Neotropical Fauna, 7(1), 113–115. https://doi.org/10.1080/01650527209360437"
2007,"Avilés, Fabián; Rozbaczylo, Nicolás; Godoy, Marcos; Muñoz, Gerardo",The first report of <i>Phoronis</i> sp. (Phoronida) In red abalone (<i>Haliotis rufescens</i>) in Chile,Journal of Shellfish Research,,"0730-8000, 1943-6319",10.2983/0730-8000(2007)26[859:TFROPS]2.0.CO;2,https://bioone.org/journals/journal-of-shellfish-research/volume-26/issue-3/0730-8000_2007_26_859_TFROPS_2.0.CO_2/THE-FIRST-REPORT-OF-PHORONIS-SP-PHORONIDA-IN-RED-ABALONE/10.2983/0730-8000(2007)26[859:TFROPS]2.0.CO;2.full,"Various red abalone shells (Haliotis rufescens) taken from Chiloé, X Region, Chile, were examined revealing an enormous amount of vermiform organisms identified as phoronides (Phylum Phoronida) belonging to the genus Phoronis. These individuals have an extended vermiform body not divided into segments, but its upper extreme shows a crown of tentacles shaped in a circular ring (that is the reason why they could be confused with Sabellidae polychaetes, although they do not have segmented body and lack bristles). These are found in the interior of very fragile quitinous tubes. Only Phoronis ovalis has been recorded in Chile found perforating the shell of Chilean abalone, Concholepas concholepas, in samples from the coastal rocks of Mehuin, Valdivia (Arenas 1972).",2007-09,859-861,,3,26,,shre,,,,,,,"Avilés, F., Rozbaczylo, N., Godoy, M., & Muñoz, G. (2007). The first report of Phoronis sp. (Phoronida) In red abalone (Haliotis rufescens) in Chile. Journal of Shellfish Research, 26(3), 859–861. https://doi.org/10.2983/0730-8000(2007)26[859:TFROPS]2.0.CO;2"
1991,B. J. Leighton; J. D. G. Boom; C. Bouland; E. B. Hartwick; M. J. Smith,Castration and mortality in <i>Pisaster</i> <i>ochraceus</i> parasitized by <i>Orchitophrya</i> <i>stellarum</i> (Ciliophora),Diseases of Aquatic Organisms,,,,,,1991,71-73,,,10,,,,,,,,,"B. J. Leighton, J. D. G. Boom, C. Bouland, E. B. Hartwick, & M. J. Smith. (1991). Castration and mortality in Pisaster ochraceus parasitized by Orchitophrya stellarum (Ciliophora). Diseases of Aquatic Organisms, 10, 71–73."
2007,"Bachman, Sarah; Muller-Parker, Gisèle",Viable algae released by the seastar Dermasteriasimbricata feeding on the symbiotic sea anemone Anthopleura elegantissima,Marine Biology,,1432-1793,10.1007/s00227-006-0344-y,https://doi.org/10.1007/s00227-006-0344-y,"Echinoderms are major predators of anemones in temperate ecosystems. The fate of two algae, zooxanthellae and zoochlorellae, after their host anemone (Anthopleura elegantissima Brandt) was consumed by the leather star Dermasterias imbricata Grube was determined in experiments conducted in July and August 2004. Productivity, photosynthetic pigments, and mitotic index (percent of cells dividing) were used as indicators of algal health; algae released after leather stars consumed their host were compared with algae freshly isolated from anemones. Two types of waste products contained algae: pellets resulting from extraoral digestion, and feces. Zooxanthellae and zoochlorellae isolated from these waste products were photosynthetic, although to different extents. For algae from feces and pellets, light-saturated photosynthetic rates (Pmax) were 85 and 13%, respectively, of Pmax of freshly isolated zooxanthellae; and were 20 and 46%, respectively, for zoochlorellae. The photosynthetic pigments and mitotic index (percent of dividing cells) were not altered by the feeding activities of the leather star. These results show that algae released by seastar predation on their hosts remain viable, and are hence available for establishing symbioses in A. elegantissima and other potential hosts.",1/1/07,369-375,,3,150,,Mar Biol,,,,,,,"Bachman, S., & Muller-Parker, G. (2007). Viable algae released by the seastar Dermasteriasimbricata feeding on the symbiotic sea anemone Anthopleura elegantissima. Marine Biology, 150(3), 369–375. https://doi.org/10.1007/s00227-006-0344-y"
1997,"Ballard, L.; Myers, A.","Vertical Distribution, Morphology and Diet of Proboscidactyla Stellata (Cnidaria: Limnomedusae) in Lough Hyne Marine Nature Reserve, Co. Cork, Ireland",Journal of the Marine Biological Association of the United Kingdom,,"1469-7769, 0025-3154",10.1017/S0025315400038583,https://www.cambridge.org/core/journals/journal-of-the-marine-biological-association-of-the-united-kingdom/article/vertical-distribution-morphology-and-diet-of-proboscidactyla-stellata-cnidaria-limnomedusae-in-lough-hyne-marine-nature-reserve-co-cork-ireland/AFA8FFD77EB49DC4904D9FBB06A5AA35,"The vertical distribution, morphology and diet of Proboscidactyla stellata (Cnidaria: Limnomedusae) were studied in Lough Hyne over a two year period. Vertical hauls of four depth strata, 40–30 m, 30–20 m, 20–10 m and 10–0 m, were taken monthly and at 4 h intervals for a period of 48 h in July and 24 h in September 1994. Proboscidactyla stellata was largely concentrated in the lower 20 m of the water column reaching a maximum of 21 m−3 at 30–20 m depth in June 1993. An oxythermocline occurred at 25–30 m depth in the summer and autumn months of 1993 and affected the vertical distribution of the medusae. Six morphs of the species, varying in the number of gonads, were found in the lough. Bivalve veligers, which P. stellata actively selected, formed 83% of the diet.",1997-11,999-1009,,4,77,,,"Vertical Distribution, Morphology and Diet of Proboscidactyla Stellata (Cnidaria",,,,,,"Ballard, L., & Myers, A. (1997). Vertical Distribution, Morphology and Diet of Proboscidactyla Stellata (Cnidaria: Limnomedusae) in Lough Hyne Marine Nature Reserve, Co. Cork, Ireland. Journal of the Marine Biological Association of the United Kingdom, 77(4), 999–1009. https://doi.org/10.1017/S0025315400038583"
1959,"Barnes, H.",Stomach contents and microfeeding of some common cirripedes,Canadian Journal of Zoology,,0008-4301,10.1139/z59-027,http://cdnsciencepub.com/doi/abs/10.1139/z59-027,,6/1/59,231-236,,3,37,,Can. J. Zool.,,,,,,,"Barnes, H. (1959). Stomach contents and microfeeding of some common cirripedes. Canadian Journal of Zoology, 37(3), 231–236. https://doi.org/10.1139/z59-027"
1993,"Barry, James P.; Ehret, Michael J.","Diet, food preference, and algal availability for fishes and crabs on intertidal reef communities in southern California",Environmental Biology of Fishes,,1573-5133,10.1007/BF00000715,https://doi.org/10.1007/BF00000715,"Herbivory by wide-ranging fishes is common over tropical reefs, but rare in temperate latitudes where the effects of herbivorous fishes are thought to be minimal. Along the west coast of North America, herbivory by fishes on nearshore reefs is largely restricted to a few members of the Kyphosidae, distributed south of Pt. Conception. This paper presents information on natural diets and results from feeding choice experiments for two abundant kyphosids from intertidal habitats in San Diego, California —Girella nigricans andHermosilla azurea, and similar data for the lined shore crab,Pachygrapsus crassipes, which also forages over intertidal reefs. These results are compared with the availability of algae in intertidal habitats measured during summer and winter, on both disturbed and undisturbed habitats. The diets of juveniles ofG. nigricans andH. azurea collected from nearshore habitats were dominated by animal prey (mainly amphipods), but adults of these fishes, andP. crassipes, consumed algae nearly exclusively, with 26, 10, and 14 taxa of algae identified fromG. nigricans, H. azurea, andP. crassipes, respectively. Algae with sheet-like morphologies (e.g.Ulva sp.,Enteromorpha sp., members of the Delesseriaceae) were the principal algae in the diets of the fishes, and calcareous algae (e.g.Corallina sp.,Lithothrix aspergillum) and sheet-like algae (Enteromorpha sp.) comprised the greatest identifiable portion of the shore crab's diet. Feeding choice experiments indicated that the fishes preferred filamentous algae (e.g.Centroceras clavulatum, Polysiphonia sp.,Chondria californica) and sheet-like algae (e.g.Enteromorpha sp.,Ulva sp.,Cryptopleura crispa) over other algal morphologies, whereas the shore crab chose jointed calcareous algae (e.g.Lithothrix aspergillum, Corallina vancouveriensis, Jania sp.) most frequently. The diets and preferences for algae by the fishes were generally most similar to the assemblage of algae available in early successional (disturbed) habitats during summer when sheet-like and filamentous algae are abundant. The shore crab exhibited the opposite trend with a diet more similar to late successional (undisturbed) habitats.",5/1/93,75-95,,1,37,,Environ Biol Fish,,,,,,,"Barry, J. P., & Ehret, M. J. (1993). Diet, food preference, and algal availability for fishes and crabs on intertidal reef communities in southern California. Environmental Biology of Fishes, 37(1), 75–95. https://doi.org/10.1007/BF00000715"
