resource,resourceNum,resourceName,resourceCat,resourceStage,consumer,consumerNum,consumerName,consumerCat,consumerStage,interactionType,referenceNum,justification,confidence,localities,interactionZone,habitat,parasitic
442_Bispira sp._1,442,Bispira sp.,polychaete,1,2093_Oligocottus rubellio_1,2093,Oligocottus rubellio,fish,1,1,436; 435,6,2,California,all,pools,n
442_Bispira sp._1,442,Bispira sp.,polychaete,1,2094_Oligocottus snyderi_1,2094,Oligocottus snyderi,fish,1,1,436; 435,6,2,California,all,pools,n
442_Bispira sp._1,442,Bispira sp.,polychaete,1,2095_Oligocottus spp._1,2095,Oligocottus spp.,fish,1,1,436; 435,6,2,California,all,pools,n
442_Bispira sp._1,442,Bispira sp.,polychaete,1,2096_Phytichthys chirus_1,2096,Phytichthys chirus,fish,1,1,436; 435,6,2,California,all,pools,n
442_Bispira sp._1,442,Bispira sp.,polychaete,1,2097_Scorpaenichthys marmoratus_1,2097,Scorpaenichthys marmoratus,fish,1,1,436; 435,6,2,California,all,pools,n
442_Bispira sp._1,442,Bispira sp.,polychaete,1,2098_Sebastes carnatus_1,2098,Sebastes carnatus,fish,1,1,436; 435,6,2,California,all,pools,n
442_Bispira sp._1,442,Bispira sp.,polychaete,1,2099_Sebastes melanops_1,2099,Sebastes melanops,fish,1,1,436; 435,6,2,California,all,pools,n
442_Bispira sp._1,442,Bispira sp.,polychaete,1,2100_Sebastes miniatus_1,2100,Sebastes miniatus,fish,1,1,436; 435,6,2,California,all,pools,n
442_Bispira sp._1,442,Bispira sp.,polychaete,1,2102_Xiphister atropurpureus_1,2102,Xiphister atropurpureus,fish,1,1,436; 435,6,2,California,all,pools,n
442_Bispira sp._1,442,Bispira sp.,polychaete,1,2103_Xiphister mucosus_1,2103,Xiphister mucosus,fish,1,1,436; 435,6,2,California,all,pools,n
442_Bispira sp._1,442,Bispira sp.,polychaete,1,2109_Pseudodelphis oligocotti_1,2109,Pseudodelphis oligocotti,fish,1,1,436; 435,6,2,California,all,pools,n
442_Bispira sp._1,442,Bispira sp.,polychaete,1,2293_Porichthys notatus_1,2293,Porichthys notatus,fish,1,1,436; 435,6,2,California,low,pools,n
442_Bispira sp._1,442,Bispira sp.,polychaete,1,2394_Teleostei_6,2394,Teleostei,fish,6,1,436; 435,6,2,California,all,pools,n
442_Bispira sp._1,442,Bispira sp.,polychaete,1,3000_Cebidichthys violaceus_4,3000,Cebidichthys violaceus,fish,4,1,436; 435,6,2,California,all,pools,n
442_Bispira sp._1,442,Bispira sp.,polychaete,1,3002_Xiphister mucosus_4,3002,Xiphister mucosus,fish,4,1,436; 435,6,2,California,all,pools,n
442_Bispira sp._1,442,Bispira sp.,polychaete,1,3006_Porichthys notatus_3,3006,Porichthys notatus,fish,3,1,436; 435,6,2,California,low,pools,n
443_Pseudopotamilla occelata_1,443,Pseudopotamilla occelata,polychaete,1,15_Clinocottus analis_1,15,Clinocottus analis,fish,1,1,"375, 376",6,3,Sanak Archipelago,low,pools,n
443_Pseudopotamilla occelata_1,443,Pseudopotamilla occelata,polychaete,1,1147_Sabellacheres illgi_1,1147,Sabellacheres illgi,copepod,1,7,312,3,1,"Point Dume, CA; Tomales Point, CA; San Juan Archipelago, WA; SE Alaska; Brown Island, WA; Flat Point, Lopez Island, WA; Frost Island, WA; Orcas Island, WA",all,both,y
443_Pseudopotamilla occelata_1,443,Pseudopotamilla occelata,polychaete,1,2081_Clinocottus acuticeps_1,2081,Clinocottus acuticeps,fish,1,1,"375, 376",6,3,Sanak Archipelago,low,pools,n
443_Pseudopotamilla occelata_1,443,Pseudopotamilla occelata,polychaete,1,2082_Clinocottus embryum_1,2082,Clinocottus embryum,fish,1,1,"375, 376",6,3,Sanak Archipelago,low,pools,n
443_Pseudopotamilla occelata_1,443,Pseudopotamilla occelata,polychaete,1,2083_Clinocottus globiceps_1,2083,Clinocottus globiceps,fish,1,1,"375, 376",6,3,Sanak Archipelago,low,pools,n
443_Pseudopotamilla occelata_1,443,Pseudopotamilla occelata,polychaete,1,2084_Clinocottus recalvus_1,2084,Clinocottus recalvus,fish,1,1,"375, 376",6,3,Sanak Archipelago,low,pools,n
443_Pseudopotamilla occelata_1,443,Pseudopotamilla occelata,polychaete,1,2085_Clinocottus spp._1,2085,Clinocottus spp.,fish,1,1,"375, 376",6,3,Sanak Archipelago,low,pools,n
444_Serpula columbiana_1,444,Serpula columbiana,polychaete,1,2077_Artedius harringtoni_1,2077,Artedius harringtoni,fish,1,1,353; 354,3,2,"Puget Sound, WA",low,pools,n
446_Spirorbids_1,446,Spirorbids,polychaete,1,278_Paciocinebrina lurida_1,278,Paciocinebrina lurida,snail,1,1,197,3,2,"Puget Sound, WA; Turn Island, WA",low,both,n
448_Phascolosoma agassizii_1,448,Phascolosoma agassizii,sipunculid,1,15_Clinocottus analis_1,15,Clinocottus analis,fish,1,1,72,6,2,"Central California; San Mateo Coast State Beaches, CA",all,pools,n
448_Phascolosoma agassizii_1,448,Phascolosoma agassizii,sipunculid,1,295_Atrimitra idae_1,295,Atrimitra idae,snail,1,1,"128, 436",3,1,"Point Cabrillo, Pacific Grove, CA",low,"pools, both",n
448_Phascolosoma agassizii_1,448,Phascolosoma agassizii,sipunculid,1,719_Enhydra lutris_1,719,Enhydra lutris,mammal,1,1,"375, 376",6,3,Sanak Archipelago,middle,pools,n
448_Phascolosoma agassizii_1,448,Phascolosoma agassizii,sipunculid,1,3012_Haematopus bachmani_1,3012,Haematopus bachmani,bird,1,1,"375, 376",6,3,Sanak Archipelago,middle,both,n
448_Phascolosoma agassizii_1,448,Phascolosoma agassizii,sipunculid,1,3019_Larus glaucescens_1,3019,Larus glaucescens,bird,1,1,385,3,2,"Tatoosh Island, WA",middle,pools,n
449_Themiste pyroides_1,449,Themiste pyroides,sipunculid,1,15_Clinocottus analis_1,15,Clinocottus analis,fish,1,1,72,6,2,"Central California; San Mateo Coast State Beaches, CA",all,pools,n
450_Themiste dyscrita_1,450,Themiste dyscrita,sipunculid,1,15_Clinocottus analis_1,15,Clinocottus analis,fish,1,1,72,6,2,"Central California; San Mateo Coast State Beaches, CA",all,pools,n
452_Trypetesa lateralis_1,452,Trypetesa lateralis,barnacle,1,3018_Larus brachyrynchus_1,3018,Larus brachyrynchus,bird,1,1,407,6,2,"Active Pass, BC",middle,both,n
452_Trypetesa lateralis_1,452,Trypetesa lateralis,barnacle,1,3023_Arenaria melanocephala_1,3023,Arenaria melanocephala,bird,1,1,397,6,2,"Prince William Sound, AK",middle,exposed,n
453_Octolasmis lowei_1,453,Octolasmis lowei,barnacle,1,3018_Larus brachyrynchus_1,3018,Larus brachyrynchus,bird,1,1,407,6,2,"Active Pass, BC",low,both,n
453_Octolasmis lowei_1,453,Octolasmis lowei,barnacle,1,3023_Arenaria melanocephala_1,3023,Arenaria melanocephala,bird,1,1,397,6,2,"Prince William Sound, AK",low,exposed,n
454_Hamatoscalpellum californicum_1,454,Hamatoscalpellum californicum,barnacle,1,3018_Larus brachyrynchus_1,3018,Larus brachyrynchus,bird,1,1,407,6,2,"Active Pass, BC",very low,both,n
454_Hamatoscalpellum californicum_1,454,Hamatoscalpellum californicum,barnacle,1,3023_Arenaria melanocephala_1,3023,Arenaria melanocephala,bird,1,1,397,6,2,"Prince William Sound, AK",very low,exposed,n
455_Pollicipes polymerus_1,455,Pollicipes polymerus,barnacle,1,150_Pisaster ochraceus_1,150,Pisaster ochraceus,sea star,1,1,27,3,1,California,all,pools,n
455_Pollicipes polymerus_1,455,Pollicipes polymerus,barnacle,1,284_Nucella emarginata_1,284,Nucella emarginata,snail,1,1,436; 435,3,2,NA,high,both,n
455_Pollicipes polymerus_1,455,Pollicipes polymerus,barnacle,1,3018_Larus brachyrynchus_1,3018,Larus brachyrynchus,bird,1,1,407,6,2,"Active Pass, BC",middle,both,n
455_Pollicipes polymerus_1,455,Pollicipes polymerus,barnacle,1,3019_Larus glaucescens_1,3019,Larus glaucescens,bird,1,1,385,3,2,"Tatoosh Island, WA",middle,both,n
455_Pollicipes polymerus_1,455,Pollicipes polymerus,barnacle,1,3022_Calidris virgata_1,3022,Calidris virgata,bird,1,1,254,3,2,"Oregon; Wasp Passage, San Juan Islands, WA",all,exposed,n
455_Pollicipes polymerus_1,455,Pollicipes polymerus,barnacle,1,3023_Arenaria melanocephala_1,3023,Arenaria melanocephala,bird,1,1,"397, 399",6,2,"Prince William Sound, AK; Seal Rock, OR",middle,"exposed, both",n
456_Chthamalus dalli_1,456,Chthamalus dalli,barnacle,1,107_Metridium senile_1,107,Metridium senile,anemone,1,1,"375, 376",3,2,Sanak Archipelago,high,pools,n
456_Chthamalus dalli_1,456,Chthamalus dalli,barnacle,1,123_Emplectonema gracile_1,123,Emplectonema gracile,nemertean,1,1,"375, 376",6,3,Sanak Archipelago,high,both,n
456_Chthamalus dalli_1,456,Chthamalus dalli,barnacle,1,148_Leptasterias pusilla_1,148,Leptasterias pusilla,sea star,1,1,"375, 376",6,3,Sanak Archipelago,high,pools,n
456_Chthamalus dalli_1,456,Chthamalus dalli,barnacle,1,149_Leptasterias hexactis_1,149,Leptasterias hexactis,sea star,1,1,"319, 375, 376",3,2,"Puget Sound, WA; San Juan Islands, WA; Waddah and Tatoosh Islands, WA; Departure Bay, BC; Sanak Archipelago","low, high",pools,n
456_Chthamalus dalli_1,456,Chthamalus dalli,barnacle,1,150_Pisaster ochraceus_1,150,Pisaster ochraceus,sea star,1,1,436,3,2,NA,high,exposed,n
456_Chthamalus dalli_1,456,Chthamalus dalli,barnacle,1,199_Lottia digitalis_1,199,Lottia digitalis,limpet,1,1,"375, 376",3,2,Sanak Archipelago,high,both,n
456_Chthamalus dalli_1,456,Chthamalus dalli,barnacle,1,208_Lottia pelta_1,208,Lottia pelta,limpet,1,1,"375, 376",3,2,Sanak Archipelago,high,both,n
456_Chthamalus dalli_1,456,Chthamalus dalli,barnacle,1,215_Lottia scutum_1,215,Lottia scutum,limpet,1,1,"375, 376",3,2,Sanak Archipelago,high,both,n
456_Chthamalus dalli_1,456,Chthamalus dalli,barnacle,1,278_Paciocinebrina lurida_1,278,Paciocinebrina lurida,snail,1,1,197,3,2,"Puget Sound, WA; Turn Island, WA",low,both,n
456_Chthamalus dalli_1,456,Chthamalus dalli,barnacle,1,281_Acanthinucella punctulata_1,281,Acanthinucella punctulata,snail,1,1,"436, 436; 435",3,2,NA,high,"pools, both",n
456_Chthamalus dalli_1,456,Chthamalus dalli,barnacle,1,284_Nucella emarginata_1,284,Nucella emarginata,snail,1,1,"436, 436; 435",3,2,NA,high,exposed,n
456_Chthamalus dalli_1,456,Chthamalus dalli,barnacle,1,285_Nucella lamellosa_1,285,Nucella lamellosa,snail,1,1,"375, 376",3,2,Sanak Archipelago,high,both,n
456_Chthamalus dalli_1,456,Chthamalus dalli,barnacle,1,416_Katharina tunicata_1,416,Katharina tunicata,chiton,1,1,"375, 376",3,2,Sanak Archipelago,high,both,n
456_Chthamalus dalli_1,456,Chthamalus dalli,barnacle,1,627_Acanthinucella punctulata_3,627,Acanthinucella punctulata,snail,3,1,"436, 436; 435",3,1,NA,high,"pools, exposed",n
456_Chthamalus dalli_1,456,Chthamalus dalli,barnacle,1,672_Leptasterias aequalis_1,672,Leptasterias aequalis,sea star,1,1,"375, 376",6,3,Sanak Archipelago,high,pools,n
456_Chthamalus dalli_1,456,Chthamalus dalli,barnacle,1,704_Hemioniscus balani_1,704,Hemioniscus balani,isopod,1,4,436,3,2,NA,high,exposed,n
456_Chthamalus dalli_1,456,Chthamalus dalli,barnacle,1,1471_Oedoparena glauca_3,1471,Oedoparena glauca,insect,3,1,435,6,3,NA,high,exposed,n
456_Chthamalus dalli_1,456,Chthamalus dalli,barnacle,1,1723_Emplectonema buergeri_1,1723,Emplectonema buergeri,nemertean,1,1,"375, 376",6,3,Sanak Archipelago,high,both,n
456_Chthamalus dalli_1,456,Chthamalus dalli,barnacle,1,1724_Nemertopsis gracilis_1,1724,Nemertopsis gracilis,nemertean,1,1,"375, 376",6,3,Sanak Archipelago,high,both,n
456_Chthamalus dalli_1,456,Chthamalus dalli,barnacle,1,3018_Larus brachyrynchus_1,3018,Larus brachyrynchus,bird,1,1,407,6,2,"Active Pass, BC",high,both,n
456_Chthamalus dalli_1,456,Chthamalus dalli,barnacle,1,3023_Arenaria melanocephala_1,3023,Arenaria melanocephala,bird,1,1,397,6,2,"Prince William Sound, AK",high,exposed,n
457_Chthamalus fissus_1,457,Chthamalus fissus,barnacle,1,150_Pisaster ochraceus_1,150,Pisaster ochraceus,sea star,1,1,436,3,2,NA,high,exposed,n
457_Chthamalus fissus_1,457,Chthamalus fissus,barnacle,1,284_Nucella emarginata_1,284,Nucella emarginata,snail,1,1,436,3,2,NA,high,exposed,n
457_Chthamalus fissus_1,457,Chthamalus fissus,barnacle,1,1471_Oedoparena glauca_3,1471,Oedoparena glauca,insect,3,1,435,6,3,NA,high,exposed,n
457_Chthamalus fissus_1,457,Chthamalus fissus,barnacle,1,3018_Larus brachyrynchus_1,3018,Larus brachyrynchus,bird,1,1,407,6,2,"Active Pass, BC",high,both,n
457_Chthamalus fissus_1,457,Chthamalus fissus,barnacle,1,3023_Arenaria melanocephala_1,3023,Arenaria melanocephala,bird,1,1,397,6,2,"Prince William Sound, AK",high,exposed,n
458_Tetraclita rubescens_1,458,Tetraclita rubescens,barnacle,1,150_Pisaster ochraceus_1,150,Pisaster ochraceus,sea star,1,1,"27, 436",3,1,California,"all, middle","pools, exposed",n
458_Tetraclita rubescens_1,458,Tetraclita rubescens,barnacle,1,284_Nucella emarginata_1,284,Nucella emarginata,snail,1,1,436,3,2,NA,middle,exposed,n
458_Tetraclita rubescens_1,458,Tetraclita rubescens,barnacle,1,3018_Larus brachyrynchus_1,3018,Larus brachyrynchus,bird,1,1,407,6,2,"Active Pass, BC",middle,both,n
458_Tetraclita rubescens_1,458,Tetraclita rubescens,barnacle,1,3023_Arenaria melanocephala_1,3023,Arenaria melanocephala,bird,1,1,397,6,2,"Prince William Sound, AK",middle,exposed,n
459_Armatobalanus nefrens_1,459,Armatobalanus nefrens,barnacle,1,3018_Larus brachyrynchus_1,3018,Larus brachyrynchus,bird,1,1,407,6,2,"Active Pass, BC",low,both,n
459_Armatobalanus nefrens_1,459,Armatobalanus nefrens,barnacle,1,3023_Arenaria melanocephala_1,3023,Arenaria melanocephala,bird,1,1,397,6,2,"Prince William Sound, AK",low,exposed,n
460_Membranobalanus orcutti_1,460,Membranobalanus orcutti,barnacle,1,2186_Bocquetia rosea_1,2186,Bocquetia rosea,parasitic barnacle,1,4,253,3,1,"San Diego, CA",very low,both,n
460_Membranobalanus orcutti_1,460,Membranobalanus orcutti,barnacle,1,3018_Larus brachyrynchus_1,3018,Larus brachyrynchus,bird,1,1,407,6,2,"Active Pass, BC",very low,both,n
460_Membranobalanus orcutti_1,460,Membranobalanus orcutti,barnacle,1,3023_Arenaria melanocephala_1,3023,Arenaria melanocephala,bird,1,1,397,6,2,"Prince William Sound, AK",very low,exposed,n
461_Conopea galeata_1,461,Conopea galeata,barnacle,1,3018_Larus brachyrynchus_1,3018,Larus brachyrynchus,bird,1,1,407,6,2,"Active Pass, BC",very low,both,n
461_Conopea galeata_1,461,Conopea galeata,barnacle,1,3023_Arenaria melanocephala_1,3023,Arenaria melanocephala,bird,1,1,397,6,2,"Prince William Sound, AK",very low,exposed,n
462_Semibalanus cariosus_1,462,Semibalanus cariosus,barnacle,1,99_Anthopleura xanthogrammica_1,99,Anthopleura xanthogrammica,anemone,1,1,"375, 376",6,3,Sanak Archipelago,low,pools,n
462_Semibalanus cariosus_1,462,Semibalanus cariosus,barnacle,1,100_Anthopleura sola_1,100,Anthopleura sola,anemone,1,1,"375, 376",6,3,Sanak Archipelago,low,pools,n
462_Semibalanus cariosus_1,462,Semibalanus cariosus,barnacle,1,101_Anthopleura elegantissima_1,101,Anthopleura elegantissima,anemone,1,1,"375, 376",6,3,Sanak Archipelago,low,pools,n
462_Semibalanus cariosus_1,462,Semibalanus cariosus,barnacle,1,103_Anthopleura artemisia_1,103,Anthopleura artemisia,anemone,1,1,"375, 376",6,3,Sanak Archipelago,low,pools,n
462_Semibalanus cariosus_1,462,Semibalanus cariosus,barnacle,1,107_Metridium senile_1,107,Metridium senile,anemone,1,1,"375, 376",3,2,Sanak Archipelago,low,pools,n
462_Semibalanus cariosus_1,462,Semibalanus cariosus,barnacle,1,123_Emplectonema gracile_1,123,Emplectonema gracile,nemertean,1,1,"375, 376",6,3,Sanak Archipelago,low,both,n
462_Semibalanus cariosus_1,462,Semibalanus cariosus,barnacle,1,148_Leptasterias pusilla_1,148,Leptasterias pusilla,sea star,1,1,"375, 376",6,3,Sanak Archipelago,low,pools,n
462_Semibalanus cariosus_1,462,Semibalanus cariosus,barnacle,1,149_Leptasterias hexactis_1,149,Leptasterias hexactis,sea star,1,1,"319, 375, 376",3,2,"Puget Sound, WA; San Juan Islands, WA; Waddah and Tatoosh Islands, WA; Departure Bay, BC; Sanak Archipelago",low,pools,n
462_Semibalanus cariosus_1,462,Semibalanus cariosus,barnacle,1,199_Lottia digitalis_1,199,Lottia digitalis,limpet,1,1,"375, 376",3,2,Sanak Archipelago,low,both,n
462_Semibalanus cariosus_1,462,Semibalanus cariosus,barnacle,1,208_Lottia pelta_1,208,Lottia pelta,limpet,1,1,"375, 376",3,2,Sanak Archipelago,low,both,n
462_Semibalanus cariosus_1,462,Semibalanus cariosus,barnacle,1,215_Lottia scutum_1,215,Lottia scutum,limpet,1,1,"375, 376",3,2,Sanak Archipelago,low,both,n
462_Semibalanus cariosus_1,462,Semibalanus cariosus,barnacle,1,272_Ceratostoma foliatum_1,272,Ceratostoma foliatum,snail,1,1,436,3,2,Washington,low,exposed,n
462_Semibalanus cariosus_1,462,Semibalanus cariosus,barnacle,1,278_Paciocinebrina lurida_1,278,Paciocinebrina lurida,snail,1,1,197,3,2,"Puget Sound, WA; Turn Island, WA",low,both,n
462_Semibalanus cariosus_1,462,Semibalanus cariosus,barnacle,1,285_Nucella lamellosa_1,285,Nucella lamellosa,snail,1,1,"375, 376",3,2,Sanak Archipelago,low,both,n
462_Semibalanus cariosus_1,462,Semibalanus cariosus,barnacle,1,286_Lirabuccinum dirum_1,286,Lirabuccinum dirum,snail,1,1,"436, 436; 435",3,2,NA,middle,both,n
462_Semibalanus cariosus_1,462,Semibalanus cariosus,barnacle,1,420_Enteroctopus dofleini_4,420,Enteroctopus dofleini,octopus,4,1,"375, 376",3,2,Sanak Archipelago,low,pools,n
462_Semibalanus cariosus_1,462,Semibalanus cariosus,barnacle,1,553_Cancer oregonensis_1,553,Cancer oregonensis,true crab,1,1,330,3,3,"Puget Sound, WA; San Juan Island, WA",low,both,n
462_Semibalanus cariosus_1,462,Semibalanus cariosus,barnacle,1,554_Cancer productus_4,554,Cancer productus,true crab,4,1,202,3,1,Hecate Strait,low,exposed,n
462_Semibalanus cariosus_1,462,Semibalanus cariosus,barnacle,1,555_Cancer productus_1,555,Cancer productus,true crab,1,1,202,3,1,Hecate Strait,low,exposed,n
462_Semibalanus cariosus_1,462,Semibalanus cariosus,barnacle,1,672_Leptasterias aequalis_1,672,Leptasterias aequalis,sea star,1,1,"375, 376",6,3,Sanak Archipelago,low,pools,n
462_Semibalanus cariosus_1,462,Semibalanus cariosus,barnacle,1,720_Evasterias troschelii_1,720,Evasterias troschelii,sea star,1,1,"319, 375, 376",3,2,"Puget Sound, WA; San Juan Islands, WA; Waddah and Tatoosh Islands, WA; Departure Bay, BC; Sanak Archipelago",low,pools,n
462_Semibalanus cariosus_1,462,Semibalanus cariosus,barnacle,1,1723_Emplectonema buergeri_1,1723,Emplectonema buergeri,nemertean,1,1,"375, 376",6,3,Sanak Archipelago,low,both,n
462_Semibalanus cariosus_1,462,Semibalanus cariosus,barnacle,1,1724_Nemertopsis gracilis_1,1724,Nemertopsis gracilis,nemertean,1,1,"375, 376",6,3,Sanak Archipelago,low,both,n
462_Semibalanus cariosus_1,462,Semibalanus cariosus,barnacle,1,1745_Enteroctopus dofleini_1,1745,Enteroctopus dofleini,octopus,1,1,"375, 376",3,2,Sanak Archipelago,low,pools,n
462_Semibalanus cariosus_1,462,Semibalanus cariosus,barnacle,1,3018_Larus brachyrynchus_1,3018,Larus brachyrynchus,bird,1,1,407,6,2,"Active Pass, BC",low,both,n
462_Semibalanus cariosus_1,462,Semibalanus cariosus,barnacle,1,3019_Larus glaucescens_1,3019,Larus glaucescens,bird,1,1,"375, 376",3,2,Sanak Archipelago,low,both,n
462_Semibalanus cariosus_1,462,Semibalanus cariosus,barnacle,1,3023_Arenaria melanocephala_1,3023,Arenaria melanocephala,bird,1,1,"397, 398",6,2,"Prince William Sound, AK",low,"exposed, both",n
463_Balanus glandula_1,463,Balanus glandula,barnacle,1,99_Anthopleura xanthogrammica_1,99,Anthopleura xanthogrammica,anemone,1,1,"375, 376",6,3,Sanak Archipelago,high,pools,n
463_Balanus glandula_1,463,Balanus glandula,barnacle,1,100_Anthopleura sola_1,100,Anthopleura sola,anemone,1,1,"375, 376",6,3,Sanak Archipelago,high,pools,n
463_Balanus glandula_1,463,Balanus glandula,barnacle,1,101_Anthopleura elegantissima_1,101,Anthopleura elegantissima,anemone,1,1,"375, 376",6,3,Sanak Archipelago,high,pools,n
463_Balanus glandula_1,463,Balanus glandula,barnacle,1,103_Anthopleura artemisia_1,103,Anthopleura artemisia,anemone,1,1,"375, 376",6,3,Sanak Archipelago,high,pools,n
463_Balanus glandula_1,463,Balanus glandula,barnacle,1,107_Metridium senile_1,107,Metridium senile,anemone,1,1,"375, 376",3,2,Sanak Archipelago,high,pools,n
463_Balanus glandula_1,463,Balanus glandula,barnacle,1,123_Emplectonema gracile_1,123,Emplectonema gracile,nemertean,1,1,"375, 376",6,3,Sanak Archipelago,high,both,n
463_Balanus glandula_1,463,Balanus glandula,barnacle,1,148_Leptasterias pusilla_1,148,Leptasterias pusilla,sea star,1,1,"375, 376",6,3,Sanak Archipelago,high,pools,n
463_Balanus glandula_1,463,Balanus glandula,barnacle,1,149_Leptasterias hexactis_1,149,Leptasterias hexactis,sea star,1,1,"375, 376, 456, 457",3,2,"Sanak Archipelago; San Juan Islands, WA","high, low",pools,n
463_Balanus glandula_1,463,Balanus glandula,barnacle,1,150_Pisaster ochraceus_1,150,Pisaster ochraceus,sea star,1,1,"27, 455, 456, 436",3,1,"California; San Juan Islands, WA","low, middle",both,n
463_Balanus glandula_1,463,Balanus glandula,barnacle,1,199_Lottia digitalis_1,199,Lottia digitalis,limpet,1,1,"375, 376",3,2,Sanak Archipelago,high,both,n
463_Balanus glandula_1,463,Balanus glandula,barnacle,1,208_Lottia pelta_1,208,Lottia pelta,limpet,1,1,"375, 376",3,2,Sanak Archipelago,high,both,n
463_Balanus glandula_1,463,Balanus glandula,barnacle,1,215_Lottia scutum_1,215,Lottia scutum,limpet,1,1,"375, 376",3,2,Sanak Archipelago,high,both,n
463_Balanus glandula_1,463,Balanus glandula,barnacle,1,278_Paciocinebrina lurida_1,278,Paciocinebrina lurida,snail,1,1,"197, 436",3,2,"Puget Sound, WA; Turn Island, WA",low,both,n
463_Balanus glandula_1,463,Balanus glandula,barnacle,1,281_Acanthinucella punctulata_1,281,Acanthinucella punctulata,snail,1,1,436; 435,3,2,NA,high,both,n
463_Balanus glandula_1,463,Balanus glandula,barnacle,1,284_Nucella emarginata_1,284,Nucella emarginata,snail,1,1,"436, 436; 435",3,2,NA,high,"exposed, both",n
463_Balanus glandula_1,463,Balanus glandula,barnacle,1,285_Nucella lamellosa_1,285,Nucella lamellosa,snail,1,1,"375, 376",3,2,Sanak Archipelago,high,both,n
463_Balanus glandula_1,463,Balanus glandula,barnacle,1,286_Lirabuccinum dirum_1,286,Lirabuccinum dirum,snail,1,1,436; 435,3,2,NA,middle,both,n
463_Balanus glandula_1,463,Balanus glandula,barnacle,1,348_Dirona albolineata_1,348,Dirona albolineata,nudibranch,1,1,435,6,3,NA,low,pools,n
463_Balanus glandula_1,463,Balanus glandula,barnacle,1,627_Acanthinucella punctulata_3,627,Acanthinucella punctulata,snail,3,1,436; 435,3,1,NA,high,both,n
463_Balanus glandula_1,463,Balanus glandula,barnacle,1,672_Leptasterias aequalis_1,672,Leptasterias aequalis,sea star,1,1,"375, 376",6,3,Sanak Archipelago,high,pools,n
463_Balanus glandula_1,463,Balanus glandula,barnacle,1,704_Hemioniscus balani_1,704,Hemioniscus balani,isopod,1,4,436,6,3,NA,high,exposed,n
463_Balanus glandula_1,463,Balanus glandula,barnacle,1,712_Homo sapiens_1,712,Homo sapiens,human,1,1,"375, 376",3,2,Sanak Archipelago,high,both,n
463_Balanus glandula_1,463,Balanus glandula,barnacle,1,720_Evasterias troschelii_1,720,Evasterias troschelii,sea star,1,1,"375, 376, 435",3,2,Sanak Archipelago,"high, all","pools, both",n
463_Balanus glandula_1,463,Balanus glandula,barnacle,1,1471_Oedoparena glauca_3,1471,Oedoparena glauca,insect,3,1,435,6,3,NA,high,exposed,n
463_Balanus glandula_1,463,Balanus glandula,barnacle,1,1723_Emplectonema buergeri_1,1723,Emplectonema buergeri,nemertean,1,1,"375, 376",6,3,Sanak Archipelago,high,both,n
463_Balanus glandula_1,463,Balanus glandula,barnacle,1,1724_Nemertopsis gracilis_1,1724,Nemertopsis gracilis,nemertean,1,1,"375, 376",6,3,Sanak Archipelago,high,both,n
463_Balanus glandula_1,463,Balanus glandula,barnacle,1,1896_Onchidoris bilamellata_1,1896,Onchidoris bilamellata,nudibranch,1,1,435,6,3,NA,all,pools,n
463_Balanus glandula_1,463,Balanus glandula,barnacle,1,3012_Haematopus bachmani_1,3012,Haematopus bachmani,bird,1,1,"375, 376",3,2,Sanak Archipelago,high,both,n
463_Balanus glandula_1,463,Balanus glandula,barnacle,1,3018_Larus brachyrynchus_1,3018,Larus brachyrynchus,bird,1,1,407,6,2,"Active Pass, BC",high,both,n
463_Balanus glandula_1,463,Balanus glandula,barnacle,1,3019_Larus glaucescens_1,3019,Larus glaucescens,bird,1,1,"375, 376",3,2,Sanak Archipelago,high,both,n
463_Balanus glandula_1,463,Balanus glandula,barnacle,1,3022_Calidris virgata_1,3022,Calidris virgata,bird,1,1,399,3,2,"Seal Rock, OR",high,both,n
463_Balanus glandula_1,463,Balanus glandula,barnacle,1,3023_Arenaria melanocephala_1,3023,Arenaria melanocephala,bird,1,1,"397, 398, 399",6,2,"Prince William Sound, AK; Seal Rock, OR",high,"exposed, both",n
463_Balanus glandula_1,463,Balanus glandula,barnacle,1,3049_Melanitta perspicillata_1,3049,Melanitta perspicillata,bird,1,1,"375, 376",3,2,Sanak Archipelago,high,both,n
464_Balanus glandula_5,464,Balanus glandula,barnacle,5,99_Anthopleura xanthogrammica_1,99,Anthopleura xanthogrammica,anemone,1,1,"375, 376",6,3,Sanak Archipelago,high,pools,n
464_Balanus glandula_5,464,Balanus glandula,barnacle,5,100_Anthopleura sola_1,100,Anthopleura sola,anemone,1,1,"375, 376",6,3,Sanak Archipelago,high,pools,n
464_Balanus glandula_5,464,Balanus glandula,barnacle,5,101_Anthopleura elegantissima_1,101,Anthopleura elegantissima,anemone,1,1,"375, 376",6,3,Sanak Archipelago,high,pools,n
464_Balanus glandula_5,464,Balanus glandula,barnacle,5,103_Anthopleura artemisia_1,103,Anthopleura artemisia,anemone,1,1,"375, 376",6,3,Sanak Archipelago,high,pools,n
464_Balanus glandula_5,464,Balanus glandula,barnacle,5,107_Metridium senile_1,107,Metridium senile,anemone,1,1,"375, 376",3,2,Sanak Archipelago,high,pools,n
464_Balanus glandula_5,464,Balanus glandula,barnacle,5,123_Emplectonema gracile_1,123,Emplectonema gracile,nemertean,1,1,"375, 376",6,3,Sanak Archipelago,high,both,n
