node,nodeNum,nodeName,synonymies,category,common_name,life_stage,life_stage_code,province,commonality,reference,zone,habitat_notes,grouping_habits,mobility,trophic_strategy,node_type,node_resolution,aphia,kingdom,phylum,class,order,family,genus,parasite
33_Lissodendoryx firma_1,33,Lissodendoryx firma,NA,sponge,NA,adult,1,Central,common,435,low,NA,NA,sessile,filter feeder,Taxonomic,Species,133434,Animalia,Porifera,Demospongiae,Poecilosclerida,Coelosphaeridae,Lissodendoryx,n
35_Hymedesmia (Stylopus) arndti_1,35,Hymedesmia (Stylopus) arndti,Astylinifer arndti,sponge,NA,adult,1,Central,uncommon,435; 536,very low,NA,solitary,sessile,filter feeder,Taxonomic,Species,169281,Animalia,Porifera,Demospongiae,Poecilosclerida,Hymedesmiidae,Hymedesmia,n
38_Myxilla incrustans_1,38,Myxilla incrustans,NA,sponge,NA,adult,1,Central,present,435,low,NA,NA,sessile,filter feeder,Taxonomic,Species,133882,Animalia,Porifera,Demospongiae,Poecilosclerida,Myxillidae,Myxilla,n
46_Mycale macginitiei_1,46,Mycale macginitiei,NA,sponge,NA,adult,1,Central,fairly common,435,low,NA,NA,sessile,filter feeder,Taxonomic,Species,192547,Animalia,Porifera,Demospongiae,Poecilosclerida,Mycalidae,Mycale,n
51_Haliclona gellindra_1,51,Haliclona gellindra,Adocia gellindra,sponge,NA,adult,1,Central,uncommon,435,all,NA,NA,sessile,filter feeder,Taxonomic,Species,191486,Animalia,Porifera,Demospongiae,Haplosclerida,Chalinidae,Haliclona,n
58_Halisarca sp._1,58,Halisarca sp.,NA,sponge,NA,adult,1,Central,uncommon,435,middle to low,NA,NA,sessile,filter feeder,Taxonomic,Unidentified Species,NA,Animalia,Porifera,Demospongiae,Chondrillida,Halisarcidae,Halisarca,n
62_Acarnus erithacus_1,62,Acarnus erithacus,NA,sponge,NA,adult,1,Both,present,436; 435,NA,NA,NA,sessile,filter feeder,Taxonomic,Species,167343,Animalia,Porifera,Demospongiae,Poecilosclerida,Acarnidae,Acarnus,n
63_Aplysilla glacialis_1,63,Aplysilla glacialis,NA,sponge,NA,adult,1,Both,present,436; 435,NA,NA,colonial,sessile,filter feeder,Taxonomic,Species,132295,Animalia,Porifera,Demospongiae,Dendroceratida,Darwinellidae,Aplysilla,n
64_Aplysina fistularis_1,64,Aplysina fistularis,NA,sponge,NA,adult,1,Both,present,436; 435,NA,NA,colonial,sessile,filter feeder,Taxonomic,Species,169648,Animalia,Porifera,Demospongiae,Verongiida,Aplysinidae,Aplysina,n
65_Axocielita originalis_1,65,Axocielita originalis,NA,sponge,NA,adult,1,Both,present,436,NA,NA,NA,sessile,filter feeder,Taxonomic,Species,412624,Animalia,Porifera,Demospongiae,Poecilosclerida,Microcionidae,Axocielita,n
66_Cliona celata_1,66,Cliona celata,NA,sponge,boring sponge,adult,1,Both,present,436,NA,NA,NA,sessile,filter feeder,Taxonomic,Species,134121,Animalia,Porifera,Demospongiae,Clionaida,Clionaidae,Cliona,n
69_Halichondria panicea_1,69,Halichondria panicea,NA,sponge,crumb of bread sponge,adult,1,Both,abundant,436; 435,NA,NA,NA,sessile,filter feeder,Taxonomic,Species,132627,Animalia,Porifera,Demospongiae,Suberitida,Halichondriidae,Halichondria,n
70_Haliclona sp._1,70,Haliclona sp.,Prianos sp.,sponge,NA,adult,1,Both,abundant,436,NA,NA,colonial,sessile,filter feeder,Taxonomic,Genus,NA,Animalia,Porifera,Demospongiae,Haplosclerida,Chalinidae,Haliclona,n
71_Higginsia sp._1,71,Higginsia sp.,NA,sponge,NA,adult,1,N,present,436,NA,NA,colonial,sessile,filter feeder,Taxonomic,Genus,NA,Animalia,Porifera,Demospongiae,Axinellida,Stelligeridae,Higginsia,n
72_Acanthancora cyanocrypta_1,72,Acanthancora cyanocrypta,Hymenamphiastra cyanocrypta,sponge,NA,adult,1,Both,uncommon,436; 435,very low,NA,NA,sessile,filter feeder,Taxonomic,Species,169126,Animalia,Porifera,Demospongiae,Poecilosclerida,Hymedesmiidae,Acanthancora,n
74_Leucilla nuttingi_1,74,Leucilla nuttingi,NA,sponge,NA,adult,1,Both,present,436,low,NA,NA,sessile,filter feeder,Taxonomic,Species,164219,Animalia,Porifera,Calcarea,Leucosolenida,Amphoriscidae,Leucilla,n
82_Ectopleura marina_5,82,Ectopleura marina,"Tubularia, Pinauay",hydroid,NA,hydroid colony,5,Both,common,436; 435,NA,NA,colonial,sessile,filter feeder,Taxonomic,Species,285957,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Tubulariidae,Ectopleura,n
83_Garveia annulata_5,83,Garveia annulata,NA,hydroid,NA,hydroid colony,5,Both,common,436; 435,NA,"Rocky intertidal zones of the open coast, especially in late winter, spring, frequent on sponges, coralline algae",colonial,sessile,filter feeder,Taxonomic,Species,284249,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Bougainvilliidae,Garveia,n
85_Obelia dichotoma_5,85,Obelia dichotoma,NA,hydroid,NA,hydroid colony,5,Both,abundant,436; 435,low,occurring on many different substrates including swimming animals (ranging from sharks to copepods),colonial,sessile,filter feeder,Taxonomic,Species,117386,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Obelia,n
86_Obelia bidentata_5,86,Obelia bidentata,NA,hydroid,NA,hydroid colony,5,Both,abundant,436; 435,low,NA,colonial,sessile,filter feeder,Taxonomic,Species,117385,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Obelia,n
87_Obelia geniculata_5,87,Obelia geniculata,NA,hydroid,NA,hydroid colony,5,Both,abundant,436; 435,low,"On various substrates, especially algae",colonial,sessile,filter feeder,Taxonomic,Species,117388,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Obelia,n
88_Amphisbetia furcata_5,88,Amphisbetia furcata,Sertularia,hydroid,NA,hydroid colony,5,Both,common,436,low,grows on phyllospadix blades,colonial,sessile,filter feeder,Taxonomic,Species,585718,Animalia,Cnidaria,Hydrozoa,Leptothecata,Sertulariidae,Amphisbetia,n
89_Xingyurella turgida_5,89,Xingyurella turgida,Sertularella turgida,hydroid,NA,hydroid colony,5,Both,common,436,low,NA,colonial,sessile,filter feeder,Taxonomic,Species,1301218,Animalia,Cnidaria,Hydrozoa,Leptothecata,Sertularellidae,Xingyurella,n
90_Abietinaria sp._5,90,Abietinaria sp.,NA,hydroid,NA,hydroid colony,5,Both,common,436; 435,low,little known,colonial,sessile,filter feeder,Taxonomic,Genus,NA,Animalia,Cnidaria,Hydrozoa,Leptothecata,Sertulariidae,Abietinaria,n
91_Aglaophenia struthionides_5,91,Aglaophenia struthionides,NA,hydroid,ostrich plume hydroid,hydroid colony,5,Both,common,436; 435,low,exposed rocky shores,colonial,sessile,filter feeder,Taxonomic,Species,284054,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Aglaophenia,n
92_Aglaophenia latirostris_5,92,Aglaophenia latirostris,NA,hydroid,ostrich plume hydroid,hydroid colony,5,Both,abundant,436; 435,low,"Common on rocks, large red, brown algae from the low intertidal",colonial,sessile,filter feeder,Taxonomic,Species,284035,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Aglaophenia,n
93_Kirchenpaueria plumularioides_5,93,Kirchenpaueria plumularioides,Plumularia sp.,hydroid,NA,hydroid colony,5,Both,common,436,low,NA,colonial,sessile,filter feeder,Taxonomic,Genus,284919,Animalia,Cnidaria,Hydrozoa,Leptothecata,Kirchenpaueriidae,Kirchenpaueria,n
96_Clavularia sp._1,96,Clavularia sp.,NA,octocoral,NA,adult,1,Both,present,436,low,NA,colonial,sessile,filter feeder,Taxonomic,Genus,NA,Animalia,Cnidaria,Octocorallia,Malacalcyonacea,Clavulariidae,Clavularia,n
99_Anthopleura xanthogrammica_1,99,Anthopleura xanthogrammica,NA,anemone,NA,adult,1,N,common,436; 435,NA,NA,solitary,sessile,filter feeder,Taxonomic,Species,283377,Animalia,Cnidaria,Hexacorallia,Actiniaria,Actiniidae,Anthopleura,n
100_Anthopleura sola_1,100,Anthopleura sola,NA,anemone,NA,adult,1,Both,abundant,436; 435,NA,NA,solitary,sessile,filter feeder,Taxonomic,Species,240753,Animalia,Cnidaria,Hexacorallia,Actiniaria,Actiniidae,Anthopleura,n
101_Anthopleura elegantissima_1,101,Anthopleura elegantissima,NA,anemone,NA,adult,1,Both,abundant,436; 435,NA,NA,colonial,sessile,filter feeder,Taxonomic,Species,283347,Animalia,Cnidaria,Hexacorallia,Actiniaria,Actiniidae,Anthopleura,n
102_Epiactis prolifera_1,102,Epiactis prolifera,NA,anemone,NA,adult,1,Both,common,436; 435,"middle, low","on open coast on rocks, algae,, seagrass",solitary,sessile,filter feeder,Taxonomic,Species,283435,Animalia,Cnidaria,Hexacorallia,Actiniaria,Actiniidae,Epiactis,n
103_Anthopleura artemisia_1,103,Anthopleura artemisia,NA,anemone,NA,adult,1,Both,common,436; 435,low,pholad holes,solitary,sessile,filter feeder,Taxonomic,Species,283337,Animalia,Cnidaria,Hexacorallia,Actiniaria,Actiniidae,Anthopleura,n
104_Urticina crassicornis_1,104,Urticina crassicornis,Tealia,anemone,NA,adult,1,N,present,436; 435,middle to low,"on undersides of large rocks, in protected pools.",solitary,sessile,filter feeder,Taxonomic,Species,100832,Animalia,Cnidaria,Hexacorallia,Actiniaria,Actiniidae,Urticina,n
105_Urticina coriacea_1,105,Urticina coriacea,Tealia,anemone,NA,adult,1,N,common,436; 435,middle to low,"buried in sand or gravel, which adheres to column",solitary,sessile,filter feeder,Taxonomic,Species,283441,Animalia,Cnidaria,Hexacorallia,Actiniaria,Actiniidae,Urticina,n
106_Urticina lofotensis_1,106,Urticina lofotensis,Tealia lofotensis,anemone,NA,adult,1,Both,common,436; 435,low,"on outer coast; on rocks, in protected pools",solitary,sessile,filter feeder,Taxonomic,Species,240768,Animalia,Cnidaria,Hexacorallia,Actiniaria,Actiniidae,Urticina,n
107_Metridium senile_1,107,Metridium senile,NA,anemone,NA,adult,1,Both,abundant,436; 435,low,"Rocks, shells, floating docks, pilings; especially in bays. Occasionally found on the carapace, claws of kelp crabs",colonial,sessile,filter feeder,Taxonomic,Species,100982,Animalia,Cnidaria,Hexacorallia,Actiniaria,Metridiidae,Metridium,n
109_Corynactis californica_1,109,Corynactis californica,NA,anemone,NA,adult,1,Both,present,436; 435,low,NA,colonial,sessile,filter feeder,Taxonomic,Species,283836,Animalia,Cnidaria,Hexacorallia,Corallimorpharia,Corallimorphidae,Corynactis,n
110_Balanophyllia elegans_1,110,Balanophyllia elegans,NA,anemone,orange cup coral,adult,1,Both,present,435,low,"on rocky open coasts, typically in surge channels, often under overhangs",colonial,sessile,filter feeder,Taxonomic,Species,1288908,Animalia,Cnidaria,Hexacorallia,Scleractinia,Dendrophylliidae,Balanophyllia,n
123_Emplectonema gracile_1,123,Emplectonema gracile,NA,nemertean,ribbon worm,adult,1,Both,common,436,"high, middle","among mussels, other surface cover on rocks, pilings, both exposed to surf, in muddy situations where barnacles occur, pathcy, several individuals often together in tangled masses",aggregating,mobile,typical predator,Taxonomic,Species,122710,Animalia,Nemertea,Hoplonemertea,Monostilifera,Emplectonematidae,Emplectonema,n
124_Paranemertes peregrina_1,124,Paranemertes peregrina,NA,nemertean,NA,adult,1,Both,common,436,"middle, low",NA,solitary,mobile,typical predator,Taxonomic,Species,162261,Animalia,Nemertea,Hoplonemertea,Monostilifera,Neesiidae,Paranemertes,n
125_Nipponnemertes bimaculata_1,125,Nipponnemertes bimaculata,Amphiporus bimaculatus,nemertean,ribbon worm,adult,1,Both,common,436; 435,low,"on, in rock crevices, pilings, among algae, other surface cover, also under rocks",solitary,mobile,unknown,Taxonomic,Species,NA,Animalia,Nemertea,Hoplonemertea,Monostilifera,Cratenemertidae,Nipponnemertes,n
126_Amphiporus imparispinosus_1,126,Amphiporus imparispinosus,NA,nemertean,NA,adult,1,Both,common,436; 435,high,"under rocks, among algae/coralline algae on rocks, pilings, at exposed, quiet-water sites; patchy",solitary,mobile,typical predator,Taxonomic,Species,156295,Animalia,Nemertea,Hoplonemertea,Monostilifera,Amphiporidae,Amphiporus,n
128_Tricellaria occidentalis_1,128,Tricellaria occidentalis,NA,bryozoan,NA,adult,1,both,common,436; 435,low,"common in fouling on boat hulls, other hard substrates, algae",colonial,sessile,filter feeder,Taxonomic,Species,395061,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Candidae,Tricellaria,n
129_Bugula californica_1,129,Bugula californica,NA,bryozoan,NA,adult,1,both,common,436,all,NA,colonial,sessile,filter feeder,Taxonomic,Species,396716,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,Bugula,n
130_Bugula neritina_1,130,Bugula neritina,NA,bryozoan,NA,adult,1,both,common,436,all,fouling,colonial,sessile,filter feeder,Taxonomic,Species,111158,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,Bugula,n
131_Dendrobeania laxa_1,131,Dendrobeania laxa,NA,bryozoan,NA,adult,1,both,present,436,low,protected rocky coast,colonial,sessile,filter feeder,Taxonomic,Species,469233,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,Dendrobeania,n
134_Integripelta bilabiata_1,134,Integripelta bilabiata,Eurystomella bilibiata,bryozoan,NA,adult,1,N,common,436,low,encrusting on shells,colonial,sessile,filter feeder,Taxonomic,Species,466975,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Eurystomellidae,Integripelta,n
135_Celleporina robertsoniae_1,135,Celleporina robertsoniae,"Cellepora costazi Robertson 1908, in part; Costazia robertsoniae of Osburn 1952, part; Celleporina ventricosa",bryozoan,NA,adult,1,Both,present,436; 435,low,"on erect stems of algae, hydroids, seagrasses, bryozoans, wood, shell; common on macrocystis",colonial,sessile,filter feeder,Taxonomic,Species,469568,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Celleporidae,Celleporina,n
136_Celleporaria brunnea_1,136,Celleporaria brunnea,NA,bryozoan,NA,adult,1,both,abundant,436; 435,low,"encrusting algae, stone, shell",colonial,sessile,filter feeder,Taxonomic,Species,394868,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Celleporidae,Celleporaria,n
139_Flustrellidra corniculata_1,139,Flustrellidra corniculata,NA,bryozoan,NA,adult,1,N,present,436,low,cold water,colonial,sessile,filter feeder,Taxonomic,Species,111620,Animalia,Bryozoa,Gymnolaemata,Ctenostomatida,Flustrellidridae,Flustrellidra,n
140_Bowerbankia gracilis_1,140,Bowerbankia gracilis,NA,bryozoan,NA,adult,1,both,common,436,low,quiet waters (Puget Sound); rocks,colonial,sessile,filter feeder,Taxonomic,Species,111665,Animalia,Bryozoa,Gymnolaemata,Ctenostomatida,Vesiculariidae,Bowerbankia,n
143_Dermasterias imbricata_1,143,Dermasterias imbricata,NA,sea star,leather star,adult,1,Both,uncommon,436; 435,low,NA,solitary,mobile,typical predator,Taxonomic,Species,240771,Animalia,Echinodermata,Asteroidea,Valvatida,Asteropseidae,Dermasterias,n
144_Patiria miniata_1,144,Patiria miniata,NA,sea star,bat star,adult,1,Both,common,436; 435,low,"common N, uncommon S",solitary,mobile,carnivore (scavenger + predator),Taxonomic,Species,382131,Animalia,Echinodermata,Asteroidea,Valvatida,Asterinidae,Patiria,n
145_Henricia leviuscula_1,145,Henricia leviuscula,NA,sea star,blood star,adult,1,Both,common,436; 435,low,frequent on encrusted rocks,solitary,mobile,filter feeder,Taxonomic,Species,369117,Animalia,Echinodermata,Asteroidea,Spinulosida,Echinasteridae,Henricia,n
146_Solaster dawsoni_1,146,Solaster dawsoni,NA,sea star,sun star,adult,1,N,uncommon,436; 435,low,NA,solitary,mobile,typical predator,Taxonomic,Species,292720,Animalia,Echinodermata,Asteroidea,Valvatida,Solasteridae,Solaster,n
148_Leptasterias pusilla_1,148,Leptasterias pusilla,NA,sea star,NA,adult,1,N,common,436; 435,pools,range very small,solitary,mobile,typical predator,Taxonomic,Species,379735,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Leptasterias,n
149_Leptasterias hexactis_1,149,Leptasterias hexactis,NA,sea star,6 arm star,adult,1,N + Channel Islands,common,436,middle,in small mytilus beds,solitary,mobile,typical predator,Taxonomic,Species,369177,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Leptasterias,n
150_Pisaster ochraceus_1,150,Pisaster ochraceus,NA,sea star,ochre star,adult,1,Both,common,436,"middle, low",NA,solitary,mobile,typical predator,Taxonomic,Species,240755,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,n
153_Pisaster brevispinus_1,153,Pisaster brevispinus,NA,sea star,pink star,adult,1,Both,occasional,436; 435,low,opportunistic scavenger,solitary,mobile,typical predator,Taxonomic,Species,240757,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,n
154_Cucumaria pseudocurata_1,154,Cucumaria pseudocurata,NA,cucumber,NA,adult,1,N,common,436; 435,middle,upper mussel beds to zero tide (limited by Pycnopodia); in large aggregations on intertidal rocks,aggregating,mobile,grazer,Taxonomic,Species,528844,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Cucumaria,n
155_Cucumaria miniata_1,155,Cucumaria miniata,NA,cucumber,NA,adult,1,N,common,436; 435,low,"in crevices, under rocks",solitary,mobile,deposit feeder,Taxonomic,Species,225807,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Cucumaria,n
156_Eupentacta quinquesemita_1,156,Eupentacta quinquesemita,NA,cucumber,NA,adult,1,N,common,436; 435,low,"in crevices, under rocks",solitary,mobile,scavenger,Taxonomic,Species,529305,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Sclerodactylidae,Eupentacta,n
157_Pachythyone rubra_1,157,Pachythyone rubra,NA,cucumber,NA,adult,1,Both,common,436; 435,low,"holdfasts, seagrass beds",solitary,mobile,deposit feeder,Taxonomic,Species,529582,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Sclerodactylidae,Pachythyone,n
159_Apostichopus californicus_1,159,Apostichopus californicus,Parastichopus californicus,cucumber,NA,adult,1,Both,common,436; 435,low,"common N, subtidal S",solitary,mobile,deposit feeder,Taxonomic,Species,529363,Animalia,Echinodermata,Holothuroidea,Synallactida,Stichopodidae,Apostichopus,n
160_Ophiopholis aculeata_1,160,Ophiopholis aculeata,NA,brittle star,Daisy brittle star,adult,1,Both,common,436,low,NA,solitary,mobile,deposit feeder,Taxonomic,Species,125125,Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Ophiopholidae,Ophiopholis,n
161_Amphipholis squamata_1,161,Amphipholis squamata,NA,brittle star,NA,adult,1,Both,common,436; 435,low,NA,solitary,mobile,deposit feeder,Taxonomic,Species,125064,Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphipholis,n
162_Amphipholis pugetana_1,162,Amphipholis pugetana,NA,brittle star,NA,adult,1,Both,common,436; 435,low,NA,solitary,mobile,scavenger,Taxonomic,Species,242878,Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphipholis,n
163_Ophiothrix spiculata_1,163,Ophiothrix spiculata,NA,brittle star,NA,adult,1,Both,common,436; 435,low,wide range of substrates,solitary,mobile,deposit feeder,Taxonomic,Species,245237,Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Ophiotrichidae,Ophiothrix,n
164_Ophiothrix rudis_1,164,Ophiothrix rudis,NA,brittle star,NA,adult,1,Both,present,436; 435,low,"Lives under rocks, in coarse sand,, associated with seagrass rhizomes.",solitary,mobile,deposit feeder,Taxonomic,Species,245664,Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Ophiotrichidae,Ophiothrix,n
165_Ophioplocus esmarki_1,165,Ophioplocus esmarki,NA,brittle star,NA,adult,1,Both,uncommon,436; 435,low tidepools,NA,solitary,mobile,carnivore (scavenger + predator),Taxonomic,Species,243980,Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Hemieuryalidae,Ophioplocus,n
166_Ophioderma panamense_1,166,Ophioderma panamense,NA,brittle star,NA,adult,1,Both,common,436,low tidepools,"common in appropriate habitats (under rocks, algal holdfasts)",solitary,mobile,deposit feeder,Taxonomic,Species,245239,Animalia,Echinodermata,Ophiuroidea,Ophiacanthida,Ophiodermatidae,Ophioderma,n
167_Ophiopteris papillosa_1,167,Ophiopteris papillosa,NA,brittle star,NA,adult,1,Both,common,436,low tidepools,associated with strongylocentrous?,solitary,mobile,carnivore (scavenger + predator),Taxonomic,Species,244022,Animalia,Echinodermata,Ophiuroidea,Ophiacanthida,Ophiopteridae,Ophiopteris,n
168_Strongylocentrotus purpuratus_1,168,Strongylocentrotus purpuratus,NA,urchin,NA,adult,1,Both,common,436,low,NA,solitary,mobile,grazer,Taxonomic,Species,240747,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,n
169_Strongylocentrotus franciscanus_1,169,Strongylocentrotus franciscanus,NA,urchin,NA,adult,1,Both,uncommon,436,very low,NA,solitary,mobile,grazer,Taxonomic,Species,240762,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,n
170_Aplidium californicum_1,170,Aplidium californicum,NA,tunicate,NA,adult,1,Both,common,436; 435,"middle, low",D,colonial,sessile,filter feeder,Taxonomic,Species,249827,Animalia,Chordata,Ascidiacea,Aplousobranchia,Polyclinidae,Aplidium,n
171_Aplidium solidum_1,171,Aplidium solidum,NA,tunicate,NA,adult,1,Both,common,436; 435,low,seasonal abundance,colonial,sessile,filter feeder,Taxonomic,Species,215889,Animalia,Chordata,Ascidiacea,Aplousobranchia,Polyclinidae,Aplidium,n
173_Aplidium arenatum_1,173,Aplidium arenatum,NA,tunicate,NA,adult,1,Both,present,436,low,NA,colonial,sessile,filter feeder,Taxonomic,Species,249817,Animalia,Chordata,Ascidiacea,Aplousobranchia,Polyclinidae,Aplidium,n
