"man_edits","id.x","species","alternate_nomenclature","category","common_name","functional_role","range","life_stage","body_size_mm","n_s_both","commonality","source","zone","habitat_notes","solitary_aggregating_colonial","mobile_or_sessile","preys_on","trophic_strategy","how_picky","eaten_by","non_trophic_epicommensal_w","mutualist_w","parasitized_by","unknown_symbiosis","parasitic_on","how_picky_symbiotically","notes","node_type","node_resolution","aphia","kingdom","phylum","subphylum","infraphylum","megaclass","superclass","class","order","family","genus","subclass","suborder","superfamily","subfamily","infraorder"
"5/28/24",3021,"Numenius americanus",NA,"bird","long-billed curlew",NA,NA,"adult",NA,"Both","fairly common","189","middle",NA,"solitary","mobile",NA,"typical predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species","366865","Animalia","Chordata","Vertebrata","Gnathostomata","Tetrapoda","Reptilia","Aves","Charadriiformes","Scolopacidae","Numenius",NA,NA,NA,NA,NA
"5/28/24",3022,"Calidris virgata",NA,"bird","surfbird",NA,NA,"adult","250","Both","fairly common","McCaffery (2020)","low to middle",NA,"solitary","mobile",NA,"typical predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/28/24",3023,"Arenaria melanocephala",NA,"bird","black turnstone",NA,NA,"adult",NA,"Both","common",NA,"low to middle",NA,"solitary","mobile",NA,"typical predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species","366869","Animalia","Chordata","Vertebrata","Gnathostomata","Tetrapoda","Reptilia","Aves","Charadriiformes","Scolopacidae","Arenaria",NA,NA,NA,NA,NA
"5/28/24",3024,"Limosa fedoa",NA,"bird","marbled godwit",NA,NA,"adult",NA,"Both","not present",NA,"middle","forages in sand and in mud","solitary","mobile",NA,"typical predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species","158965","Animalia","Chordata","Vertebrata","Gnathostomata","Tetrapoda","Reptilia","Aves","Charadriiformes","Scolopacidae","Limosa",NA,NA,NA,NA,NA
"5/28/24",3025,"Calidris mauri",NA,"bird","western sandpiper",NA,NA,"adult",NA,"Both","not present",NA,"middle to high","forages in sand and in mud","solitary","mobile",NA,"typical predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species","366588","Animalia","Chordata","Vertebrata","Gnathostomata","Tetrapoda","Reptilia","Aves","Charadriiformes","Scolopacidae","Calidris",NA,NA,NA,NA,NA
"5/28/24",3026,"Calidris minutilla",NA,"bird","least sandpiper",NA,NA,"adult",NA,"Both","not present",NA,"middle to high","forages in sand and in mud","solitary","mobile",NA,"typical predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species","159054","Animalia","Chordata","Vertebrata","Gnathostomata","Tetrapoda","Reptilia","Aves","Charadriiformes","Scolopacidae","Calidris",NA,NA,NA,NA,NA
"5/28/24",3027,"Calidris alpina",NA,"bird","dunlin",NA,NA,"adult",NA,"Both","common",NA,"middle to high",NA,"solitary","mobile",NA,"typical predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species","159047","Animalia","Chordata","Vertebrata","Gnathostomata","Tetrapoda","Reptilia","Aves","Charadriiformes","Scolopacidae","Calidris",NA,NA,NA,NA,NA
"5/28/24",3028,"Limnodromus griseus",NA,"bird","short-billed dowitcher",NA,NA,"adult",NA,"Both","not present",NA,"middle","""avoids ocean beaches""","solitary","mobile",NA,"typical predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species","158955","Animalia","Chordata","Vertebrata","Gnathostomata","Tetrapoda","Reptilia","Aves","Charadriiformes","Scolopacidae","Limnodromus",NA,NA,NA,NA,NA
"5/28/24",3029,"Limnodromus scolopaceus",NA,"bird","lonng-billed dowitcher",NA,NA,"adult",NA,"Both","fairly common",NA,"middle",NA,"solitary","mobile",NA,"typical predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species","158957","Animalia","Chordata","Vertebrata","Gnathostomata","Tetrapoda","Reptilia","Aves","Charadriiformes","Scolopacidae","Limnodromus",NA,NA,NA,NA,NA
"5/28/24",3030,"Tringa flavipes",NA,"bird","lesser yellowlegs",NA,NA,"adult",NA,"Both","not present",NA,"middle","seems like mostly marshes","solitary","mobile",NA,"typical predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species","159030","Animalia","Chordata","Vertebrata","Gnathostomata","Tetrapoda","Reptilia","Aves","Charadriiformes","Scolopacidae","Tringa",NA,NA,NA,NA,NA
"5/28/24",3031,"Tringa melanoleuca",NA,"bird","greater yellowlegs",NA,NA,"adult",NA,"Both","common",NA,"middle",NA,"solitary","mobile",NA,"typical predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species","158967","Animalia","Chordata","Vertebrata","Gnathostomata","Tetrapoda","Reptilia","Aves","Charadriiformes","Scolopacidae","Tringa",NA,NA,NA,NA,NA
"5/28/24",3032,"Butorides virescens",NA,"bird","green heron",NA,NA,"adult",NA,"Both","not present",NA,"middle",NA,"solitary","mobile","fish","typical predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species","159112","Animalia","Chordata","Vertebrata","Gnathostomata","Tetrapoda","Reptilia","Aves","Ciconiiformes","Ardeidae","Butorides",NA,NA,NA,NA,NA
"5/28/24",3033,"Megaceryle alcyon",NA,"bird","belted Kingfisher",NA,NA,"adult",NA,"Both","not present",NA,"high",NA,"solitary","mobile","fish","typical predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species","159001","Animalia","Chordata","Vertebrata","Gnathostomata","Tetrapoda","Reptilia","Aves","Coraciiformes","Alcedinidae","Megaceryle",NA,NA,NA,NA,NA
"5/28/24",3034,"Cathartes aura","buzzard","bird","turkey vulture",NA,NA,"adult",NA,"Both","common",NA,"all",NA,"solitary","mobile","everything","carnivore (scavenger + predator)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species","159144","Animalia","Chordata","Vertebrata","Gnathostomata","Tetrapoda","Reptilia","Aves","Accipitriformes","Cathartidae","Cathartes",NA,NA,NA,NA,NA
"5/28/24",3035,"Haemorhous mexicanus",NA,"bird","house finch",NA,NA,"adult",NA,"Both","not present",NA,"middle to high",NA,"solitary","mobile",NA,"typical predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/28/24",3036,"Euphagus cyanocephalus",NA,"bird","brewer's blackbird",NA,NA,"adult",NA,"Both","not present",NA,"high",NA,"solitary","mobile",NA,"typical predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/28/24",3037,"Quiscalus mexicanus",NA,"bird","great-tailed grackle",NA,NA,"adult",NA,"Both","not present",NA,"high",NA,"solitary","mobile",NA,"typical predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/28/24",3038,"Anthus rubescens","buff-bellied pipit","bird","american pipit",NA,NA,"adult",NA,"Both","not present",NA,"middle to high",NA,"solitary","mobile",NA,"typical predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/28/24",3039,"Setophaga coronata",NA,"bird","yellow rumped warbler",NA,NA,"adult",NA,"Both","not present",NA,"high",NA,"solitary","mobile",NA,"typical predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/28/24",3040,"Sayornis nigricans",NA,"bird","black phoebe",NA,NA,"adult",NA,"Both","not present",NA,"high",NA,"solitary","mobile",NA,"typical predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/28/24",3041,"Sayornis saya",NA,"bird","say's phoebe",NA,NA,"adult",NA,"Both","not present",NA,"high",NA,"solitary","mobile",NA,"typical predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species","1484565","Animalia","Chordata","Vertebrata","Gnathostomata","Tetrapoda","Reptilia","Aves","Passeriformes","Tyrannidae","Sayornis",NA,NA,NA,NA,NA
"5/28/24",3042,"Ardea alba",NA,"bird","great egret",NA,NA,"adult",NA,"Both","abundant",NA,"all",NA,"solitary","mobile",NA,"typical predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species","159381","Animalia","Chordata","Vertebrata","Gnathostomata","Tetrapoda","Reptilia","Aves","Ciconiiformes","Ardeidae","Ardea",NA,NA,NA,NA,NA
"5/28/24",3043,"Egretta thula",NA,"bird","snowy egret",NA,NA,"adult",NA,"Both","abundant",NA,"middle to high",NA,"solitary","mobile","fish, crabs, shrimp, insects, snails, worms","carnivore (scavenger + predator)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species","159116","Animalia","Chordata","Vertebrata","Gnathostomata","Tetrapoda","Reptilia","Aves","Ciconiiformes","Ardeidae","Egretta",NA,NA,NA,NA,NA
"5/28/24",3044,"Plegadis chihi",NA,"bird","white-faced ibis",NA,NA,"adult",NA,"Both","rare",NA,"low to middle",NA,"solitary","mobile",NA,"typical predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species","422583","Animalia","Chordata","Vertebrata","Gnathostomata","Tetrapoda","Reptilia","Aves","Ciconiiformes","Threskiornithidae","Plegadis",NA,NA,NA,NA,NA
"5/28/24",3045,"Podiceps auritus",NA,"bird","horned grebe",NA,NA,"adult",NA,"Both","uncommon","Morris, Abbott, and Haderlie","low to middle",NA,"solitary","mobile",NA,"typical predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species","137181","Animalia","Chordata","Vertebrata","Gnathostomata","Tetrapoda","Reptilia","Aves","Podicipediformes","Podicipedidae","Podiceps",NA,NA,NA,NA,NA
"5/28/24",3046,"Podiceps nigricollis","black-necked grebe","bird","eared grebe",NA,NA,"adult",NA,"Both","fairly common",NA,"low to middle",NA,"solitary","mobile","fish","typical predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species","137184","Animalia","Chordata","Vertebrata","Gnathostomata","Tetrapoda","Reptilia","Aves","Podicipediformes","Podicipedidae","Podiceps",NA,NA,NA,NA,NA
"5/28/24",3047,"Urile penicillatus",NA,"bird","brandt's cormorant",NA,NA,"adult",NA,"Both","abundant",NA,"low to middle"," on or just above the bottom over rocky reefs (61.1%), flat sand or mud (18.3%), flat areas near rocks (17.0%), ","solitary","mobile","fish","typical predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/28/24",3048,"Nannopterum auritum",NA,"bird","double-crested cormorant",NA,NA,"adult",NA,"Both","abundant",NA,"low to middle",NA,"solitary","mobile","fish","typical predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/28/24",3049,"Melanitta perspicillata",NA,"bird","surf scoter",NA,NA,"adult",NA,"Both","abundant",NA,"low",NA,"solitary","mobile","bivalves","typical predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/28/24",3050,"Melanitta deglandi",NA,"bird","white-winged scoter",NA,NA,"adult",NA,"Both","very rare",NA,"low",NA,"solitary","mobile","bivalves","typical predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species","567404","Animalia","Chordata","Vertebrata","Gnathostomata","Tetrapoda","Reptilia","Aves","Anseriformes","Anatidae","Melanitta",NA,NA,NA,NA,NA
"5/28/24",3051,"Melanitta americana",NA,"bird","black scoter",NA,NA,"adult",NA,"north","rare",NA,"low",NA,"solitary","mobile","bivalves","typical predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species","366594","Animalia","Chordata","Vertebrata","Gnathostomata","Tetrapoda","Reptilia","Aves","Anseriformes","Anatidae","Melanitta",NA,NA,NA,NA,NA
"2-Jun-24",3052,"Cercaria littorinalinae",NA,"trematode",NA,NA,"host range","cercaria",NA,"Both","present","386","host zone","host","colonial",NA,NA,"parasite",NA,NA,NA,NA,NA,NA,NA,NA,"Furcocercous cercaria","Taxonomic","Species","1610381","Animalia","Platyhelminthes","Rhabditophora",NA,NA,"Neodermata","Trematoda","Digenea incertae sedis",NA,"Cercaria","Digenea",NA,NA,NA,NA
"2-Jun-24",3053,"Cercaria B",NA,"trematode",NA,NA,"host range","redia",NA,"Both","present","386","host zone","host","colonial",NA,NA,"parasite",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Common Name","Morphospecies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-Jun-24",3054,"Lecithaster salmonis",NA,"trematode",NA,NA,"host range","redia",NA,"Both","present","386","host zone","host","colonial",NA,NA,"parasite",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species","727095","Animalia","Platyhelminthes","Rhabditophora",NA,NA,"Neodermata","Trematoda","Plagiorchiida","Lecithasteridae","Lecithaster","Digenea","Hemiurata","Hemiuroidea","Lecithasterinae",NA
"2-Jun-24",3055,"Cercaria noblei",NA,"trematode",NA,NA,"host range","sporocyst",NA,"Both","present","386","host zone","host","colonial",NA,NA,"parasite",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species","1611623","Animalia","Platyhelminthes","Rhabditophora",NA,NA,"Neodermata","Trematoda","Digenea incertae sedis",NA,"Cercaria","Digenea",NA,NA,NA,NA
"2-Jun-24",3056,"Gymnophallus deliciosus",NA,"trematode",NA,NA,"host range","metacercaria",NA,"Both","present","386","host zone","host","aggregating",NA,NA,"parasite",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species","109224","Animalia","Platyhelminthes","Rhabditophora",NA,NA,"Neodermata","Trematoda","Plagiorchiida","Gymnophallidae","Gymnophallus","Digenea","Gymnophallata","Gymnophalloidea",NA,NA
"2-Jun-24",3057,"Parvatrema obscurus",NA,"trematode",NA,NA,"host range","metacercaria",NA,"Both","present","386","host zone","host","aggregating",NA,NA,"parasite",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-Jun-24",3058,"Maritrema megametrios",NA,"trematode",NA,NA,"host range","metacercaria",NA,"Both","present","386","host zone","host","aggregating",NA,NA,"parasite",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species","767833","Animalia","Platyhelminthes","Rhabditophora",NA,NA,"Neodermata","Trematoda","Plagiorchiida","Microphallidae","Maritrema","Digenea","Xiphidiata","Microphalloidea","Maritrematinae",NA
"2-Jun-24",3059,"Ascorhytis charadriformis",NA,"trematode",NA,NA,"host range","sporocyst",NA,"Both","present","386","host zone","host","colonial",NA,NA,"parasite",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species","767759","Animalia","Platyhelminthes","Rhabditophora",NA,NA,"Neodermata","Trematoda","Plagiorchiida","Microphallidae","Ascorhytis","Digenea","Xiphidiata","Microphalloidea","Levinseniellinae",NA
"2-Jun-24",3060,"Ascorhytis charadriformis",NA,"trematode",NA,NA,"host range","metacercaria",NA,"Both","present","386","host zone","host","aggregating",NA,NA,"parasite",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species","767759","Animalia","Platyhelminthes","Rhabditophora",NA,NA,"Neodermata","Trematoda","Plagiorchiida","Microphallidae","Ascorhytis","Digenea","Xiphidiata","Microphalloidea","Levinseniellinae",NA
"2-Jun-24",3061,"Microphallus nicolli",NA,"trematode",NA,NA,"host range","sporocyst",NA,"Both","present","386","host zone","host","colonial",NA,NA,"parasite",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species","767875","Animalia","Platyhelminthes","Rhabditophora",NA,NA,"Neodermata","Trematoda","Plagiorchiida","Microphallidae","Microphallus","Digenea","Xiphidiata","Microphalloidea","Microphallinae",NA
"2-Jun-24",3062,"Microphallus pirum",NA,"trematode",NA,NA,"host range","sporocyst",NA,"Both","present","386","host zone","host","colonial",NA,NA,"parasite",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-Jun-24",3063,"Microphallus pirum",NA,"trematode",NA,NA,"host range","metacercaria",NA,"Both","present","386","host zone","host","aggregating",NA,NA,"parasite",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-Jun-24",3064,"Microphallus pygmaeus",NA,"trematode",NA,NA,"host range","sporocyst",NA,"Both","present","386","host zone","host","colonial",NA,NA,"parasite",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species","109018","Animalia","Platyhelminthes","Rhabditophora",NA,NA,"Neodermata","Trematoda","Plagiorchiida","Microphallidae","Microphallus","Digenea","Xiphidiata","Microphalloidea","Microphallinae",NA
"2-Jun-24",3065,"Microphallus sp. mihi",NA,"trematode",NA,NA,"host range","sporocyst",NA,"Both","present","386","host zone","host","colonial",NA,NA,"parasite",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Common Name","Morphospecies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-Jun-24",3066,"Microphallid Cercaria mihi 8",NA,"trematode",NA,NA,"host range","sporocyst",NA,"Both","present","386","host zone","host","colonial",NA,NA,"parasite",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Common Name","Morphospecies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-Jun-24",3067,"Cercaria searlesiae",NA,"trematode",NA,NA,"host range","redia",NA,"Both","present","386","host zone","host","colonial",NA,NA,"parasite",NA,NA,NA,NA,NA,NA,"Lirabuccinum dirum",NA,NA,"Taxonomic","Species","1611052","Animalia","Platyhelminthes","Rhabditophora",NA,NA,"Neodermata","Trematoda","Digenea incertae sedis",NA,"Cercaria","Digenea",NA,NA,NA,NA
"2-Jun-24",3068,"Opecoelid Metacercaria",NA,"trematode",NA,NA,"host range","metacercaria",NA,"Both","present","386","host zone","host","aggregating",NA,NA,"parasite",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Common Name","Unidentified Species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-Jun-24",3069,"Renicola thaidus",NA,"trematode",NA,NA,"host range","sporocyst",NA,"Both","present","386","host zone","host","colonial",NA,NA,"parasite",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species","767958","Animalia","Platyhelminthes","Rhabditophora",NA,NA,"Neodermata","Trematoda","Plagiorchiida","Renicolidae","Renicola","Digenea","Xiphidiata","Microphalloidea",NA,NA
"2-Jun-24",3070,"Renicola thaidus",NA,"trematode",NA,NA,"host range","metacercaria",NA,"Both","present","386","host zone","host","aggregating",NA,NA,"parasite",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species","767958","Animalia","Platyhelminthes","Rhabditophora",NA,NA,"Neodermata","Trematoda","Plagiorchiida","Renicolidae","Renicola","Digenea","Xiphidiata","Microphalloidea",NA,NA
"2-Jun-24",3071,"Lepocreadiid Cercaria mihi 11",NA,"trematode",NA,NA,"host range","redia",NA,"Both","present","386","host zone","host","colonial",NA,NA,"parasite",NA,NA,NA,NA,NA,NA,"Alia carinata",NA,NA,"Common Name","Morphospecies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-Jun-24",3072,"Notocotylid Cercaria mihi 12",NA,"trematode",NA,NA,"host range","redia",NA,"Both","present","386","host zone","host","colonial",NA,NA,"parasite",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Common Name","Morphospecies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-Jun-24",3073,"Himasthla sp. Cercaria mihi 13",NA,"trematode",NA,NA,"host range","redia",NA,"Both","present","386","host zone","host","colonial",NA,NA,"parasite",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Common Name","Morphospecies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-Jun-24",3074,"Parorchis acanthus",NA,"trematode",NA,NA,"host range","redia",NA,"Both","present","386","host zone","host","colonial",NA,NA,"parasite",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species","158687","Animalia","Platyhelminthes","Rhabditophora",NA,NA,"Neodermata","Trematoda","Plagiorchiida","Philophthalmidae","Parorchis","Digenea","Echinostomata","Echinostomatoidea","Parorchiinae",NA
"2-Jun-24",3075,"Psilostomum magniovum",NA,"trematode",NA,NA,"host range","redia",NA,"Both","present","386","host zone","host","colonial",NA,NA,"parasite",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species","1568882","Animalia","Platyhelminthes","Rhabditophora",NA,NA,"Neodermata","Trematoda","Plagiorchiida","Psilostomidae","Psilostomum","Digenea","Echinostomata","Echinostomatoidea","Psilostominae",NA
"2-Jun-24",3076,"Psilostomum magniovum",NA,"trematode",NA,NA,"host range","metacercaria",NA,"Both","present","386","host zone","host","aggregating",NA,NA,"parasite",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species","1568882","Animalia","Platyhelminthes","Rhabditophora",NA,NA,"Neodermata","Trematoda","Plagiorchiida","Psilostomidae","Psilostomum","Digenea","Echinostomata","Echinostomatoidea","Psilostominae",NA
"2-Jun-24",3077,"Cryptocotyle lingua",NA,"trematode",NA,NA,"host range","redia",NA,"Both","present","386, 109","host zone","host","colonial",NA,NA,"parasite",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species","109051","Animalia","Platyhelminthes","Rhabditophora",NA,NA,"Neodermata","Trematoda","Plagiorchiida","Opisthorchiidae","Cryptocotyle","Digenea","Opisthorchiata","Opisthorchioidea","Cryptocotylinae",NA
"2-Jun-24",3078,"Cercaria foliatae",NA,"trematode",NA,NA,"host range","sporocyst",NA,"Both","present","386","host zone","host","colonial",NA,NA,"parasite",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species","1611047","Animalia","Platyhelminthes","Rhabditophora",NA,NA,"Neodermata","Trematoda","Digenea incertae sedis",NA,"Cercaria","Digenea",NA,NA,NA,NA
