reference_number,focal_consumer_taxon,focal_consumer_life_stage,resource_genus,resource_taxonomic_resolution,general_location_of_study,id.x,resource_species,alternate_nomenclature,resource_category,common_name,functional_role,range,life_stage,body_size_mm,n_s_both,commonality,source,zone,habitat_notes,solitary_aggregating_colonial,mobile_or_sessile,preys_on,trophic_strategy,how_picky,eaten_by,non_trophic_epicommensal_w,mutualist_w,parasitized_by,unknown_symbiosis,parasitic_on,how_picky_symbiotically,notes,node_type,node_resolution,web_enter_code,enter_code_2,googled,justification,confidence,x41,clean_zone,id.y,kingdom,resource_phylum,resource_class,resource_order,resource_family,subclass,infraclass,subterclass,superorder,superfamily,subphylum,subfamily,superclass,suborder,infraorder,parvorder,subkingdom,infrakingdom,tribe,subgenus,infraphylum,parvphylum,gigaclass,megaclass,phylum_division,subphylum_subdivision,subtribe,section,subsection,subspecies,epifamily
59,Organisms that can reach inside tiny rock crevices,NA,Ophiopholis,genus,Lab experiments done at field stations on the North Carolina Coast,160,Ophiopholis aculeata,NA,brittle star,Daisy brittle star,NA,NA,adult,NA,Both,common,"Morris, Abbott, & Haderlie",low,NA,solitary,mobile,NA,deposit feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,125125,Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Ophiopholidae,Myophiuroida,Metophiurida,NA,Ophintegrida,Ophiactoidea,Asterozoa,NA,NA,Gnathophiurina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,Organisms that can reach inside tiny rock crevices,NA,Ophiopholis,genus,Lab experiments done at field stations on the North Carolina Coast,1985,Ophiopholis kennerlyi,NA,brittle star,NA,NA,Alaska to California,adult,38,N,rare,Light & Smith,all,it lives under rocks intertidally,solitary,mobile,NA,deposit feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,243916,Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Ophiopholidae,Myophiuroida,Metophiurida,NA,Ophintegrida,Ophiactoidea,Asterozoa,NA,NA,Gnathophiurina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,Amphipholis squamata,brooded embryos,Vibrio,genus,"Specimens collected from Odiome Point and Appledore Island, USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,Amphipholis squamata,brooded embryos,Vibrio,genus,*This paper just says that freshly collected specimens were held in lab....? I can't seem to figure out the exact location.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,Strongylocentrotus purpuratus,adult,Phyllospadix,genus,"Monterey Peninsula at Yankee Point below Carmel Highlands and at Pescadero Point, some sea urchins were also collected right outside of the Hopkins Marine Station after being planted there so that they would stay fresh.",608,Phyllospadix scouleri,NA,angiosperm,surfgrass,NA,NA,adult,NA,Both,common,NA,NA,NA,aggregating,sessile,NA,primary producer,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,1,NA,NA,NA,NA,NA,NA,374707,Plantae,NA,Magnoliopsida,Alismatales,Zosteraceae,NA,NA,NA,Lilianae,NA,NA,NA,NA,NA,NA,NA,Viridiplantae,Streptophyta,NA,NA,NA,NA,NA,NA,Tracheophyta,Spermatophytina,NA,NA,NA,NA,NA
66,Strongylocentrotus purpuratus,adult,Phyllospadix,genus,"Monterey Peninsula at Yankee Point below Carmel Highlands and at Pescadero Point, some sea urchins were also collected right outside of the Hopkins Marine Station after being planted there so that they would stay fresh.",607,Phyllospadix torreyi,NA,angiosperm,surfgrass,NA,NA,adult,NA,Both,common,NA,NA,NA,aggregating,sessile,NA,primary producer,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,1,NA,NA,NA,NA,NA,NA,374709,Plantae,NA,Magnoliopsida,Alismatales,Zosteraceae,NA,NA,NA,Lilianae,NA,NA,NA,NA,NA,NA,NA,Viridiplantae,Streptophyta,NA,NA,NA,NA,NA,NA,Tracheophyta,Spermatophytina,NA,NA,NA,NA,NA
70,Deutella californica,adult,Abietinaria,genus,"University of Washington, Friday Harbor Laboratories' dock and the town of Friday Harbor public boat docks around  San Juan
Island, Washington Sound, Washington, USA .",954,Abietinaria filicula,NA,hydroid,NA,NA,to San Francisco,hydroid colony,<1000,N,present,Light & Smith,all,on intertidal rocks,colonial,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,117871,Animalia,Cnidaria,Hydrozoa,Leptothecata,Sertulariidae,Hydroidolina,NA,NA,NA,Sertularioidea,Medusozoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,Deutella californica,adult,Abietinaria,genus,"University of Washington, Friday Harbor Laboratories' dock and the town of Friday Harbor public boat docks around  San Juan
Island, Washington Sound, Washington, USA .",955,Abietinaria greenei,NA,hydroid,NA,NA,to Monterey Bay,hydroid colony,300,N,present,Light & Smith,all,NA,colonial,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,285366,Animalia,Cnidaria,Hydrozoa,Leptothecata,Sertulariidae,Hydroidolina,NA,NA,NA,Sertularioidea,Medusozoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,Deutella californica,adult,Abietinaria,genus,"University of Washington, Friday Harbor Laboratories' dock and the town of Friday Harbor public boat docks around  San Juan
Island, Washington Sound, Washington, USA .",956,Abietinaria inconstans,NA,hydroid,NA,NA,Alaska to Mexico,hydroid colony,NA,Both,present,Light & Smith,all,NA,colonial,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,285368,Animalia,Cnidaria,Hydrozoa,Leptothecata,Sertulariidae,Hydroidolina,NA,NA,NA,Sertularioidea,Medusozoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,Deutella californica,adult,Abietinaria,genus,"University of Washington, Friday Harbor Laboratories' dock and the town of Friday Harbor public boat docks around  San Juan
Island, Washington Sound, Washington, USA .",90,Abietinaria sp.,NA,hydroid,NA,NA,NA,adult,NA,Both,common,"Morris, Abbott, & Haderlie; Light & Smith",low,little known,colonial,sessile,NA,filter feeder,generalist,Doto sp.,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Genus,3,fix,NA,NA,NA,NA,NA,NA,Animalia,Cnidaria,Hydrozoa,Leptothecata,Sertulariidae,Hydroidolina,NA,NA,NA,Sertularioidea,Medusozoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,Deutella californica,adult,Tubularia,genus,"University of Washington, Friday Harbor Laboratories' dock and the town of Friday Harbor public boat docks around  San Juan
Island, Washington Sound, Washington, USA .",935,Tubularia harrimani,NA,hydroid,NA,NA,Alaska to Monterey Bay,hydroid colony,NA,N,present,Light & Smith,all,NA,colonial,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,yes,NA,NA,NA,NA,285983,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Tubulariidae,Hydroidolina,NA,NA,NA,NA,Medusozoa,NA,NA,Aplanulata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,Clinocottus analis,adult,Pelotonia,genus,"Samples were collected from the San Mateo Coast State Beaches, California, ( in tidepools from the rocky intertidal zone).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,Heterostichus rostratus,juvenile,Acartia,genus,Observations and collections were made in the vicinity of the University of Southern California's Catalina Marine Science Center on Santa Catalina Island.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,Apohyale grandicornis,juvenile,Ulva,genus,"Pescadero Point, CA",601,Ulva sp.,Enteromorpha,algae,ulva,NA,NA,adult,NA,Both,common,"Morris, Abbott, and Haderlie",all,NA,aggregating,sessile,NA,primary producer,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Genus,NA,NA,NA,NA,NA,NA,NA,NA,Plantae,Chlorophyta,Ulvophyceae,Ulvales,Ulvaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,Triakis semifasciata,adult,Cancer,genus,"Elkhorn Slough, Monterey Bay",549,Cancer antennaria,NA,true crab,rock crab,NA,NA,adult,NA,Both,fairly common,"Morris, Abbott, & Haderlie; light & Smith",low,NA,solitary,mobile,"Pagurus sp., ""wide variety of other animals""",carnivore (scavenger + predator),generalist,humans,"Iphitime holobranchiata (Iphitimid polychaetes recorded from branchial cavity in southern California (Pilger 1972, Bull. So. Calif. Acad. Sci 70: 84–87))",NA,Carcinonemertes epialti,NA,NA,NA,NA,Taxonomic,Species,2,fix,NA,NA,NA,NA,NA,452126,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Eumalacostraca,NA,NA,Eucarida,Cancroidea,Crustacea,Cancrinae,Multicrustacea,Pleocyemata,Brachyura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eubrachyura,Heterotremata,NA,NA
101,Triakis semifasciata,adult,Cancer,genus,"Elkhorn Slough, Monterey Bay",550,Cancer anthonyi,NA,true crab,yellow rock crab,NA,NA,adult,NA,Both,present,"Morris, Abbott, & Haderlie; light & Smith",low,more common in bays and estuaries,solitary,mobile,NA,carnivore (scavenger + predator),generalist,"""variety of reef fishes"", humans",NA,NA,NA,NA,NA,NA,might be a cleaner,Taxonomic,Species,2,NA,NA,NA,NA,NA,NA,452127,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Eumalacostraca,NA,NA,Eucarida,Cancroidea,Crustacea,Cancrinae,Multicrustacea,Pleocyemata,Brachyura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eubrachyura,Heterotremata,NA,NA
101,Triakis semifasciata,adult,Cancer,genus,"Elkhorn Slough, Monterey Bay",552,Cancer branneri,NA,true crab,NA,NA,NA,adult,35,Both,present,"Morris, Abbott, & Haderlie; light & Smith",NA,NA,solitary,mobile,NA,carnivore (scavenger + predator),generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,452138,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Eumalacostraca,NA,NA,Eucarida,Cancroidea,Crustacea,Cancrinae,Multicrustacea,Pleocyemata,Brachyura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eubrachyura,Heterotremata,NA,NA
101,Triakis semifasciata,adult,Cancer,genus,"Elkhorn Slough, Monterey Bay",995,Cancer gracilis,NA,true crab,NA,NA,NA,juvenile,NA,Both,uncommon,Light & Smith,low,"pelagic, riding on medusae",solitary,mobile,kleptoparasitic on medusae,carnivore (scavenger + predator),generalist,NA,megalops and post-larval instars phoretic on scyphozoan medusae,NA,NA,NA,NA,NA,NA,Taxonomic,Life Stage,NA,NA,NA,NA,NA,50:26:00,NA,452220,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Eumalacostraca,NA,NA,Eucarida,Cancroidea,Crustacea,Cancrinae,Multicrustacea,Pleocyemata,Brachyura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eubrachyura,Heterotremata,NA,NA
101,Triakis semifasciata,adult,Cancer,genus,"Elkhorn Slough, Monterey Bay",996,Cancer gracilis,NA,true crab,NA,NA,NA,megalops,NA,Both,uncommon,Light & Smith,low,"pelagic, riding on medusae",solitary,mobile,kleptoparasitic on medusae,carnivore (scavenger + predator),generalist,NA,megalops and post-larval instars phoretic on scyphozoan medusae,NA,NA,NA,NA,NA,NA,Taxonomic,Life Stage,NA,NA,NA,NA,NA,50:26:00,NA,452220,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Eumalacostraca,NA,NA,Eucarida,Cancroidea,Crustacea,Cancrinae,Multicrustacea,Pleocyemata,Brachyura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eubrachyura,Heterotremata,NA,NA
101,Triakis semifasciata,adult,Cancer,genus,"Elkhorn Slough, Monterey Bay",562,Cancer gracilis,NA,true crab,graceful rock crab,NA,NA,adult,NA,Both,fairly common,Light & Smith,low,sandy shores; but I've seen them in RIZ!,solitary,mobile,NA,carnivore (scavenger + predator),generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,452220,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Eumalacostraca,NA,NA,Eucarida,Cancroidea,Crustacea,Cancrinae,Multicrustacea,Pleocyemata,Brachyura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eubrachyura,Heterotremata,NA,NA
101,Triakis semifasciata,adult,Cancer,genus,"Elkhorn Slough, Monterey Bay",551,Cancer jordani,NA,true crab,hairy cancer crab,NA,NA,adult,NA,Both,uncommon,"Morris, Abbott, & Haderlie; Light & Smith",low,under rocks,solitary,mobile,NA,carnivore (scavenger + predator),generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,452249,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Eumalacostraca,NA,NA,Eucarida,Cancroidea,Crustacea,Cancrinae,Multicrustacea,Pleocyemata,Brachyura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eubrachyura,Heterotremata,NA,NA
101,Triakis semifasciata,adult,Cancer,genus,"Elkhorn Slough, Monterey Bay",553,Cancer oregonensis,NA,true crab,Oregon cancer crab,NA,NA,adult,NA,Both,uncommon,"Morris, Abbott, & Haderlie; Light & Smith",low,under rocks or in crevices and holes,solitary,mobile,"""barnacles, polychaete worms, smaller crustaceans, incidental algae""",typical predator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,2,NA,NA,NA,NA,NA,NA,582152,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Eumalacostraca,NA,NA,Eucarida,Cancroidea,Crustacea,Cancrinae,Multicrustacea,Pleocyemata,Brachyura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eubrachyura,Heterotremata,NA,NA
101,Triakis semifasciata,adult,Cancer,genus,"Elkhorn Slough, Monterey Bay",554,Cancer productus,NA,true crab,red crab,juvenile,NA,juvenile,NA,Both,uncommon,"Morris, Abbott, & Haderlie; Light & Smith",low,"more common in bays and estuaries, buried in sand under rocks",solitary,mobile,"""any animal matter"", ""barnacles, small living crabs, dead fishes""",carnivore (scavenger + predator),generalist,"Scorpaena guttata, Paralabrax nebulifer, Paralabrax clathratus",NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,3,fix,NA,NA,NA,NA,NA,440382,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Eumalacostraca,NA,NA,Eucarida,Cancroidea,Crustacea,Cancrinae,Multicrustacea,Pleocyemata,Brachyura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eubrachyura,Heterotremata,NA,NA
101,Triakis semifasciata,adult,Cancer,genus,"Elkhorn Slough, Monterey Bay",555,Cancer productus,NA,true crab,red crab,adult,NA,adult,NA,Both,uncommon,"Morris, Abbott, & Haderlie; Light & Smith",low,"more common in bays and estuaries, buried in sand under rocks",solitary,mobile,"""any animal matter"", ""barnacles, small living crabs, dead fishes""; Leukoma staminea",carnivore (scavenger + predator),generalist,humans,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,3,fix,NA,NA,NA,NA,NA,440382,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Eumalacostraca,NA,NA,Eucarida,Cancroidea,Crustacea,Cancrinae,Multicrustacea,Pleocyemata,Brachyura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eubrachyura,Heterotremata,NA,NA
101,Triakis semifasciata,adult,Nereis,genus,"Elkhorn Slough, Monterey Bay",1596,Nereis eakini,NA,polychaete,NA,NA,Central California,adult,NA,N,present,Light & Smith,all,known only from central California in intertidal rocky habitats,solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,1037493,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Errantia,NA,NA,NA,NA,NA,Nereidinae,NA,Nereidiformia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,Triakis semifasciata,adult,Nereis,genus,"Elkhorn Slough, Monterey Bay",429,Nereis grubei,NA,polychaete,nereid,NA,NA,adult,NA,Both,common,"Morris, Abbott, & Haderlie",middle to low,"mucus tubes in algae fronds, holdfasts, and mussel beds",solitary,mobile,"""variety of algae, small crustaceans, bryozoans, sponges"", detritus",omnivore,generalist,NA,NA,NA,NA,NA,NA,NA,attaches to plant it eats usually,Taxonomic,Species,NA,NA,NA,NA,NA,NA,middle,334186,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Errantia,NA,NA,NA,NA,NA,Nereidinae,NA,Nereidiformia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,Triakis semifasciata,adult,Nereis,genus,"Elkhorn Slough, Monterey Bay",1597,Nereis latescens,NA,polychaete,NA,NA,Columbia River to Point Conception,adult,NA,N,common,Light & Smith,all,common in algal holdfasts and among rocks and debris,solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,329673,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Errantia,NA,NA,NA,NA,NA,Nereidinae,NA,Nereidiformia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
