resourceNum,resourceName,resourceCat,resourceStage,consumerNum,consumerName,consumerCat,consumerStage,interaction.type,confidence,justification,incl.code,ref_num,localities,zone,pools_exposed_interstitial,MorrisHaderlie,epibiota_consumed,notes,link.ID
609,Protohyale (Protohyale) frequens,gammarid,1,984,Crangon handi,shrimp,1,1,1,3,1,251,NA,all,pools,NA,yes,NA,3849
190,Fissurella volcano,limpet,1,2,Gibbonsia elegans,fish,1,1,NA,3,1,7,Los Angeles,NA,pools,NA,NA,NA,27
190,Fissurella volcano,limpet,1,150,Pisaster ochraceus,asteroid,1,1,NA,3,1,MAH,NA,low,pools,y,NA,NA,190
190,Fissurella volcano,limpet,1,15,Clinocottus analis,fish,1,1,NA,3,1,154,Mexico,NA,NA,NA,NA,NA,505
736,Lottia conus,true limpet,1,2,Gibbonsia elegans,fish,1,1,NA,3,1,7,Los Angeles,NA,pools,NA,NA,NA,28
1286,Gammaropsis thompsoni,gammarid,1,1,Gibbonsia metzi,fish,1,1,NA,3,1,7,Los Angeles,NA,pools,NA,NA,NA,30
1286,Gammaropsis thompsoni,gammarid,1,2087,Gibbonsia montereyensis,fish,1,1,3,10,1,7; 362,Los Angeles,low,pools,NA,yes,"termed a ""gammarid feeder"" - assigned these links based on G. elegans and G. metzi",11201
501,Ampithoe plumulosa,gammarid,1,1,Gibbonsia metzi,fish,1,1,NA,6,1,7,Los Angeles,NA,pools,NA,NA,NA,32
501,Ampithoe plumulosa,gammarid,1,2086,Enophrys bison,fish,1,1,3,6,2,361,mudflat in Northern California,low,pools,NA,yes,NA,11163
501,Ampithoe plumulosa,gammarid,1,2087,Gibbonsia montereyensis,fish,1,1,3,10,1,7; 362,Los Angeles,low,pools,NA,yes,"termed a ""gammarid feeder"" - assigned these links based on G. elegans and G. metzi",11203
501,Ampithoe plumulosa,gammarid,1,19,Gobiesox maeandricus,fish,1,1,NA,6,1,155,"CA, USA",NA,NA,NA,NA,NA,523
489,Pentidotea aculeata,isopod,1,1,Gibbonsia metzi,fish,1,1,NA,3,1,7,Los Angeles,NA,pools,NA,NA,NA,34
489,Pentidotea aculeata,isopod,1,1,Gibbonsia metzi,fish,1,1,NA,3,1,MAH,NA,low,pools,y,y,NA,933
489,Pentidotea aculeata,isopod,1,1,Gibbonsia metzi,fish,1,1,NA,3,1,MAH,NA,low,pools,y,y,NA,935
489,Pentidotea aculeata,isopod,1,6,Micrometrus minimus,fish,1,1,NA,3,1,7,NA,NA,NA,NA,NA,NA,96
515,Heptacarpus paludicola,shrimp,1,1,Gibbonsia metzi,fish,1,1,NA,3,1,7,Los Angeles,NA,pools,NA,NA,NA,36
515,Heptacarpus paludicola,shrimp,1,11,Artedius fenestralis,fish,1,1,2,6,1,72; 355,Central CA,all,pools,NA,yes,"all online sources say ""fish and shrimp""",11002
515,Heptacarpus paludicola,shrimp,1,2077,Artedius harringtoni,fish,1,1,3,6,2,353,"Puget Sound, WA",low,pools,NA,yes,NA,10791
515,Heptacarpus paludicola,shrimp,1,2078,Artedius lateralis,fish,1,1,2,6,1,72,Central CA,all,pools,NA,yes,NA,10925
515,Heptacarpus paludicola,shrimp,1,15,Clinocottus analis,fish,1,1,2,6,1,72,Central CA,all,pools,NA,yes,NA,10846
515,Heptacarpus paludicola,shrimp,1,2093,Oligocottus rubellio,fish,1,1,4,6,1,72,Central CA,all,pools,NA,yes,NA,11215
515,Heptacarpus paludicola,shrimp,1,2094,Oligocottus snyderi,fish,1,1,2,6,1,72,Central CA,all,pools,NA,yes,NA,10889
515,Heptacarpus paludicola,shrimp,1,2095,Oligocottus spp.,fish,1,1,3,6,1,72,Central CA,all,pools,NA,yes,NA,10957
515,Heptacarpus paludicola,shrimp,1,693,opecolid_metacercaria_3,trematode,5,6,NA,1,6,diss_194,Arroyo Hondo,middle,pools,n,n,NA,10247
515,Heptacarpus paludicola,shrimp,1,697,metacercaria_6,trematode,5,6,NA,1,6,diss_195,Shell Beach,middle,pools,n,n,NA,10248
524,Pagurus samuelis,hermit crab,1,2,Gibbonsia elegans,fish,1,1,NA,3,1,MAH,NA,all,pools,y,y,NA,945
524,Pagurus samuelis,hermit crab,1,2,Gibbonsia elegans,fish,1,1,2,6,1,RIZ Lit Search: 7,Los Angeles,all,pools,y,y,NA,10197
524,Pagurus samuelis,hermit crab,1,1,Gibbonsia metzi,fish,1,1,NA,3,1,7,Los Angeles,NA,pools,NA,NA,NA,37
524,Pagurus samuelis,hermit crab,1,1,Gibbonsia metzi,fish,1,1,NA,3,1,MAH,NA,all,pools,y,y,NA,946
524,Pagurus samuelis,hermit crab,1,549,Cancer antennaria,true crab,1,1,NA,3,1,MAH,NA,low,pools,y,n,NA,970
524,Pagurus samuelis,hermit crab,1,549,Cancer antennaria,true crab,1,1,NA,6,1,"Morris, Abbott, & Haderlie; Light & Smith",NA,low,pools,NA,yes,NA,2892
524,Pagurus samuelis,hermit crab,1,566,Pachygrapsus crassipes,true crab,1,1,NA,6,1,"Morris, Abbott, & Haderlie; Light & Smith",NA,all,pools,NA,yes,NA,3440
524,Pagurus samuelis,hermit crab,1,418,Octopus bimaculoides,octopus,1,1,NA,6,1,157,"CA, USA",NA,NA,NA,NA,NA,538
524,Pagurus samuelis,hermit crab,1,418,Octopus bimaculoides,octopus,1,1,NA,6,1,MAH,NA,low,pools,y,yes,NA,827
524,Pagurus samuelis,hermit crab,1,418,Octopus bimaculoides,octopus,1,1,NA,6,1,"Morris, Abbott, & Haderlie; Light & Smith",NA,middle to low,pools,NA,yes,NA,2885
524,Pagurus samuelis,hermit crab,1,635,Celleporella hyalina,bryozoan,1,2,NA,6,1,LSM,NA,all,pools,n,NA,NA,733
524,Pagurus samuelis,hermit crab,1,261,Crepidula perforans,slipper snail,1,9,NA,3,1,MAH,NA,high,pools,y,NA,unsure of interaction.type,374
524,Pagurus samuelis,hermit crab,1,2078,Artedius lateralis,fish,1,1,2,6,1,72,Central CA,all,pools,NA,yes,NA,10936
524,Pagurus samuelis,hermit crab,1,15,Clinocottus analis,fish,1,1,2,6,1,72,Central CA,all,pools,NA,yes,NA,10857
524,Pagurus samuelis,hermit crab,1,2093,Oligocottus rubellio,fish,1,1,4,6,1,72,Central CA,all,pools,NA,yes,NA,11226
524,Pagurus samuelis,hermit crab,1,2094,Oligocottus snyderi,fish,1,1,2,6,1,72,Central CA,all,pools,NA,yes,NA,10900
524,Pagurus samuelis,hermit crab,1,2095,Oligocottus spp.,fish,1,1,3,6,1,72,Central CA,all,pools,NA,yes,NA,10968
524,Pagurus samuelis,hermit crab,1,710,Phanerodon vacca,fish,1,1,NA,3,1,MAH,NA,all,pools,y,y,NA,943
524,Pagurus samuelis,hermit crab,1,710,Phanerodon vacca,fish,1,1,NA,6,1,"Morris, Abbott,, Haderlie",NA,low,pools,NA,yes,NA,3449
524,Pagurus samuelis,hermit crab,1,473,Peltogasterella gracilis,parasitic barnacle,1,4,NA,3,1,MAH,NA,low,pools,y,NA,NA,922
524,Pagurus samuelis,hermit crab,1,473,Peltogasterella gracilis,parasitic barnacle,1,6,NA,1,1,diss_35,Ellwood Boulderfield,high,pools,n,n,NA,10232
524,Pagurus samuelis,hermit crab,1,473,Peltogasterella gracilis,parasitic barnacle,1,6,NA,1,1,diss_65,Cambria,high,pools,n,n,NA,10233
524,Pagurus samuelis,hermit crab,1,473,Peltogasterella gracilis,parasitic barnacle,1,6,NA,1,1,diss_67,Cambria,high,pools,n,n,NA,10234
524,Pagurus samuelis,hermit crab,1,473,Peltogasterella gracilis,parasitic barnacle,1,6,NA,1,1,diss_201; diss_202; diss_35,Ellwood Boulder Fields,all,pools,n,n,NA,10254
524,Pagurus samuelis,hermit crab,1,473,Peltogasterella gracilis,parasitic barnacle,1,6,NA,1,1,diss_205; diss_65; diss_67,Jalama,all,pools,n,n,NA,10256
524,Pagurus samuelis,hermit crab,1,684,trypanorhynch_1,cestode,4,6,NA,1,6,diss_7,Ellwood Boulderfield,high,pools,n,n,NA,10228
524,Pagurus samuelis,hermit crab,1,685,nematode_1,nematode,4,6,NA,1,6,diss_17,Ellwood Boulderfield,high,pools,n,n,NA,10229
524,Pagurus samuelis,hermit crab,1,686,nematode_2,nematode,4,6,NA,1,6,diss_18,VSFB,high,pools,n,n,NA,10230
524,Pagurus samuelis,hermit crab,1,688,nematode_4,nematode,4,6,NA,1,6,diss_23,VSFB,high,pools,n,n,NA,10231
543,Mimulus foliatus,true crab,1,1,Gibbonsia metzi,fish,1,1,NA,3,1,7,Los Angeles,NA,pools,NA,NA,NA,38
543,Mimulus foliatus,true crab,1,1,Gibbonsia metzi,fish,1,1,NA,3,1,MAH,NA,very low,pools,y,y,NA,967
543,Mimulus foliatus,true crab,1,2097,Scorpaenichthys marmoratus,fish,1,1,2,6,1,355; 357,Southern California,low,pools,NA,yes,NA,11265
540,Pugettia gracilis,true crab,1,1,Gibbonsia metzi,fish,1,1,NA,3,1,7,Los Angeles,NA,pools,NA,NA,NA,39
540,Pugettia gracilis,true crab,1,419,Octopus rubescens,octopus,1,1,2,3,2,325,"Puget Sound, WA",low,pools,no,yes,NA,10345
540,Pugettia gracilis,true crab,1,2097,Scorpaenichthys marmoratus,fish,1,1,2,6,1,355; 357,Southern California,low,pools,NA,yes,NA,11268
540,Pugettia gracilis,true crab,1,15,Clinocottus analis,fish,1,1,NA,3,1,8,"Los Angeles County, CA",NA,NA,NA,NA,NA,152
540,Pugettia gracilis,true crab,1,19,Gobiesox maeandricus,fish,1,1,NA,3,1,258,NA,low,NA,no,NA,NA,2238
2,Gibbonsia elegans,fish,1,2106,Sphaeromyxa gibbonsia,myxozoan,1,24,NA,3,1,8,NA,NA,NA,NA,NA,NA,41
2,Gibbonsia elegans,fish,1,2106,Sphaeromyxa gibbonsia,myxozoan,1,6,NA,3,1,205,NA,NA,NA,no,NA,NA,2109
2,Gibbonsia elegans,fish,1,763,Podocotyle gibbonsia,trematode,1,6,NA,3,1,9,NA,NA,NA,NA,NA,NA,42
2,Gibbonsia elegans,fish,1,763,Podocotyle gibbonsia,trematode,1,6,1,3,1,205,NA,all,pools,NA,no,NA,3896
2,Gibbonsia elegans,fish,1,760,Sphaerospora sphaerula,myxozoan,6,6,NA,3,1,205,NA,NA,NA,no,NA,NA,2107
2,Gibbonsia elegans,fish,1,2117,Helicometrina nimia,trematode,1,6,NA,3,1,205,NA,NA,NA,no,NA,NA,2196
2,Gibbonsia elegans,fish,1,2122,Helicometrina elongata,trematode,1,6,NA,3,1,205,NA,NA,NA,no,NA,NA,2106
2,Gibbonsia elegans,fish,1,2152,Ceratomyxa blennius,myxozoan,1,6,NA,3,1,205,NA,NA,NA,no,NA,NA,1989
2,Gibbonsia elegans,fish,1,2148,Ceratomyxa noblei,myxozoan,1,6,NA,3,1,205,NA,NA,NA,no,NA,NA,2108
2,Gibbonsia elegans,fish,1,2154,Trilospora californica,myxozoan,1,6,NA,3,1,205,NA,NA,NA,no,NA,NA,2110
1,Gibbonsia metzi,fish,1,2106,Sphaeromyxa gibbonsia,myxozoan,1,6,NA,3,1,205,NA,NA,NA,no,NA,NA,2115
1,Gibbonsia metzi,fish,1,760,Sphaerospora sphaerula,myxozoan,6,24,NA,3,1,8,NA,NA,NA,NA,NA,reported as Leptotheca,43
1,Gibbonsia metzi,fish,1,760,Sphaerospora sphaerula,myxozoan,6,6,NA,3,1,205,NA,NA,NA,no,NA,NA,2113
1,Gibbonsia metzi,fish,1,2122,Helicometrina elongata,trematode,1,6,1,3,1,205,NA,all,pools,NA,no,NA,3900
1,Gibbonsia metzi,fish,1,2122,Helicometrina elongata,trematode,1,6,NA,3,1,205,NA,NA,NA,no,NA,NA,2112
1,Gibbonsia metzi,fish,1,2104,Ceratomyxa gracilis,myxozoan,1,6,NA,3,1,205,NA,NA,NA,no,NA,NA,2003
1,Gibbonsia metzi,fish,1,2152,Ceratomyxa blennius,myxozoan,1,6,NA,3,1,205,NA,NA,NA,no,NA,NA,2002
1,Gibbonsia metzi,fish,1,2148,Ceratomyxa noblei,myxozoan,1,6,NA,3,1,205,NA,NA,NA,no,NA,NA,2114
1,Gibbonsia metzi,fish,1,2154,Trilospora californica,myxozoan,1,6,NA,3,1,205,NA,NA,NA,no,NA,NA,2116
1,Gibbonsia metzi,fish,1,2270,Pseudopecoelus gibbonsiae,trematode,1,6,NA,3,1,205,NA,NA,NA,no,NA,NA,2111
101,Anthopleura elegantissima,anemone,1,143,Dermasterias imbricata,asteroid,1,1,NA,3,1,6,NA,NA,NA,NA,NA,NA,44
101,Anthopleura elegantissima,anemone,1,143,Dermasterias imbricata,asteroid,1,1,NA,3,1,14,NA,NA,NA,NA,NA,NA,54
101,Anthopleura elegantissima,anemone,1,143,Dermasterias imbricata,asteroid,1,1,NA,3,1,MAH,NA,NA,pools,y,NA,NA,135
101,Anthopleura elegantissima,anemone,1,143,Dermasterias imbricata,asteroid,1,1,NA,3,1,14,NA,NA,NA,no,NA,NA,1776
101,Anthopleura elegantissima,anemone,1,358,Aeolidia loui,nudibranch,1,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,45
101,Anthopleura elegantissima,anemone,1,358,Aeolidia loui,nudibranch,1,3,NA,3,1,"MAH, 162","CA, USA",NA,NA,NA,NA,NA,708
101,Anthopleura elegantissima,anemone,1,358,Aeolidia loui,nudibranch,1,3,NA,10,1,"MAH, 113",Santa Barbara,low,pools,y,NA,Aeolidia papillosa becomes Aeolidia loui S of Washington,366
101,Anthopleura elegantissima,anemone,1,358,Aeolidia loui,nudibranch,1,3,NA,3,1,4,NA,NA,NA,no,NA,NA,1771
101,Anthopleura elegantissima,anemone,1,358,Aeolidia loui,nudibranch,1,3,NA,3,1,175,NA,NA,NA,no,NA,NA,1845
101,Anthopleura elegantissima,anemone,1,358,Aeolidia loui,nudibranch,1,3,NA,3,1,"Kienberger et al, 2016; Morris, Abbott, & Haderlie",NA,low,NA,yes,NA,NA,2446
101,Anthopleura elegantissima,anemone,1,560,Hermissenda crassicornis,nudibranch,1,1,NA,3,1,Light & Smith,NA,low,NA,no,NA,NA,2486
101,Anthopleura elegantissima,anemone,1,253,Epitonium tinctum,snail,1,3,NA,3,1,"MAH, 113",Santa Barbara,low,pools,y,NA,NA,363
101,Anthopleura elegantissima,anemone,1,253,Epitonium tinctum,snail,1,3,NA,3,1,"Morris, Abbott, & Haderlie; Light & Smith",NA,high,NA,yes,NA,NA,2380
101,Anthopleura elegantissima,anemone,1,254,Opalia wroblewskyi,snail,1,3,NA,3,1,"MAH, 113",Santa Barbara,low,pools,y,NA,NA,364
101,Anthopleura elegantissima,anemone,1,254,Opalia wroblewskyi,snail,1,3,NA,3,1,"Morris, Abbott, & Haderlie; Light & Smith",NA,high,NA,yes,NA,NA,2381
101,Anthopleura elegantissima,anemone,1,255,Opalia funiculata,snail,1,3,NA,3,1,"MAH, 113",Santa Barbara,low,pools,y,NA,NA,365
101,Anthopleura elegantissima,anemone,1,255,Opalia funiculata,snail,1,3,NA,3,1,iNaturalist: https://www.inaturalist.org/observations?user_id=cbates1,NA,NA,NA,no,NA,NA,2382
101,Anthopleura elegantissima,anemone,1,569,Pycnogonum stearnsi,sea spider,1,3,NA,3,1,"MAH, 113",Santa Barbara,low,pools,y,NA,NA,367
101,Anthopleura elegantissima,anemone,1,569,Pycnogonum stearnsi,sea spider,1,27,NA,3,1,"Morris, Abbott, & Haderlie; Light & Smith",NA,middle to low,pools,yes,no,NA,2561
300,Aplysia californica,sea hare,1,99,Anthopleura xanthogrammica,anemone,1,1,NA,3,1,2,NA,NA,NA,NA,NA,"aplysia had wrong # (40), fixed",47
300,Aplysia californica,sea hare,1,1120,Anthessius lighti,copepod,1,7,NA,3,1,Light & Smith,NA,low,pools,no,no,NA,2603
300,Aplysia californica,sea hare,1,1120,Anthessius lighti,copepod,1,7,1,3,1,134,NA,low,NA,no,NA,NA,1838
495,Colidotea rostrata,isopod,1,3,Hypsoblennius gilberti,fish,1,1,NA,3,1,10,NA,low,NA,no,NA,NA,1773
495,Colidotea rostrata,isopod,1,15,Clinocottus analis,fish,1,1,NA,3,1,10,NA,NA,NA,NA,NA,NA,50
495,Colidotea rostrata,isopod,1,15,Clinocottus analis,fish,1,1,NA,3,1,10,NA,low,NA,no,NA,NA,1772
495,Colidotea rostrata,isopod,1,4,Amphistichus koelzi,fish,1,1,NA,3,1,10,NA,NA,NA,NA,NA,NA,49
3,Hypsoblennius gilberti,fish,1,418,Octopus bimaculoides,octopus,1,1,NA,3,1,MAH,NA,low,pools,y,yes,NA,832
3,Hypsoblennius gilberti,fish,1,418,Octopus bimaculoides,octopus,1,1,NA,3,1,"Morris, Abbott, & Haderlie; Light & Smith",NA,middle to low,NA,yes,NA,NA,2464
3,Hypsoblennius gilberti,fish,1,747,Hypsoblennius gentilis,fish,1,20,NA,3,1,12,NA,NA,NA,no,NA,NA,1775
3,Hypsoblennius gilberti,fish,1,4,Amphistichus koelzi,fish,1,9,NA,3,1,NA,NA,NA,NA,NA,NA,NA,52
3,Hypsoblennius gilberti,fish,1,583,Amyloodinium ocellatum,dinoflagellate,1,7,NA,3,1,11,NA,NA,NA,NA,NA,NA,51
3,Hypsoblennius gilberti,fish,1,10,Hypsoblennius jenkinsi,fish,1,20,NA,3,1,12,NA,NA,NA,no,NA,NA,1774
3,Hypsoblennius gilberti,fish,1,2104,Ceratomyxa gracilis,myxozoan,1,6,NA,3,1,74,NA,NA,NA,no,NA,NA,1792
3,Hypsoblennius gilberti,fish,1,2152,Ceratomyxa blennius,myxozoan,1,6,NA,3,1,205,NA,NA,NA,no,NA,NA,2134
109,Corynactis californica,anemone,1,143,Dermasterias imbricata,asteroid,1,1,NA,3,1,14,NA,NA,NA,NA,NA,NA,53
109,Corynactis californica,anemone,1,143,Dermasterias imbricata,asteroid,1,1,NA,3,1,14,NA,low,NA,no,NA,NA,1777
109,Corynactis californica,anemone,1,232,Calliostoma ligatum,topsnail,1,3,1,3,1,274,NA,low,both,NA,yes,NA,3963
109,Corynactis californica,anemone,1,358,Aeolidia loui,nudibranch,1,3,NA,3,1,162,"CA, USA",NA,NA,NA,NA,NA,701
109,Corynactis californica,anemone,1,359,Anteaeolidiella oliviae,nudibranch,1,3,NA,3,1,MAH,NA,low,pools,y,yes,not sure if micropredator or not,761
109,Corynactis californica,anemone,1,230,Calliostoma annulatum,topsnail,1,1,NA,3,1,MAH,NA,NA,NA,NA,NA,NA,314
109,Corynactis californica,anemone,1,230,Calliostoma annulatum,topsnail,1,3,1,3,1,274,NA,low,both,NA,yes,NA,3960
109,Corynactis californica,anemone,1,230,Calliostoma annulatum,topsnail,1,1,NA,3,1,"Morris, Abbott, & Haderlie; Light & Smith",NA,low,NA,yes,NA,NA,2368
109,Corynactis californica,anemone,1,231,Calliostoma canaliculatum,topsnail,1,3,1,3,1,274,NA,very low,both,NA,yes,NA,3961
109,Corynactis californica,anemone,1,1955,Aeolidiella oliviae,nudibranch,1,3,NA,3,1,Light & Smith,NA,all,NA,no,NA,NA,2559
109,Corynactis californica,anemone,1,233,Calliostoma gemmulatum,topsnail,1,3,1,3,1,274,NA,low,both,NA,yes,NA,3962
146,Solaster dawsoni,asteroid,1,143,Dermasterias imbricata,asteroid,1,9,NA,3,1,17,NA,NA,NA,NA,NA,NA,57
146,Solaster dawsoni,asteroid,1,424,Arctonoe vittata,scale worm,1,9,NA,3,1,41,NA,NA,NA,NA,NA,NA,92
146,Solaster dawsoni,asteroid,1,422,Arctonoe fragilis,scale worm,1,10,NA,3,1,MAH,NA,low,both,y,NA,NA,864
157,Pachythyone rubra,cucumber,1,143,Dermasterias imbricata,asteroid,1,1,NA,3,1,18,NA,NA,NA,NA,NA,NA,58
795,Tubulipora aliciae,bryozoan,1,145,Henricia leviuscula,asteroid,1,3,2,6,1,20,NA,low,pools,NA,y,NA,59
795,Tubulipora aliciae,bryozoan,1,428,Oxydromus pugettensis,polychaete,1,3,2,6,1,RIZ Lit Search: 20,NA,low,pools,y,y,copied from Patiria diet reports,881
