reference_number,title,author,year,link_or_doi
117,"Metagenomic next-generation sequencing reveals miamiensis avidus (ciliophora: scuticociliatida) in the 2017 epizootic of leopard sharks (triakis semifasciata) in san francisco bay, california, usa",Hanna Retallack;  Mark S. Okihiro;  Elliot Britton;  Sean Van Sommeran;  Joseph L. DeRisi,2019,NA
118,"Observations on the ectoparasites of elasmobranchs in san francisco bay, california",Ronald A. Russo,2013,NA
119,Effects of prey size and mobility on prey-capture kinematics in leopard sharks triakis semifasciata,LARA A. FERRY-GRAHAM*,1998,NA
120,"Elevated body temperatures of adult female leopard sharks, triakis semifasciata, while aggregating in shallow nearshore embayments: evidence for behavioral thermoregulation?",Barbara V.HightChristopher G.Lowe,2007,NA
121,California's living marine resources: a status report (2001),"W.S. Leet, et al.",2001,NA
122,"Reproduction, diet and habitat use of leopard sharks, triakis semifasciata (girard), in humboldt bay, california, usa","David A. EbertA,C and Thomas B. EbertB",2005,NA
123,Relative importance of growth and behaviour to elasmobranch suction-feeding performance over early ontogeny,Dayv Lowry Philip J Motta,2007,NA
124,Variations in gastric acid secretion during periods of fasting betweentwo species of shark,"
Yannis P. PapastamatiouChristopher G. Lowe",2005,NA
125,Chapter four - diet composition and trophic ecology of northeast pacific ocean sharks,Joseph J.Bizzarro*Aaron B.Carlisle†Wade D.Smith‡EnricCortés§,2017,NA
126,Novel chlamydiales associated with epitheliocystis in a leopard shark triakis semifasciata,"A. Polkinghorne1,5, H. Schmidt-Posthaus2, A. Meijer3, A. Lehner4, L. Vaughan1,*",2010,NA
127,Feeding and food preferences of the muricid gastropod ceratostoma foliatum,Kent,1981,NA
128,Specialized feeding in mitrid gastropods - evidence from a temperate species mitra idae,Fukuyama and Nybakken,1983,NA
129,A qualitative assessment of sponge-feeding organisms from the mexican pacific coast,"Verdín Padilla C.J.*, Carballo J.L. and Camacho M.L.",2010,NA
130,"Development of tylodina fungina gabb, 1865 (gastropoda: notaspidea) from the pacific coast of panama",RACHEL COLLIN,2008,NA
131,Chemical defense and evolutionary ecology of dorid nudibranchs and some other opisthobranch gastropods,John Faulknerl and Michael T. Ghiselin,1983,NA
132,Exudation of biologically-active metabolites in the sponge aplysina fistularis,J. E. Thompson,1985,NA
133,"Aplysia vaccaria, a new host for the pinnotherid crab opisthopus transversus",Anthon Craig Beonde,1968,NA
134,Copepods of the genus anthessius from the northeastern pacfic ocean,Illg,1960,NA
135,Berthella (opisthobranchia: pleurobranchidae) from the northeast pacific ocean prey on plakinid sponges (homoscleromorpha: plakinidae),JEFFREY H. R. GODDARD,2007,NA
136,"Impacts associated with the recent range shift of the aeolid nudibranch phidiana hiltoni (mollusca, opisthobranchia) in california","Jeffrey H. R. Goddard, Terrence M. Gosliner, John S. Pearse",NA,NA
137,Geographic variation in the diet of opaleye (girella nigricans) with respect to temperature and habitat,"Michael D. Behrens1¤, Kevin D. Lafferty2*",2012,NA
138,"Day versus night activity of reef fishes in a kelp forest off santa barbara, california","ALFRED W. EBELING, RICHARD N. BRAY",1976,NA
139,"Cleaning and scale-eating in juveniles of the kyphosid fishes, hermosilla azurea and girella nigricans",E. E. DEMARTINI AND JAMES A. COYER,1981,NA
140,"Diet, food preference, and algal availability for fishes and crabs on intertidal reef communities in southerncalifornia",James P. Barry’ & Michael J. Ehret*,1993,NA
141,Temperature and diet effects on omnivorous fish performance: implications for the latitudinal diversity gradient in herbivorous fishes,"Michael D. Behrens, Kevin D. Lafferty",2007,NA
142,Activity pattern as a mechanism of predator avoidance in two species of acmaeid limpet,Raymond A.Wells1,1980,NA
143,Predator-prey functional responses and predation by staghorn sculpins (leptocottus armatus) on chum salmon fry (oncorhynchus keta),"Mace, Pamela M.",1983,NA
144,Community composition and diet of fishes as a function of tidal channel geomorphology,"Tammie A. Visintainer1, 4,*, Stephen M. Bollens2, Charles Simenstad10",2006,NA
145,Integrating spatial and temporal variability into the analysis of fish food web linkages in tijuana estuary,"Janelle M. West, Gregory D. Williams, Sharook P. Madon, Joy B. Zedler",2003,NA
146,Siphon nipping: its importance to small fishes and its impact on growth of the bivalve protothaca staminea (conrad),Charles H.PetersonMillicent L.Quammen,1982,NA
147,A survey of the helminth parasites of leptocottus armatus armatus girard,"Dunlap, Delpha Deane",1951,NA
148,Predation on a burrowing shrimp: distribution and community consequences,Martin H.Posey,1986,NA
149,The importance of seahorses and pipefishes in the diet of marine animals,D. Kleiber • L. K. Blight • I. R. Caldwell • A. C. J. Vincent,2011,NA
150,"Relationships of the blue shark, prionace glauca, and its prey species near santa catalina island, california",TIMOTHY C. TRICAS,1979,NA
151,A shallow-diving seabird predator as an indicator of prey availability in southern california waters: a longitudinal study,M.H.HornC.D.Whitcombe,2015,NA
152,"Dietary and stable isotope analyses reveal the role of kelp pipefish (syngnathus californiensis), a presumed cryptic prey, in the diet of the elegant tern (thalasseus elegans) in southern california waters","Whitcombe, Cassandra D.",2014,NA
153,Ontogeny of feeding morphology and kinematics in juvenile fishes: a case study of the cottid fish clinocottus analis,AMY COOK,1961,NA
154,"Feeding of the woolly sculpin, clinocottus analis (pisces: cottidae), in todos santos bay, baja california, mexico",Gorgonio Ruiz-Campos and M. Gregory Hammann,1991,NA
155,"Notes on the intertidal life history of the northern clingfish, gobiesox maeandricus (girard",Clifford Ray Johnson,1970,NA
156,"Response of newly hatched octopus bimaculoides fed enriched artemia salina: growth performance, ontogeny of the digestive enzyme and tissue amino acid content",YesikaSolorzanoaMaría TeresaVianabLus M.LópezcJuan GabrielCorreabConal C.TruecCarlosRosasd,2009,NA
157,"Food preferences, prey availability, and the diet of octopus bimaculatus verrill",Richard F.Ambrose,1984,NA
159,Shelter utilization by the molluscan cephalopod octopus bimaculatus,Richard F. Ambrose,1982,NA
160,Sponge prey of chromodoris macfarlandi,Jeff Goddard,2000,NA
162,Additional notes on the food of some california nudibranchs with a summary of known food habits of california species,McDonald and Nybakken,1978,NA
163,Studies on the food of nudibranchs,McBeth,1971,NA
164,"Diet of octopus bimaculatus verril, 1883 (cephalopoda: octopodidae) in bahía de los ángeles, gulf of california","
Elisa Jeanneht Armendáriz Villegas, Bertha Patricia Ceballos-Vázquez, Unai Markaida, Andrés Abitia-Cárdenas, Marco Antonio Medina-López, Marcial Arellano-Martínez",1883,NA
165,"Range extension and notes on the food, morphology, and color pattern of the dorid nudibranch hallaxa chani",Jeff Goddard,1981,NA
166,Midden formation by octopuses: the role of biotic and abiotic factors,Richard F. Ambrose,1983,NA
169,"Aggregata polibraxionan. sp. (Apicomplexa: aggregatidae) from octopus bimaculatus verrill, 1883 (mollusca: cephalopoda) from the gulf of california, mexico","
Graciela Esmeralda Colunga-RamírezAndrés Martínez-AquinoCarlos Alberto Flores-LópezCamino GestalCarlos AzevedoSheila Castellanos-Martínez",2021,NA
170,"Protocol for removal of the marine leech stibarobdella moorei (oka, 1910) from the two-spotted octopus, octopus bimaculatus (verril, 1883)","Diana J. López-Peraza, Mónica Hernández-Rodríguez, Benjamín Barón-Sevilla",2018,NA
171,"Octopus bimaculoides (pickford & mcconnaughey, 1949): a marine invertebrate host for ectoparasitic protozoans","J. W. FORSYTHE, R. T. HANLON, R. A. BULLIS, E. J. NOGA,",1991,NA
172,The predator-prey relationship between the octopus (octopus bimaculatus) and the california scorpionfish (scorpaena guttata)!,PETER B. TAYLOR2 and LO-CHAI CHEN3,1969,NA
173,Effects of octopus predation on motile invertebrates in a rocky subtidal community,Richard F. Ambrose*,1986,NA
174,Systematic revision of colonial kamptozoans (entoprocts) of the pacific coast,Wasson,1997,NA
175,"Benthic heterobranch sea slugs (gastropoda: heterobranchia) from santa barbara county, california i. Review of the literature, and naples point, 2002-2021",Goddard et al,2020,NA
175,"Benthic heterobranch sea slugs (gastropoda: heterobranchia) from santa barbara county, california i. Review of the literature, and naples point, 2002-2019",Goddard et al,2020,NA
175,"Benthic heterobranch sea slugs (gastropoda: heterobranchia) from santa barbara county, california i. Review of the literature, and naples point, 2002-2020",Goddard et al,2020,NA
175,"Benthic heterobranch sea slugs (gastropoda: heterobranchia) from santa barbara county, california i. Review of the literature, and naples point, 2002-2022",Goddard et al,2020,NA
176,Parasitic copepods of the pacific coast,Wilson,1935,NA
177,A pycnogonid infestation of mytilus californicus,"Benson, P. H.",1960,NA
178,The diet and feeding selectivity of the chiton stenoplax heathiana,Barry Folsom Putman,1990,NA
179,"Syncoelium vermilionensis sp. n., (hemiuroidea: syncoeliidae) and new records for members of azygiidae, ptychogonimidae, and syncoeliidae parasitizing elasmobranchs in the gulf of california",Curran and Overstreet,2000,NA
180,Experimental elucidation of the life cycle of rhinebothrium urobatidium (cestoda),Ralph Appy et al,2019,NA
181,Bacteria as food for temperate water marine sponges,Henry M. Reiswig,1975,NA
182,"Ecological aspects of tubularia crocea (agassiz, 1 8 6 2 ) and its nudibranch predators in elkhorn slough, california",John W. Cooper,1979,NA
183,"An annotated list of nudibranchs and their allies from santa barbara county, california","James R. Lance, 
Gale G. Sphon, Jr.",1968,NA
184,Local and latitudinal variation in predation on an herbivorous marine snail,MICHAEL H. FAWCETT,1984,NA
185,"Natural history, limiting factors and energetics of the opisthobranch navanax inermis",Robert T. Paine,1965,NA
186,Invasion resistance on rocky shores: direct and indirect effects of three native predators on an exotic and a native prey species,J.S. Shinen,2009,NA
187,Functional significance of shell sculpture in gastropod molluscs: test of a predator-deterrent hypothesis in ceratostoma foliatum (gmelin),"Deborah ADonovan, Jean Paul Danko, Thomas H Carefoot",1999,NA
189,Feeding behavior and diet of the long-billed curlew and willet,"Lyne E. Stenzel, Harriet R. Huber, Gary W. Page",1976,NA
190,"Stauromedusae of the genus manania (= thaumatoscyphus) (cnidaria, scyphozoa) in the northeast pacific, including descriptions of new species manania gwilliami and manania handi","Ronald J. Larson, Daphne G. Fautin",1988,NA
191,"Den associates of the giant pacific octopus, octopus dofleini (wulker)",E.B. Hartwick  & G. Thorarinsson,2012,NA
191,Diet of the stauromedusa haliclystus auricula from southern chile,Carolina J. Zagal,2004,NA
192,"Prey selection and foraging period of the predaceous rocky intertidal snail, acanthina punctulata",Jane Lubeheneo Menge,1974,NA
193,Function of the shell spine in the predaceous rocky intertidal snail acanthina spirata (prosobranchia: muricacea),D. M. Perry,1985,NA
194,Interindividual variation in prey selection by the snail nucella (= thais) emarginata1,Lani West,1986,NA
194,Interindividual variation in prey selection by the snail nucella (= thais) emarginata2,Lani West,1986,NA
194,Interindividual variation in prey selection by the snail nucella (= thais) emarginata6,Lani West,1986,NA
194,Interindividual variation in prey selection by the snail nucella (= thais) emarginata5,Lani West,1986,NA
194,Interindividual variation in prey selection by the snail nucella (= thais) emarginata7,Lani West,1986,NA
194,Interindividual variation in prey selection by the snail nucella (= thais) emarginata3,Lani West,1986,NA
194,Interindividual variation in prey selection by the snail nucella (= thais) emarginata4,Lani West,1986,NA
195,"Feeding habits of newly hatched juveniles of an intertidal predatory gastropod, nucella emarginata (deshayes)","Louis A.Gosselinab, Fu-Shiang Chiaab",1994,NA
196,"First record of stibarobdella moorei (annelida, hirudinea, piscicolidae) a marine leech parasitizing octopus bimaculatus (mollusca: octopodidae) from the mexican pacific coast","D. J. LÓPEZ-PERAZA1*, M. HERNÁNDEZ-RODRÍGUEZ2*, B. BARÓN-SEVILLA2, L. F. BÜCKLE-RAMÍREZ2, M. I. GRANO-MALDONADO1",2017,NA
196,Reduced parasite diversity and abundance in a marine whelk in its expanded geographical range,"Julie V. Hopper, Armand M. Kuris, Julio Lorda, Sara E. Simmonds, Crow White, Ryan F. Hechinger",2014,NA
197,"Feeding biology of oceriebra lurida (prosobranchia: muricacea): diet, predator-prey size relations, and attack behavior",A. Richard Palmer,1988,NA
198,"Selenidium fauchaldi sp. n. and s. telepsavi (stuart) comb. nov. (Protozoa, apicomplexa), gregarines from polychaetes",Norman Levine,1974,NA
199,"New polyclads from monterey bay, california",HAROLD HEATH AND ERNEST A. MCGREGOR.,1912,NA
200,Missing link: california rock crabs serve as intermediate hosts for the parasite helicometrina nimia,Shanebeck et al,2020,NA
201,Feeding in relation to morphometrics within the genus cancer: evolutionary and ecological considerations,Lawton and Elner,1985,NA
202,The food of hecate strait crabs august 1977,Bernard,1979,NA
203,Missing link: california rock crabs serve as intermediate hosts for the parasite helicometrina nimia,Shanebeck,2020,NA
204,The biology of searlesia dira (mollusca: gastropoda) with emphasis on feeding,Margaret Champlin Lloyd,1971,NA
205,"A checklist of parasites of california, oregon, and washington marine and estuarine fishes",Love and Moser,1984,NA
235,"New species of lankesteria (apicomplexa, eugregarinida) from ascidians on the central california coast13",Levine,1981,https://doi.org/10.1111/j.1550-7408.1981.tb02868.x
235,"New species of lankesteria (apicomplexa, eugregarinida) from ascidians on the central california coast8",Levine,1981,https://doi.org/10.1111/j.1550-7408.1981.tb02868.x
235,"New species of lankesteria (apicomplexa, eugregarinida) from ascidians on the central california coast3",Levine,1981,https://doi.org/10.1111/j.1550-7408.1981.tb02868.x
235,"New species of lankesteria (apicomplexa, eugregarinida) from ascidians on the central california coast4",Levine,1981,https://doi.org/10.1111/j.1550-7408.1981.tb02868.x
235,"New species of lankesteria (apicomplexa, eugregarinida) from ascidians on the central california coast6",Levine,1981,https://doi.org/10.1111/j.1550-7408.1981.tb02868.x
