publication_year,firstauthor,title,reference
1978,Scanland,"A supplementary description of pinnixa tomentosa and comparison with the geographically adjacent pinnixa tubicola (brachyura, pinnotheridae)","Scanland, Thomas Boyd; Hopkins, T. S.. 1978. A supplementary description of pinnixa tomentosa and comparison with the geographically adjacent pinnixa tubicola (brachyura, pinnotheridae). Proceedings of the Biological Society of Washington. 91. 636-641"
1951,Dunlap,A survey of the helminth parasites of leptocottus armatus armatus girard,"Dunlap, Delpha Deane. 1951. A survey of the helminth parasites of leptocottus armatus armatus girard. Oregon State University"
2007,Kuris,Acanthocephala,"Kuris, Armand M.. 2007. Acanthocephala. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 275-275"
1980,Wells,Activity pattern as a mechanism of predator avoidance in two species of acmaeid limpet,"Wells, Raymond A.. 1980. Activity pattern as a mechanism of predator avoidance in two species of acmaeid limpet. Journal of Experimental Marine Biology and Ecology. 48. 2. 151-168. 10.1016/0022-0981(80)90014-3"
1988,Topp,Adaptations of coleoptera to the marine environment. Ii. Observations on rove beetles (staphylinidae) from rocky shores,"Topp, Werner; Ring, Richard A.. 1988. Adaptations of coleoptera to the marine environment. Ii. Observations on rove beetles (staphylinidae) from rocky shores. Canadian Journal of Zoology. 66. 11. 2469-2474. 10.1139/z88-366"
1978,McDonald,Additional notes on the food of some california nudibranchs with a summary of known food habits of california species,"McDonald, Gary R.; Nybakken, James W.. 1978. Additional notes on the food of some california nudibranchs with a summary of known food habits of california species. The Veliger. 21. 1. 110-119"
2016,Kienberger,"Aeolidia papillosa (linnaeus, 1761) (mollusca: heterobranchia: nudibranchia), single species or a cryptic species complex? A morphological and molecular study","Kienberger, Karen; Carmona, Leila; Pola, Marta; Padula, Vinicius; Gosliner, Terrence M.; Cervera, Juan Lucas. 2016. Aeolidia papillosa (linnaeus, 1761) (mollusca: heterobranchia: nudibranchia), single species or a cryptic species complex? A morphological and molecular study. Zoological Journal of the Linnean Society. 177. 3. 481-506. 10.1111/zoj.12379"
2015,Piazzola,Aequorea victoria,"Piazzola, C. D.. 2015. Aequorea victoria. Oregon Estuarine Invertebrates: Rudys' Illustrated Guide to Common Species. University of Oregon Libraries and Oregon Institute of Marine Biology"
2021,Colunga-Ramírez,"Aggregata polibraxiona n. sp. (Apicomplexa: aggregatidae) from octopus bimaculatus verrill, 1883 (mollusca: cephalopoda) from the gulf of california, mexico","Colunga-Ramírez, Graciela Esmeralda; Martínez-Aquino, Andrés; Flores-López, Carlos Alberto; Gestal, Camino; Azevedo, Carlos; Castellanos-Martínez, Sheila. 2021. Aggregata polibraxiona n. sp. (Apicomplexa: aggregatidae) from octopus bimaculatus verrill, 1883 (mollusca: cephalopoda) from the gulf of california, mexico. European Journal of Protistology. 81. 125825. 10.1016/j.ejop.2021.125825"
1978,Kritsky,"Allencotyla pricei sp. n. (Microcotyloidea: heteraxinidae) from the gills of the pile surfperch, damalichthys vacca (girard), in southern california","Kritsky, Delane C.; Noble, Elmer R.; Moser, Mike. 1978. Allencotyla pricei sp. n. (Microcotyloidea: heteraxinidae) from the gills of the pile surfperch, damalichthys vacca (girard), in southern california. The Journal of Parasitology. 64. 1. 45-48. 10.2307/3279607"
1953,Mitchell,An analysis of stomach contents of california tide pool fishes,"Mitchell, D. F.. 1953. An analysis of stomach contents of california tide pool fishes. American Midland Naturalist. 49. 3. 862-871. Doi 10.2307/2485213"
1979,Harris,An analysis of the defensive mechanisms observed in the anemone anthopleura elegantissima in response to its nudibranch predator aeolidia papillosa,"Harris, Larry G.; Howe, Nathan R.. 1979. An analysis of the defensive mechanisms observed in the anemone anthopleura elegantissima in response to its nudibranch predator aeolidia papillosa. The Biological Bulletin. 157. 1. 138-152. 10.2307/1541083"
1968,Sphon,"An annotated list of nudibranchs and their allies from santa barbara county, ca","Sphon, Gale G.; Lance, James R.. 1968. An annotated list of nudibranchs and their allies from santa barbara county, ca. Proceedings of the California Academy of Sciences. 36. 3. 73-84"
2013,Maguire,An ectoparasitic snail (evalea tenuisculpta) infects red abalone (haliotis rufescens) in northern california,"Maguire, Athena; Rogers-Bennett, Laura. 2013. An ectoparasitic snail (evalea tenuisculpta) infects red abalone (haliotis rufescens) in northern california. California Fish and Game. 99. 80-89"
2007,Cook,Annelida,"Cook, David G.; Brinkhurst, Ralph O.; Erséus, Christer; Burreson, Eugene M.; Blake, James A.; Ruff, Eugene. 2007. Annelida. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 298-410"
1988,Wicksten,"Antennary cast-net feeding in california hermit crabs (decapoda, paguridea)","Wicksten, Mary K.. 1988. Antennary cast-net feeding in california hermit crabs (decapoda, paguridea). Crustaceana. 54. 3. 321-322"
1986,Pettit,"Antineoplastic agents, 116. An evaluation of the marine ascidian aplidium californicum","Pettit, George R.; Leet, John E.; Herald, Cherry L.; Kamano, Yoshiaki; Doubek, Dennis L.. 1986. Antineoplastic agents, 116. An evaluation of the marine ascidian aplidium californicum. Journal of Natural Products. 49. 2. 231-235. 10.1021/np50044a006"
1968,Beondé,"Aplysia vaccaria, a new host for the pinnotherid crab opisthopus transversus","Beondé, Anthon Craig. 1968. Aplysia vaccaria, a new host for the pinnotherid crab opisthopus transversus. The Veliger. 10. 375-378"
2007,Martin,Arthropoda,"Martin, Joel W.; Carlton, James T.; Hessler, Robert; Belk, Denton; Cohen, Anne C.; Peterson, Dawn E.; Maddocks, Rosalie F.; Cordell, Jeffery R.; Kuris, Armand M.; Newman, William A.; Haney, Todd A.; Vetter, Eric W.; Modlin, Richard F.; Watling, Les; Brusca, Richard C.; Coelho, V√¢nia R.; Taiti, Stefano; Chapman, John W.; Bousfield, Edward L.; Bowers, Darl E.; Lavaniegos, Bertha E.; Caldwell, Roy L.; Quetin, Langdon; Ross, Robin; Sadeghian, Patricia S.; Campos, Ernesto; Child, C. Allan; Hedhpeth, Joel W.; Newell, Irwin M.; Bartsch, Ilse; Lee, Vincent F.; Daly, Howell V.; Strum, Helmut; Christiansen, Kenneth; Bellinger, Howel; Schlinger, Evert I.; White, David; Nelson, Amanda; Hoffman, Richard. 2007. Arthropoda. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 411-693"
1969,Keith,Aspects of feeding in caprella californica stimpson and caprella equilibra say (amphipoda),"Keith, Donald E.. 1969. Aspects of feeding in caprella californica stimpson and caprella equilibra say (amphipoda). Crustaceana. 16. 2. 119-124"
1962,Hazlett,Aspects of the biology of snapping shrimp (alpheus and synalpheus),"Hazlett, Brian A.. 1962. Aspects of the biology of snapping shrimp (alpheus and synalpheus). 10.1163/156854062X00094"
1960,Knudsen,Aspects of the ecology of the california pebble crabs (crustacea: xanthidae),"Knudsen, Jens W.. 1960. Aspects of the ecology of the california pebble crabs (crustacea: xanthidae). Ecological Monographs. 30. 2. 165-185. 10.2307/1948550"
1988,Guzman,"Aspects of the population biology of the marine isopod excorallana tricornis occidentalis richardson, 1905 (crustacea: isopoda: corallanidae) at cano island, pacific costa rica","Guzman, Hector M.; Obando, Vilma L.; Brusca, Richard C.; Delaney, Paul M.. 1988. Aspects of the population biology of the marine isopod excorallana tricornis occidentalis richardson, 1905 (crustacea: isopoda: corallanidae) at cano island, pacific costa rica. Bulletin of Marine Science. 43. 1. 77-87"
2007,Snellen,Assessing western gull predation on purple sea urchins in the rocky intertidal using optimal foraging theory,"Snellen, C.L.; Hodum, P.J.; Fernández-Juricic, E.. 2007. Assessing western gull predation on purple sea urchins in the rocky intertidal using optimal foraging theory. Canadian Journal of Zoology. 85. 2. 221-231. 10.1139/z06-203"
2008,Stickle,Association and distribution of the ciliate orchitophrya stellarum with asteriid sea stars on the west coast of north america,"Stickle, W. B.; Kozloff, E. N.. 2008. Association and distribution of the ciliate orchitophrya stellarum with asteriid sea stars on the west coast of north america. Diseases of Aquatic Organisms. 80. 1. 37-43. 10.3354/dao01917"
1972,Vader,Associations between amphipods and molluscs. A review of published records,"Vader, Wim. 1972. Associations between amphipods and molluscs. A review of published records. Sarsia. 48. 1. 13-18. 10.1080/00364827.1972.10411193"
1975,Reiswig,Bacteria as food for temperate-water marine sponges,"Reiswig, Henry M.. 1975. Bacteria as food for temperate-water marine sponges. Canadian Journal of Zoology. 53. 5. 582-589. 10.1139/z75-072"
1974,Spencer,Behavior and electrical activity in the hydrozoan proboscidactyla flavicirrata (brandt). I. The hydroid colony,"Spencer, Andrew N.. 1974. Behavior and electrical activity in the hydrozoan proboscidactyla flavicirrata (brandt). I. The hydroid colony. The Biological Bulletin. 146. 1. 100-115. 10.2307/1540401"
1987,Segal,"Behavior of juvenile nerocila acuminata (isopoda, cymothoidae) during attack, attachment and feeding on fish prey","Segal, Earl. 1987. Behavior of juvenile nerocila acuminata (isopoda, cymothoidae) during attack, attachment and feeding on fish prey. Bulletin of Marine Science. 41. 2. 351-360"
1986,Kent,"Behavior, habitat use, and food of three egrets in a marine habitat","Kent, Donald M.. 1986. Behavior, habitat use, and food of three egrets in a marine habitat. Colonial Waterbirds. 9. 1. 25-30. 10.2307/1521140"
1981,Van,"Behavioral responses of seven species of asteroids to the asteroid predator, solaster dawsoni","Van Veldhuizen, H. D.; Oakes, V. J.. 1981. Behavioral responses of seven species of asteroids to the asteroid predator, solaster dawsoni. Oecologia. 48. 2. 214-220"
1986,Holyoak,Behavioral strategies of the trochid gastropods margarites pupillus and calliostoma ligatum,"Holyoak, Alan H.. 1986. Behavioral strategies of the trochid gastropods margarites pupillus and calliostoma ligatum. Brigham Young University"
2020,Goddard,"Benthic heterobranch sea slugs (gastropoda: heterobranchia) from santa barbara county, california","Goddard, Jeffrey H R; Goddard, William M; Goddard, Zygmund E. 2020. Benthic heterobranch sea slugs (gastropoda: heterobranchia) from santa barbara county, california. Proceedings of the California Academy of Sciences. 66. 10. 25"
2007,Goddard,Berthella (opisthobranchia : pleurobranchidae) from the northeast pacific ocean prey on plakinid sponges (homoscleromorpha : plakinidae),"Goddard, Jeffrey. 2007. Berthella (opisthobranchia : pleurobranchidae) from the northeast pacific ocean prey on plakinid sponges (homoscleromorpha : plakinidae). Veliger -Berkeley-. 49. 97-100"
2020,Santhanam,Biology and ecology of the venomous marine anthozoans (class anthozoa),"Santhanam, Ramasamy. 2020. Biology and ecology of the venomous marine anthozoans (class anthozoa). Biology and Ecology of Venomous Marine Cnidarians. Springer. 169-285"
2003,McFadden,"Biology and taxonomy of encrusting alcyoniid soft corals in the northeastern pacific ocean with descriptions of two new genera (cnidaria, anthozoa, octocorallia)","McFadden, Catherine S.; Hochberg, F.g.. 2003. Biology and taxonomy of encrusting alcyoniid soft corals in the northeastern pacific ocean with descriptions of two new genera (cnidaria, anthozoa, octocorallia). Invertebrate Biology. 122. 2. 93-113. 10.1111/j.1744-7410.2003.tb00076.x"
2023,Tuskes,"Biology of the wavy top turban megastraea undosa (wood, 1828) from southern california, and the baja california peninsula (turbinidae)","Tuskes, Paul; Tuskes, Ann. 2023. Biology of the wavy top turban megastraea undosa (wood, 1828) from southern california, and the baja california peninsula (turbinidae). The Festivus. 55. 1. 40-56. 10.54173/F55140"
1987,Pawlik,"Bocquetia rosea, new genus, new species, an unusual rhizocephalan parasite of a sponge-inhabiting barnacle, membranobalanus orcutti (pilsbry), from california","Pawlik, Joseph R.. 1987. Bocquetia rosea, new genus, new species, an unusual rhizocephalan parasite of a sponge-inhabiting barnacle, membranobalanus orcutti (pilsbry), from california. Journal of Crustacean Biology. 7. 2. 265-273. 10.1163/193724087X00225"
2007,Hochberg,Brachiopoda,"Hochberg, F. G.. 2007. Brachiopoda. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 864-865"
2007,Soule,Bryozoa,"Soule, Dorothy F.; Soule, John D.; Morris, Penny A.; Chaney, Henry W.. 2007. Bryozoa. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 866-904"
2001,Leet,California's living marine resources: a status report,"Leet, William S.. 2001. California's living marine resources: a status report. University Of California, Division of Agriculture and Natural Resources; Califorinia Sea Grant"
2019,Tuskes,Calliostoma and akoya of the californian marine province (gastropoda: calliostomatidae),"Tuskes, Paul; McGowan-Tuskes, Ann. 2019. Calliostoma and akoya of the californian marine province (gastropoda: calliostomatidae). The Festivus. 51. 1. 28-Nov. 10.54173/F511011"
2019,Tuskes,Calliostomatidae of the northeast pacific,"Tuskes, Paul M.. 2019. Calliostomatidae of the northeast pacific. Zoosymposia. 13. 83-96. 10.11646/zoosymposia.13.1.9"
1991,B.,Castration and mortality in pisaster ochraceus parasitized by orchitophrya stellarum (ciliophora),B. J. Leighton; J. D. G. Boom; C. Bouland; E. B. Hartwick; M. J. Smith. 1991. Castration and mortality in pisaster ochraceus parasitized by orchitophrya stellarum (ciliophora). Diseases of Aquatic Organisms. 10. 71-73
2007,Thuesen,Chaetognatha,"Thuesen, Erik V.. 2007. Chaetognatha. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 905-908"
2003,Batisti_,Chaetognaths in the south adriatic: vertical distribution and feeding,"Batisti_, Mirna; Miku_, Josip; Njire, Jakica. 2003. Chaetognaths in the south adriatic: vertical distribution and feeding. Journal of the Marine Biological Association of the United Kingdom. 83. 6. 1301-1306. 10.1017/S0025315403008713"
2018,Lozano-Cobo,Changes in parasite-chaetognath species assemblages in the mexican central pacific before and during el niño 1997-1998,"Lozano-Cobo, Horacio; Gómez-Gutiérrez, Jaime; Franco-Gordo, Carmen; Prado-Rosas, María del Carmen Gómez del; Plascencia-Palomera, Viridiana; Ambriz-Arreola, Israel. 2018. Changes in parasite-chaetognath species assemblages in the mexican central pacific before and during el niño 1997-1998. Diseases of Aquatic Organisms. 129. 3. 215-238. 10.3354/dao03245"
1972,Schroeter,"Characterization of field populations of margarites pupillus (gould) (gastropoda, prosobranchia)","Schroeter, Stephen Craig. 1972. Characterization of field populations of margarites pupillus (gould) (gastropoda, prosobranchia). Brigham Young University"
2016,FioRito,Characterization of three novel species of labyrinthulomycota isolated from ochre sea stars (pisaster ochraceus),"FioRito, R.; Leander, C.; Leander, B.. 2016. Characterization of three novel species of labyrinthulomycota isolated from ochre sea stars (pisaster ochraceus). Marine Biology. 163. 8. ARTN 170 10.1007/s00227-016-2944-5"
2002,Hutchinson,"Chemical defense in the gammarid amphipods chromopleustes oculatus, ch. lineatus, and cryptodius kelleri (arthropoda: crustacea)","Hutchinson, Marcy. 2002. Chemical defense in the gammarid amphipods chromopleustes oculatus, ch. lineatus, and cryptodius kelleri (arthropoda: crustacea). East Carolina University"
2007,Abbott,Chordata,"Abbott, Donald P.; Lambert, Charles C.; Gretchen, Lambert; Newberry, A. Todd; Madin, Laurence P.. 2007. Chordata. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 949-964"
1981,DeMartini,"Cleaning and scale-eating in juveniles of the kyphosid fishes, hermosilla azurea and girella nigricans","DeMartini, E. E.; Coyer, James A.. 1981. Cleaning and scale-eating in juveniles of the kyphosid fishes, hermosilla azurea and girella nigricans. Copeia. 1981. 4. 785-789. 10.2307/1444178"
2011,Byrnes,Climate-driven increases in storm frequency simplify kelp forest food webs,"Byrnes, Jarrett E.; Reed, Daniel C.; Cardinale, Bradley J.; Cavanaugh, Kyle C.; Holbrook, Sally J.; Schmitt, Russell J.. 2011. Climate-driven increases in storm frequency simplify kelp forest food webs. Global Change Biology. 17. 8. 2513-2524. 10.1111/j.1365-2486.2011.02409.x"
2007,Mills,Cnidaria,"Mills, Claudia E.; Maeques, Antonio C.; Migotto, Alvaro E.; Calder, Dale R.; Hand, Cadet; Rees, John T.; Haddock, Steven H. D.; Dunn, Casey W.; Pugh, Philip R.; Larson, Roland J.; Fautin, Daphne G.; Williams, Gary C.. 2007. Cnidaria. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 118-188"
1982,Hines,"Coexistence in a kelp forest: size, population dynamics, and resource partitioning in a guild of spider crabs (brachyura, majidae)","Hines, Anson H.. 1982. Coexistence in a kelp forest: size, population dynamics, and resource partitioning in a guild of spider crabs (brachyura, majidae). Ecological Monographs. 52. 2. 179-198. 10.2307/1942610"
2006,Visintainer,Community composition and diet of fishes as a function of tidal channel geomorphology,"Visintainer, Ta; Bollens, Sm; Simenstad, C. 2006. Community composition and diet of fishes as a function of tidal channel geomorphology. Marine Ecology Progress Series. 321. 227-243. 10.3354/meps321227"
2009,Beeler,Community succession in macroalgal wrack: implications for prey resources of breeding western snowy plovers (charadrius alexandrinus nivosus) on northern california beaches.,"Beeler, Heather E. 2009. Community succession in macroalgal wrack: implications for prey resources of breeding western snowy plovers (charadrius alexandrinus nivosus) on northern california beaches.. Humboldt State University"
2002,Nelson,"Comparison of growth and lipid composition in the green abalone, haliotis fulgens, provided specific macroalgal diets","Nelson, Matthew M.; Leighton, David L.; Phleger, Charles F.; Nichols, Peter D.. 2002. Comparison of growth and lipid composition in the green abalone, haliotis fulgens, provided specific macroalgal diets. Comparative Biochemistry and Physiology Part B: Biochemistry and Molecular Biology. 131. 4. 695-712. 10.1016/S1096-4959(02)00042-8"
1972,Menge,Competition for food between two intertidal starfish species and its effect on body size and feeding,"Menge, Bruce A.. 1972. Competition for food between two intertidal starfish species and its effect on body size and feeding. Ecology. 53. 4. 635-644. 10.2307/1934777"
2020,Patarra,Concise review of the species pterocladiella capillacea (s.g. Gmelin) santelices & hommersand,"Patarra, R. F.; Iha, C.; Pereira, L.; Neto, A. I.. 2020. Concise review of the species pterocladiella capillacea (s.g. Gmelin) santelices & hommersand. Journal of Applied Phycology. 32. 2. 787-808. 10.1007/s10811-019-02009-y"
1998,Johnsen,Damage due to solar ultraviolet radiation in the brittlestar ophioderma brevispinum (echinodermata: ophiuroidea),"Johnsen, Sönke; Kier, William M.. 1998. Damage due to solar ultraviolet radiation in the brittlestar ophioderma brevispinum (echinodermata: ophiuroidea). Journal of the Marine Biological Association of the United Kingdom. 78. 2. 681-684. 10.1017/S0025315400041758"
1976,Ebeling,"Day versus night activity of reef fishes in a kelp forest off santa barbara, california","Ebeling, Alfred W; Bray, Richard N. 1976. Day versus night activity of reef fishes in a kelp forest off santa barbara, california. FISHERY BULLETIN. 74"
2011,Wicksten,Decapod crustacea of the californian and oregonian zoogeographic provinces,"Wicksten, Mary K.. 2011. Decapod crustacea of the californian and oregonian zoogeographic provinces"
2007,Campos,Decapoda,"Campos, Ernesto; Carlton, James T.; Kuris, Armand M.; Sadeghian, Patricia S.. 2007. Decapoda. The Light and Smith Manual: Intertidal invertebrates from central California to Oregon. University of California Press. 632‚Äì656"
1986,Bingham,Defense adaptations of the dendrochirote holothurian psolus chitonoides clark,"Bingham, Brian L.; Braithwaite, Lee F.. 1986. Defense adaptations of the dendrochirote holothurian psolus chitonoides clark. Journal of Experimental Marine Biology and Ecology. 98. 3. 311-322. 10.1016/0022-0981(86)90220-0"
1976,Nance,"Defense mechanism and feeding behavior of pteraster tesselatus ives (echinodermata, asteroidea)","Nance, James. 1976. Defense mechanism and feeding behavior of pteraster tesselatus ives (echinodermata, asteroidea). Theses and Dissertations"
1992,Cailliet,Demography of the central california population of the leopard shark (triakis semifasciata),"Cailliet, G. M.. 1992. Demography of the central california population of the leopard shark (triakis semifasciata). Marine and Freshwater Research. 43. 1. 183-193. 10.1071/mf9920183"
1978,Hartwick,"Den associates of the giant pacific octopus, octopus dofleini (wulker)","Hartwick, E.B.; Thorarinsson, G.. 1978. Den associates of the giant pacific octopus, octopus dofleini (wulker). Ophelia. 17. 1. 163‚Äì166. 10.1080/00785326.1978.10425480"
1984,Newberry,"Dendrodoa (styelopsis) abbottii sp. nov. (Styelidae, ascidiacea) from teh pacific coast of the univted states, and its impact on some gonadal criteria of its genus and subgenus","Newberry, A. Todd. 1984. Dendrodoa (styelopsis) abbottii sp. nov. (Styelidae, ascidiacea) from teh pacific coast of the univted states, and its impact on some gonadal criteria of its genus and subgenus. Proceedings of the California Academy of Sciences. 43. 15. 239-248"
2023,Mills,"Description of a common stauromedusa on the pacific coast of the united states and canada, haliclystus sanjuanensis new species (cnidaria: staurozoa)","Mills, Claudia E.; Westlake, Hannah; Hirano, Yayoi M.; Miranda, Lucília S.. 2023. Description of a common stauromedusa on the pacific coast of the united states and canada, haliclystus sanjuanensis new species (cnidaria: staurozoa). PeerJ. 11. e15944. 10.7717/peerj.15944"
1977,Kuris,"Description of a new species, crangon handi , and new genus, lissocrangon , of crangonid shrimps (crustacea: caridea) from the california coast, with notes on adaptation in body shape and coloration","Kuris, Armand M.; Carlton, James T.. 1977. Description of a new species, crangon handi , and new genus, lissocrangon , of crangonid shrimps (crustacea: caridea) from the california coast, with notes on adaptation in body shape and coloration. The Biological Bulletin. 153. 3. 540-559. 10.2307/1540605"
1990,Lesser,"Description of a novel symbiotic bacterium from the brittle star, amphipholis squamata","Lesser, Michael P.; Blakemore, Richard P.. 1990. Description of a novel symbiotic bacterium from the brittle star, amphipholis squamata. Applied and Environmental Microbiology. 56. 8. 2436-2440. 10.1128/aem.56.8.2436-2440.1990"
2022,Cai,"Descriptions of the developmental stages of cafius nauticus (fairmaire) (coleoptera: staphylinidae: staphylininae), with comments on its biology","Cai, Yu-Jie; Tang, Liang. 2022. Descriptions of the developmental stages of cafius nauticus (fairmaire) (coleoptera: staphylinidae: staphylininae), with comments on its biology. Zootaxa. 5182. 5. 429-447. 10.11646/zootaxa.5182.5.2"
