id,species,coll_loc,coll_date,group_y_n,habitat,zone,weight,measurement_select,measurement (mm),measurement_select,measurement,sex,age_stage,condition,stomach_contents,ectos,endos,epis,other_symbs,Final_ID,ID confidence,count,diss_date,dissector,notes,image_loc,vial_loc,
18,Pag Sam,VSFB,10 May 2022,y,boulder,high,,body length,29,,,M,unknown,,,,,Lottia (un id),,,,1,20May2022,AD,Nothing found in host,https://drive.google.com/drive/u/0/folders/1MOWqh3fzFRjtWB5ZVtZBgSKfJi_2JwHc,,
18,Pag Sam,VSFB,10 May 2022,y,boulder,high,,body length,29,,,M,unknown,,,,Nematode (unid),,,nematode_2,,2,20May2022,AD,nematode found in host; found lottia 18 on pagsam 18,https://drive.google.com/drive/u/0/folders/1MOWqh3fzFRjtWB5ZVtZBgSKfJi_2JwHc,,
20,Pag Sam,VSFB,10 May 2022,y,boulder,high,,body length,29,,,M,unknown,,,,,Barnacle (un id),,,,~98,20May2022,AD,Nothing found in host,https://drive.google.com/drive/u/0/folders/1MOWqh3fzFRjtWB5ZVtZBgSKfJi_2JwHc,,
23,Pag Sam,VSFB,10 May 2022,,boulder,high,,body length,25,,,M,unknown,,,,,Barnacle (un id),,,,~98,24 May 22,AD,Barnacles found on host,https://drive.google.com/drive/u/0/folders/1MOWqh3fzFRjtWB5ZVtZBgSKfJi_2JwHc,,
23,Pag Sam,VSFB,10 May 2022,,boulder,high,,body length,25,,,M,unknown,,,,Nematode (unid),,,nematode_4,,2,24 May 22,AD,unknown thing found in host,https://drive.google.com/drive/u/0/folders/1MOWqh3fzFRjtWB5ZVtZBgSKfJi_2JwHc,,
32,Pag Sam,Ellwood Boulderfield (taken from box closest to the edge of the table),3 May 2022,,boulder,high,,body length,28,,,M,unknown,,,,,,,,,,27 May 2022,AD,Nothing found in host,https://drive.google.com/drive/u/1/folders/1MOWqh3fzFRjtWB5ZVtZBgSKfJi_2JwHc,,
33,Pag Sam,Ellwood Boulderfield (taken from box closest to the edge of the table),3 May 2022,,boulder,high,,body length,19,,,M,unknown,,,,,,,,,,27 May 2022,AD,Nothing found in host,https://drive.google.com/drive/u/1/folders/1MOWqh3fzFRjtWB5ZVtZBgSKfJi_2JwHc,,
34,Pag Sam,Ellwood Boulderfield (taken from box closest to the edge of the table),3 May 2022,,boulder,high,,body length,23,,,M,unknown,,,,,Barnacle (un id),,,,,27 May 2022,AD,Nothing found in host,https://drive.google.com/drive/u/1/folders/1MOWqh3fzFRjtWB5ZVtZBgSKfJi_2JwHc,,
35,Pag Sam,Ellwood Boulderfield (taken from box closest to the edge of the table),3 May 2022,,boulder,high,,body length,21,,,M/F,unknown,,,,Peltogasterella sp.,,,Peltogasterella gracilis,3 - MT,10,27 May 2022,AD,Rhizocephala found on crab,https://drive.google.com/drive/u/1/folders/1MOWqh3fzFRjtWB5ZVtZBgSKfJi_2JwHc,,
36,Pag Sam,Ellwood Boulderfield (taken from box closest to the edge of the table),3 May 2022,,boulder,high,,body length,21,,,M,unknown,,,,Spherical eggs?,,,,,3,27 May 2022,AD,Unknown thing found in host in host,https://drive.google.com/drive/u/1/folders/1MOWqh3fzFRjtWB5ZVtZBgSKfJi_2JwHc,,
38,Pag Sam,Hammonds Boulder Field,3 May 2022,,boulder,high,,body length,20,,,M,unknown,,,,,,,,,,07 June 2022,AD,Nothing found in host,,,
39,Pag Sam,Hammonds Boulder Field,3 May 2022,,boulder,high,,body length,25,,,F,egg brooding,,,,,,,,,,07 June 2022,AD,Nothing found in host,,,
40,Pag Sam,Hammonds Boulder Field,3 May 2022,,boulder,high,,body length,20,,,F,gravid,,,,,,,,,,07 June 2022,AD,Nothing found in host,,,
41,Pag Sam,Hammonds Boulder Field,3 May 2022,,boulder,high,,body length,22,,,F,gravid,,,small shell,,,,,,,07 June 2022,AD,small shell on outside of crab soft body,,,
42,Pag Sam,Hammonds Boulder Field,3 May 2022,,boulder,high,,body length,18,,,M,unknown,,,small shells,,,,,,,07 June 2022,AD,small shell on outside of crab soft body,,,
43,Pag Sam,Hammonds Boulder Field,3 May 2022,,boulder,high,,body length,26,,,F,gravid,,,,,Barnacle (un id),,,,1,07 June 2022,AD,Nothing found in host,,,
44,Pag Sam,Hammonds Boulder Field,3 May 2022,,boulder,high,,body length,28,,,M,unknown,,,,,,,,,,07 June 2022,AD,Nothing found in host,,,
45,Pag Sam,Hammonds Boulder Field,3 May 2022,,boulder,high,,body length,28,,,M,unknown,,,,,,,,,,07 June 2022,AD,Nothing found in host,,,
61,Pag Sam,VSFB,10 May 2022,,boulder,high,,body length,11,,,M,unknown,,,,,,,,,,08 June 2022,AD,Nothing found in host,,,
65,Pag Sam,Cambria,17 June 2022,,boulder,high,,body length,24,,,M/F,unknown,,,,Rhizocephala,,,Peltogasterella gracilis,3 - MT,12,17 June 2022,AD,red externae,,,
67,Pag Sam,Cambria,17 June 2022,,boulder,high,,body length,26,,,M/F,unknown,,,,Rhizocephala,,,Peltogasterella gracilis,3 - MT,22,17 June 2022,AD,,,,
84,Petrolisthes eriomerus,Rancho Marino,,,tidepool,middle,,carapace width,8,,,F,,,,,Nematode,,,,,6,12Aug2022,ZZ,,dissections12Aug >100_0141,,
84,Petrolisthes eriomerus,Rancho Marino,,,tidepool,middle,,carapace width,8,,,F,,,,,Metacercaria,,,metacercaria_2,,1,12Aug2022,ZZ,images asociated are in dissections12Aug 100-0126 through 100-0140,,,
89,Petrolisthes eriomerus,Rancho Marino,9 September 2022,,tidepool,low,,carapace width,16,,,F,unknown,,,,Nematode,,,nematode_5,,1,12Oct22,DF,"Singular nematode found in intestine, unknown masses on claws - might be juvenile P. manimaculis","PorcCrab-89_12Oct22_Nematode_1-3 are at 400x, Nematode_4 at 200x",,
90,Petrolisthes eriomerus,Rancho Marino,9 September 2022,,tidepool,low,,carapace width,9,,,F,unknown,,,,,,,,,,19Oct22,DF,Nothing found in host - might be P. manimaculis,,,
29,Polychaete,VSFB,10 May 2022,,boulder,high,,body length,12,width,1.5,F,gravid,,,,,,,,,,27 May 2022,AD,Polycheate found wrapped around host body,https://drive.google.com/drive/u/0/folders/1MOWqh3fzFRjtWB5ZVtZBgSKfJi_2JwHc,,
92,Porcelain Crab,Rancho Marino,9 September 2022,,tidepool,low,,carapace width,12,,,F,unknown,,,,,sores on claws,,,,,19Oct22,AD,,,,
76,Pugettia producta,Cambria,17 June 2022,,boulder,high,,body length,29,,,M,unknown,,,,,,,,,,27 June 2022,AD,Nothing found in host; Premolt,,,
88,Pugettia producta,Rancho Marino,9 September 2022,,tidepool,low,,carapace width,18,,,M,unknown,,,,,,,,,,12Oct22,AD,Nothing found in host,,,
91,Pugettia producta,Rancho Marino,9 September 2022,,tidepool,low,,carapace width,17,,,F,unknown,,,,,,,,,,19Oct2022,AD,Nothing found in host,,,
93,Starfish,Rancho Marino,17 June 2022,,tidepool,middle,,body length,91,,,M,unknown,,snail shell,,,,,,,,26Oct22,DF,Nothing found in host,,,
22,Unk. crab,Alegria Beach,23 May 2022,n,pool,mid,,carapace width,42,,,M,unknown,,,,,,,,,,23 May 22,ZZ,Nothing found,https://drive.google.com/drive/u/0/folders/1MOWqh3fzFRjtWB5ZVtZBgSKfJi_2JwHc,,
21,Unk. shrimp,Alegria Beach,23 May 2022,n,pool,mid,,body length,32,,,F,egg brooding,,,,Nematode (unid),,,nematode_3,,4,23May2022,ZZ,unknown thing found in host,https://drive.google.com/drive/u/0/folders/1MOWqh3fzFRjtWB5ZVtZBgSKfJi_2JwHc,"Box B, Vial 1",
78,Unknown crab,Cambria,17 June 2022,,boulder,high,,body length,18,,,M,unknown,,,,Specks in Gills,,,,,,27 June 2022,AD,inbetween eyes to the end for length,,,
78,Unknown crab,Cambria,17 June 2022,,boulder,high,,body length,18,,,M,unknown,,,,Nematode on Gills,,,nematode_6,,,27June 2022,AD,,,A14,
83,Unknown Nucella,Rancho Marino,,,tidepool,middle,,spire height,,,,,unknown,,,,,unk. barnacle,,,,1,12Aug2022,ZZ,,dissections12Aug > 100-0125 on SD card,A18,
83,Unknown Nucella,Rancho Marino,,,tidepool,middle,,spire height,,,,,,,,,,unk. limpet,,,,1,12Aug2022,ZZ,,dissections12Aug > 100-0125 on SD card,A18,
83,Unknown Nucella,Rancho Marino,,,tidepool,middle,,spire height,,,,,,,,,white dots - aggregata?,,,,,1000s,12Aug2022,ZZ,in digestive and reproductive caeca,dissections12Aug > 100-0158 on SD,A20,
80,Unknown Sculpin,Rancho Marino,,,tidepool,,,total length,58,body length,51,M,unknown,,Unknown shrimp,,,,,,,1,12Aug2022,DF,,,A19,
81,Unknown Sculpin,Rancho Marino,,,tidepool,,,total length,34,body length,29,F,Gravid,,,,,,,,,,12Aug2022,ZZ,Nothing found in host,,,"look @liver in squash, make incision at end of mouth; heart between gills, "
82,Unknown Sculpin,Rancho Marino,,,tidepool,,,total length,61.5,body length,40.7,M/F,unknown,,foraminiferian,,,,,,,100+,12Aug2022,AD,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Snail,unknown,unknown,,tidepool,,,body length,23,,,M,unknown,,,,,,,,,,02 Nov 2022,AD,hole in shell,,,
95,Snail,unknown,unknown,,tidepool,,,body length,16.5,,,M,unknown,,,,,,,,,,02 Nov 2022,DF,,,,
96,Snail,unknown,unknown,,tidepool,,,body length,16,,,M,unknown,,,,,,,,,,02 Nov 2022,AD,hole in shell,,,
97,Snail,unknown,unknown,,tidepool,,,body length,14,,,M,unknown,,,,,,,,,,02 Nov 2022,DF,,,,
98,Snail,unknown,unknown,,tidepool,,,body length,8,,,M,unknown,,,,,,,,,,03 Nov 2022,DF,,,,
