id.x,species,alternate_nomenclature,category,common_name,functional_role,range,life_stage,body_size_mm,n_s_both,commonality,source,zone,habitat_notes,solitary_aggregating_colonial,mobile_or_sessile,preys_on,trophic_strategy,how_picky,eaten_by,non_trophic_epicommensal_w,mutualist_w,parasitized_by,unknown_symbiosis,parasitic_on,how_picky_symbiotically,notes,node_type,node_resolution,web_enter_code,enter_code_2,googled,justification,confidence,x41,clean_zone,id.y,kingdom,phylum,class,subclass,infraclass,subterclass,superorder,superfamily,family,genus,subphylum,order,subfamily,superclass,suborder,infraorder,parvorder,subkingdom,infrakingdom,tribe,subgenus,infraphylum,parvphylum,gigaclass,megaclass,phylum_division,subphylum_subdivision,subtribe,section,subsection,subspecies,epifamily
1132,Acanthochondria deltoidea,NA,copepod,NA,fish ectoparasite,NA,adult,NA,NA,present,Light & Smith,all,In the gill cavity of Hexagrammidae (greenlings),solitary,sessile,NA,parasite,specialist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,356676,Animalia,Arthropoda,Copepoda,NA,Neocopepoda,NA,Podoplea,NA,Chondracanthidae,Acanthochondria,Crustacea,Cyclopoida,NA,Multicrustacea,Ergasilida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1133,Acanthochondria vancouverensis,NA,copepod,NA,fish ectoparasite,NA,adult,NA,NA,present,Light & Smith,all,In the nasal capsules of the cabezon,solitary,sessile,NA,parasite,specialist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,348383,Animalia,Arthropoda,Copepoda,NA,Neocopepoda,NA,Podoplea,NA,Chondracanthidae,Acanthochondria,Crustacea,Cyclopoida,NA,Multicrustacea,Ergasilida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
339,Acanthodoris brunnea,NA,nudibranch,NA,NA,NA,adult,NA,Both,rare,"Morris, Abbott, & Haderlie; Light & Smith",low,NA,solitary,mobile,"""byrozoans""",micropredator,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,2,NA,NA,NA,NA,NA,NA,581687,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,Onchidoridoidea,Onchidorididae,Acanthodoris,NA,Nudibranchia,NA,NA,Doridina,Doridoidei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,Acanthodoris hudsoni,NA,nudibranch,NA,NA,NA,adult,NA,N,rare,"Morris, Abbott, & Haderlie; Light & Smith",low,NA,solitary,mobile,NA,micropredator,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,581689,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,Onchidoridoidea,Onchidorididae,Acanthodoris,NA,Nudibranchia,NA,NA,Doridina,Doridoidei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
336,Acanthodoris lutea,NA,nudibranch,orange peel,NA,NA,adult,NA,Both,common,"Morris, Abbott, & Haderlie; Light & Smith",low tidepools,NA,solitary,mobile,"""tunicates and bryozoans""; Alcyonidium sp.",micropredator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,2,NA,NA,NA,NA,NA,low,535686,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,Onchidoridoidea,Onchidorididae,Acanthodoris,NA,Nudibranchia,NA,NA,Doridina,Doridoidei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
337,Acanthodoris nanaimoensis,NA,nudibranch,wine plume dorid,NA,Alaska to central California,adult,NA,N,common,"Morris, Abbott, & Haderlie",low,seasonally common,solitary,mobile,"""colonial ascidians""; Alcyonidium sp.",micropredator,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,2,NA,NA,NA,NA,NA,NA,535685,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,Onchidoridoidea,Onchidorididae,Acanthodoris,NA,Nudibranchia,NA,NA,Doridina,Doridoidei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1893,Acanthodoris pilosa,NA,nudibranch,NA,NA,Circumboreal,adult,NA,N,present,Light & Smith,all,NA,solitary,mobile,Alcyonidium spp. and Flustrellidra sp.,micropredator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,140627,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,Onchidoridoidea,Onchidorididae,Acanthodoris,NA,Nudibranchia,NA,NA,Doridina,Doridoidei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
338,Acanthodoris rhodoceras,NA,nudibranch,black and white dorid,NA,NA,adult,NA,Both,common,"Morris, Abbott, & Haderlie",low tidepools,seasonally common,solitary,mobile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,535687,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,Onchidoridoidea,Onchidorididae,Acanthodoris,NA,Nudibranchia,NA,NA,Doridina,Doridoidei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Acanthonchus duplicatus,NA,nematode,NA,NA,Dillon Beach,adult,NA,N,unclear,Light & Smith,all,Sediment associated with holdfasts of Egregia,solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,single record?,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,228364,Animalia,Nematoda,Chromadorea,Chromadoria,NA,NA,NA,Chromadoroidea,Cyatholaimidae,Acanthonchus,NA,Chromadorida,Paracanthonchinae,NA,Chromadorina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2056,Acanthozoon lepidum,NA,turbellarian,NA,NA,"Monterey Bay, CA",adult,NA,N,locally present,Light & Smith,all,Under stones and in rock crevices on shore,solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,483922,Animalia,Platyhelminthes,NA,NA,NA,NA,NA,NA,Pseudocerotidae,Acanthozoon,Rhabditophora,Polycladida,NA,NA,Cotylea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,Acarnus erithacus,NA,sponge,NA,NA,NA,adult,NA,Both,NA,"Morris, Abbott, & Haderlie; Light & Smith",NA,NA,NA,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,3,fix,NA,NA,NA,NA,NA,167343,Animalia,Porifera,Demospongiae,Heteroscleromorpha,NA,NA,NA,NA,Acarnidae,Acarnus,NA,Poecilosclerida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1384,Accedomoera vagor,NA,gammarid,NA,NA,NA,adult,7.5,NA,present,Light & Smith,all,On algae in exposed rocky areas,solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,550289,Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Peracarida,Calliopioidea,Pontogeneiidae,Accedomoera,Crustacea,Amphipoda,NA,Multicrustacea,Senticaudata,Hadziida,Hadziidira,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2061,Acerotisa langi,NA,turbellarian,NA,NA,"Monterey Bay, CA",adult,NA,N,uncommon,Light & Smith,all,intertidal,solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,483782,Animalia,Platyhelminthes,NA,NA,NA,NA,NA,NA,Euryleptidae,Acerotisa,Rhabditophora,Polycladida,NA,NA,Cotylea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1030,Acetabulastoma californica,NA,ostracod,NA,zooplankton,"Tomales Point, CA",adult,NA,N,present,Light & Smith,low,in the zone of the red alga Corallina gracilis; most are parasitic but this one's host is unknown,aggregating,mobile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,462114,Animalia,Arthropoda,Ostracoda,Podocopa,NA,NA,NA,Cytheroidea,Paradoxostomatidae,Acetabulastoma,Crustacea,Podocopida,NA,Oligostraca,Cytherocopina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
639,Achelia chelata,NA,sea spider,NA,NA,Central California,adult,NA,N,present,"Morris, Abbott, & Haderlie; RIZ lit search #177; Light & Smith",all,"reported in Mytilus but free living as well; Distribution very limited with a few intertidal localities confined to central California, including Moss Beach, and on the bryozoan Bugula at Pescadero. Also in mussel beds and, in winter, in Mytilus californianus",solitary,mobile,NA,unknown,NA,NA,NA,NA,NA,NA,Mytilus californianus,NA,parasitism only reported once,Taxonomic,Species,1,NA,NA,NA,NA,NA,NA,239750,Animalia,Arthropoda,Pycnogonida,NA,NA,NA,NA,Ammotheoidea,Ammotheidae,Achelia,Chelicerata,Pantopoda,Achelinae,NA,Eupantopodida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1426,Achelia simplissima,NA,sea spider,NA,NA,Central California,adult,NA,NA,rare,Light & Smith,all,NA,solitary,mobile,NA,typical predator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,239815,Animalia,Arthropoda,Pycnogonida,NA,NA,NA,NA,Ammotheoidea,Ammotheidae,Achelia,Chelicerata,Pantopoda,Achelinae,NA,Eupantopodida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,Acmaea mitra,NA,true limpet,white-cap limpet,NA,NA,adult,NA,Both,common,"Morris, Abbott, & Haderlie",low,protected areas,solitary,mobile,encrusting coralline algae Lithothamnion and Lithophyllum;; red coralline algae,grazer,generalist,NA,red coralline algae grows on shell; shell burrowed by polydorid worm,NA,NA,NA,NA,NA,NA,Taxonomic,Species,2,NA,NA,NA,NA,NA,NA,456582,Animalia,Mollusca,Gastropoda,Patellogastropoda,NA,NA,NA,Lottioidea,Acmaeidae,Acmaea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1894,Adalaria jannae,Onchidoris muricata,nudibranch,NA,NA,Alaska to central California.,adult,NA,N,present,Light & Smith,all,NA,solitary,mobile,"Lyrula hippocrepis, Membranipora, and Reginella sp.",micropredator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,535688,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,Onchidoridoidea,Onchidorididae,Adalaria,NA,Nudibranchia,NA,NA,Doridina,Doridoidei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
363,Adula californiensis,NA,boring clam,California pea-pod borer,NA,NA,adult,NA,Both,uncommon,"Morris, Abbott, & Haderlie; Light & Smith",low,burrows in soft shale,solitary,sessile,NA,filter feeder,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,505934,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Mytiloidea,Mytilidae,Adula,NA,Mytilida,Lithophaginae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
362,Adula gruneri,Adula falcata,boring clam,rough pea-pod borer,NA,NA,adult,NA,Both,uncommon,"Morris, Abbott, & Haderlie",low,bores in clay and shale,solitary,sessile,NA,filter feeder,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,505935,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Mytiloidea,Mytilidae,Adula,NA,Mytilida,Lithophaginae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1528,Aegialites fuchsi,NA,insect,NA,NA,NA,adult,NA,NA,present,Light & Smith,all,Found in rock crevices,solitary,mobile,organic matter and aquatic mites,omnivore,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,494023,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,NA,Salpingidae,Aegialites,Crustacea,Coleoptera,NA,Allotriocarida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1529,Aegialites subopacus,NA,insect,NA,NA,NA,adult,NA,NA,present,Light & Smith,middle,Active throughout year in rock crevices of mid-intertidal; larvae and pupae occur during summer months,solitary,mobile,organic matter and aquatic mites,omnivore,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,494020,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,NA,Salpingidae,Aegialites,Crustacea,Coleoptera,NA,Allotriocarida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
344,Aegires albopunctatus,NA,nudibranch,salt and pepper,NA,NA,adult,NA,Both,common,"Morris, Abbott, & Haderlie; Light & Smith",low tidepools,seasonally common,solitary,mobile,"""white sponges"", Leucilla nuttingi (http://slugsite.us/bow/nudwk197.htm); Leucetta losangelensis",micropredator,NA,"Navanax inermis, Pleurobranchia californica (subtidal)",NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,2,fix,NA,NA,NA,NA,low,531071,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,Onchidoridoidea,Aegiridae,Aegires,NA,Nudibranchia,NA,NA,Doridina,Doridoidei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
358,Aeolidia loui,Aeolidia papillosa,nudibranch,shag-rug,NA,Northern Hemisphere,adult,NA,Both,common,"Kienberger et al, 2016; Morris, Abbott, & Haderlie",low,NA,solitary,mobile,"Metridium senile, Anthopleura elegantissima, Epiactis prolifera, Tealia coriacea, Tealia crassicornis, ""sea pens and hydroids""",micropredator,generalist,NA,NA,NA,NA,NA,NA,NA,Aeolidia papillosa is not the one found in california,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,880372,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,Aeolidioidea,Aeolidiidae,Aeolidia,NA,Nudibranchia,NA,NA,Cladobranchia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954,Aeolidiella chromosoma,Spurilla,nudibranch,NA,NA,Central California to Costa Rica,adult,NA,Both,present,Light & Smith,all,NA,solitary,mobile,Metridium senile,micropredator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,581900,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,Aeolidioidea,Aeolidiidae,Aeolidiella,NA,Nudibranchia,NA,NA,Cladobranchia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955,Aeolidiella oliviae,Spurilla,nudibranch,NA,NA,Northern California to Mexico,adult,NA,Both,present,Light & Smith,all,NA,solitary,mobile,"Corynactis californica, Epiactis prolifera, and Metridium senile.",micropredator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,581901,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,Aeolidioidea,Aeolidiidae,Aeolidiella,NA,Nudibranchia,NA,NA,Cladobranchia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
941,Aequorea victoria,NA,hydroid,NA,NA,Bering Sea to Southern California,hydroid colony,NA,Both,present,Light & Smith,low,NA,colonial,sessile,see lit search metadata,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,yes,NA,NA,NA,NA,283998,Animalia,Cnidaria,Hydrozoa,Hydroidolina,NA,NA,NA,NA,Aequoreidae,Aequorea,Medusozoa,Leptothecata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
942,Aequorea victoria,NA,plankton,NA,NA,Bering Sea to Southern California,medusa,NA,Both,present,Light & Smith,low,NA,solitary,mobile,see lit search metadata,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,yes,NA,NA,NA,NA,283998,Animalia,Cnidaria,Hydrozoa,Hydroidolina,NA,NA,NA,NA,Aequoreidae,Aequorea,Medusozoa,Leptothecata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
798,Aetea paraligulata,NA,bryozoan,NA,NA,NA,adult,2 - 200,Both,present,Light & Smith,low,"central, southern California; shallow water to 100 m",colonial,sessile,NA,filter feeder,generalist,NA,algae,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,469045,Animalia,Bryozoa,Gymnolaemata,NA,NA,NA,NA,Aeteoidea,Aeteidae,Aetea,NA,Cheilostomatida,NA,NA,Aeteina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
799,Aetea pseudoanguina,Aetea anguina,bryozoan,NA,NA,NA,adult,2 - 200,Both,present,Light & Smith,low,"on algae, rock, other bryozoans",colonial,sessile,NA,filter feeder,generalist,NA,"algae, bryozoans",NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,469044,Animalia,Bryozoa,Gymnolaemata,NA,NA,NA,NA,Aeteoidea,Aeteidae,Aetea,NA,Cheilostomatida,NA,NA,Aeteina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1454,Agaue californica,NA,mite,NA,NA,"Cape Flattery, WA to La Jolla, CA",adult,0.8,Both,present,Macquitty 1984,all,"on intertidal red algae and coralline algae, rock and oyster shells",solitary,mobile,NA,typical predator,generalist,NA,NA,NA,NA,NA,NA,NA,in Light & Smith at higher taxonomic level,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,406498,Animalia,Arthropoda,Arachnida,Acari,NA,NA,Acariformes,Halacaroidea,Halacaridae,Agaue,Chelicerata,Trombidiformes,NA,NA,Prostigmata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1455,Agaue variabilis,NA,mite,NA,NA,"Yaquina Head, Oregon to Baja California",adult,0.6,Both,present,Macquitty 1984,all,"on intertidal red algae and coralline algae, rock and oyster shells, phyllospadix roots",solitary,mobile,NA,typical predator,generalist,NA,NA,NA,NA,NA,NA,NA,in Light & Smith at higher taxonomic level,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,406523,Animalia,Arthropoda,Arachnida,Acari,NA,NA,Acariformes,Halacaroidea,Halacaridae,Agaue,Chelicerata,Trombidiformes,NA,NA,Prostigmata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1448,Agauopsis curvata,Agauopsis curvatus,mite,NA,NA,"Yaquina Head, Oregon to Baja California",adult,0.3,Both,present,Krantz 1974; Macquitty 1984,all,"colony of Mytilus californianus in tide pool with a southern exposure; amongst mussel and barnacle beds, and intertidal algae",solitary,mobile,NA,typical predator,generalist,NA,NA,NA,NA,NA,NA,NA,in Light & Smith at higher taxonomic level,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,406544,Animalia,Arthropoda,Arachnida,Acari,NA,NA,Acariformes,Halacaroidea,Halacaridae,Agauopsis,Chelicerata,Trombidiformes,NA,NA,Prostigmata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
