INITIALS,consumerNum,consumerName,consumerCat,consumerStage,resourceNum,resourceName,resourceCat,resourceStage,interaction.type,confidence,justification,incl.code,ref_num,localities,zone,pools_exposed_interstitial,MorrisHaderlie,epibiota_consumed,notes,link.ID,date_added
EMH,2,Gibbonsia elegans,fish,1,1253,Pentidotea resecata,isopod,1,1,,3,,RIZ Lit Search: 7,Los Angeles,,,,,,20,
EMH,2,Gibbonsia elegans,fish,1,0,Spirontocaris picta,shrimp,1,1,,3,,RIZ Lit Search: 7,Los Angeles,,,,,,21,
EMH,2,Gibbonsia elegans,fish,1,702,Crangon alaskensis,shrimp,1,1,,6,,RIZ Lit Search: 7,Los Angeles,,,,,,22,
EMH,2,Gibbonsia elegans,fish,1,0,Lophopanopeus frontalis,crab,1,1,,3,3,RIZ Lit Search: 7,Los Angeles,,,,,"inclusion pending receipt of ILL request: A REVISION OF THE BRACHYURAN GENUS
LOPHOPANOPEUS",23,
EMH,2,Gibbonsia elegans,fish,1,1011,Pagurus armatus,hermit crab,1,1,2,6,,RIZ Lit Search: 7,Los Angeles,all,pools,y,y,,24,
EMH,2,Gibbonsia elegans,fish,1,430,Platynereis bicanaliculata,polychaete,1,1,,3,,RIZ Lit Search: 7,Los Angeles,,,,,,25,
EMH,2,Gibbonsia elegans,fish,1,609,Protohyale frequens,amphipod,1,1,,3,,RIZ Lit Search: 7,Los Angeles,,,,,,26,
EMH,2,Gibbonsia elegans,fish,1,190,Fissurella volcano,limpet,1,1,,3,,RIZ Lit Search: 7,Los Angeles,,,,,,27,
EMH,2,Gibbonsia elegans,fish,1,736,Lottia conus,limpet,1,1,,3,,RIZ Lit Search: 7,Los Angeles,,,,,,28,
EMH,2,Gibbonsia elegans,fish,1,0,Barlecia bentleyi,,1,1,,3,,RIZ Lit Search: 7,Los Angeles,,,,,,29,
EMH,1,Gibbonsia metzi ,fish,1,1286,Gammaropsis thompsoni,amphipod,1,1,,3,,RIZ Lit Search: 7,Los Angeles,,,,,,30,
EMH,1,Gibbonsia metzi ,fish,1,609,Hyale frequens,amphipod,1,1,,3,,RIZ Lit Search: 7,Los Angeles,,,,,,31,
EMH,1,Gibbonsia metzi ,fish,1,501,Ampithoe plumulosa,amphipod,1,1,,6,,RIZ Lit Search: 7,Los Angeles,,,,,,32,
EMH,1,Gibbonsia metzi ,fish,1,1253,Idotea resecata,isopod,1,1,,3,,RIZ Lit Search: 7,Los Angeles,,,,,,33,
EMH,1,Gibbonsia metzi ,fish,1,489,Idotea aculeata,isopod,1,1,,3,,RIZ Lit Search: 7,Los Angeles,,,,,,34,
EMH,1,Gibbonsia metzi ,fish,1,493,Idotea urotoma,isopod,1,1,,3,,RIZ Lit Search: 7,Los Angeles,,,,,reported as rectilinea,35,
EMH,1,Gibbonsia metzi ,fish,1,515,Heptacarpus paludicola,shrimp,1,1,,3,,RIZ Lit Search: 7,Los Angeles,,,,,,36,
EMH,1,Gibbonsia metzi ,fish,1,524,Pagurus samuelis,hermit crab,1,1,,3,,RIZ Lit Search: 7,Los Angeles,,,,,,37,
EMH,1,Gibbonsia metzi ,fish,1,543,Mimulus foliatus,crab,1,1,,3,,RIZ Lit Search: 7,Los Angeles,,,,,,38,
EMH,1,Gibbonsia metzi ,fish,1,540,Pugettia gracilis,crab,1,1,,3,,RIZ Lit Search: 7,Los Angeles,,,,,,39,
EMH,1,Gibbonsia metzi ,fish,1,430,Platynereis bicanaliculata,polychaete,1,1,,3,,RIZ Lit Search: 7,Los Angeles,,,,,,40,
EMH,2,Gibbonsia elegans,fish,1,2106,Sphaeromyxa gibbonsia,myxozoan,1,24,,3,,RIZ Lit Search: 8,,,,,,,41,
EMH,2,Gibbonsia elegans,fish,1,763,Podocotyle gibbonsia,trematode,1,6,,3,,RIZ Lit Search: 9,,,,,,,42,
EMH,1,Gibbonsia metzi ,fish,1,760,Sphaerospora sphaerula,myxozoan,1,24,,3,,RIZ Lit Search: 8,,,,,,reported as Leptotheca,43,
EMH,143,Dermasterias imbricata,sea star,1,101,Anthopleura elegantissima,anemone,1,1,,3,,RIZ Lit Search: 6,,,,,,,44,
EMH,358,Aeolidia loui ,nudibranch,1,101,Anthopleura elegantissima,anemone,1,1,,3,,,,,,,,,45,
EMH,56,Anthopleura sola,anemone,1,40,Aplysia californica,sea hare,1,1,,3,,RIZ Lit Search: 1,,,,,,,46,
EMH,99,Anthopleura xanthogrammica,anemone,1,40,Aplysia californica,sea hare,1,1,,3,,RIZ Lit Search: 2,,,,,,,47,
ZZ,124,Paranemertes peregrina,nemertean,1,430,Platynereis bicanaliculata,,1,,,,,,,, ,y,,,48,
EMH,4,Hypsoblennius gilberti,fish,1,495,Colidotea rostrata,isopod,1,1,,3,,RIZ Lit Search: 10,,,,,,,49,
EMH,15,Clinocottus analis ,fish,1,495,Colidotea rostrata,isopod,1,1,,3,,RIZ Lit Search: 10,,,,,,,50,
EMH,583,Amyloodinium ocellatum,diatom,1,3,Hypsoblennius gilberti ,fish,1,7,,3,,RIZ Lit Search: 11,,,,,,,51,
EMH,4,Hypsoblennius gilberti,fish,1,3,Gibbonsia elegans,fish,1,9,,3,,,,,,,,,52,
EMH,143,Dermasterias imbricata,sea star,1,109,Corynactis californica,anemone,1,1,,3,,RIZ Lit Search: 14,,,,,,,53,
EMH,143,Dermasterias imbricata,sea star,1,101,Anthopleura elegantissima,anemone,1,1,,3,,RIZ Lit Search: 14,,,,,,,54,
EMH,143,Dermasterias imbricata,sea star,1,0,Urticina piscivora,anemone ,1,1,,3,,RIZ Lit Search: 15,,,,,,,55,
EMH,143,Dermasterias imbricata,sea star,1,0,Psolus chitonoides,sea cucumber,1,1,,3,5,RIZ Lit Search: 16,,,,,,,56,
EMH,143,Dermasterias imbricata,sea star,1,146,Solaster dawsonii,sea star,1,9,,3,,RIZ Lit Search: 17,,,,,,,57,
EMH,143,Dermasterias imbricata,sea star,1,157,Eupentacta quinquesemita,sea cucumber,1,1,,3,,RIZ Lit Search: 18,,,,,,,58,
EMH,145,Patiria miniata,sea star,1,795,Tubulipora aliciae,bryozoan,1,3,2,6,,RIZ Lit Search: 20,,low,pools,,y,,59,
EMH,145,Patiria miniata,sea star,1,0,Lytechinus anamesus,sea urchin,1,1,,3,,RIZ Lit Search: 21,,,,,,,60,
EMH,145,Patiria miniata,sea star,1,645,Alaria marginata,brown algae,1,3,2,6,,RIZ Lit Search: 23,,low,pools,,y,"expanded from ""phaeophyta""",61,
EMH,145,Patiria miniata,sea star,1,2294,Bryopsis corticulans,green algae,1,3,2,3,,RIZ Lit Search: 23,,low,pools,,y,,62,
EMH,582,Orchitophyra stellarum,ciliate,1,144,Patiria miniata,sea star,1,4,,3,,RIZ Lit Search: 24,,,,,,,63,
EMH,582,Orchitophyra stellarum,ciliate,1,150,Pisaster ochraceus,sea star,1,4,,3,,RIZ Lit Search: 24/25/26/29/37,,,,,,,64,
EMH,150,Pisaster ochraceus,sea star,1,367,Mytilus californianus,bivalve,1,1,,3,,RIZ Lit Search: 28,,,,,,,65,
EMH,582,Orchitophrya stellarum,ciliate,1,149,Leptasterias pusilla,sea star,1,1,,3,,RIZ Lit Search: 29,,,,,,,66,
EMH,150,Pisaster ochraceus,sea star,1,149,Leptasterias hexactis,sea star,1,1,,3,,,,,,,,,67,
EMH,150,Pisaster ochraceus,sea star,3,0,Chaetoceros calcitrans,phytoplankton,1,1,,3,,RIZ Lit Search: 30,,,,,,,68,
EMH,150,Pisaster ochraceus,sea star,3,739,Dunaliella tertiolecta,phtyoplankton,1,1,,3,,RIZ Lit Search: 30,,,,,,,69,
EMH,150,Pisaster ochraceus,sea star,3,0,Isochrysis galbana,phtyoplankton,1,1,,3,,RIZ Lit Search: 30,,,,,,,70,
EMH,150,Pisaster ochraceus,sea star,1,464,Balanus glandula,barnacle,1,1,,3,,RIZ Lit Search: 27,,,,,,,71,
EMH,150,Pisaster ochraceus,sea star,1,458,Tetraclita rubescens,barnacle,1,1,,3,,RIZ Lit Search: 27,,,,,,,72,
EMH,150,Pisaster ochraceus,sea star,1,237,Tegula funebralis,snail,1,1,,3,,RIZ Lit Search: 27,,,,,,,73,
EMH,150,Pisaster ochraceus,sea star,1,210,Lottia scabra,limpet,1,1,,3,,RIZ Lit Search: 27,,,,,,,74,
EMH,150,Pisaster ochraceus,sea star,1,455,Pollicipes polymerus,barnacle,1,1,,3,,RIZ Lit Search: 27,,,,,,,75,
EMH,150,Pisaster ochraceus,sea star,1,411,Mopalia muscosa,chiton,1,1,,3,,RIZ Lit Search: 27,,,,,,,76,
EMH,150,Pisaster ochraceus,sea star,1,229,Haliotis cracherodi,snail,1,1,,3,,RIZ Lit Search: 27,,,,,,,77,
EMH,150,Pisaster ochraceus,sea star,1,284,Nucella emarginata,snail,1,1,,3,,RIZ Lit Search: 27,,,,,,,78,
EMH,150,Pisaster ochraceus,sea star,1,471,Balanus nubilis,barnacle,1,1,,3,,RIZ Lit Search: 27,,,,,,,79,
EMH,150,Pisaster ochraceus,sea star,1,1694,Spirorbis bifurcatus,polychaete,1,1,2,6,,missing ,,middle,pools,,y,,80,
EMH,154,Pisaster brevispinus,sea star,1,0,Tresus nuttallii,clam,1,1,,3,5,RIZ Lit Search: 33,,,,,,,81,
EMH,150,Pisaster ochraceus,sea star,1,2370,Stellarchytrium dubum,ciliate,1,"parasite, unsure what kind",,3,,RIZ Lit Search: 34,,,,,,,82,
EMH,150,Pisaster ochraceus,sea star,1,2371,Aplanochytrium blankum,ciliate,1,"parasite, unsure what kind",,3,,RIZ Lit Search: 34,,,,,,,83,
EMH,150,Pisaster ochraceus,sea star,1,2372,Oblongichytrium porteri,ciliate,1,"parasite, unsure what kind",,3,,RIZ Lit Search: 34,,,,,,,84,
EMH,147,Solaster dawsonii,sea star,1,150,Pisaster ochraceus,sea star,1,1,,3,,RIZ Lit Search: 17,,,,,,,85,
EMH,147,Solaster dawsonii,sea star,1,153,Pisaster brevispinus,sea star,1,1,,3,,RIZ Lit Search: 17,,,,,,,86,
EMH,147,Solaster dawsonii,sea star,1,1979,Mediaster aequalis,sea star,1,1,,3,,RIZ Lit Search: 38,,,,,,,87,
EMH,147,Solaster dawsonii,sea star,1,0,Crossaster papposus,sea star,1,1,,3,,RIZ Lit Search: 38,,,,,,,88,
EMH,147,Solaster dawsonii,sea star,1,0,Ptilosarcus gurneyi,sea pen,1,1,,3,5,RIZ Lit Search: 38,,,,,,,89,
EMH,143,Dermasterias imbricata,sea star,1,0,Ptilosarcus gurneyi,sea pen,1,1,,3,5,RIZ Lit Search: 38,,,,,,,90,
EMH,147,Solaster dawsonii,sea star,1,160,Parastichopus californicus,sea cucumber,juvenile,1,,3,,RIZ Lit Search: 39,,,,,,,91,
EMH,424,Arctonoe vittata,polychaete,1,146,Solaster dawsonii,sea star,1,9,,3,,RIZ Lit Search: 41,,,,,,,92,
EMH,424,Arctonoe vittata,polychaete,1?,143,Dermasterias imbricata,sea star,1,9,,3,,RIZ Lit Search: 41,,,,,,,93,
EMH,105,Tealia crassicornis,anemone,1,0,Neptunea pribiloffensis,snail,2,10 or 22 ( not confirmed ),,3,,RIZ Lit Search: 42,,,,,,,94,
EMH,584,Foettingeria actiniarum,ciliate,1,104,Urticina crassicornis,anemone,1,10,,3,,RIZ Lit Search: 45,,,,,,,95,
EMH,6,Micrometrus minimus,fish,1,489,Pentidotea aculeata,isopod,1,1,,3,,RIZ Lit Search: 7,,,,,,,96,
EMH,6,Micrometrus minimus,fish,1,493,Idotea urotoma,isopod,1,1,,3,,RIZ Lit Search: 7,,,,,,reported as rectilinea,97,
EMH,6,Micrometrus minimus,fish,1,1329,Allorchestes rickeri,amphipod,1,1,2,6,,RIZ Lit Search: 7,,all,pools,,y,,98,
EMH,6,Micrometrus minimus,fish,1,210,Lottia scabra,,1,1,,3,,RIZ Lit Search: 7,,,,,,,99,
EMH,6,Micrometrus minimus,fish,1,0,Barlecia bentleyi,,1,1,,3,,RIZ Lit Search: 7,,,,,,,100,
EMH,6,Micrometrus minimus,fish,1,430,Platynereis bicanaliculata,polychaete,1,1,,3,,RIZ Lit Search: 7,,,,,,,101,
EMH,6,Micrometrus minimus,fish,1,475,Cirolana harfordi,isopod,1,1,,3,,RIZ Lit Search: 7,,,,,,,102,
EMH,6,Micrometrus minimus,fish,1,609,Hyale frequens,amphipod,1,1,,3,,RIZ Lit Search: 7,,,,,,,103,
EMH,6,Micrometrus minimus,fish,1,1606,Marphysa sanguinea,polycheate,1,1,,3,,RIZ Lit Search: 7,,,,,,,104,
EMH,586,Postmonorchis donacis,trematode,1,7,Micrometrus minimus,fish,1,6,,3,,RIZ Lit Search: 48/49,,,,,,,105,
EMH,NA,Asterias vulgaris,sea star,1,160,Ophiopolus aculeata,brittle star,1,1,,3,,RIZ Lit Search: 50,,,,,,,106,
EMH,NA,Strongylocentrotus droebachiensis,urchin,1,160,Ophiopolus aculeata,brittle star,1,1,,3,,RIZ Lit Search: 50,,,,,,,107,
EMH,NA,Leptasterias polaris,sea star,1,160,Ophiopolus aculeata,brittle star,1,1,,3,,RIZ Lit Search: 52,,,,,,,108,
EMH,NA,Eulima bilineata,snail,1,160,Ophiopolus aculeata,brittle star,1,"parasite, unsure which kind",,3,3,RIZ Lit Search: 53/54,,,,,,only in atlantic,109,
EMH,NA,Homarus americanus,decapod,immature/juvinile,160,Ophiopolus aculeata,brittle star,1,1,,3,,RIZ Lit Search: 55,,,,,,,110,
ZZ,585,Haplosporidium malacobdellae,sporozoan,1,127,Malacobdella grossa,nemertean,1,4,,3,,"MAH, 57",,,,,,,111,
EMH,NA,Gadus morhua,fish,1,160,Ophiopolus aculeata,brittle star,1,1,,3,5,RIZ Lit Search: 56,,,,,,,112,
ZZ,127,Malacobdella grossa,nemertean,1,0,Macoma seta,,,,,,,,,,,,,,113,
ZZ,127,Malacobdella grossa,nemertean,1,0,Macoma nasuta,,,,,,,,,,,,,,114,
ZZ,127,Malacobdella grossa,nemertean,1,0,Siliqua patula,,,,,,,,,,,,,,115,
ZZ,127,Malacobdella grossa,nemertean,1,0,Tresus nuttallii,,,,,,5,,,,,,,,116,
EMH,NA,Philichthys amphiurae,,1,161,Amphipholis squamata,brittle star,2,4?,,3,,RIZ Lit search: 61,,,,,,,117,
EMH,998,Carcinus maenas,decapod,1,161,Amphipholis squamata,brittle star,1,1,,3,5,RIZ Lit search: 63,,,,,,,118,
EMH,NA,Ophiactis savignyi,brittle star,juvinile,161,Amphipholis squamata,brittle star,1,10,,3,,RIZ Lit search: 64,,,,,,,119,
EMH,NA,Ophiothrix angulata,brittle star,juvinile,161,Amphipholis squamata,brittle star,1,10,,3,,RIZ Lit search: 64,,,,,,,120,
EMH,168,Strongylocentrotus purpuratus,urchin,1,NA,Iridophycus flaccidum,algae,1,3,,3,,RIZ lit search: 66,,,,,,,121,
EMH,168,Strongylocentrotus purpuratus,urchin,1,607,Phyllospadix torreyi,sea grass,1,3,,6,,RIZ lit search: 66,,,,,,,122,
EMH,168,Strongylocentrotus purpuratus,urchin,1,0,Caltiarthron tuberculosurn,coralline algae,1,3,,3,,RIZ lit search: 67,,,,,,,123,
EMH,168,Strongylocentrotus purpuratus,urchin,1,0,Caltiarthron cheilosporioides,coralline algae,1,3,,3,,RIZ lit search: 67,,,,,,,124,
EMH,168,Strongylocentrotus purpuratus,urchin,1,0,Bossietla californica ssp. schmittii,coralline algae,1,3,,3,,RIZ lit search: 67,,,,,,,125,
EMH,152,Pycnopodia helianthoides,sea star,1,168,Strongylocentrotus purpuratus,urchin,1,1,,3,5,RIZ lit search: 67,,,,,,,126,
EMH,719,Enhydra lutris,marine mammal,1,168,Strongylocentrotus purpuratus,urchin,1,1,,3,,RIZ lit search: 67,,,,,,,127,
EMH,143,Dermasterias imbricata,sea star,1,168,Strongylocentrotus purpuratus,urchin,1,1,,3,,RIZ lit search: 68,,,,,,,128,
EMH,735,Panulirus interruptus,lobster,4,168,Strongylocentrotus purpuratus,urchin,1,1,,3,,RIZ lit search: 65,,,,,,,129,
ZZ,335,Okenia rosaceae,nudibranch,1,134,Integripelta bilabiata,bryozoan,1,3,,3,,MAH,,,,,,,130,
ZZ,2048,Hoploplana californica,flatworm,1,136,Celleporariae brunnea,bryozoan,1,1,,3,,MAH,,,both,,,,131,
ZZ,137,Crisulipora occidentalis,bryozoan,1,366,Mytilus californianus,bivalve,1,2,,3,,MAH,,,exposed,y,,,132,
ZZ,137,Crisulipora occidentalis,bryozoan,1,367,Mytilus edulis,bivalve,1,2,,3,,MAH,,,exposed,y,,,133,
ZZ,135,Costazia robertsoniae,bryozoan,1,587,Macrocystis pyrifera,algae,1,2,,3,,MAH,,,pools,y,,,134,
ZZ,143,Dermasterias imbricata,sea star,1,101,Anthopleura elegantissima,anemone,1,1,,3,,MAH,,,pools,y,,,135,
ZZ,143,Dermasterias imbricata,sea star,1,99,Anthopleura xanthogrammica,anemone,1,1,,3,,MAH,,,pools,y,,,136,
ZZ,147,Astrometis sertulifera,sea star,1,163,Ophiothrix spiculata,brittle star,1,1,,3,,MAH,,,pools,y,,,137,
ZZ,148,Leptasterias pusilla,sea star,1,764,Pseudodiala acuta,snail,1,1,,3,4,MAH,,,pools,y,,,138,
ZZ,151,Pisaster giganteus,sea star,1,367,Mytilus edulis,bivalve,1,1,,3,,MAH,,,pools,y,,,139,
ZZ,151,Pisaster giganteus,sea star,1,366,Mytilus californianus,bivalve,1,1,,3,,MAH,,,pools,y,,,140,
ZZ,151,Pisaster giganteus,sea star,1,287,Kelletia kelletii,snail,1,1,,3,,MAH,,,pools,y,,,141,
ZZ,151,Pisaster giganteus,sea star,1,368,Mytilisepta bifurcata,bivalve,1,1,,3,,MAH,,,pools,y,,,142,
ZZ,151,Pisaster giganteus,sea star,1,284,Nucella emarginata,snail,1,1,,3,,MAH,,,pools,y,,,143,
ZZ,151,Pisaster giganteus,sea star,1,282,Acanthina spirata,snail,1,1,,3,,MAH,,,pools,y,,,144,
ZZ,151,Pisaster giganteus,sea star,1,237,Tegula funebralis,snail,1,1,,3,,MAH,,,pools,y,,,145,
ZZ,151,Pisaster giganteus,sea star,1,409,Nuttallina californica,chiton,1,1,,3,,MAH,,,pools,y,,,146,
ZZ,151,Pisaster giganteus,sea star,1,436,Phragmatopoma californica,polychaete,1,1,,3,,MAH,,,pools,y,,,147,
ZZ,149,Leptasterias hexactis,sea star,1,156,Eupentacta quinquesemita,sea cucumber,1,1,,3,,MAH,,,pools,y,,,148,
ZZ,588,Rhopalura ophiocomae,orthonectid,1,162,Amphipholus pugetana,brittle star,1,4,,3,,MAH,,low,pools,y,,,149,
ZZ,168,Strongylocentrotus purpuratus,sea urchin,1,587,Macrocystis pyrifera,algae,1,1,,3,,MAH,,low,pools,y,,,150,
EMH,15,Clinocottus analis ,fish,1,508,Betaeus harfordi,crab,1,1,,3,,RIZ Lit Search: 7,"Los Angeles County, CA",,,,,,151,
EMH,15,Clinocottus analis ,fish,1,540,Pugettia gracilis,crab,1,1,,3,,RIZ Lit Search: 8,"Los Angeles County, CA",,,,,,152,
EMH,15,Clinocottus analis ,fish,1,0,Spirontocaris picta,crab,1,1,,3,,RIZ Lit Search: 9,"Los Angeles County, CA",,,,,,153,
EMH,15,Clinocottus analis ,fish,1,0,Pelotonia spp. ,algae,1,3,,3,,RIZ Lit Search: 72,"San Mateo, CA.",,,,,,154,
EMH,15,Clinocottus analis ,fish,1,737,Ascarophis morronei,nematode,1,6,,3,,RIZ Lit Search: 73,"Baja CA, Mexico",,,,,,155,
SML,1416,Deutella californica,caprellid,1,85,Obelia dichotoma,jelly,,,,,,,,,,,,,156,
EMH,15,Clinocottus analis ,fish,1,312,Cadlina luteomarginata,nudibranch,1,1,,3,,RIZ Lit Search: 75,"Southern CA, ( La Jolla/San Diego/Point Loma)",,,,,,157,
EMH,15,Clinocottus analis ,fish,1,2105,Trichodina jadranica,ciliate,1,7,,3,,RIZ Lit Search: 76,"Baja CA, Mexico ",,,,,,158,23-Apr-24
EMH,16,Oligocottus maculosus,fish,1,0,Artemia salina,shrimp,1,1,,3,5,RIZ Lit Seach: 80,British Columbia,,,,,,159,
EMH,16,Oligocottus maculosus,fish,1,367,Mytilus edulis,bivalve,1,1,,3,,RIZ Lit Seach: 81,British Columbia,,,,,,160,
ZZ,589,Syndesmis sp.,flatworm,1,168,Strongylocentrotus purpuratus,urchin,1,6,,3,,MAH; 303,all,low,pools,y,,ingesting host intestinal epithelium - not commensal,161,
ZZ,590,Syndisyrinx franciscanus,flatworm,1,168,Strongylocentrotus purpuratus,urchin,1,6,,3,,MAH; 303,all,low,pools,y,,ingesting host intestinal epithelium - not commensal,162,
ZZ,591,Flabesymbios commensalis,polychaete,1,168,Strongylocentrotus purpuratus,urchin,1,10,,3,,MAH,all,low,pools,y,,,163,
ZZ,495,Colidotea rostrata,isopod,1,168,Strongylocentrotus purpuratus,urchin,1,10,,3,,MAH,all,low,pools,y,,,164,
ZZ,145,Patiria miniata,sea star,1,170,Aplidium californicum,tunicate,1,1,,3,,MAH,,middle,pools,y,,,165,
ZZ,143,Dermasterias imbricata,sea star,1,170,Aplidium californicum,tunicate,1,1,,3,,MAH,,middle,pools,y,,,166,
ZZ,592,Pholeterides furtiva,copepod,1,170,Aplidium californicum,tunicate,1,6,,3,,MAH,"Puget Sound, WA",middle,pools,y,,,167,
ZZ,503,Polycheria osborni,amphipod,1,170,Aplidium californicum,tunicate,1,9,,3,,MAH,,middle,pools,y,,,168,
ZZ,130,Bugula neritina,bryozoan,1,170,Aplidium californicum,tunicate,1,9,,3,4,81,Baja California,middle,pools,,,,169,
ZZ,357,Hermissenda crassicornis,nudibranch,1,171,Aplidium solidum,tunicate,1,1,,3,,MAH,,middle,pools,y,,,170,
ZZ,145,Patiria miniata,sea star,1,178,Euherdmania claviformis,tunicate,1,1,,3,,MAH,,low,pools,y,,,171,
ZZ,143,Dermasterias imbricata,sea star,1,179,Didemnum carnulentum,tunicate,1,1,,3,,MAH,,middle,pools,y,,,172,
ZZ,265,Marsenina stearnsii,snail,1,180,Trididemnum opacum,tunicate,1,27,,3,,MAH,,low,pools,y,,,173,
ZZ,143,Dermasterias imbricata,sea star,1,183,Archidistoma psammion,tunicate,1,1,,3,,MAH,,low,pools,y,,,174,
ZZ,145,Patiria miniata,sea star,1,183,Archidistoma psammion,tunicate,1,1,,3,,MAH,,low,pools,y,,,175,
ZZ,393,Mytilimeria nuttalli,bivalve,1,183,Archidistoma psammion,tunicate,1,2,,3,,MAH,,low,pools,y,,,176,
ZZ,503,Polycheria osborni,amphipod,1,183,Archidistoma psammion,tunicate,1,2,,3,,MAH,,,,,,,177,
ZZ,593,Haplostoma minutum,copepod,1,173,Aplidium arenatum,tunicate,1,2,,3,,"82, MAH",,,,y,,,178,
ZZ,594,Haplosaccus elongatus,copepod,1,173,Aplidium arenatum,tunicate,1,2,,3,,"82, MAH",,,,y,,,179,
ZZ,595,Haplostomella dubia,copepod,1,173,Aplidium arenatum,tunicate,1,2,,3,,"82, MAH",,,,y,,,180,
ZZ,596,Haplostomella distincta,copepod,1,173,Aplidium arenatum,tunicate,1,2,,3,,"82, MAH",,,,y,,,181,
ZZ,597,Haplostomella oceanica,copepod,1,173,Aplidium arenatum,tunicate,1,2,,3,,"82, MAH",,,,y,,,182,
ZZ,503,Polycheria osborni,amphipod,1,174,Polyclinum planum,tunicate,1,2,,3,,MAH,,very low,pools,y,,,183,
ZZ,503,Polycheria osborni,amphipod,1,176,Ritterella pulchra,tunicate,1,2,,3,,MAH,,middle,,y,,,184,
ZZ,393,Mytilimeria nuttalli,bivalve,1,185,Cystodytes lobatus,tunicate,1,2,,3,,MAH; LS,,very low,,y,,,185,
ZZ,503,Polycheria osborni,amphipod,1,185,Cystodytes lobatus,tunicate,1,2,,3,,MAH,,very low,,y,,,186,
ZZ,503,Polycheria osborni,amphipod,1,186,Clavelina huntsmani,tunicate,1,2,,3,,MAH,,low,,,,,187,
ZZ,503,Polycheria osborni,amphipod,1,187,Distaplia occidentalis,tunicate,1,2,,3,,MAH,,low,,,,,188,
ZZ,81,Bythotiara huntsmani,hydroid,5,189,Ascidia ceratodes,tunicate,1,9,,3,4,"MAH, 83",British Columbia,middle,pools,y,,,189,
ZZ,150,Pisaster ochraceus,sea star,1,190,Fissurella volcano,limpet,1,1,,3,,MAH,,low,pools,y,,,190,
ZZ,150,Pisaster ochraceus,sea star,1,191,Fissurella volcano crucifera,limpet,1,1,,3,,MAH,,low,pools,y,,,191,
ZZ,150,Pisaster ochraceus,sea star,1,195,Diodora aspera,limpet,1,1,,3,,MAH,,low,both,y,,,192,
ZZ,151,Pisaster giganteus,sea star,1,195,Diodora aspera,limpet,1,1,,3,,MAH,,low,both,y,,,193,
ZZ,148,Leptasterias pusilla,sea star,1,195,Diodora aspera,limpet,1,1,,3,,MAH,,all,pools,y,,,194,
ZZ,149,Leptasterias hexactis,sea star,1,195,Diodora aspera,limpet,1,1,,3,,MAH,,middle,both,y,,,195,
