nodeNum,species,synonymies,organismal_category,common_name,range,body_size_mm,province,commonality,reference_justification,zone,habitat_notes,solitary_aggregating_colonial,mobile_or_sessile,trophic_strategy,notes,node_type,node_resolution,aphia,kingdom,phylum,class,order,family,genus,life_stage,web_enter_code,clean_stage
101,Anthopleura elegantissima,NA,anemone,NA,NA,NA,Both,abundant,"Morris, Abbott, & Haderlie; Light & Smith",NA,NA,colonial,sessile,filter feeder,left out until 11/25/2020 - unsure why?,Taxonomic,Species,283347,Animalia,Cnidaria,Hexacorallia,Actiniaria,Actiniidae,Anthopleura,adult,1,1
300,Aplysia californica,NA,sea hare,California brown sea hare,NA,NA,Both,common,"Morris, Abbott, & Haderlie",low,sporadically common,solitary,mobile,grazer,NA,Taxonomic,Species,240765,Animalia,Mollusca,Gastropoda,Aplysiida,Aplysiidae,Aplysia,adult,2,1
495,Colidotea rostrata,NA,isopod,NA,"southern California to northwest Baja California, Mexico",11,S,present,"Morris, Abbott, & Haderlie; Light & Smith; 288",low,on purple urchin spines,solitary,mobile,grazer,little known,Taxonomic,Species,259825,Animalia,Arthropoda,Malacostraca,Isopoda,Idoteidae,Colidotea,adult,1,1
3,Hypsoblennius gilberti,NA,fish,rockpool blenny,"Point Conception in California, USA to southern Baja California, Mexico",1700,S,present,D. Canestro; FishBase,NA,"in intertidal areas, with homing behavior",solitary,mobile,typical predator,"Eggs are demersal, adhesive, guarded by male",Taxonomic,Species,276324,Animalia,Chordata,Teleostei,Blenniiformes,Blenniidae,Hypsoblennius,adult,1,1
109,Corynactis californica,NA,anemone,NA,NA,NA,Both,present,"Morris, Abbott, & Haderlie; light & Smith",low,NA,colonial,sessile,filter feeder,NA,Taxonomic,Species,283836,Animalia,Cnidaria,Hexacorallia,Corallimorpharia,Corallimorphidae,Corynactis,adult,3,1
146,Solaster dawsoni,NA,asteroid,sun star,NA,NA,N,uncommon,"Morris, Abbott, & Haderlie; Light & Smith",low,NA,solitary,mobile,typical predator,NA,Taxonomic,Species,292720,Animalia,Echinodermata,Asteroidea,Valvatida,Solasteridae,Solaster,adult,1,1
157,Pachythyone rubra,NA,cucumber,NA,Monterey to Los Angeles,NA,Both,common,"Morris, Abbott, & Haderlie; Light & Smith",low,"holdfasts, seagrass beds",solitary,mobile,deposit feeder,broods eggs,Taxonomic,Species,529582,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Sclerodactylidae,Pachythyone,adult,1,1
795,Tubulipora aliciae,T. pulchra,bryozoan,NA,NA,2 - 200,S,present,Light & Smith,all,loosely attached to algae by small projections,colonial,sessile,filter feeder,NA,Taxonomic,Species,470927,Animalia,Bryozoa,Stenolaemata,Cyclostomatida,Tubuliporidae,Tubulipora,adult,1,1
645,Alaria marginata,NA,brown algae,NA,"Alaska to Carmel Highlands, CA",4m,N,common,Abbott & Hollenberg,all,locally abundant on exposed rocks,aggregating,sessile,primary producer,NA,Taxonomic,Species,371791,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,Alaria,adult,1,1
2294,Bryopsis corticulans,NA,green algae,NA,NA,NA,Both,present,UC Berkeley Herbarium - California Seaweeds eFlora,low,NA,solitary,sessile,primary producer,NA,Taxonomic,Species,371783,Plantae,NA,Ulvophyceae,Bryopsidales,Bryopsidaceae,Bryopsis,adult,1,1
144,Patiria miniata,NA,asteroid,bat star,NA,NA,Both,common,"Morris, Abbott, & Haderlie; Light & Smith",low,"common N, uncommon S",solitary,mobile,carnivore (scavenger + predator),NA,Taxonomic,Species,382131,Animalia,Echinodermata,Asteroidea,Valvatida,Asterinidae,Patiria,adult,2,1
150,Pisaster ochraceus,NA,asteroid,ochre star,NA,NA,Both,common,"Morris, Abbott, & Haderlie","middle, low",NA,solitary,mobile,typical predator,NA,Taxonomic,Species,240755,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,adult,1,1
367,Mytilus edulis,NA,mussel,bay mussel,NA,NA,Both,common,"Morris, Abbott, & Haderlie",low,NA,aggregating,sessile,filter feeder,NA,Taxonomic,Species,140480,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,adult,3,1
149,Leptasterias hexactis,NA,asteroid,6 arm star,NA,NA,N + Channel Islands,common,"Morris, Abbott, & Haderlie",middle,in small mytilus beds,solitary,mobile,typical predator,NA,Taxonomic,Species,369177,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Leptasterias,adult,1,1
739,Dunaliella tertiolecta,NA,phytoplankton,NA,NA,NA,NA,present,NA,NA,NA,aggregating,sessile,primary producer,NA,Taxonomic,Species,178590,Plantae,NA,Chlorophyceae,Chlamydomonadales,Dunaliellaceae,Dunaliella,adult,1,1
464,Balanus glandula,NA,barnacle,NA,NA,NA,Both,abundant,"Morris, Abbott, & Haderlie",high to middle,"on rocks, other organisms, with Endocladia muricata",aggregating,sessile,filter feeder,"limpets eat cyprids, juveniles… add a new line?",Taxonomic,Species,394848,Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Balanus,juvenile,2,5
458,Tetraclita rubescens,NA,barnacle,NA,"Cape Mendocino, CA to South",NA,Both,common,"morris, Abbott, & Haderlie",middle to low,on rocks exposed to strong surf,aggregating,sessile,filter feeder,NA,Taxonomic,Species,882213,Animalia,Arthropoda,Thecostraca,Balanomorpha,Tetraclitidae,Tetraclita,adult,3,1
237,Tegula funebralis,Cholorostoma,topsnail,black turban snail,NA,NA,Both,abundant,"Morris, Abbott, & Haderlie",middle,avoiding exposed outercoast habitats,solitary,mobile,grazer,NA,Taxonomic,Species,534190,Animalia,Mollusca,Gastropoda,Trochida,Tegulidae,Tegula,adult,3,1
210,Lottia scabra,Acmea scabra,true limpet,rough limpet,NA,>10,Both,common,"Morris, Abbott, & Haderlie; Light & Smith",high,horizontal surfaces,solitary,mobile,grazer,NA,Taxonomic,Species,456604,Animalia,Mollusca,Gastropoda,NA,Lottiidae,Lottia,adult,3,1
455,Pollicipes polymerus,Mitella polymerus,barnacle,leaf barnacle,NA,NA,Both,common,"Morris, Abbott, & Haderlie",middle,in clusters or mixed with mussel beds,aggregating,sessile,filter feeder,NA,Taxonomic,Species,535329,Animalia,Arthropoda,Thecostraca,Pollicipedomorpha,Pollicipedidae,Pollicipes,adult,1,1
411,Mopalia muscosa,NA,chiton,mossy chiton,NA,NA,Both,common,"Morris, Abbott, & Haderlie; Light & Smith",middle to low,"on rocks, in tidepools, nocturnal",solitary,mobile,omnivore,generalists in some areas,Taxonomic,Species,386353,Animalia,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Mopalia,adult,1,1
229,Haliotis cracherodii,NA,abalone,black abalone,NA,> 90 mm,Both,fairly common,"Morris, Abbott, & Haderlie; Light & Smith",all,"in crevices or under large rocks; M & H says ""common"" but that was in 80s",solitary,mobile,grazer,NA,Taxonomic,Species,405012,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,adult,3,1
284,Nucella emarginata,Thais emarginata,snail,emarginate dogwinkle,NA,NA,Both,common,"Morris, Abbott, & Haderlie; Light & Smith",high to middle,uncommon S.,solitary,mobile,typical predator,NA,Taxonomic,Species,404208,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Nucella,adult,1,1
471,Megabalanus californicus,NA,barnacle,giant barnacle,Monterey Bay to South,NA,Both,uncommon,"Morris, Abbott, & Haderlie",low,more common subtidally,aggregating,sessile,filter feeder,NA,Taxonomic,Species,394981,Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Megabalanus,adult,1,1
1694,Spirorbis bifurcatus,NA,spirorbid polychaete,NA,Columbia River to Point Conception,NA,N,present,Light & Smith,all,"On shaded areas of intertidal rocks, stones; often found with Paradexiospira vitrea, Simplaria potswaldi, or S. pseudomilitaris.",solitary,sessile,filter feeder,NA,Taxonomic,Species,209937,Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Spirorbis,adult,1,1
153,Pisaster brevispinus,NA,asteroid,pink star,NA,NA,Both,occasional,"Morris, Abbott, & Haderlie; Light & Smith",low,opportunistic scavenger,solitary,mobile,typical predator,NA,Taxonomic,Species,240757,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,adult,1,1
1979,Mediaster aequalis,NA,asteroid,NA,Oregon to California,NA,N,common,Light & Smith,all,NA,solitary,mobile,carnivore (scavenger + predator),NA,Taxonomic,Species,242160,Animalia,Echinodermata,Asteroidea,Valvatida,Goniasteridae,Mediaster,adult,1,1
160,Ophiopholis aculeata,NA,brittle star,Daisy brittle star,NA,NA,Both,common,"Morris, Abbott, & Haderlie",low,NA,solitary,mobile,deposit feeder,NA,Taxonomic,Species,125125,Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Ophiopholidae,Ophiopholis,adult,1,1
143,Dermasterias imbricata,NA,asteroid,leather star,NA,NA,Both,uncommon,"Morris, Abbott, & Haderlie; Light & Smith",low,NA,solitary,mobile,typical predator,NA,Taxonomic,Species,240771,Animalia,Echinodermata,Asteroidea,Valvatida,Asteropseidae,Dermasterias,adult,2,1
104,Urticina crassicornis,Tealia,anemone,NA,NA,NA,N,present,"Morris, Abbott, & Haderlie; LIght & Smith",middle to low,"on undersides of large rocks, in protected pools.",solitary,sessile,filter feeder,NA,Taxonomic,Species,100832,Animalia,Cnidaria,Hexacorallia,Actiniaria,Actiniidae,Urticina,adult,3,1
1329,Allorchestes rickeri,NA,gammarid,NA,NA,6,N,present,Light & Smith,all,"Open coast, semiprotected sand, rock beaches",solitary,mobile,omnivore,trophic strategy inferred but truly unknown,Taxonomic,Species,489551,Animalia,Arthropoda,Malacostraca,Amphipoda,Dogielinotidae,Allorchestes,adult,1,1
6,Micrometrus minimus,NA,fish,dwarf perch,NA,NA,N,present,D. Canestro; FishBase,NA,NA,solitary,mobile,typical predator,NA,Taxonomic,Species,281562,Animalia,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Micrometrus,adult,1,1
161,Amphipholis squamata,NA,brittle star,NA,NA,21,Both,common,"Morris, Abbott, & Haderlie; Light & Smith",low,NA,solitary,mobile,deposit feeder,NA,Taxonomic,Species,125064,Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphipholis,adult,2,1
168,Strongylocentrotus purpuratus,NA,urchin,NA,NA,NA,Both,common,"Morris, Abbott, & Haderlie",low,NA,solitary,mobile,grazer,NA,Taxonomic,Species,240747,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,adult,1,1
134,Integripelta bilabiata,Eurystomella bilibiata,bryozoan,NA,"Alaska to Tenacatita, Mexico",NA,N,common,"Morris, Abbott, & Haderlie",low,encrusting on shells,colonial,sessile,filter feeder,"reddish color is a caratinoid, hopkinsiaxanthin, transferred intact to the predator nudibranch Okenia rosacea;",Taxonomic,Species,466975,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Eurystomellidae,Integripelta,adult,3,1
136,Celleporaria brunnea,NA,bryozoan,NA,Oregon to Ecuador,NA,both,abundant,"Morris, Abbott, & Haderlie; Light & Smith",low,"encrusting algae, stone, shell",colonial,sessile,filter feeder,NA,Taxonomic,Species,394868,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Celleporidae,Celleporaria,adult,3,1
366,Mytilus californianus,NA,mussel,California mussel,NA,NA,Both,abundant,"Morris, Abbott, & Haderlie",high to middle,NA,aggregating,sessile,filter feeder,NA,Taxonomic,Species,367837,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,adult,2,1
587,Macrocystis pyrifera,NA,brown algae,giant kelp,NA,NA,Both,common,NA,low to very low,NA,solitary,sessile,primary producer,NA,Taxonomic,Species,232231,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,adult,3,1
99,Anthopleura xanthogrammica,NA,anemone,NA,NA,NA,N,common,"Morris, Abbott, & Haderlie; Light & Smith",NA,NA,solitary,sessile,filter feeder,left out until 11/25/2020 - unsure why?,Taxonomic,Species,283377,Animalia,Cnidaria,Hexacorallia,Actiniaria,Actiniidae,Anthopleura,adult,1,1
163,Ophiothrix spiculata,NA,brittle star,NA,NA,85,Both,common,"Morris, Abbott, & Haderlie; Light & Smith",low,wide range of substrates,solitary,mobile,deposit feeder,NA,Taxonomic,Species,245237,Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Ophiotrichidae,Ophiothrix,adult,1,1
764,Pseudodiala acuta,"Diala acuta, Barleeia acuta (L&S)",snail,NA,NA,5-Apr,S,present,Light & Smith,middle,pools,solitary,mobile,grazer,"mentioned as food of L. pusilla in MAH but not listed in its own thing, listed as Barleeia in L&S (but no detail); true range unknown; inferred trophic strategy",Taxonomic,Species,535648,Animalia,Mollusca,Gastropoda,Littorinimorpha,Barleeiidae,Pseudodiala,adult,1,1
287,Kelletia kelletii,NA,whelk,Kellet's whelk,NA,NA,Both,uncommon,"Morris, Abbott, & Haderlie; Light & Smith",low,"under rock ledges, M & H says N of PC",solitary,mobile,scavenger,NA,Taxonomic,Species,491054,Animalia,Mollusca,Gastropoda,Neogastropoda,Austrosiphonidae,Kelletia,adult,3,1
368,Mytilisepta bifurcata,Septifer bifurcatus,mussel,brancg ribbed mussel,NA,NA,Both,common,"Morris, Abbott, & Haderlie; Light & Smith",middle to low,"low intertidal in norcal, middle in so cal",aggregating,sessile,filter feeder,NA,Taxonomic,Species,506155,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilisepta,adult,3,1
282,Acanthinucella spirata,Acanthina spirata,snail,angular unicorn,NA,NA,Both,common,"Morris, Abbott, & Haderlie; Light & Smith",high to middle,"Where the unicorn snails A. punctulata, A. spirata occur together, as at Monterey, spirata generally is in the lower,, punctulata in the upper intertidal",solitary,mobile,typical predator,NA,Taxonomic,Species,404477,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Acanthinucella,adult,1,1
409,Nuttallina californica,NA,chiton,Nuttall's chiton,NA,NA,Both,abundant,"Morris, Abbott, & Haderlie; Light & Smith",middle,"crevices, depressions, under coralline algae, between mussels/barnacles",solitary,mobile,grazer,"algae grows on it.. Does this count as commensal? (Endocladia, Corallina, Polysiphonia, Cladophora",Taxonomic,Species,386437,Animalia,Mollusca,Polyplacophora,Chitonida,Tonicellidae,Nuttallina,adult,1,1
436,Phragmatopoma californica,NA,polychaete,sand worm,NA,NA,Both,abundant,"Morris, Abbott, & Haderlie",middle to low,forming tubes of cemented sand grains; may form massive reefs,aggregating,sessile,filter feeder,NA,Taxonomic,Species,334501,Animalia,Annelida,Polychaeta,NA,Sabellariidae,Phragmatopoma,adult,5,1
156,Eupentacta quinquesemita,NA,cucumber,NA,"Sitka, Alaska to Baja California",NA,N,common,"Morris, Abbott, & Haderlie; Light & Smith",low,"in crevices, under rocks",solitary,mobile,scavenger,NA,Taxonomic,Species,529305,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Sclerodactylidae,Eupentacta,adult,3,1
162,Amphipholis pugetana,NA,brittle star,NA,NA,32,Both,common,"Morris, Abbott, & Haderlie; Light & Smith",low,NA,solitary,mobile,scavenger,NA,Taxonomic,Species,242878,Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphipholis,adult,3,1
508,Betaeus harfordi,NA,shrimp,NA,NA,NA,Both,present,"Morris, Abbott, & Haderlie; 286; Light & Smith",low,commensal with abalone,paired,mobile,unknown,trophic strategy truly unknown despite much research,Taxonomic,Species,515044,Animalia,Arthropoda,Malacostraca,Decapoda,Alpheidae,Betaeus,adult,1,1
737,Ascarophis morronei,NA,nematode,NA,NA,NA,NA,present,NA,S,NA,solitary,sessile,parasite,NA,Taxonomic,Species,1359902,Animalia,Nematoda,Chromadorea,Rhabditida,Cystidicolidae,Ascarophis,adult,5,1
85,Obelia dichotoma,NA,hydroid,NA,Alaska to the tropics,NA,Both,abundant,"Morris, Abbott, & Haderlie; L&S",low,occurring on many different substrates including swimming animals (ranging from sharks to copepods),colonial,sessile,filter feeder,NA,Taxonomic,Species,117386,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Obelia,hydroid colony,3,5
312,Cadlina luteomarginata,NA,nudibranch,yellow edged cadlina,NA,NA,Both,common,"Morris, Abbott, & Haderlie; Light & Smith",low,"under ledges with sponges, tunicates",solitary,mobile,micropredator,NA,Taxonomic,Species,562476,Animalia,Mollusca,Gastropoda,Nudibranchia,Cadlinidae,Cadlina,adult,1,1
2105,Trichodina jadranica,NA,ciliate,NA,NA,NA,NA,present,76,NA,NA,solitary,sessile,parasite,NA,Taxonomic,Species,426795,Chromista,Ciliophora,Oligohymenophorea,Mobilida,Trichodinidae,Trichodina,adult,1,1
170,Aplidium californicum,NA,tunicate,NA,NA,NA,Both,common,"Morris, Abbott, & Haderlie; L&S","middle, low",D,colonial,sessile,filter feeder,NA,Taxonomic,Species,249827,Animalia,Chordata,Ascidiacea,Aplousobranchia,Polyclinidae,Aplidium,adult,3,1
171,Aplidium solidum,NA,tunicate,NA,NA,NA,Both,common,"Morris, Abbott, & Haderlie; L&S",low,seasonal abundance,colonial,sessile,filter feeder,NA,Taxonomic,Species,215889,Animalia,Chordata,Ascidiacea,Aplousobranchia,Polyclinidae,Aplidium,adult,3,1
178,Euherdmania claviformis,NA,tunicate,NA,NA,NA,Both,common,"Morris, Abbott, & Haderlie; L&S",low,in surfgrass beds,colonial,sessile,filter feeder,NA,Taxonomic,Species,250653,Animalia,Chordata,Ascidiacea,Aplousobranchia,Euherdmaniidae,Euherdmania,adult,3,1
179,Didemnum carnulentum,NA,tunicate,NA,NA,NA,Both,common,"Morris, Abbott, & Haderlie; L&S","middle, low","Low intertidal; abundant subtidally; on a wide variety of substrates, such as rocks, pilings, mollusk shells,, algae.",colonial,sessile,filter feeder,NA,Taxonomic,Species,250480,Animalia,Chordata,Ascidiacea,Aplousobranchia,Didemnidae,Didemnum,adult,3,1
180,Trididemnum opacum,NA,tunicate,NA,NA,NA,Both,present,"Morris, Abbott, & Haderlie",low,"caves, crevices",colonial,sessile,filter feeder,NA,Taxonomic,Species,251518,Animalia,Chordata,Ascidiacea,Aplousobranchia,Didemnidae,Trididemnum,adult,3,1
