publication_year,firstauthor,title,reference,reference_number,author,year,link_or_doi
1976,Stenzel,Feeding behavior and diet of the long-billed curlew and willet,"Stenzel, Lynne E.; Huber, Harriet R.; Page, Gary W.. 1976. Feeding behavior and diet of the long-billed curlew and willet. The Wilson Bulletin. 88. 2. 314-332",395,Stenzel,1976,NA
1966,Karl,Feeding behavior and reproductive cycles in pisaster ochraceus.,Karl Perry Mauzey. 1966. Feeding behavior and reproductive cycles in pisaster ochraceus.. Biological Bulletin. 131. 127-144,455,Mauzey,1966,NA
2008,Sease,Feeding behavior of anthopleura artemisia and anthropleura elegantissima,"Sease, Anna M.. 2008. Feeding behavior of anthopleura artemisia and anthropleura elegantissima. Oregon Institute of Marine Biology",5,M. Anna Sease,2008,NA
1968,Mauzey,Feeding behavior of asteroids and escape responses of their prey in the puget sound region,"Mauzey, Karl P.; Birkeland, Charles; Dayton, Paul K.. 1968. Feeding behavior of asteroids and escape responses of their prey in the puget sound region. Ecology. 49. 4. 603-619",319,"Mauzey, Birkeland, and Dayton",1968,NA
1982,Tangren,Feeding behavior of crows and gulls on a puget sound beach,"Tangren, Gerald V. 1982. Feeding behavior of crows and gulls on a puget sound beach. Western Birds. 13. 4-Jan. 12-Jan",392,Tangren,1982,NA
1997,Williams,"Feeding behavior of dipolydora commensalis (polychaeta: spionidae): particle capture, transport, and selection","Williams, Jason D.; McDermott, John J.. 1997. Feeding behavior of dipolydora commensalis (polychaeta: spionidae): particle capture, transport, and selection. Invertebrate Biology. 116. 2. 115-123. 10.2307/3226975",256,Williams and McDermott,1997,NA
NA,NA,Feeding behavior of the wrinkled dove snail amphissa columbiana,"Braithwaite, L. F., Rodríguez-Vargas, A., Borgen, M., & Bingham, B. L. (2017). Feeding Behavior of the Wrinkled Dove Snail Amphissa columbiana. Northwest Science, 91(4), 356–366. https://doi.org/10.3955/046.091.0405",278,Braithwaite et al,2017,NA
1977,Child,"Feeding biology and ecological aspects of a cancroid crab cancer oregonensis (dana) rathbun (decapoda, brachyura)","Child, Gary. 1977. Feeding biology and ecological aspects of a cancroid crab cancer oregonensis (dana) rathbun (decapoda, brachyura). Brigham Young University",330,Child,1977,NA
1988,Palmer,"Feeding biology of ocenebra lurida (prosobranchia: muricacea): diet, predator-prey size relations, and attack behavior","Palmer, A. Richard. 1988. Feeding biology of ocenebra lurida (prosobranchia: muricacea): diet, predator-prey size relations, and attack behavior. The Veliger. 31. 4-Mar. 192-203",197,A. Richard Palmer,1988,NA
1985,Strickler,Feeding currents in calanoid copepods: two new hypotheses,"Strickler, J. R.. 1985. Feeding currents in calanoid copepods: two new hypotheses. Symposia of the Society for Experimental Biology. 39. 459-485",370,Strickler,NA,NA
2019,Miyamoto,"Feeding ecology of chaetognath flaccisagitta enflata in the kuroshio region, western north pacific","Miyamoto, Hiroomi; Vijai, Dharmamony; Okazaki, Yuji; Saito, Hiroaki. 2019. Feeding ecology of chaetognath flaccisagitta enflata in the kuroshio region, western north pacific. Kuroshio Current. American Geophysical Union (AGU). 257-272",224,Miyamoto et al,2019,12/20/2023 12:14PM
NA,NA,"Feeding ecology of four species of sandpipers in western washington. Diss. University of washington, 1966.","Feeding ecology of four species of sandpipers in western washington. Diss. University of washington, 1966.",401,"Couch, Aldeen Beatrice.",1966,"Couch, Aldeen Beatrice. Feeding ecology of four species of sandpipers in western Washington. Diss. University of Washington, 1966."
1981,Ainley,Feeding ecology of marine cormorants in southwestern north america,"Ainley, David G.; Anderson, Daniel W.; Kelly, Paul R.. 1981. Feeding ecology of marine cormorants in southwestern north america. The Condor. 83. 2. 120-131. 10.2307/1367418",415,Ainley,1981,NA
1994,Gosselin,"Feeding habits of newly hatched juveniles of an intertidal predatory gastropod, nucella emarginata (deshayes)","Gosselin, Louis A.; Chia, Fu-Shiang. 1994. Feeding habits of newly hatched juveniles of an intertidal predatory gastropod, nucella emarginata (deshayes). Journal of Experimental Marine Biology and Ecology. 176. 1. 13-Jan. 10.1016/0022-0981(94)90193-7",195,"Louis A.Gosselinab, Fu-Shiang Chiaab",1994,NA
1985,Pugh,Feeding in intertidal acari,"Pugh, P. J. A.; King, P. E.. 1985. Feeding in intertidal acari. Journal of Experimental Marine Biology and Ecology. 94. 1. 269-280. 10.1016/0022-0981(85)90064-4",266,Pugh & King,1985,NA
1985,Lawton,Feeding in relation to morphometrics within the genus cancer: evolutionary and ecological considerations,"Lawton, Peter; Elner, Robert W.. 1985. Feeding in relation to morphometrics within the genus cancer: evolutionary and ecological considerations. Proceedings of the Symposium on Dungeness Crab Biology and Management. Alaska Sea Grant Report. 85. 3. 357-379",201,Lawton and Elner,1985,NA
NA,NA,Feeding of flaccisagitta enflata (chaetognatha) upon copepods in the southern gulf of mexico,"Sanvicente, L., Lemus-Santana, E., Soto, L., & Ruiz Boijseauneau, I. (2020). Feeding of Flaccisagitta enflata (Chaetognatha) upon copepods in the southern Gulf of Mexico. Cahiers de Biologie Marine, 61, 1–8. https://doi.org/10.21411/CBM.A.D2D370A8",222,Sanvicente et al,2020,12/20/2023 12:14PM
2004,Giesecke,Feeding of sagitta enflata and vertical distribution of chaetognaths in relation to low oxygen concentrations,"Giesecke, Ricardo; González, Humberto E.. 2004. Feeding of sagitta enflata and vertical distribution of chaetognaths in relation to low oxygen concentrations. Journal of Plankton Research. 26. 4. 475-486. 10.1093/plankt/fbh039",228,Giesecke and Gonzales,2004,12/20/2023 12:14PM
1991,Ruiz-Campos,"Feeding of the woolly sculpin, clinocottus analis (pisces: cottidae), in todos santos bay, baja california, mexico","Ruiz-Campos, Gorgonio; Hammann, M. Gregory. 1991. Feeding of the woolly sculpin, clinocottus analis (pisces: cottidae), in todos santos bay, baja california, mexico. The Southwestern Naturalist. 36. 3. 348-353. 10.2307/3671688",154,Gorgonio Ruiz-Campos and M. Gregory Hammann,1991,NA
2023,Johnson,"Feeding preferences and the effect of temperature on feeding rates of the graceful kelp crab, pugettia gracilis","Johnson, Katrina H.; Dobkowski, Katie A.; Seroy, Sasha K.; Fox, Shelby; Meenan, Natalie. 2023. Feeding preferences and the effect of temperature on feeding rates of the graceful kelp crab, pugettia gracilis. PeerJ. 11. e15223. 10.7717/peerj.15223",327,Johnson et al,2023,NA
2010,Temereva,"Filter feeding mechanism in the phoronid phoronopsis harmeri (phoronida, lophophorata)","Temereva, E. N.; Malakhov, V. V.. 2010. Filter feeding mechanism in the phoronid phoronopsis harmeri (phoronida, lophophorata). Russian Journal of Marine Biology. 36. 2. 109-116. 10.1134/S1063074010020057",206,Temereva and Malakov,2010,12/20/2023 12:14PM
NA,NA,"First record of stibarobdella moorei (annelida, hirudinea, piscicolidae) a marine leech parasitizing octopus bimaculatus (mollusca: octopodidae) from the mexican pacific coast","López-Peraza, D. J., Hernández-Rodríguez, M., Barón-Sevilla, B., Bückle-Ramírez, L. F., & Grano-Maldonado, M. I. (2017). First record of Stibarobdella moorei (Annelida, Hirudinea, Piscicolidae) a marine leech parasitizing Octopus bimaculatus (Mollusca: Octopodidae) from the Mexican Pacific coast. Helminthologia, 54(4), 322–329. https://doi.org/10.1515/helm-2017-0044",196,"D. J. LOÃÅPEZ-PERAZA1*, M. HERNAÃÅNDEZ-RODRIÃÅGUEZ2*, B. BAROÃÅN-SEVILLA2, L. F. BUÃàCKLE-RAMIÃÅREZ2, M. I. GRANO-MALDONADO1",2017,NA
1968,North,Fish bulletin 139. Utilization of kelp-bed resources in southern california,"North, Wheeler J.; Hubbs, Carl L.. 1968. Fish bulletin 139. Utilization of kelp-bed resources in southern california",NA,NA,NA,NA
NA,NA,Fishbase,Fishbase. https://www.fishbase.us/search.php. Accessed 6/11/2024,450,NA,NA,https://www.fishbase.us/search.php
1961,Clemens,Fishes of the pacific coast of canada,"Clemens, W A; Wilby, G V. 1961. Fishes of the pacific coast of canada. Fisheries Research Board of Canada",355,Briggs,1962,NA
1924,Morgan,Foettingeria actiniarum (parasitic in anemones),"Morgan, W. De. 1924. Foettingeria actiniarum (parasitic in anemones). Journal of Cell Science. s2-68. 270. 343-360. 10.1242/jcs.s2-68.270.343",43,W. De Morgan,1924,NA
1988,Brodeur,Food habits and diet overlap of various eastern bering sea fishes,"Brodeur, Richard D; Livingston, Patricia A. 1988. Food habits and diet overlap of various eastern bering sea fishes. Resource Ecology and Fisheries Management Division Northwest and Alaska Fisheries Center; National Marine Fisheries Service National Oceanic and Atmospheric Administration",362,NA,NA,NA
NA,NA,"Food habits and niche overlap of seabirds wintering on monterey bay, california","Baltz, D. M., & Morejohn, G. V. (1977). Food Habits and Niche Overlap of Seabirds Wintering on Monterey Bay, California. The Auk, 94(3), 526–543.",411,NA,NA,NA
1976,Lg,"Food habits of the leopard shark, triakis semifasciata, in elkhorn slough, monterey bay, california","Lg, Talent. 1976. Food habits of the leopard shark, triakis semifasciata, in elkhorn slough, monterey bay, california. Calif. Fish Game. 62. 286-298",111,"Talent, L. G.",1976,NA
1980,Yoshiyama,Food habits of three species of rocky intertidal sculpins (cottidae) in central california,"Yoshiyama, Ronald M.. 1980. Food habits of three species of rocky intertidal sculpins (cottidae) in central california. Copeia. 1980. 3. 515-525. 10.2307/1444529",72,Ronald M. Yoshiyama,1980,NA
1968,Johnson,"Food of the buffalo sculpin, enophrys bison","Johnson, Clifford Ray. 1968. Food of the buffalo sculpin, enophrys bison. Journal of the Fisheries Research Board of Canada. 25. 4. 807-812. 10.1139/f68-072",361,NA,1968,NA
1975,Eastman,"Food preferences of triopha maculata  and  triopha carpenteri  on the monterey peninsula, california","Eastman, James Kirbye. 1975. Food preferences of triopha maculata  and  triopha carpenteri  on the monterey peninsula, california. California State University, Fresno",218,James Eastman,1975,12/20/2023 12:14PM
1984,Ambrose,"Food preferences, prey availability, and the diet of octopus bimaculatus verrill","Ambrose, Richard F.. 1984. Food preferences, prey availability, and the diet of octopus bimaculatus verrill. Journal of Experimental Marine Biology and Ecology. 77. 1. 29-44. 10.1016/0022-0981(84)90049-2",157,Richard F.Ambrose,1984,NA
1986,Grossman,Food resource partitioning in a rocky intertidal fish assemblage,"Grossman, Gary D.. 1986. Food resource partitioning in a rocky intertidal fish assemblage. Journal of Zoology. 1. 2. 317-355. 10.1111/j.1096-3642.1986.tb00642.x",361,NA,1986,NA
1990,Demetropoulos,"Foraging and dietary strategies of two sublittoral cottids, jordania zonope and artedius harringtoni","Demetropoulos, C. L.; Braithwaite, L. F.; Maurer, B. A.; Whiting, D.. 1990. Foraging and dietary strategies of two sublittoral cottids, jordania zonope and artedius harringtoni. Journal of Fish Biology. 37. 1. 19-32. 10.1111/j.1095-8649.1990.tb05923.x",353,Demetropolous,1990,NA
1984,Annett,Foraging behavior and prey selection of the leather seastar dermasterias imbricata,"Annett, Cynthia; Pierotti, Raymond. 1984. Foraging behavior and prey selection of the leather seastar dermasterias imbricata. Marine Ecology-progress Series - MAR ECOL-PROGR SER. 14. 197-206. 10.3354/meps014197",14,Cynthia Annett and Raymond Pierotti,1984,NA
NA,NA,"Foraging ecology of black turnstones and surfbirds on their wintering grounds at bodega bay, california","Connors, Carolyn Sue. Foraging ecology of black turnstones and surfbirds on their wintering grounds at Bodega Bay, California. University of California, Berkeley, 1977.",396,Connors,1977,NA
1983,Hom,Foraging ecology of herons in a southern san francisco bay salt marsh,"Hom, Calvin W.. 1983. Foraging ecology of herons in a southern san francisco bay salt marsh. Colonial Waterbirds. 6. 37-44. 10.2307/1520965",378,Hom,1983,NA
NA,NA,Foraging strategy of the black oyster catcher (haematopus bachmani audubon),"Hartwick, E. B. (1976). Foraging strategy of the black oyster catcher (Haematopus bachmani Audubon). Canadian Journal of Zoology, 54(2), 142–155. https://doi.org/10.1139/z76-015",382,Hartwick,1976,NA
1973,Krantz,"Four new predatory species of halacaridae (acari: prostigmata) from oregon, with remarks on their distribution in the intertidal mussel habitat (pelecypoda : mytilidae1)","Krantz, G. W.. 1973. Four new predatory species of halacaridae (acari: prostigmata) from oregon, with remarks on their distribution in the intertidal mussel habitat (pelecypoda : mytilidae1). Annals of the Entomological Society of America. 66. 5. 975-985. 10.1093/aesa/66.5.975",346,Krantz,1973,NA
1985,Perry,Function of the shell spine in the predaceous rocky intertidal snail acanthina spirata (prosobranchia: muricacea),"Perry, D. M.. 1985. Function of the shell spine in the predaceous rocky intertidal snail acanthina spirata (prosobranchia: muricacea). Marine Biology. 88. 1. 51-58. 10.1007/BF00393043",193,D. M. Perry,1985,NA
1999,Donovan,Functional significance of shell sculpture in gastropod molluscs: test of a predator-deterrent hypothesis in ceratostoma foliatum (gmelin),"Donovan, Deborah A; Danko, Jean Paul; Carefoot, Thomas H. 1999. Functional significance of shell sculpture in gastropod molluscs: test of a predator-deterrent hypothesis in ceratostoma foliatum (gmelin). Journal of Experimental Marine Biology and Ecology. 236. 2. 235-251. 10.1016/S0022-0981(98)00200-7",187,"Deborah ADonovan, Jean Paul Danko, Thomas H Carefoot",1999,NA
2009,Kochzius,Genetic population structures of the blue starfish linckia laevigata and its gastropod ectoparasite thyca crystallina,"Kochzius, M.; Seidel, C.; Hauschild, J.; Kirchhoff, S.; Mester, P.; Meyer-Wachsmuth, I.; Nuryanto, A.; Timm, J.. 2009. Genetic population structures of the blue starfish linckia laevigata and its gastropod ectoparasite thyca crystallina. Marine Ecology Progress Series. 396. 211-219. 10.3354/meps08281",32,"M. Kochzius1,*,**, C. Seidel1, 2, J. Hauschild1, 3, S. Kirchhoff1, P. Mester1, I. Meyer-Wachsmuth1, A. Nuryanto1, 4, J. Timm1",2009,NA
2012,Behrens,Geographic variation in the diet of opaleye (girella nigricans) with respect to temperature and habitat,"Behrens, Michael D.; Lafferty, Kevin D.. 2012. Geographic variation in the diet of opaleye (girella nigricans) with respect to temperature and habitat. PLOS ONE. 7. 9. e45901. 10.1371/journal.pone.0045901",137,"Michael D. Behrens1¬§, Kevin D. Lafferty2*",2012,NA
NA,NA,"Gerard, v. A. 1976. Some aspects of material dynamics and energy flow in a kelp forest in monterey bay, california. Ph. D. Thesis. University of california santa cruz, santa cruz, ca.","Gerard, v. A. 1976. Some aspects of material dynamics and energy flow in a kelp forest in monterey bay, california. Ph. D. Thesis. University of california santa cruz, santa cruz, ca.",230,NA,NA,12/20/2023 02:58PM
NA,NA,"Greater yellowlegs (tringa melanoleuca), version 1.0. In birds of the world","Elphick, C. S. and T. L. Tibbitts (2020). Greater Yellowlegs (Tringa melanoleuca), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy.library.ucsb.edu/10.2173/bow.greyel.01",409,Poole,NA,"Elphick, C. S. and T. L. Tibbitts (2020). Greater Yellowlegs (Tringa melanoleuca), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy.library.ucsb.edu/10.2173/bow.greyel.01"
1970,Feder,"Growth and predation by the ochre sea star, pisaster ochraceus (brandt), in monterey bay, california","Feder, Howard M.. 1970. Growth and predation by the ochre sea star, pisaster ochraceus (brandt), in monterey bay, california. Ophelia. 8. 1. 161-185. 10.1080/00785326.1970.10429557",28,Howard M. Feder,2012,NA
1990,Pierce,Growth and reproduction of the tidepool sculpin oligocottus maculosus,"Pierce, Bryan E.; Pierson, Keith B.. 1990. Growth and reproduction of the tidepool sculpin oligocottus maculosus. Japanese Journal of Ichthyology. 36. 4. 410-418. 10.11369/jji1950.36.410",87,Bryan E. Pierce and Keith B. Pierson,1990,NA
1972,Miller,Guide to the coastal marine fishes of california,"Miller, Daniel J.; Lea, Robert N.. 1972. Guide to the coastal marine fishes of california. Fish Bulletin. 157",NA,NA,NA,NA
2001,Logothetis,"Gut morphology and function in atherinops affinis (teleostei: atherinopsidae), a stomachless omnivore feeding on macroalgae","Logothetis, E. A.; Horn, M. H.; Dickson, K. A.. 2001. Gut morphology and function in atherinops affinis (teleostei: atherinopsidae), a stomachless omnivore feeding on macroalgae. Journal of Fish Biology. 59. 5. 1298-1312. 10.1111/j.1095-8649.2001.tb00193.x",358,Logothetis,2001,NA
1978,Caine,Habitat adaptations of north american caprellid amphipoda (crustacea),"Caine, Edsel A.. 1978. Habitat adaptations of north american caprellid amphipoda (crustacea). The Biological Bulletin. 155. 2. 288-296. 10.2307/1540953",320,Caine,1978,NA
1991,Butler,"Habitat selection and time of breeding in the great blue heron, (ardea herodias)","Butler, Robert William. 1991. Habitat selection and time of breeding in the great blue heron, (ardea herodias). University of British Columbia",379,Butler,1991,NA
1977,Ooishi,"Haplostominae (copepoda, cyclopoida) associated with compound ascidians from the san juan archipelago and vicinity","Ooishi, Shigeko; Illg, Paul L.. 1977. Haplostominae (copepoda, cyclopoida) associated with compound ascidians from the san juan archipelago and vicinity. Special publications from the Seto Marine Biological Laboratory. 5. 1-154. 10.5134/176460",82,"Ooishi, Shigeko, and Paul L. Illg",1977,NA
NA,NA,Helminth parasites of embiotocid fishes,NA,48,Hisao P. Arai,1954,NA
1954,Arai,Helminth parasites of embiotocid fishes. I. A new genus of the trematode family zoogonidae,"Arai, Hisao P.. 1954. Helminth parasites of embiotocid fishes. I. A new genus of the trematode family zoogonidae. The Journal of Parasitology. 40. 3. 356-359. 10.2307/3273751",NA,NA,NA,NA
NA,NA,"Helmintos par√°sitos en quetognatos en el alto golfo de california, m√©xico","Lozano Cobo, H., Gómez del Prado-Rosas, M. del C., Cota Meza, S., Pacheco Chávez, M. del R., & Sánchez Velasco, L. (2012). Helmintos parásitos en Quetognatos en el Alto Golfo de California, México. The Biologist, 10(Extra 2 (julio-diciembre)), 24.",220,"Lozano-Cobo, H. et al.",2012,12/20/2023 12:14PM
2007,Woodwick,Hemichordata,"Woodwick, Keith H.; Cameron, Christopher B.. 2007. Hemichordata. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 909-912",NA,NA,NA,NA
NA,NA,"Herring gull (larus argentatus), version 1.0. In birds of the world","Weseloh, D. V., C. E. Hebert, M. L. Mallory, A. F. Poole, J. C. Ellis, P. Pyle, and M. A. Patten (2020). Herring Gull (Larus argentatus), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy.library.ucsb.edu/10.2173/bow.hergul.01",414,Weseloh,2020,"Weseloh, D. V., C. E. Hebert, M. L. Mallory, A. F. Poole, J. C. Ellis, P. Pyle, and M. A. Patten (2020). Herring Gull (Larus argentatus), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy.library.ucsb.edu/10.2173/bow.hergul.01"
1990,Russel,Host utilization during ontogeny by two pycnogonid species (tanystylum duospinum and ammothea hilgendorfi) parasitic on the hydroid eucopella everta (coelenterata: campanulariidae),"Russel, David J.; Hedgepeth, Joel W.. 1990. Host utilization during ontogeny by two pycnogonid species (tanystylum duospinum and ammothea hilgendorfi) parasitic on the hydroid eucopella everta (coelenterata: campanulariidae). Bijdragen lot de Dierkunde. 60. 3. 215-224",284,Russel and Hedgepeth,1990,NA
NA,NA,Host-use and population demographics of the ascidian-dwelling amphipod leucothoe spinicarpa : indication for extended parental care and advanced social behaviour,"Thiel, M. (1999). Host-use and population demographics of the ascidian-dwelling amphipod Leucothoe spinicarpa: Indication for extended parental care and advanced social behaviour. Journal of Natural History, 33(2), 193–206. https://doi.org/10.1080/002229399300371",422,Thiel,1999,NA
NA,NA,How specialized are the diets of northeastern pacific sponge-eating dorid nudibranchs?,"Penney, B. K. (2013). How specialized are the diets of Northeastern Pacific sponge-eating dorid nudibranchs? Journal of Molluscan Studies, 79(1), 64–73. https://doi.org/10.1093/mollus/eys038",453,Penney,2013,NA
NA,NA,Hydrozoa (cnidaria) symbiotic with porifera: a review,"Puce, S., Calcinai, B., Bavestrello, G., Cerrano, C., Gravili, C., & Boero, F. (2005). Hydrozoa (Cnidaria) symbiotic with Porifera: A review. Marine Ecology, 26(2), 73–81. https://doi.org/10.1111/j.1439-0485.2005.00050.x",242,Puce,2005,NA
2002,Kathman,Identification manual to the mysidacea and euphausiacea of the northeast pacific,"Kathman, R. D.; Austin, W. C.; Saltman, J. C.; Fulton, J. D.. 2002. Identification manual to the mysidacea and euphausiacea of the northeast pacific. Department of Fisheries and Oceans",NA,NA,NA,NA
2010,Bates,Impact of temperature on an emerging parasitic association between a sperm-feeding scuticociliate and northeast pacific sea stars,"Bates, Amanda E.; Stickle, William B.; Harley, Christopher D. G.. 2010. Impact of temperature on an emerging parasitic association between a sperm-feeding scuticociliate and northeast pacific sea stars. Journal of Experimental Marine Biology and Ecology. 384. 2-Jan. 44-50. 10.1016/j.jembe.2009.12.001",26,Amanda E.BatesabWilliam B.SticklecChristopher D.G.Harleyb,2010,NA
2011,Goddard,"Impacts associated with the recent range shift of the aeolid nudibranch phidiana hiltoni (mollusca, opisthobranchia) in california","Goddard, Jeffrey H. R.; Gosliner, Terrence M.; Pearse, John S.. 2011. Impacts associated with the recent range shift of the aeolid nudibranch phidiana hiltoni (mollusca, opisthobranchia) in california. Marine Biology. 158. 5. 1095-1109. 10.1007/s00227-011-1633-7",136,"Jeffrey H. R. Goddard, Terrence M. Gosliner, John S. Pearse",NA,NA
2011,Herstoff,"Individuals of crepidula adunca (mollusca, gastropoda) avoid shared doom through host specificity","Herstoff, Emily M.; Iyengar, Erika V.. 2011. Individuals of crepidula adunca (mollusca, gastropoda) avoid shared doom through host specificity. Journal of Experimental Marine Biology and Ecology. 406. 1. 79-86. 10.1016/j.jembe.2011.06.007",NA,NA,NA,NA
1981,Robles,Influence of biotic factors in an upper intertidal community: dipteran larvae grazing on algae,"Robles, Carlos D.; Cubit, John. 1981. Influence of biotic factors in an upper intertidal community: dipteran larvae grazing on algae. Ecology. 62. 6. 1536-1547. 10.2307/1941510",350,Robles and Cubit,1981,NA
2009,Tuskes,"Influence of habitat on growth and prey selection of pteropurpura festiva, the festive murex","Tuskes, Paul; Tuskes, Ann. 2009. Influence of habitat on growth and prey selection of pteropurpura festiva, the festive murex. The Festivus. 48. 4. 211-220",267,Tuskes & Tuskes,2009,NA
1997,Khan,"Influence of haemobaphes cyclopterina and h . intermedius (copepoda) on arctic cod ( boreogadus saida ) and tidepool sculpins ( oligocottus maculosus ), respectively","Khan, R. A.; Ryan, K.; Lawson, J. W.; Munehara, H.. 1997. Influence of haemobaphes cyclopterina and h . intermedius (copepoda) on arctic cod ( boreogadus saida ) and tidepool sculpins ( oligocottus maculosus ), respectively. Canadian Journal of Zoology. 75. 8. 1280-1284. 10.1139/z97-151",86,"R. A. Khan, K. Ryan, J. W. Lawson, and H. Munehara",1997,NA
2003,West,Integrating spatial and temporal variability into the analysis of fish food web linkages in tijuana estuary,"West, Janelle M.; Williams, Gregory D.; Madon, Sharook P.; Zedler, Joy B.. 2003. Integrating spatial and temporal variability into the analysis of fish food web linkages in tijuana estuary. Environmental Biology of Fishes. 67. 3. 297-309. 10.1023/A:1025843300415",145,"Janelle M. West, Gregory D. Williams, Sharook P. Madon, Joy B. Zedler",2003,NA
NA,NA,Interactions between a sea pen and seven of its predators,NA,38,Charles Birkeland,1974,NA
2008,Penfold,Interactions between juvenile marine fish and gnathiid isopods: predation versus micropredation,"Penfold, R; Grutter, As; Kuris, Am; McCormick, Mi; Jones, Cm. 2008. Interactions between juvenile marine fish and gnathiid isopods: predation versus micropredation. Marine Ecology Progress Series. 357. 111-119. 10.3354/meps07312",428,Penfold,2008,NA
1986,West,Interindividual variation in prey selection by the snail nucella (= thais) emarginata,"West, Lani. 1986. Interindividual variation in prey selection by the snail nucella (= thais) emarginata. Ecology. 67. 3. 798-809. 10.2307/1937702",194,Lani West,1986,NA
1981,Cross,Intertidal fishes of southern california,"Cross, Jeffrey N.. 1981. Intertidal fishes of southern california. 99-101",452,Cross,1981,NA
NA,NA,Intertidal invertebrates of california,"Morris, R. H., Abbott, D. P., & Haderlie, E. C. (1980). Intertidal invertebrates of California. Stanford University Press.",436,"Morris, Abbott, Haderlie",1980,NA
2009,Shinen,Invasion resistance on rocky shores: direct and indirect effects of three native predators on an exotic and a native prey species,"Shinen, J. S.; Morgan, S. G.; Chan, A. L.. 2009. Invasion resistance on rocky shores: direct and indirect effects of three native predators on an exotic and a native prey species. Marine Ecology Progress Series. 378. 47-54. 10.3354/meps07870",186,J.S. Shinen,2009,NA
NA,NA,Invertebrates of the salish sea,"Cowles, D. Invertebrates of the Salish Sea. 2002. Walla Walla University. https://inverts.wallawalla.edu/. Accessed 6/11/2024",280,Dave Cowles,NA,https://inverts.wallawalla.edu/
NA,NA,"Investigations on the feeding habits of the rocky-shore mite hyadesia fusca (acari: astigmata : hyadesiidae): diet range, food preference, food quality, and the implications for distribution patterns",NA,,,,
1998,Bücking,"Investigations on the feeding habits of the rocky-shore mite hyadesia fusca (acari: astigmata : hyadesiidae): diet range, food preference, food quality, and the implications for distribution patterns jens bricking","Bücking, Jens. 1998. Investigations on the feeding habits of the rocky-shore mite hyadesia fusca (acari: astigmata : hyadesiidae): diet range, food preference, food quality, and the implications for distribution patterns jens bricking. Helgol√§nder Meeresuntersuchungen. 52. 159-177",344,NA,1998,NA
2007,Wasson,Kamptozoa (entoprocta),"Wasson, Kerstin; Mariscal, Richard N.. 2007. Kamptozoa (entoprocta). The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 283-287",NA,NA,NA,NA
NA,NA,Life cycle of the symbiotic scaleworm arctonoe vittata (polychaeta: polynoidae),"Britayev, T. A. (1991). Life Cycle of the Symbiotic Scaleworm Arctonoe vittata (Polychaeta: Polynoidae). https://doi.org/10.1163/9789004629745_030",41,T A. Britayev,1991,NA
1986,Stepien,"Life history and larval development of the giant kelpfish, heterostichus rostratus girard, 1854","Stepien, Carol A.. 1986. Life history and larval development of the giant kelpfish, heterostichus rostratus girard, 1854",90,CAROL A. STEPIENl,1986,NA
2023,Alves,Life history and population dynamics of the enigmatic tanaid chondrochelia dubia (tanaidacea: leptocheliidae) in a tropical seaweed bed,"Alves, Rodrigo V. A.; Lucena Frédou, Flávia; Craveiro, Nykon; Nolé Eduardo, Leandro; Rosa Filho, José S.. 2023. Life history and population dynamics of the enigmatic tanaid chondrochelia dubia (tanaidacea: leptocheliidae) in a tropical seaweed bed. Scientia Marina. 87. 1. e059. 10.3989/scimar.05322.059",287,Alves et al,2023,NA
1975,Dayneko,"Life history of the rockpool blenny, hypsoblennius gilberti (jordan), at point fermin, california.","Dayneko, Jack Ronald. 1975. Life history of the rockpool blenny, hypsoblennius gilberti (jordan), at point fermin, california.. California State University, Long Beach",NA,NA,NA,NA
NA,NA,Light and smith manual: intertidal invertebrates from central california to oregon - 4th edition,NA,435,Jim Carlton ed,2007,NA
1991,Ching,Lists of larval worms from marine invertebrates of the pacific coast of north america,"Ching, Hilda Lei. 1991. Lists of larval worms from marine invertebrates of the pacific coast of north america. Journal of the Helminthological Society of Washington. 58. 1. 57-68",386,Ching,1991,NA
1984,Fawcett,Local and latitudinal variation in predation on an herbivorous marine snail,"Fawcett, Michael H.. 1984. Local and latitudinal variation in predation on an herbivorous marine snail. Ecology. 65. 4. 1214-1230. 10.2307/1938329",184,MICHAEL H. FAWCETT,1984,NA
